nomer;predmet;zakon;organizator;organizator_inn;organizator_kpp;organizator_kontakt;zakazchik;zakazchik_inn;zakazchik_kpp;zakazchik_kontakt;region;cena;data_publikacii;data_okonchaniya;pozicii_s_klyuchom;ssylka;centrobezhnyy_predmet;klyuch;istochnik;data_sbora
32616237326;Выполнение работ по инструментальной вибродиагностике и балансировке центробежного вспомогательного энергетического оборудования, установленного на объектах теплоснабжения ООО «Теплоэнерго»;223-ФЗ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОЭНЕРГО""";4214046200;421401001;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОЭНЕРГО""";4214046200;421401001;;Кемеровская область;647100.00;27.07.2026;03.08.2026;;https://www.rts-tender.ru/poisk/id/l32616237326-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616236692;Поставка дизельной насосной станции в комплекте;223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ""";5018134420;501801001;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ""";5018134420;501801001;;Московская область;12469460.00;24.07.2026;06.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616236692-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616236034;Лот № 262 Поставка систем оборотного водоснабжения и дренажа;223-ФЗ;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СПЕЦИАЛЬНОГО СТРОИТЕЛЬСТВА""";2315078029;770401001;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГЛАВНОЕ УПРАВЛЕНИЕ СПЕЦИАЛЬНОГО СТРОИТЕЛЬСТВА""";2315078029;770401001;;Москва;2477698.00;24.07.2026;03.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616236034-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616235771;Поставка насоса консольного моноблочного для АО «ИвГТЭ»;223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИВГОРТЕПЛОЭНЕРГО""";3702733438;370201001;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИВГОРТЕПЛОЭНЕРГО""";3702733438;370201001;;Ивановская область;146728.33;24.07.2026;31.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616235771-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0131300000626001099;Выполнение работ по замене системы фильтрации и устройству переливной ёмкости;44-ФЗ;АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ГОРОД ВОРОНЕЖ;3650002882;366601001;"Попрыгина Валерия Викторовна; 7-473-2283606; munzak@cityhall.voronezh-city.ru";МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ № 1;3662041950;366201001;;Воронежская область;3162660.63;24.07.2026;03.08.2026;"Насос химический центробежный ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l0131300000626001099-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616235055;Насос канализационный CNP 50WQ15-25-3A(I) (ЦНП);223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГЕНТСТВО ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ РЕСПУБЛИКИ ТАТАРСТАН""";1655391893;165501001;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""НОВОШЕШМИНСКОЕ ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО"" НОВОШЕШМИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ ТАТАРСТАН";1631009663;163101001;;Республика Татарстан;73000.00;24.07.2026;31.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616235055-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616234754;Поставка насосов для нужд филиалов АО «НОКК» и МУП ЖКХ «Жилсервис» Володарского района;223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖЕГОРОДСКАЯ ОБЛАСТНАЯ КОММУНАЛЬНАЯ КОМПАНИЯ""";5260267654;526001001;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НИЖЕГОРОДСКАЯ ОБЛАСТНАЯ КОММУНАЛЬНАЯ КОМПАНИЯ""";5260267654;526001001;;Нижегородская область;777143.25;24.07.2026;05.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616234754-2/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616234212;Поставка канализационных насосов;223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""";7707308480;770401001;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""УПРАВЛЕНИЕ ГОРОДСКОГО ХОЗЯЙСТВА"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА ПЫТЬ-ЯХ";8612007896;861201001;;Ханты-Мансийский автономный округ Югра;6127058.42;24.07.2026;04.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l32616234212-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
4536722;Выбор поставщика насосов 2026 г.;Коммерческие;"Акционерное общество ""ТАНДЕР""";2310031475;231001001;;"Акционерное общество ""ТАНДЕР""";2310031475;231001001;;Краснодарский край;0.00;24.07.2026;31.07.2026;"Насос центробежный FRISTAM FZ17B Артикул: 340700034 ;; Насос центробежный FRISTAM FZ20KF Артикул: 0545700028";https://www.rts-tender.ru/poisk/id/l4536722-4-12-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0322100002526000499;Поставка медицинских изделий для реанимации;44-ФЗ;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (Г. ХАБАРОВСК)";2724139667;272401001;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ ЦЕНТР СЕРДЕЧНО-СОСУДИСТОЙ ХИРУРГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ (Г. ХАБАРОВСК)";2724139667;272401001;;Хабаровский край;435000.00;24.07.2026;04.08.2026;"Насос центробежный для системы искусственного кровообращения ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l0322100002526000499-1/;сомнительно;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616233173;Право заключения договора на поставка электроинструмента;223-ФЗ;"Красноярский филиал Акционерного общества ""Атомспецтранс""";7717609102;245243001;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТОМСПЕЦТРАНС""";7717609102;771701001;;Москва;452485.56;24.07.2026;03.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l32616233173-1/;сомнительно;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616233164;Поставка погружных насосов ЭЦВ;223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ УПРАВЛЕНИЕ ВОДОСНАБЖЕНИЯ И ВОДООТВЕДЕНИЯ ГОРОДА ЧИТЫ""";7536064538;753601001;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННОЕ УПРАВЛЕНИЕ ВОДОСНАБЖЕНИЯ И ВОДООТВЕДЕНИЯ ГОРОДА ЧИТЫ""";7536064538;753601001;;Забайкальский край;4958981.33;24.07.2026;04.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616233164-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616233139;Поставка насосного агрегата с электродвигателем, насосного агрегата на раме.;223-ФЗ;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" ГОРОДА УЛАН-УДЭ";0326540932;032601001;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" ГОРОДА УЛАН-УДЭ";0326540932;032601001;;Республика Бурятия;22812174.67;24.07.2026;30.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l32616233139-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616232353;Поставка циркуляционного насоса для нужд учреждения;223-ФЗ;МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИ ЯРОСЛАВСКОЙ ОБЛАСТИ;7604084334;760401001;;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯРОСЛАВСКОЙ ОБЛАСТИ ""КЛИНИЧЕСКАЯ БОЛЬНИЦА СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ ИМЕНИ Н.В. СОЛОВЬЕВА""";7606011613;760601001;;Ярославская область;136300.00;23.07.2026;31.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616232353-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616232236;«Поставка канализационного насоса SL.100.130.2.52S.S.N.51D.A Grundfos»;223-ФЗ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГ СЕТИ""";6319163931;631901001;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮГ СЕТИ""";6319163931;631901001;;Самарская область;880718.00;23.07.2026;31.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616232236-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616232187;Поставка насосов и преобразователя частоты;223-ФЗ;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""РОЩИНСКИЙ""";6330104023;633001001;;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""РОЩИНСКИЙ""";6330104023;633001001;;Самарская область;1147845.56;23.07.2026;31.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l32616232187-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616232149;Поставка насосов для нужд МТУСИ;223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""";7707308480;770401001;;"ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ СВЯЗИ И ИНФОРМАТИКИ""";7722000820;772201001;;Москва;252750.05;23.07.2026;30.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l32616232149-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616231666;Поставка дизельной насосной станции;223-ФЗ;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ""";4345000249;434501001;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ""";4345000249;434501001;;Кировская область;5030000.00;23.07.2026;31.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616231666-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616231648;Поставка насосов водокольцевых;223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГЕНТСТВО ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ РЕСПУБЛИКИ ТАТАРСТАН""";1655391893;165501001;;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ ЛЕНИНГРАДСКОЙ ОБЛАСТИ""";4703144282;470401001;;Ленинградская область;496950.00;23.07.2026;06.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l32616231648-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616230788;Поставка насосов сточных вод;223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГЕНТСТВО ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ РЕСПУБЛИКИ ТАТАРСТАН""";1655391893;165501001;;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ ЛЕНИНГРАДСКОЙ ОБЛАСТИ""";4703144282;470401001;;Ленинградская область;799093.33;23.07.2026;05.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l32616230788-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616230224;Поставка материалов для ремонта теплотрассы;223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛАХТИНСКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";2403002685;240301001;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛАХТИНСКОЕ ДОРОЖНОЕ РЕМОНТНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ""";2403002685;240301001;;Красноярский край;927722.50;23.07.2026;04.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616230224-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616230173;Поставка насосов типа Д;223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГЕНТСТВО ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ РЕСПУБЛИКИ ТАТАРСТАН""";1655391893;165501001;;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ ЛЕНИНГРАДСКОЙ ОБЛАСТИ""";4703144282;470401001;;Ленинградская область;4172913.33;23.07.2026;05.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l32616230173-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616229410;Поставка насосного агрегата СМ 250-200-400/6;223-ФЗ;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТАН ""УФАВОДОКАНАЛ""";0275000238;027601001;;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТАН ""УФАВОДОКАНАЛ""";0275000238;027601001;;Республика Башкортостан;437275.67;23.07.2026;31.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616229410-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616229306;КО-066-ТМЦ-ПП-26 в электронной форме на электронной торговой площадке на право заключения договора на поставку погружных скважинных электронасосных агрегатов ЭЦВ (ЦООВиВ ТР, ЦООВиВ ИР), проводимый не централизовано для нужд ООО «Тюмень Водоканал»;223-ФЗ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;720301001;;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;720301001;;Тюменская область;956843.75;23.07.2026;04.08.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l32616229306-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0317100004926000071;Поставка оборудования и материалов для ремонта котельной;44-ФЗ;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЛЕЧЕБНОЕ ИСПРАВИТЕЛЬНОЕ УЧРЕЖДЕНИЕ № 1 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО АЛТАЙСКОМУ КРАЮ""";2223031158;222301001;;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЛЕЧЕБНОЕ ИСПРАВИТЕЛЬНОЕ УЧРЕЖДЕНИЕ № 1 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО АЛТАЙСКОМУ КРАЮ""";2223031158;222301001;;Алтайский край;729898.95;23.07.2026;31.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l0317100004926000071-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616228947;Поставка сантехнических материалов для текущего обслуживания объектов ФГБОУ ВО «ИГУ»;223-ФЗ;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ИРКУТСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""";3808013278;380801001;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ИРКУТСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""";3808013278;380801001;;Иркутская область;4127053.26;22.07.2026;30.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616228947-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
4534508;Электронасос центробежный скважинный. ЭЦВ 6-16-140, 1 шт.;Коммерческие;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКИЙ ПИВО-БЕЗАЛКОГОЛЬНЫЙ КОМБИНАТ ""ОЧАКОВО""";7729101200;783450001;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОВСКИЙ ПИВО-БЕЗАЛКОГОЛЬНЫЙ КОМБИНАТ ""ОЧАКОВО""";7729101200;783450001;;Санкт-Петербург;130000.00;22.07.2026;30.07.2026;;https://www.rts-tender.ru/poisk/id/l4534508-4-12-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0545600002626000004;Ремонт станции подкачки г. Гатчина, ул. Красных Военлетов, д. 6;44-ФЗ;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" Г.ГАТЧИНА";4705014708;470501001;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" Г.ГАТЧИНА";4705014708;470501001;;Ленинградская область;2962902.74;22.07.2026;30.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l0545600002626000004-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616227596;"№167 Поставка сточно-массного насоса 2СМ 250-200-400/4 для нужд МУП ""ВОДОКАНАЛ""";223-ФЗ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГЕНТСТВО ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ РЕСПУБЛИКИ ТАТАРСТАН""";1655391893;165501001;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" Г. ВОТКИНСКА";1828000481;182801001;;Удмуртская Республика;261600.00;22.07.2026;30.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616227596-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0329100005926000160;Поставка запасных частей для нужд технического флота Кубанского РВПиС - филиала ФБУ «Администрация «Волго-Дон»;44-ФЗ;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ВОЛГО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";3448009717;344801001;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ВОЛГО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";3448009717;344801001;;Волгоградская область;650955.00;22.07.2026;03.08.2026;"Улитка к грунтовому насосу 100 МП-350 (центробежный,консольный с четырехлопастным рабочим колесом диаметром 1000 мм) ;; Передняя крышка к грунтовому насосу 100 МП-350 (центробежный,консольный с четырехлопастным рабочим колесом диаметром 1000 мм)";https://www.rts-tender.ru/poisk/id/l0329100005926000160-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
0387200000326000182;Поставка запасных частей – канальные и центробежные вентиляторы;44-ФЗ;"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""СУРГУТСКИЙ ОКРУЖНОЙ КЛИНИЧЕСКИЙ ЦЕНТР ОХРАНЫ МАТЕРИНСТВА И ДЕТСТВА""";8602000806;860201001;;"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""СУРГУТСКИЙ ОКРУЖНОЙ КЛИНИЧЕСКИЙ ЦЕНТР ОХРАНЫ МАТЕРИНСТВА И ДЕТСТВА""";8602000806;860201001;;Ханты-Мансийский автономный округ Югра;986940.78;22.07.2026;30.07.2026;;https://www.rts-tender.ru/poisk/id/l0387200000326000182-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
4533464;Запасные части для флотомашины (Компрессор винтовой безмасляный ENGER OFS-45 A 8 PM VSD, Осушитель адсорбционный Enger ADH-069, Ресивер вертикальный Remeza РВ 900.10.11 (аналог 900.10.02) без лючка, Корпус магистрального фильтра с дифманометром Enger S-0070G (EP), Сепаратор центробежный (циклонный);Коммерческие;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЫСОЧАЙШИЙ""";3802008553;380201001;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЫСОЧАЙШИЙ""";3802008553;380201001;;Иркутская область;0.00;22.07.2026;30.07.2026;"Сепаратор центробежный (циклонный) Enger WS-0070G (EP) ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l4533464-4-12-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616225990;Поставка насоса центробежного для нужд «Новокуйбышевская ТЭЦ-1» филиала «Самарский» (4533531);223-ФЗ;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";6315376946;502401001;;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";6315376946;502401001;;Московская область;3208600.00;22.07.2026;30.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l32616225990-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
4533531;Поставка насоса центробежного для нужд «Новокуйбышевская ТЭЦ-1» филиала «Самарский»;223-ФЗ;Самарский филиал Публичного акционерного общества «Т Плюс»;6315376946;631543004;;Самарский филиал Публичного акционерного общества «Т Плюс»;6315376946;631543004;;Самарская область;3208600.00;22.07.2026;30.07.2026;"Поставка насоса центробежного для нужд «Новокуйбышевская ТЭЦ-1» филиала «Самарский» ;; Соответствует запросу “центробежный”";https://www.rts-tender.ru/poisk/id/l4533531-2-12-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
32616225930;Поставка насосов;223-ФЗ;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ""";4345000249;434501001;;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ""";4345000249;434501001;;Кировская область;398439.01;22.07.2026;30.07.2026;"Насосы центробежные подачи жидкостей прочие ;; Насосы центробежные подачи жидкостей прочие";https://www.rts-tender.ru/poisk/id/l32616225930-1/;да;центробежный;rts-tender.ru/poisk + Search/LoadPage;2026-07-30
