inn;predpriyatie;vozdushnyh_zaklyucheniy;istekaet;prosrocheno;deystvuet;posledneye_zaklyuchenie;marki_mashin;kartochka
4202004414;"ОАО ЦОФ ""Беловская""";2;0;2;0;2016-05-20;ВЦ 14-46-2;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-07366-2015
4202050996;"ООО ""ММК-УГОЛЬ""";2;0;2;0;2018-06-01;;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-09485-2017
4221000133;"АО ""ЗАВОД УНИВЕРСАЛ""";2;0;2;0;2018-05-28;;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-07673-2018
7718117872;"ПАО ""РУССКИЙ ПРОДУКТ""";2;0;2;0;2018-05-21;GMA 11;https://monitor-pb.ru/conclusion/09-%D0%A2%D0%A3-05014-2018
6162015019;"АО ""АСТОН""";2;0;2;0;2020-09-14;ZL 5000;https://monitor-pb.ru/conclusion/29-%D0%A2%D0%A3-12207-2020
5452114972;"АО ""Ерофеев""";2;0;1;1;2023-09-19;ТВ-80-1;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-77592-2023
7718220196;"ООО ""ТОРГ-ИНВЕСТ""";2;0;2;0;2021-01-21;ТВ-80-1;https://monitor-pb.ru/conclusion/10-%D0%A2%D0%A3-00624-2021
2302016730;"ОАО ""Масложиркомбинат""Армавирский""""";2;0;2;0;2015-12-17;ТВ-200-1, ТВ-200-1,12;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-14152-2015
3448017919;"ООО ""ЛУКОЙЛ-ВОЛГОГРАДНЕФТЕПЕРЕРАБОТКА""";2;1;1;0;2020-10-06;К250-6/1;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-15760-2020
4217196807;"ООО ""МЕЛЬКОМБИНАТ В СОКОЛЬНИКАХ""";2;0;0;2;2023-08-23;НМ-250, ТУ-798-2023, ТУ-799-2023;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-19251-2023
4221000535;"АО ""РУСАЛ НОВОКУЗНЕЦК""";2;1;0;1;2026-07-01;К250-61-5;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-896427-2026
2457061920;"ООО ""НОРИЛЬСКИЙ ОБЕСПЕЧИВАЮЩИЙ КОМПЛЕКС""";2;0;2;0;2021-07-08;К250-61-2, К250-61-5;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-09265-2021
4250005979;"АО ""УК ""СЕВЕРНЫЙ КУЗБАСС""";1;0;0;1;2025-08-12;ESN2008, К100-65-200;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-58896-2025
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";1;0;0;1;2021-03-19;;https://monitor-pb.ru/conclusion/27-%D0%A2%D0%A3-03801-2021
8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";1;1;0;0;2017-01-24;;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-02596-2017
2605013094;"ООО ""ЗАМАН""";1;0;0;1;2026-04-29;ESRB-100;https://monitor-pb.ru/conclusion/26-%D0%A2%D0%A3-804679-2026
6378003182;"ЗАО ""ХИМСИНТЕЗ""";1;0;0;1;2021-09-20;;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-17086-2021
6730000614;"ООО ""ТАУ-С""";1;0;0;1;2024-03-06;;https://monitor-pb.ru/conclusion/04-%D0%A2%D0%A3-07458-2024
7729134774;"ООО ""ПЕНТА-91""";1;0;0;1;2023-01-10;;https://monitor-pb.ru/conclusion/02-%D0%A2%D0%A3-00074-2023
5603045522;"ООО ""РН-БГПП""";1;0;0;1;2025-04-16;;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-06230-2025
5911066005;"ООО ""ЕВРОХИМ - УКК""";1;0;0;1;2021-02-09;;https://monitor-pb.ru/conclusion/48-%D0%97%D0%A1-06900-2021
6803629911;"ООО ""ТАМБОВСКИЙ БЕКОН""";1;0;0;1;2026-07-20;;https://monitor-pb.ru/conclusion/31-%D0%A2%D0%A3-934806-2026
1903021363;"АО ""УК ""РАЗРЕЗ СТЕПНОЙ""";1;0;0;1;2017-10-26;GM 130;https://monitor-pb.ru/conclusion/65-%D0%A2%D0%A3-12443-2017
3435900563;"АО ""ВОЛЖСКИЙ ОРГСИНТЕЗ""";1;0;0;1;2025-09-26;;https://monitor-pb.ru/conclusion/2-%D0%97%D0%A1-11561-2025
2326008425;"ООО ""КДВ КРАСНОДАР""";1;0;0;1;2025-02-24;;https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-03316-2025
3652001387;"АО МЭЗ ""ЛИСКИНСКИЙ""";1;0;0;1;2025-10-15;;https://monitor-pb.ru/conclusion/31-%D0%A2%D0%A3-362919-2025
3111505362;"АО ""ЛИВЕНСКИЙ КОМБИКОРМОВЫЙ ЗАВОД""";1;0;0;1;2025-04-22;;https://monitor-pb.ru/conclusion/06-%D0%A2%D0%A3-03728-2025
7705033216;"ОАО ""РОТ ФРОНТ""";1;0;0;1;2025-12-15;;https://monitor-pb.ru/conclusion/37-%D0%A2%D0%A3-541412-2025
7734353570;"ООО ""МФ""";1;0;0;1;2024-09-13;F80-14-200, FC 501, RSS 100/300, TKV-010;https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-13458-2024
5260123469;"ООО ""Завод синтанолов""";1;0;0;1;2025-06-04;GRBS 165;https://monitor-pb.ru/conclusion/40-%D0%A2%D0%A3-03130-2025
5214009264;"ООО ""МК ""Володарский""";1;0;0;1;2026-03-20;;https://monitor-pb.ru/conclusion/52-%D0%A2%D0%A3-750256-2026
6900008846;"ООО ""Мелькомбинат""";1;0;0;1;2025-01-27;;https://monitor-pb.ru/conclusion/05-%D0%A2%D0%A3-00506-2025
7705014478;"ООО ""ПРОВИМИ""";1;0;0;1;2023-02-10;;https://monitor-pb.ru/conclusion/02-%D0%A2%D0%A3-01263-2023
7438015885;"АО ""МАКФА""";1;0;0;1;2022-11-09;;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-20771-2022
4707020432;"ООО ""ПОРТЭНЕРГО""";1;0;0;1;2024-12-02;ЭПБ-1332/2024-10;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-27932-2024
4630001280;"АО ""ККХП""";1;0;0;1;2025-12-15;RSS 125/1650, АД-3000, БКШ-400, КСТЛ-200, ММД50-8;https://monitor-pb.ru/conclusion/46-%D0%A2%D0%A3-544696-2025
5403100293;"МОАО ""Авангард""";1;0;0;1;2026-05-06;GAS 75, GBL 080, GIF 75, LT 065, MEF 10, БЭР-01;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-816336-2026
4632001366;"ОАО ""Курскхлеб""";1;1;0;0;2024-04-03;;https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-03882-2024
6167055777;"ООО ""МЭЗ ЮГ РУСИ""";1;1;0;0;2023-05-31;ТВ-100-1;https://monitor-pb.ru/conclusion/06-%D0%A2%D0%A3-07025-2023
7810356819;"ООО ""ХЛЕБНЫЙ ДОМ""";1;0;1;0;2019-10-01;;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-15467-2019
6628008965;"ЗАО ""ПО ""Режникель""";1;0;1;0;2015-09-29;;https://monitor-pb.ru/conclusion/54-%D0%97%D0%A1-11541-2015
6320004615;"АО ""КРАЙ КАРАВАЙ""";1;0;1;0;2022-08-24;;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-49774-2022
7733338555;"ООО ""Сергиево-Посадский мукомольный комбинат""";1;0;1;0;2023-04-19;;https://monitor-pb.ru/conclusion/50-%D0%A2%D0%A3-11773-2023
5044018861;"ЗАО ""ФЕРРЕРО РУССИЯ""";1;0;1;0;2016-07-19;;https://monitor-pb.ru/conclusion/15-%D0%A2%D0%A3-11964-2016
6829007922;"ООО ""ЗОЛОТАЯ НИВА"" (ИНН 6829007922)";1;0;1;0;2017-07-06;AGH 20;https://monitor-pb.ru/conclusion/14-%D0%A2%D0%A3-06107-2017
5003028155;"ООО ""ГАЗПРОМ ВНИИГАЗ""";1;0;1;0;2015-10-20;;https://monitor-pb.ru/conclusion/02-%D0%A2%D0%A3-17427-2015
3414504304;"ООО ""ЛУКОЙЛ-КГПЗ""";1;0;1;0;2018-05-04;;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-07202-2018
7802831436;"ООО ""ХОППИ ЮНИОН""";1;0;1;0;2020-12-08;;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-21413-2020
0269034133;"ООО ""Туймазинское ГПП""";1;0;1;0;2021-12-07;В-501/2, ТУ-0303-2021;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-64347-2021
6827016382;"ООО ""СКХ"" (ИНН 6827016382)";1;0;1;0;2021-05-26;;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-06593-2021
4218014305;"АО ""ОФ ""АНТОНОВСКАЯ""";1;0;1;0;2015-11-27;HSG-1100;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-23017-2015
9309010650;"ООО ЦОФ ""ДОНЕЦКАЯ""";1;0;0;1;2025-12-23;ТВ-80-1;https://monitor-pb.ru/conclusion/80-%D0%A2%D0%A3-583970-2025
7721427433;"ООО ""МАРИЗЕРНОПРОДУКТ""";1;1;0;0;2021-10-12;;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-14059-2021
5921002508;"ЗАО""ЧУСОВСКАЯ МЕЛЬНИЦА""";1;1;0;0;2022-07-21;ТВ-200;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-12581-2022
3302000186;"ОАО ВКХ ""Мукомол""";1;0;1;0;2015-11-02;ТВ-200-01;https://monitor-pb.ru/conclusion/15-%D0%A2%D0%A3-18733-2015
4612001551;"ОАО ""Лукашевское ХПП""";1;0;1;0;2019-12-13;ДН-500, ТВ-200;https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-19988-2019
1316105019;"ОАО ""АПО Элеком""";1;0;1;0;2019-02-07;ТВ-200;https://monitor-pb.ru/conclusion/45-%D0%A2%D0%A3-00628-2019
4246004250;"ООО ОФ ""Анжерская""";1;0;1;0;2015-06-10;ТВ-80/1;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-07342-2015
3102003214;"СПК  ""Колхоз имени  Горина";1;0;1;0;2021-07-22;ТВ-80-1;https://monitor-pb.ru/conclusion/07-%D0%A2%D0%A3-06862-2021
6632004667;"ПАО ""Надеждинский металлургический завод""";1;0;0;1;2025-08-26;ИДЦ-286-04-2025;https://monitor-pb.ru/conclusion/74-%D0%97%D0%A1-97608-2025
6627001318;"АО ""СУМЗ"", АО ""СРЕДНЕУРАЛЬСКИЙ МЕДЕПЛАВИЛЬНЫЙ ЗАВОД""";1;0;1;0;2015-07-21;К-1500;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-06523-2015
7424024375;"ПАО ""ЮГК""";1;1;0;0;2024-10-22;К250-61-5;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-21415-2024
7839395419;"АО ""АДМИРАЛТЕЙСКИЕ ВЕРФИ""";1;0;1;0;2016-12-29;К-250-61-5;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-19546-2016
3528191736;"АО ""ФосАгро-Череповец""";1;0;1;0;2017-05-04;ЦК-115/9, ЦК-135/8;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-05399-2017
2462206345;"АО ""Красмаш""";1;0;1;0;2018-11-29;К250-61-5;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-14997-2018
3814007314;"АО ""САЯНСКХИМПЛАСТ""";1;0;1;0;2015-12-18;К-111;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-14595-2015
3623007578;"ООО ""ТД КМЗ""";1;0;1;0;2021-08-23;ЗАФ-49, ЗАФ-53;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-13769-2021
1402046085;"АО ""Полюс Алдан""";1;0;1;0;2014-07-21;Э 200-31-1;https://monitor-pb.ru/conclusion/73-%D0%A2%D0%A3-00907-2014
3623004866;"АО ""КМЗ"" (ИНН 3623004866)";1;0;1;0;2017-06-06;ЗАФ-49, ЗАФ-53;https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-05169-2017
9308017740;"ООО ""ДМЗ"" (ИНН 9308017740)";1;0;0;1;2023-12-07;АКВ-12, АКВ-12-III, ТУ-01-0182;https://monitor-pb.ru/conclusion/93-%D0%A2%D0%A3-00106-2023
2211005435;"ОАО ""Алтайский Химпром""";1;0;1;0;2015-11-30;ТВ-80-1, ТВ-80-1,6-М1;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-23282-2015
6617002344;"ОАО ""БРУ""";1;0;1;0;2016-12-15;К-250-61-1;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-17055-2016
