zakazchik;inn;kpp;predmet;planiruemaya_data_razmeshcheniya;srok_ispolneniya_dogovora;summa;sposob_zakupki;okpd2;data_razmeshcheniya;plan_reg_nomer;nomer_pozicii;klyuch;centrobezhnyy_predmet;priznak_centrobezhnosti;data_v_budushchem;nash_spisok_202;istochnik;ssylka;predmet_bez_proekta;brak
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""";0268008010;026801001;"Поставка запасных частей к ротору турбины турбокомпрессора ""Моника""";06.2024;02.2027;10 195 440,00 ₽;Конкурентный отбор;;20.12.2024;2240786782;70;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0654f6bf-85f7-4ce8-a5f4-a8dbc0bc81e2_299ff601-581b-7844-e063-07548d0a4cd3&infoGuid=0654f6bf-85f7-4ce8-a5f4-a8dbc0bc81e2;"Поставка запасных частей к ротору турбины турбокомпрессора ""Моника""";
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""";0268008010;026801001;"Поставка аппаратов направляющих к турбокомпрессорам ""Людмила"", ""Моника""";06.2024;03.2027;66 275 413,20 Индийская рупия;ЕП;;20.12.2024;2240786782;111;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0654f6bf-85f7-4ce8-a5f4-a8dbc0bc81e2_299ff601-586d-7844-e063-07548d0a4cd3&infoGuid=0654f6bf-85f7-4ce8-a5f4-a8dbc0bc81e2;"Поставка аппаратов направляющих к турбокомпрессорам ""Людмила"", ""Моника""";
"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ МАШИННО-ТЕХНОЛОГИЧЕСКАЯ СТАНЦИЯ ""ЦЕНТРАЛЬНАЯ"" РЕСПУБЛИКИ БАШКОРТОСТАН";0245022178;024501001;Поставка компрессоров кондиционера, стартеров, генераторов и турбокомпрессоров на сельскохозяйственную технику;06.2024;12.2024;2 000 000,00 ₽;аукцион;;30.09.2024;2230739317;335;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=2d4cc137-3765-45c1-b6b8-43274c2ccdd5_4dc6160e-4841-4983-a229-4be9d3a05eba&infoGuid=2d4cc137-3765-45c1-b6b8-43274c2ccdd5;Поставка компрессоров кондиционера, стартеров, генераторов и турбокомпрессоров на сельскохозяйственную технику;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УРАЛАЗ-ЭНЕРГО""";7415036215;741501001;поставка масляных уплотнителей для турбокомпрессора;06.2024;09.2024;116 166,41 ₽;конкурс+СМСП;;17.01.2024;2230740497;168;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=050ebd9c-3800-4c7d-88a9-77084fd04b87_4d27afd2-2af1-4500-9f05-a3683fad8d24&infoGuid=050ebd9c-3800-4c7d-88a9-77084fd04b87;поставка масляных уплотнителей для турбокомпрессора;
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""СЛУЖБА ОРГАНИЗАЦИИ ДВИЖЕНИЯ""";7453222406;744801001;Поставка турбокомпрессоров;06.2024;12.2024;534 000,00 ₽;ЕП;;09.01.2024;2230734560;126;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=ae0c7fb1-fc5e-4bc0-823e-f03546b338e5_6de70b96-ce7c-4fa7-801a-3949b0014511&infoGuid=ae0c7fb1-fc5e-4bc0-823e-f03546b338e5;Поставка турбокомпрессоров;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;"Поставка турбокомпрессора для нужд Северной станции водоподготовки АО ""Мосводоканал"" в 2024 году";06.2024;12.2024;4 704 687,49 ₽;аукцион+СМСП;;30.12.2023;2230748689;9205;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=3683aa44-7ca3-4df0-a174-fad3c6fb43ed_0d9b16aa-e950-4433-a6a3-caaf785db949&infoGuid=3683aa44-7ca3-4df0-a174-fad3c6fb43ed;"Поставка турбокомпрессора для нужд Северной станции водоподготовки АО ""Мосводоканал"" в 2024 году";
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАЗАНСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ИМ. А.Н. ТУПОЛЕВА-КАИ""";1654003114;165501001;211_Выполнение работ по монтажу и пуско-наладочным работам основных узлов и агрегатов экспериментального стенда по испытаниям турбокомпрессора и аппаратного комплекса системы управления, сбора и обработки результатов испытаний в рамках Соглашения №075-15-2024-056 от 31.01.2024 о предоставлении из федерального бюджета гранта в форме субсидий на реализацию программы стратегического академического лидерства «Приоритет-2030».;06.2024;12.2024;1 320 050,00 ₽;аукцион;;29.12.2023;2230741161;496;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=8e935219-036c-413a-8818-249810d6b49a_9603c4b4-bffa-48f6-ae37-469ecd65d141&infoGuid=8e935219-036c-413a-8818-249810d6b49a;211_Выполнение работ по монтажу и пуско-наладочным работам основных узлов и агрегатов экспериментального стенда по испытаниям турбокомпрессора и аппаратного комплекса системы управления, сбора и обработки результатов испытаний;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОСИБГОРТРАНС""";5473018885;547301001;Выполнение работ по ремонту турбокомпрессоров;06.2024;03.2025;1 000 000,00 ₽;ЕП;;29.12.2023;2230740286;187;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=bc95a93b-ccc1-4b00-bd45-6e1bb02fb664_cdf8a6bb-10ab-466a-a71e-e64295b3c200&infoGuid=bc95a93b-ccc1-4b00-bd45-6e1bb02fb664;Выполнение работ по ремонту турбокомпрессоров;
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЯКУТСКАЯ ПАССАЖИРСКАЯ АВТОТРАНСПОРТНАЯ КОМПАНИЯ"" ГОРОДСКОГО ОКРУГА ""ГОРОД ЯКУТСК""";1435186338;143501001;Поставка турбокомпрессора;06.2024;07.2024;360 000,00 ₽;ЕП;;29.12.2023;2230739134;85;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=9eec91a3-42ce-4d3c-9f5e-c48ccb20135d_1dcd34e6-6c84-4920-8f0f-04563ddb4378&infoGuid=9eec91a3-42ce-4d3c-9f5e-c48ccb20135d;Поставка турбокомпрессора;
"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ КРЫМ ""КРЫМТРОЛЛЕЙБУС""";9102068029;910201001;услуги по ремонту турбокомпрессоров;06.2024;12.2024;500 000,00 ₽;ЕП;;28.12.2023;2230733971;285;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=9b183412-3159-47d3-84c3-6680791efbe4_f3f270dc-d6fc-493a-9e98-2b2b9a9a0d21&infoGuid=9b183412-3159-47d3-84c3-6680791efbe4;услуги по ремонту турбокомпрессоров;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЧУКОТЭНЕРГО""";8700000339;870901001;ОКПД2 33.11.13.000 Ремонт картриджей турбокомпрессоров для нужд Анадырской ТЭЦ;06.2024;12.2024;2 850 281,80 ₽;ЗП;;26.12.2023;2230723121;154;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=b9bb976b-3205-4076-9df7-6055e47d2976_267c74d3-3a7f-475b-8c26-4b3695355883&infoGuid=b9bb976b-3205-4076-9df7-6055e47d2976;ОКПД2 33.11.13.000 Ремонт картриджей турбокомпрессоров для нужд Анадырской ТЭЦ;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЯМАЛКОММУНЭНЕРГО""";8901025421;890101001;"Оказание услуг по восстановительному ремонту 4-х турбокомпрессоров Mitsubishi в составе ГПУ ITE 1900D в с. Яр-Сале для нуж филиала АО ""Ямалкомуннэнерго"" в Ямальском районе.";06.2024;08.2024;1 867 214,00 ₽;ЕП;;25.12.2023;2230721576;876;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=65c28947-67a1-4022-b95f-49d9a118de38_5929a76b-2829-42d6-8d91-2daaabde3472&infoGuid=65c28947-67a1-4022-b95f-49d9a118de38;"Оказание услуг по восстановительному ремонту 4-х турбокомпрессоров Mitsubishi в составе ГПУ ITE 1900D в с. Яр-Сале для нуж филиала АО ""Ямалкомуннэнерго"" в Ямальском районе.";
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮГАНСКТРАНСТЕПЛОСЕРВИС""";8604048754;860401001;Техническое обслуживание и ремонт турбокомпрессоров TRS 48 Е01;06.2024;08.2024;3 509 000,00 ₽;ЗК+СМСП;;25.12.2023;2230721681;40;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=15c11484-722b-4ece-a4ef-66b0148c8488_eff9d4aa-919f-4e43-ac6e-e7e8d1b80e4b&infoGuid=15c11484-722b-4ece-a4ef-66b0148c8488;Техническое обслуживание и ремонт турбокомпрессоров TRS 48 Е01;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮГАНСКВОДОКАНАЛ""";8604048909;860401001;Поставка турбокомпрессора воздушного ТВ 80-1,8 (ОСВ);06.2024;12.2024;4 358 497,39 ₽;Ценовой запрос в электронн;;25.12.2023;2230720215;74;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=f59c08d7-8550-453b-98c2-e7132fb5c9eb_adae8324-d24f-4fca-aeef-963bc4f6c7a3&infoGuid=f59c08d7-8550-453b-98c2-e7132fb5c9eb;Поставка турбокомпрессора воздушного ТВ 80-1,8 (ОСВ);
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮГАНСКТРАНСТЕПЛОСЕРВИС""";8604048754;860401001;Техническое обслуживание и ремонт турбокомпрессоров TRS 48 Е01;06.2024;08.2024;1 754 500,01 ₽;ЗК+СМСП;;25.12.2023;2230721681;112;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=15c11484-722b-4ece-a4ef-66b0148c8488_edd34d8a-10f4-461b-9456-817971a022ef&infoGuid=15c11484-722b-4ece-a4ef-66b0148c8488;Техническое обслуживание и ремонт турбокомпрессоров TRS 48 Е01;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""";0268008010;026801001;"Поставка запасных частей к ротору турбины турбокомпрессора ""Моника""";06.2024;02.2027;10 195 440,00 ₽;Конкурентный отбор;;21.12.2023;2230717408;1425;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=68a7ac83-4ef1-4b8b-bb1c-82b8ff4b502d_fad2b77c-c54f-42a8-b909-b4c3e314b081&infoGuid=68a7ac83-4ef1-4b8b-bb1c-82b8ff4b502d;"Поставка запасных частей к ротору турбины турбокомпрессора ""Моника""";
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""";0268008010;026801001;"Поставка аппаратов направляющих к турбокомпрессорам ""Людмила"", ""Моника""";06.2024;03.2027;66 275 413,20 Индийская рупия;ЕП;;21.12.2023;2230717408;989;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=68a7ac83-4ef1-4b8b-bb1c-82b8ff4b502d_5c4e0476-d2f0-41c6-b699-178517398a19&infoGuid=68a7ac83-4ef1-4b8b-bb1c-82b8ff4b502d;"Поставка аппаратов направляющих к турбокомпрессорам ""Людмила"", ""Моника""";
"МУНИЦИПАЛЬНОЕ ТРОЛЛЕЙБУСНОЕ ПРЕДПРИЯТИЕ ГОРОДСКОГО ОКРУГА ХИМКИ МОСКОВСКОЙ ОБЛАСТИ ""ХИМКИЭЛЕКТРОТРАНС""";5047001707;504701001;Поставка турбокомпрессора для нужд МП «Химкиэлектротранс» в 2024 году;06.2024;12.2024;30 282,67 ₽;ЕП;;20.12.2023;2230716359;170;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=26c3c93a-a773-4722-9707-cd966f4aaa36_86765522-779d-4a5e-9adc-24ac61744647&infoGuid=26c3c93a-a773-4722-9707-cd966f4aaa36;Поставка турбокомпрессора для нужд МП «Химкиэлектротранс» в 2024 году;
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";7702352454;770701001;Поставка турбокомпрессора (турбонагнетателя) в сборе для двигателя Caterpillar 3516C земснаряда «Артемий Волынский» Астраханского филиала ФГУП «Росморпорт»;06.2024;12.2024;5 500 800,00 ₽;ЕП;;15.12.2023;2230713580;2548;турбокомпрессор;да;турбокомпрессор,нагнетател;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=b397d8c5-5f3f-414f-9840-1ff58da8c6c9_25c78d90-85cf-4773-acf1-3bfaf3c4a792&infoGuid=b397d8c5-5f3f-414f-9840-1ff58da8c6c9;Поставка турбокомпрессора (турбонагнетателя) в сборе для двигателя Caterpillar 3516C земснаряда «Артемий Волынский» Астраханского филиала ФГУП «Росморпорт»;автомобильный турбонаддув
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ КОМПАНИЯ ""ЖЕЛЕЗНЫЕ ДОРОГИ ЯКУТИИ""";1435073060;140201001;Турбокомпрессор с ремкомплектом;06.2024;12.2024;16 924 000,00 ₽;ЗП;;14.12.2023;2230712859;186;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=9fed3e69-6e14-49c1-a2f0-f7d597b27ba4_0737656f-7eaf-4716-8c60-dfc28f7e80f4&infoGuid=9fed3e69-6e14-49c1-a2f0-f7d597b27ba4;Турбокомпрессор с ремкомплектом;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОТРАНСПОРТНОЕ ПРЕДПРИЯТИЕ""";4345229303;434501001;Поставка турбокомпрессора;06.2024;10.2024;145 000,00 ₽;ЕП;;08.12.2023;2230711403;50;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=c74c4f8e-e7f1-46d7-83ac-10520e8a39c4_71c9c3a7-81cc-493a-8030-f7902150db40&infoGuid=c74c4f8e-e7f1-46d7-83ac-10520e8a39c4;Поставка турбокомпрессора;
"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ТУЛА ""ТУЛГОРЭЛЕКТРОТРАНС""";7102001581;710301001;Услуги по ремонту форсунок, турбокомпрессора;06.2024;08.2024;353 500,00 ₽;ЕП;;30.12.2021;2210570756;625;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=c56d9192-a939-4144-9e22-b16ab4121600_80771ba0-9e94-4f16-b068-0061c5151253&infoGuid=c56d9192-a939-4144-9e22-b16ab4121600;Услуги по ремонту форсунок, турбокомпрессора;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИЗДАТЕЛЬСКО-ПОЛИГРАФИЧЕСКИЙ ЦЕНТР ""ФИНПОЛ""";7710659496;771001001;Закупка бывшего в употреблении планшетного режущего плоттера Graphtec FCX2000-60VC 610 x 920 мм, вакуумный стол с комплентацией: Вихревач воздуходувка BL-8--110;07.2024;07.2024;750 000,00 ₽;Закупка у единственного поставщика (подрядчика, исполнителя) (до 01.07.18);;16.10.2024;2230711483;8;воздуходувка;да;воздуходувк;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=419a1d69-aec7-4f2e-b68a-712f021124c5_0a4b6597-deb0-4ee1-9ada-651e4cf35889&infoGuid=419a1d69-aec7-4f2e-b68a-712f021124c5;Закупка бывшего в употреблении планшетного режущего плоттера Graphtec FCX2000-60VC 610 x 920 мм, вакуумный стол с комплентацией: Вихревач воздуходувка BL-8--110;
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСТОЧНО-УРАЛЬСКИЙ ТЕРМИНАЛ""";2508042886;250801001;Оказание услуг по ремонтно-восстановительным работам Здание-воздуходувная станция Комплекса причала №10 об.пл.456,60кв.м инв№ 000000136;07.2024;12.2024;8 500 000,00 ₽;ЗП+СМСП;;19.12.2023;2230715060;163;воздуходувная;да;воздуходувн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=ab1fe01b-c9b1-4364-b2b5-acc55ea4029e_2d823bc6-4e3c-460b-bb5c-5d0b9546ce76&infoGuid=ab1fe01b-c9b1-4364-b2b5-acc55ea4029e;Оказание услуг по ремонтно-восстановительным работам Здание-воздуходувная станция Комплекса причала №10 об.пл.456,60кв.м инв№ 000000136;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОДОКАНАЛ""";6377011416;637701001;Насос центробежный 1Д 720-90 дв. 250 кВт 1500 об/мин;07.2024;12.2024;1 310 660,00 ₽;ЕП;;30.09.2024;2230712924;69;центробежный;да;центробежн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=3128c224-9c55-4ddb-bc39-45f0f79c4b0b_68703d85-8478-4e44-a25c-fc67c8db9ee9&infoGuid=3128c224-9c55-4ddb-bc39-45f0f79c4b0b;Насос центробежный 1Д 720-90 дв. 250 кВт 1500 об/мин;центробежный насос, не компрессор
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛЬНОЕ КОНСТРУКТОРСКО-ТЕХНОЛОГИЧЕСКОЕ БЮРО ПО ЭЛЕКТРОХИМИИ С ОПЫТНЫМ ЗАВОДОМ""";7717633296;771701001;Вентилятор центробежный;07.2024;07.2024;160 000,00 ₽;ЗК;;27.02.2024;2230712735;327;центробежный;да;центробежн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=d73f43dd-9d44-4bdb-b786-30f8288a2471_138669c2-eec2-42d0-971a-ebbbbb64a5e4&infoGuid=d73f43dd-9d44-4bdb-b786-30f8288a2471;Вентилятор центробежный;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛЬНОЕ КОНСТРУКТОРСКО-ТЕХНОЛОГИЧЕСКОЕ БЮРО ПО ЭЛЕКТРОХИМИИ С ОПЫТНЫМ ЗАВОДОМ""";7717633296;771701001;Вентилятор центробежный;07.2024;08.2024;160 000,00 ₽;ЗК;;27.02.2024;2230712735;320;центробежный;да;центробежн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=d73f43dd-9d44-4bdb-b786-30f8288a2471_a0e7facd-11ef-45e6-8e67-bd346af14ef6&infoGuid=d73f43dd-9d44-4bdb-b786-30f8288a2471;Вентилятор центробежный;
"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ ОЗДОРОВИТЕЛЬНЫЙ ЛАГЕРЬ ""РАССВЕТНЫЙ""";6652021036;668501001;Центробежный погружной насос;07.2024;08.2024;268 500,00 ₽;ЕП;;30.12.2023;2230748136;46;центробежный;да;центробежн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=d74d6826-7e27-4cda-8b29-7a6eecb9a9af_13e1755b-f174-4251-bbe7-719ddeabd272&infoGuid=d74d6826-7e27-4cda-8b29-7a6eecb9a9af;Центробежный погружной насос;центробежный насос, не компрессор
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""106 ЭКСПЕРИМЕНТАЛЬНЫЙ ОПТИКО-МЕХАНИЧЕСКИЙ ЗАВОД""";7718824504;771801001;Поставка товара (центробежный насос);07.2024;12.2024;132 205,00 ₽;ЗК;;29.12.2023;2230746755;146;центробежный;да;центробежн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=2626448b-1d50-46a4-b706-f236188113de_04a8fb3c-00b8-46c6-885e-bc938503a20d&infoGuid=2626448b-1d50-46a4-b706-f236188113de;Поставка товара (центробежный насос);центробежный насос, не компрессор
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ САНАТОРИЙ ""АССЫ""";0256996711;025601001;Центробежный насос pedrollo f 65/200А;07.2024;12.2024;1 050 000,00 ₽;ЗК;;27.12.2023;2230729266;52;центробежный;да;центробежн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=94c7b314-f6a1-4a27-8b2d-7839acc97bb7_a21c74aa-5df5-47b8-85a6-e829f29ba10c&infoGuid=94c7b314-f6a1-4a27-8b2d-7839acc97bb7;Центробежный насос pedrollo f 65/200А;центробежный насос, не компрессор
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛ"" МУНИЦИПАЛЬНОГО РАЙОНА БЛАГОВЕЩЕНСКИЙ РАЙОН РЕСПУБЛИКИ БАШКОРТОСТАН";0258011092;025801001;Насос горизотальный центробежный для БОС;07.2024;12.2024;400 000,00 ₽;ЕП;;27.12.2023;2230728980;40;центробежный;да;центробежн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=232d4315-000b-4fbf-ba91-e21e76b46d93_427e5b92-cf18-4d3a-8c2f-d0d807d0aa8b&infoGuid=232d4315-000b-4fbf-ba91-e21e76b46d93;Насос горизотальный центробежный для БОС;центробежный насос, не компрессор
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВИАКОМПАНИЯ ""ПОЛЯРНЫЕ АВИАЛИНИИ""";1435229817;143501001;Насос топливный центробежный электроприводной ЭЦН-14БМ (2 шт.);07.2024;12.2024;1 792 666,67 ₽;ЗК+СМСП;;27.12.2023;2230726676;677;центробежный;да;центробежн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=78ba9b37-51fd-48e3-a54a-374bd4ff68a0_317be615-721a-452e-81e0-993c8cf7f13d&infoGuid=78ba9b37-51fd-48e3-a54a-374bd4ff68a0;Насос топливный центробежный электроприводной ЭЦН-14БМ (2 шт.);центробежный насос, не компрессор
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛЕНИНГРАДСКАЯ ОБЛАСТНАЯ ТЕПЛО - ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";4716028445;470701001;Насос центробежный;07.2024;07.2024;374 000,00 ₽;ЕП;;25.12.2023;2230719063;238;центробежный;да;центробежн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=130d9b93-2756-4919-88c2-efb48f06d72d_5cbc50ff-e712-4fb0-9538-c3fc5125ee31&infoGuid=130d9b93-2756-4919-88c2-efb48f06d72d;Насос центробежный;центробежный насос, не компрессор
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";7704784450;770401001;Агрегат насосный центробежный для Пермской ГРЭС;07.2024;10.2024;525 555,56 ₽;конкурс+СМСП;;18.12.2023;2230713387;3751;центробежный;да;центробежн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=6a84ec38-49b6-421c-afe7-2f6c73d697ae_5f01a9a3-9a50-40a0-b286-bf6a4fc1c117&infoGuid=6a84ec38-49b6-421c-afe7-2f6c73d697ae;Агрегат насосный центробежный для Пермской ГРЭС;центробежный насос, не компрессор
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТУЛАГОРВОДОКАНАЛ""";7105504223;710501001;Выполнение работ по капитальному ремонту нагнетательного блока воздуходувного агрегата;07.2024;12.2024;107 150,00 ₽;ЕП;;11.01.2024;2230735936;469;нагнетатель;да;нагнетател,воздуходувн;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=cecef4f2-a433-4da2-b12d-2adc16c58400_99349163-0670-4a6f-930c-221606180ce1&infoGuid=cecef4f2-a433-4da2-b12d-2adc16c58400;Выполнение работ по капитальному ремонту нагнетательного блока воздуходувного агрегата;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОСИБГОРТРАНС""";5473018885;547301001;Выполнение работ по ремонту турбокомпрессоров;07.2024;03.2025;1 000 000,00 ₽;ЕП;;28.12.2024;2240809009;87;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=bc175576-2ea1-4314-be15-c60fa1472820_2a4c698e-f0e5-891f-e063-06548d0a509b&infoGuid=bc175576-2ea1-4314-be15-c60fa1472820;Выполнение работ по ремонту турбокомпрессоров;
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""";7701984274;770101001;"Поставка турбокомпрессора для нужд Северной станции водоподготовки АО ""Мосводоканал"" в 2025 году";07.2024;06.2025;6 448 952,48 ₽;аукцион+СМСП;;27.12.2024;2240807349;3402;турбокомпрессор;да;турбокомпрессор;нет;нет;реестр позиций ЕИС;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0aacc0fe-13a9-41a2-89ab-e24e8824d10c_d6c2fa43-49db-489a-94fc-4910e55f862f&infoGuid=0aacc0fe-13a9-41a2-89ab-e24e8824d10c;"Поставка турбокомпрессора для нужд Северной станции водоподготовки АО ""Мосводоканал"" в 2025 году";
