nomer;lot;predmet;organizator;organizator_inn;organizator_kpp;zakazchik;zakazchik_inn;sekciya;region;cena;data_okonchaniya;status;gde_najdeno;tegi_ploshchadki;ssylka;centrobezhnyy_predmet;klyuch;istochnik;data_sbora
SP9823916;8;Воздуходувка ранцевая Oleo-Mac BV 900;Государственное бюджетное учреждение города Москвы «Жилищник Бутырского района»;7715488540;771501001;;;Портал Поставщиков;77. г. Москва;28 400,00;20.08.2024 15:30;Процедура завершена;;воздуходувка ранцевая | дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | воздуходувка | ЖКХ;https://www.roseltorg.ru/procedure/SP9823916/8;сомнительно;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9823916;11;Воздуходувка Husqvarna 125 BVX Blower;Государственное бюджетное учреждение города Москвы «Жилищник Бутырского района»;7715488540;771501001;;;Портал Поставщиков;77. г. Москва;40 182,00;20.08.2024 15:30;Процедура завершена;;воздуходувка husqvarna | дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | воздуходувка | ЖКХ;https://www.roseltorg.ru/procedure/SP9823916/11;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9822204;8;Воздуходувка ранцевая Oleo-Mac BV 900;Государственное бюджетное учреждение города Москвы «Жилищник Бутырского района»;7715488540;771501001;;;Портал Поставщиков;77. г. Москва;28 400,00;16.08.2024 15:30;Процедура завершена;;воздуходувка ранцевая | дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | воздуходувка | ЖКХ;https://www.roseltorg.ru/procedure/SP9822204/8;сомнительно;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9822204;11;Воздуходувка Husqvarna 125 BVX Blower;Государственное бюджетное учреждение города Москвы «Жилищник Бутырского района»;7715488540;771501001;;;Портал Поставщиков;77. г. Москва;40 182,00;16.08.2024 15:30;Процедура завершена;;воздуходувка husqvarna | дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | воздуходувка | ЖКХ;https://www.roseltorg.ru/procedure/SP9822204/11;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9806127;2;Воздуходувка МОБИЛ К XB76А ПРЕМИУМ 3.1кВт;Государственное бюджетное учреждение города Москвы Дом социального обслуживания «Нагатино-Садовники» Департамента труда и социальной защиты населения города Москвы;7725052136;772501001;;;Портал Поставщиков;77. г. Москва;104 000,00;17.07.2024 17:01;Процедура завершена;;малая механизация | техника механизация | техника | малый | механизация | премиум | воздуходувка | мобила;https://www.roseltorg.ru/procedure/SP9806127/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9789569;5;Воздуходувка бензиновая Sturm! GB1963 3,7л.с;Государственное бюджетное учреждение города Москвы «Автомобильные дороги Северо-Восточного административного округа»;7717709594;771501001;;;Портал Поставщиков;77. г. Москва;47 980,00;19.06.2024 09:35;Процедура завершена;;воздуходувка бензиновая | дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | воздуходувка | ЖКХ;https://www.roseltorg.ru/procedure/SP9789569/5;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9770299;1;Воздуходувка Gigant LU-03 0,7 кВт;Государственное бюджетное учреждение культуры города Москвы «Московский театр иллюзии»;7720056169;772001001;;;Портал Поставщиков;77. г. Москва;10 300,00;14.05.2024 16:01;Процедура завершена;;малая механизация | техника механизация | техника | малый | механизация | воздуходувка | КВТ | малая механизация;https://www.roseltorg.ru/procedure/SP9770299/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9741786;1;Воздуходувка МОБИЛ К XB76А ПРЕМИУМ 3.1кВт;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Технологический колледж № 34»;7724295383;772401001;;;Портал Поставщиков;77. г. Москва;113 600,00;26.03.2024 17:16;Процедура завершена;;дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | премиум | воздуходувка | мобила;https://www.roseltorg.ru/procedure/SP9741786/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9734522;2;Воздуходувка МОБИЛ К XB76А ПРЕМИУМ 3.1кВт;Государственное бюджетное учреждение города Москвы «Автомобильные дороги Центрального административного округа»;7709886600;770601001;;;Портал Поставщиков;77. г. Москва;227 200,00;14.03.2024 17:26;Процедура завершена;;дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | премиум | воздуходувка | мобила;https://www.roseltorg.ru/procedure/SP9734522/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9725348;1;Воздуходувка МОБИЛ К XB76А ПРЕМИУМ 3.1кВт;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЖИЛИЩНИК МЕЩАНСКОГО РАЙОНА»;7702847506;770201001;;;Портал Поставщиков;77. г. Москва;113 600,00;28.02.2024 15:59;Процедура завершена;;малая механизация | техника механизация | техника | малый | механизация | премиум | воздуходувка | мобила;https://www.roseltorg.ru/procedure/SP9725348/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9668187;2;Воздуходувка МОБИЛ К XB27В ПРЕМИУМ 0,81кВт;Государственное бюджетное учреждение дополнительного образования города Москвы спортивная школа олимпийского резерва «Московская академия велосипедного спорта» Департамента спорта города Москвы;7727235840;772701001;;;Портал Поставщиков;77. г. Москва;43 980,00;28.11.2023 15:05;Процедура завершена;;малая механизация | техника механизация | мобил к премиум | техника | малый | механизация | премиум | воздуходувка;https://www.roseltorg.ru/procedure/SP9668187/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9661206;3;Воздуходувка Makita EB7660TH 3 Вт;Государственное бюджетное учреждение города Москвы Центр социальной поддержки и реабилитации детей-инвалидов «Семь-Я» Департамента труда и социальной защиты населения города Москвы;7724189184;772401001;;;Портал Поставщиков;77. г. Москва;88 000,00;20.11.2023 15:18;Процедура завершена;;воздуходувка Makita | воздуходувки | воздуходувка 3 Вт | промышленное оборудование | воздуходувка Makita | воздуходувки | воздуходувка 3 Вт | промышленное оборудование;https://www.roseltorg.ru/procedure/SP9661206/3;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9661165;3;Воздуходувка Makita EB7660TH 3 Вт;Государственное бюджетное учреждение города Москвы Центр социальной поддержки и реабилитации детей-инвалидов «Семь-Я» Департамента труда и социальной защиты населения города Москвы;7724189184;772401001;;;Портал Поставщиков;77. г. Москва;88 000,00;20.11.2023 14:28;Процедура завершена;;воздуходувка Makita | воздуходувки | воздуходувка 3 Вт | промышленное оборудование | воздуходувка Makita | воздуходувки | воздуходувка 3 Вт | промышленное оборудование;https://www.roseltorg.ru/procedure/SP9661165/3;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9633218;2;Воздуходувка Makita EB7660TH 3 Вт;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЖИЛИЩНИК РАЙОНА РАМЕНКИ»;7729760683;772901001;;;Портал Поставщиков;77. г. Москва;264 000,00;05.10.2023 15:02;Процедура завершена;;малая механизация | техника механизация | воздуходувка makita | техника | малый | механизация | воздуходувка | малая механизация;https://www.roseltorg.ru/procedure/SP9633218/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9631780;2;Воздуходувка МОБИЛ К XB76А ПРЕМИУМ 3.1кВт;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЖИЛИЩНИК РАЙОНА РАМЕНКИ»;7729760683;772901001;;;Портал Поставщиков;77. г. Москва;264 000,00;03.10.2023 15:11;Процедура завершена;;малая механизация | техника механизация | техника | малый | механизация | премиум | воздуходувка | мобила;https://www.roseltorg.ru/procedure/SP9631780/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9624897;2;Воздуходувка МОБИЛ К XB27A ПРЕМИУМ 0,81кВт;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 949»;7724189378;772401001;;;Портал Поставщиков;77. г. Москва;54 570,00;20.09.2023 16:07;Процедура завершена;;воздушная вентиляция | воздуходувка с вентилятором | промышленное оборудование | воздуходувка МОБИЛ | воздуходувка высокого давления | вентилятор для воздуха | воздуходувка | воздуходувка с премиумом;https://www.roseltorg.ru/procedure/SP9624897/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9489274;2;Свеча зажигания для воздуходувки NGK CMR7H;Государственное бюджетное учреждение города Москвы «Жилищник района Чертаново Северное»;7726759143;772601001;;;Портал Поставщиков;77. г. Москва;25 900,00;13.02.2023 16:54;Процедура завершена;;свечи зажигания | дорожного инвентаря | воздуходувка зажигания | оборудование | реагент | инвентарь | зажигание | спецтехник;https://www.roseltorg.ru/procedure/SP9489274/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9461793;5;Воздуходувка Husqvarna 125 BVx (9527156-45);"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСКОЛЛЕКТОР""";7708389595;770801001;;;Портал Поставщиков;77. г. Москва;42 000,00;22.12.2022 09:33;Процедура завершена;;воздуходувка | воздуходув | вентилятор | вентилятор промышленный | воздухоочиститель | компрессор | промышленное оборудование | садовое оборудование;https://www.roseltorg.ru/procedure/SP9461793/5;сомнительно;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9424451;1;Воздуходувка YANIS Airstorm EB260B 0,81кВт;"Акционерное общество ""РЭМ""";7727344543;772701001;;;Портал Поставщиков;77. г. Москва;12 000,00;09.11.2022 15:05;Процедура завершена;;малая механизация | техника механизация | техника | малый | механизация | воздуходувка | КВТ | малая механизация;https://www.roseltorg.ru/procedure/SP9424451/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9403536;2;Воздуходувка Husqvarna 125 BVX Blower;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЖИЛИЩНИК РАЙОНА ЯКИМАНКА»;7706816114;770601001;;;Портал Поставщиков;77. г. Москва;36 407,56;12.10.2022 10:40;Процедура завершена;;малая механизация | техника механизация | воздуходувка husqvarna | техника | малый | механизация | воздуходувка | малая механизация;https://www.roseltorg.ru/procedure/SP9403536/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9378186;1;Воздуходувка Husqvarna 125 BVx (9527156-45);Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2120»;5051005670;775101001;;;Портал Поставщиков;77. г. Москва;45 000,00;31.08.2022 16:37;Процедура завершена;;воздуходувка husqvarna | дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | воздуходувка | ЖКХ;https://www.roseltorg.ru/procedure/SP9378186/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9180965;2;Воздуходувка Ранцевая STIHL BR 500;Государственное бюджетное учреждение дополнительного образования города Москвы «Детская школа искусств« Родник»;7724092520;772401001;;;Портал Поставщиков;77. г. Москва;44 990,00;09.11.2021 15:52;Процедура завершена;;малая механизация | техника механизация | воздуходувка ранцевая | техника | малый | механизация | воздуходувка | ранцевый;https://www.roseltorg.ru/procedure/SP9180965/2;сомнительно;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9117600;3;Воздуходувка Ранцевая STIHL BR 500;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЖИЛИЩНИК РАЙОНА ЛЕВОБЕРЕЖНЫЙ»;7743103915;774301001;;;Портал Поставщиков;77. г. Москва;225 000,00;06.08.2021 15:19;Процедура завершена;;малая механизация | техника механизация | воздуходувка ранцевая | техника | малый | механизация | воздуходувка | ранцевый;https://www.roseltorg.ru/procedure/SP9117600/3;сомнительно;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9106278;1;Бензиновая воздуходувка STIHL SH 86;Государственное бюджетное учреждение города Москвы «Жилищник района Аэропорт»;7714924868;771401001;;;Портал Поставщиков;77. г. Москва;161 940,00;22.07.2021 13:47;Процедура завершена;;малая механизация | воздуходувка бензиновая | техника механизация | техника | малый | механизация | воздуходувка | бензиновый;https://www.roseltorg.ru/procedure/SP9106278/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9104155;1;Бензиновая воздуходувка STIHL SH 86;Государственное бюджетное учреждение города Москвы «Жилищник района Аэропорт»;7714924868;771401001;;;Портал Поставщиков;77. г. Москва;161 940,00;20.07.2021 14:03;Процедура завершена;;малая механизация | воздуходувка бензиновая | техника механизация | техника | малый | механизация | воздуходувка | бензиновый;https://www.roseltorg.ru/procedure/SP9104155/1;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9085194;2;Бензиновая воздуходувка STIGA SBP 375;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ГОРОДА МОСКВЫ «КУЛЬТУРНЫЙ ЦЕНТР «ДОБРОВОЛЕЦ»;7735527300;773501001;;;Портал Поставщиков;77. г. Москва;26 758,00;23.06.2021 16:07;Процедура завершена;;малая механизация | воздуходувка бензиновая | техника механизация | техника | малый | механизация | воздуходувка | бензиновый;https://www.roseltorg.ru/procedure/SP9085194/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9065654;2;Бензиновая воздуходувка STIHL SH 86;Государственное унитарное предприятие города Москвы «Центр управления городским имуществом»;7705059380;772201001;;;Портал Поставщиков;77. г. Москва;27 990,00;27.05.2021 12:08;Процедура завершена;;воздуходувка бензиновая | дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | воздуходувка | ЖКХ;https://www.roseltorg.ru/procedure/SP9065654/2;да;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9065579;1;Воздуходувка Ранцевая STIHL BR 500;Государственное бюджетное учреждение города Москвы «Спортивный комплекс «Мегаспорт» Департамента спорта города Москвы;7714644959;771401001;;;Портал Поставщиков;77. г. Москва;270 000,00;28.05.2021 08:24;Процедура завершена;;малая механизация | техника механизация | воздуходувка ранцевая | техника | малый | механизация | воздуходувка | ранцевый;https://www.roseltorg.ru/procedure/SP9065579/1;сомнительно;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP10068566;16;Воздуходув ранцевый Husqvarna 580BTS 3100Вт;Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем «Мосводосток»;7705013033;770501001;;;Портал Поставщиков;77. г. Москва;54 200,00;29.10.2025 15:02;Процедура завершена;;воздуходув ранцевый | воздуходувка ранцевая | воздуходув husqvarna 580bts | воздуходув 3100вт | воздуходувка husqvarna | воздуходув ранцевый | воздуходувка ранцевая | воздуходув husqvarna 580bts;https://www.roseltorg.ru/procedure/SP10068566/16;сомнительно;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP10061079;10;Воздуходув ранцевый Husqvarna 580BTS 3100Вт;Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем «Мосводосток»;7705013033;770501001;;;Портал Поставщиков;77. г. Москва;54 200,00;16.10.2025 15:12;Процедура завершена;;пожарная техника | воздуходув | воздуходув Husqvarna | воздуходув 580BTS | промышленное оборудование | пожарное оборудование | пожарная техника | воздуходув;https://www.roseltorg.ru/procedure/SP10061079/10;нет;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP10061055;17;Воздуходув ранцевый Husqvarna 580BTS 3100Вт;Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем «Мосводосток»;7705013033;770501001;;;Портал Поставщиков;77. г. Москва;54 200,00;16.10.2025 15:08;Процедура завершена;;пожарная техника | воздуходув | воздуходув Husqvarna | воздуходув 580BTS | промышленное оборудование | пожарное оборудование | пожарная техника | воздуходув;https://www.roseltorg.ru/procedure/SP10061055/17;нет;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP10060148;11;Воздуходув ранцевый Husqvarna 580BTS 3100Вт;Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем «Мосводосток»;7705013033;770501001;;;Портал Поставщиков;77. г. Москва;54 200,00;15.10.2025 15:04;Процедура завершена;;воздуходув | воздуходув Husqvarna | воздуходув 3100Вт | воздуходув 580BTS | промышленное оборудование | воздуходув | воздуходув Husqvarna | воздуходув 3100Вт;https://www.roseltorg.ru/procedure/SP10060148/11;нет;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP10060154;4;Воздуходув ранцевый Husqvarna 580BTS 3100Вт;Государственное унитарное предприятие города Москвы по эксплуатации московских водоотводящих систем «Мосводосток»;7705013033;770501001;;;Портал Поставщиков;77. г. Москва;54 200,00;15.10.2025 15:05;Процедура завершена;;воздуходув | воздуходув Husqvarna | воздуходув 3100Вт | воздуходув 580BTS | промышленное оборудование | воздуходув | воздуходув Husqvarna | воздуходув 3100Вт;https://www.roseltorg.ru/procedure/SP10060154/4;нет;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9782747;2;Воздуходув ранцевый Husqvarna 580BTS 3100Вт;Государственное автономное учреждение культуры города Москвы «Центральный парк культуры и отдыха имени М. Горького»;7706052148;770601001;;;Портал Поставщиков;77. г. Москва;109 990,00;05.06.2024 10:24;Процедура завершена;;ранцевый воздуходув | дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | воздуходув | ЖКХ;https://www.roseltorg.ru/procedure/SP9782747/2;нет;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9782587;2;Воздуходув ранцевый Husqvarna 580BTS 3100Вт;Государственное автономное учреждение культуры города Москвы «Центральный парк культуры и отдыха имени М. Горького»;7706052148;770601001;;;Портал Поставщиков;77. г. Москва;109 990,00;05.06.2024 09:17;Процедура завершена;;ранцевый воздуходув | дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | воздуходув | ЖКХ;https://www.roseltorg.ru/procedure/SP9782587/2;нет;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9753390;12;Карбюратор на Воздуходув Husqvarna 356 BT;Государственное бюджетное учреждение города Москвы «Жилищник Ярославского района»;7716789300;771601001;;;Портал Поставщиков;77. г. Москва;1 913,35;11.04.2024 13:33;Процедура завершена;;строительные товары | товар | карбюратор | воздуходув | строительный | строительные товары | товар | карбюратор;https://www.roseltorg.ru/procedure/SP9753390/12;нет;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9621818;2;Воздуходув ранцевый Husqvarna 580BTS 3100Вт;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1362»;7719217125;771901001;;;Портал Поставщиков;77. г. Москва;85 000,00;14.09.2023 17:59;Процедура завершена;;воздуходув ранцевый | воздуходув Husqvarna 580BTS | воздуходув 3100 Вт | воздуходув ранцевый | воздуходув Husqvarna 580BTS | воздуходув 3100 Вт;https://www.roseltorg.ru/procedure/SP9621818/2;нет;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9619279;4;Воздуходув ранцевый Husqvarna 580BTS 3100Вт;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1362»;7719217125;771901001;;;Портал Поставщиков;77. г. Москва;45 000,00;11.09.2023 17:55;Процедура завершена;;ранцевый воздуходув | дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | воздуходув | ЖКХ;https://www.roseltorg.ru/procedure/SP9619279/4;нет;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9505875;33;Карбюратор на Воздуходув Husqvarna 356 BT;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ЖИЛИЩНИК РАЙОНА СВИБЛОВО»;7716763704;771601001;;;Портал Поставщиков;77. г. Москва;9 156,00;15.03.2023 15:12;Процедура завершена;;дорожного инвентаря | оборудование | реагент | инвентарь | спецтехник | карбюратор | воздуходув | ЖКХ;https://www.roseltorg.ru/procedure/SP9505875/33;нет;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
SP9330396;1;Воздуходув ранцевый Husqvarna 580BTS профессиональный;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ «ВОРОБЬЕВЫ ГОРЫ»;7736110982;773601001;;;Портал Поставщиков;77. г. Москва;152 980,00;14.06.2022 15:57;Процедура завершена;;малая механизация | техника механизация | ранцевый воздуходув | техника | малый | механизация | воздуходув | профессиональный;https://www.roseltorg.ru/procedure/SP9330396/1;нет;воздуходувная;roseltorg.ru/procedures/search_ajax;2026-07-30
COM23072600097;1;поставка спирального компрессора на ресивере с осушителем;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МОСКОВСКИЙ ФИЗИКО-ТЕХНИЧЕСКИЙ ИНСТИТУТ (НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ)""";5008006211;772701001;;;Коммерческие закупки и закупки по 223-ФЗ;77. г. Москва;0,00;31.07.2026 10:00;Прием заявок 1 дн.;;воздушный компрессор | компрессор ресиверный | спиральный компрессор | компрессор с осушителем | компрессор на ресивере | воздушный компрессор | компрессор ресиверный | спиральный компрессор;https://www.roseltorg.ru/procedure/COM23072600097/1;нет;центробежный компрессор;roseltorg.ru/procedures/search_ajax;2026-07-30
RH27072600076;1;Код ОКПД2 28.13.14.110- Насосы центробежные подачи жидкостей прочие;"Акционерное общество ""Инфраструктурные Проекты""";1500004950;930901001;;;Группа «РусГидро»;93. Донецкая Народная Республика;0,00;13.08.2026 14:00;Прием заявок 14 дн.;наименовании процедуры Запрос коммерческ;насос | насос центробежный | насос погружной | насос канализационный | насос фекальный | насосная станция | насос | насос центробежный;https://www.roseltorg.ru/procedure/RH27072600076/1;да;центробежный компрессор;roseltorg.ru/procedures/search_ajax;2026-07-30
ATOM27052600201;1;мониторинг цен в электронной форме на полипропиленовый центробежный насос с магнитной муфтой с электродвигателем;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""Далур""";4506004751;450650001;;;ГК «Росатом»;45. Курганская область;0,00;05.06.2026 23:59;Прием заявок;;насос полипропиленовый центробежный с магнитной муфтой | насос центробежный | насос полипропиленовый | насос с магнитной муфтой | насос химический | насос для химических сред | электронасос | насос с электродвигателем;https://www.roseltorg.ru/procedure/ATOM27052600201/1;да;центробежный компрессор;roseltorg.ru/procedures/search_ajax;2026-07-30
COM27072600079;1;Поставка ЗИП для компрессора ДЭН на 2026 год;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПОДДЕРЖКИ БИЗНЕСА""";7709840210;344401001;;;Коммерческие закупки и закупки по 223-ФЗ;59. Пермский край;0,00;10.08.2026 15:00;Прием заявок 11 дн.;;запасные части компрессора | ЗИП компрессор | компрессор ДЭН | запчасти компрессор | компрессор | запасные части | ЗИП | ДЭН;https://www.roseltorg.ru/procedure/COM27072600079/1;нет;центробежный компрессор;roseltorg.ru/procedures/search_ajax;2026-07-30
COM07072600091;1;Установка поршневая компрессорная с электродвигателем;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПОДДЕРЖКИ БИЗНЕСА""";7709840210;344401001;;;Коммерческие закупки и закупки по 223-ФЗ;59. Пермский край;0,00;31.07.2026 18:00;Прием заявок 1 дн.;наименовании процедуры Запрос цен на Уст;;https://www.roseltorg.ru/procedure/COM07072600091/1;нет;центробежный компрессор;roseltorg.ru/procedures/search_ajax;2026-07-30
B0307261021432;37;Масло компрессорное VDL 100;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ИНЖИНИРИНГ СИСТЕМС""";3849096450;384901001;;;Росэлторг.Бизнес;38. Иркутская область;;10.08.2026 04:00;Прием заявок 10 дн.;;масло компрессорное | масло VDL 100 | смазка консистентная | минеральное масло | масло компрессорное | масло VDL 100 | смазка консистентная | минеральное масло;https://www.roseltorg.ru/procedure/B0307261021432/37;нет;центробежный компрессор;roseltorg.ru/procedures/search_ajax;2026-07-30
B0307261021432;42;Масло компрессорное VDL 100;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ИНЖИНИРИНГ СИСТЕМС""";3849096450;384901001;;;Росэлторг.Бизнес;38. Иркутская область;;10.08.2026 04:00;Прием заявок 10 дн.;;масло компрессорное | масло для компрессора | масло VDL 100 | масло промышленное | минеральное масло | масло компрессорное | масло для компрессора | масло VDL 100;https://www.roseltorg.ru/procedure/B0307261021432/42;нет;центробежный компрессор;roseltorg.ru/procedures/search_ajax;2026-07-30
ATOM28072600074;1;мониторинг цен в электронной форме на насосы консольные центробежные по ОЛ;"Открытое акционерное общество ""Уральский электрохимический комбинат""";6629022962;662901001;;;ГК «Росатом»;66. Свердловская область;0,00;06.08.2026 23:59;Прием заявок 7 дн.;;насос | насос ОЛ 04-41670 | насос авиационный | насос газотурбинный | насос | насос ОЛ 04-41670 | насос авиационный | насос газотурбинный;https://www.roseltorg.ru/procedure/ATOM28072600074/1;да;центробежный компрессор;roseltorg.ru/procedures/search_ajax;2026-07-30
ATOM20092500009;1;мониторинг цен в электронной форме на Поставка насосов центробежных грунтовых;Общество с ограниченной ответственностью «Ловозерский горно-обогатительный комбинат»;5106800454;510601001;;;ГК «Росатом»;;0,00;30.09.2025 23:59;Прием заявок;;насос | насос грунтовой | насос центробежный | насос электроэнергетический | насос 2ГрТ | насос Уралэнергопром | насос водяной | насос;https://www.roseltorg.ru/procedure/ATOM20092500009/1;да;центробежный компрессор;roseltorg.ru/procedures/search_ajax;2026-07-30
ATOM05022600045;1;мониторинг цен в электронной форме на Компрессоры воздушные;"Акционерное общество ""Опытно–демонстрационный центр вывода из эксплуатации уран–графитовых ядерных реакторов""";7024033350;702401001;;;ГК «Росатом»;70. Томская область;0,00;09.02.2026 23:59;Прием заявок;;компрессор воздушный | Tornado-290 | Aurora | поршневой компрессор | компрессор для воздуха | запчасти для компрессора | компрессор воздушный | Tornado-290;https://www.roseltorg.ru/procedure/ATOM05022600045/1;нет;центробежный компрессор;roseltorg.ru/procedures/search_ajax;2026-07-30
ATOM04062600103;1;мониторинг цен в электронной форме на Поставка насоса центробежного к 50-32-125 К-5-У2;"Общество с ограниченной ответственностью ""Аргон""";6454074501;643901001;;;ГК «Росатом»;64. Саратовская область;0,00;08.06.2026 23:59;Прием заявок;;насос | насос центробежный | насос К 50-32-125 | насос электродвигатель | насос 4АМ80В22.2/3000 | насос | насос центробежный | насос К 50-32-125;https://www.roseltorg.ru/procedure/ATOM04062600103/1;да;центробежный компрессор;roseltorg.ru/procedures/search_ajax;2026-07-30
