nazvanie;inn;nazvanie_egrul;kpp;region;okved;status;rukovoditel;dolzhnost;kandidatov;pochemu
"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КУЗБАССКИЙ ЦЕНТР КРОВИ""";4205192212;ГКУЗ КЦК;420501001;Кемеровская область - Кузбасс;86.90.9;ACTIVE;Вафин Илгиз Ахматович;ГЛАВНЫЙ ВРАЧ;1;один кандидат
"ГОСУДАРСТВЕННОЕ КРАЕВОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СПОРТИВНОЙ ПОДГОТОВКИ ПЕРМСКОГО КРАЯ""";5904103908;"ГКБУ ""ЦСП ПЕРМСКОГО КРАЯ""";590501001;Пермский край;93.19;ACTIVE;Шакурова Илона Наилевна;И.О. ДИРЕКТОРА;1;один кандидат
"ГОСУДАРСТВЕННОЕ СТАЦИОНАРНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ СИСТЕМЫ СОЦИАЛЬНОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ""ЦЕНТР СОДЕЙСТВИЯ СЕМЕЙНОМУ ВОСПИТАНИЮ Г.ЧЕЛЯБИНСКА""";7450007778;ЦЕНТР СОДЕЙСТВИЯ СЕМЕЙНОМУ ВОСПИТАНИЮ Г.ЧЕЛЯБИНСКА;746001001;Челябинская обл;87.90;ACTIVE;Синькевич Марина Владимировна;Директор;1;один кандидат
"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ПРОИЗВОДСТВЕННО-ТЕХНИЧЕСКОЕ ОБЪЕДИНЕНИЕ УПРАВЛЕНИЯ ДЕЛАМИ ПРАВИТЕЛЬСТВА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА""";8901020511;"ГУ ""ПТО УД ЯНАО""";890101001;Ямало-Ненецкий АО;81.10;ACTIVE;Гарштя Ольга Ивановна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ТУЛЬСКОЙ ОБЛАСТИ ""ТОВАРКОВСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ ПРЕСТАРЕЛЫХ И ИНВАЛИДОВ""";;;;;;;;;;кандидатов нет
ГПЗ N 9;3525371152;"ТСЖ ""ДОМ 9""";352501001;Вологодская обл;68.32.1;LIQUIDATED;Степанов Андрей Валентинович;ПРЕДСЕДАТЕЛЬ;1;один кандидат
Газосланцевый завод;;;;;;;;;;кандидатов нет
Газпром;7736050003;"ПАО ""ГАЗПРОМ""";781401001;г Санкт-Петербург;46.71.4;ACTIVE;Миллер Алексей Борисович;ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ;5;несколько кандидатов, взят первый
"Газпром ПХГ ""Касимовское""";6204003681;ППО КАСИМОВСКОГО УПХГ;620401001;Рязанская обл;94.20;ACTIVE;Соснин Александр Анатольевич;ПРЕДСЕДАТЕЛЬ ППО КАСИМОВСКОГО УПХГ;1;один кандидат
Газпром Севергазпром;;;;;;;;;;все 2 — спутники (профсоюз, фонд и т. п.)
Главгаз СССР;;;;;;;;;;кандидатов нет
Главгаз СССР Газопровод;;;;;;;;;;кандидатов нет
"Главгаз СССР КС ""Шатская""";;;;;;;;;;кандидатов нет
Главгаз СССР КС-2, Курск;;;;;;;;;;кандидатов нет
Главгаз СССР КС-5Н, Псков;;;;;;;;;;кандидатов нет
Главгаз СССР КС-7, Егорлык;;;;;;;;;;кандидатов нет
Главгаз СССР КС-7а, Елец;;;;;;;;;;кандидатов нет
Главгаз СССР КС-9, Луганск;;;;;;;;;;кандидатов нет
Главкислород;3426013082;"СПК ""ГЛАВКИСЛОРОД""";342601001;Волгоградская обл;15.51;LIQUIDATED;Панков Алексей Валерьевич;ПРЕДСЕДАТЕЛЬ;1;один кандидат
Главтюменьнефтегаз Варьегонское месторождение;;;;;;;;;;кандидатов нет
Главтюменьнефтегаз Мешонская база ПТО и К;;;;;;;;;;кандидатов нет
Главтюменьнефтегаз Повховская КС;;;;;;;;;;кандидатов нет
Главтюменьнефтегаз Повховское месторождение;;;;;;;;;;кандидатов нет
Головной филиал «Научно-производственное объединение «Винт» ОАО «ЦС «Звездочка»;;;;;;;;;;кандидатов нет
Гороблагодат. рудоупр. Гороблагодатское рудоуправление;;;;;;;;;;кандидатов нет
Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Центр педагогического мастерства» (ИНН: 7725618950);;;;;;;;;;кандидатов нет
Государственное автономное учреждение города Москвы Инженерный научно-практический центр «Гормедтехника Департамента здравоохранения города Москвы» (ИНН: 7725262013);;;;;;;;;;кандидатов нет
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа в Некрасовке» (ИНН: 7721692544);;;;;;;;;;кандидатов нет
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой» (ИНН: 7743018900);;;;;;;;;;кандидатов нет
Государственное бюджетное учреждение города Москвы «Автомобильные дороги Зеленоградского административного округа» (ИНН: 7735580463);;;;;;;;;;кандидатов нет
Государственное бюджетное учреждение города Москвы «Жилищник района Солнцево» (ИНН: 7729466410);;;;;;;;;;кандидатов нет
Государственное бюджетное учреждение города Москвы «Жилищник района Ясенево» (ИНН: 7728866101);;;;;;;;;;кандидатов нет
Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Юго-Восточного административного округа» (ИНН: 7722597903);;;;;;;;;;кандидатов нет
Государственное бюджетное учреждение города Москвы по эксплуатации высотных административных и жилых домов районов Донского, Чертаново Северное (ИНН: 9726094132);;;;;;;;;;кандидатов нет
Государственное бюджетное учреждение культуры города Москвы «Детский театр эстрады» (ИНН: 7710042865);;;;;;;;;;кандидатов нет
Государственное бюджетное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники» (ИНН: 7718059719);;;;;;;;;;кандидатов нет
Государственный производственный комитет по;;;;;;;;;;кандидатов нет
Гринева Наталья Викторовна;641100983083;ИП Гринева Наталья Викторовна;;г Москва;55.10;ACTIVE;;;5;несколько кандидатов, взят первый
Грознефтеоргсинтез;2013001051;"ГУП ""РСУ"" ГУП ""ГРОЗНЕФТЕОРГСИНТЕЗ""";201301001;Чеченская Респ;;LIQUIDATED;Чутаев Иса Сайдаминович;ДИРЕКТОР;4;несколько кандидатов, взят первый
Группа «АЛРОСА»;6731040514;"ООО ""ЮГ ""АЛРОСА""";673101001;Смоленская обл;32.12;ACTIVE;Морозовская Ирина Михайловна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;3;несколько кандидатов, взят первый
Грязовец ОПКС;;;;;;;;;;кандидатов нет
Губахинский ХЗ;;;;;;;;;;кандидатов нет
Губкинский ГПЗ;8911014108;"ОАО ""ГУБКИНСКИЙ ГПЗ""";891301001;Ямало-Ненецкий АО;;LIQUIDATED;Задворнов Евгений Владимирович;Конкурсный управляющий;2;несколько кандидатов, взят первый
Гудермесский био-хим. завод Гудермесский био-химический завод;;;;;;;;;;кандидатов нет
Дальневосточный МЗ;;;;;;;;;;кандидатов нет
Двигатель;6731042494;"ЗАО ""ДВИГАТЕЛЬ""";673101001;Смоленская обл;45.20;ACTIVE;Вавилкин Андрей Иванович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
Дорогобужский ЗАУ;;;;;;;;;;кандидатов нет
Ефремовский завод стальных конструкций;;;;;;;;;;кандидатов нет
"ЗАО ""ЛСР-Базовые""";4703124060;"АО ""ЛСР. БАЗОВЫЕ""";471201001;Ленинградская обл;08.12.1;ACTIVE;Бегоулев Сергей Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
"ЗАО ""Организатор строительства Богучанского алюминиевого завода""";2420070928;"АО ""ОРГАНИЗАТОР СТРОИТЕЛЬСТВА БОГУЧАНСКОГО АЛЮМИНИЕВОГО ЗАВОДА""";240701001;Красноярский край;71.12;LIQUIDATED;Юшманов Алексей Витальевич;ПРЕДСЕДАТЕЛЬ ЛИКВИДАЦИОННОЙ КОМИССИИ;1;один кандидат
"ЗАО ""Сибирский ЭНТЦ""";5407103263;"АО ""СИБИРСКИЙ ЭНТЦ""";540701001;Новосибирская обл;71.11.1;LIQUIDATED;Лебедев Сергей Викторович;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;1;один кандидат
ЗАО «Богучанский Алюминиевый Завод»;2465102746;"АО ""БОАЗ""";240701001;Красноярский край;24.42;ACTIVE;Картавцев Андрей Васильевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
ЗОНИН ДМИТРИЙ АЛЕКСАНДРОВИЧ;503000557009;ИП Зонин Дмитрий Александрович;;г Москва;70.22;ACTIVE;;;4;несколько кандидатов, взят первый
Завод синтетического каучука;7113000847;"ОАО ""ЕЗСК""";711301001;Тульская обл;20.17;ACTIVE;Беликов Владимир Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;3;"отсеяно спутников: 2; несколько кандидатов, взят первый"
"Закрытое акционерное общество ""ЛСР-Базовые""";;;;;;;;;;кандидатов нет
"Закрытое акционерное общество ""Новосибирскэнергоснабкомплектоборудование""";5406238317;"ЗАО ""НЭСКО""";540701001;Новосибирская обл;51.12;LIQUIDATED;Кузьмин Борис Владимирович;Генеральный директор;1;один кандидат
Закрытое акционерное общество «РЭП Холдинг»;;;;;;;;;;кандидатов нет
Западно-Сибирский МК;2223614880;"ООО МК ""ЗАПАДНО-СИБИРСКИЙ ТЕХНОЛОГИЧЕСКИЙ КОМПЛЕКС""";226901001;Алтайский край;36.00;ACTIVE;Терновой Иван Андреевич;ДИРЕКТОР;1;один кандидат
Зиминский ХЗ;;;;;;;;;;кандидатов нет
Златоустовский МЗ;;;;;;;;;;кандидатов нет
Златоустовское рудоуправление;7460000884;"ООО ""ЗРУ""";746001001;Челябинская обл;08.11;LIQUIDATED;Мальцев Денис Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;2;несколько кандидатов, взят первый
Золотухин Игорь Анатольевич Ассоциация СРО АУ «Южный Урал»;;;;;;;;;;кандидатов нет
Ижевский завод бум.дел.обор. Ижевский завод бумагоделательного оборудования;;;;;;;;;;кандидатов нет
Ижсталь;1826000655;"ПАО ""ИЖСТАЛЬ""";183201001;Удмуртская Респ;24.10.6;ACTIVE;Козённов Сергей Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
Индивидуальный предприниматель Дюрягин Сергей Витальевич;742205189531;ИП Дюрягин Сергей Витальевич;;Свердловская обл;82.99;ACTIVE;;;1;один кандидат
Интегратор ММВБ;;;;;;;;;;кандидатов нет
Иркутский ХК;7202125037;"ООО ""ХК ""СЕВЕРРЕСУРС""";382701001;Иркутская обл;41.2;LIQUIDATED;Сухих Раиса Леонидовна;ДИРЕКТОР;3;несколько кандидатов, взят первый
Иртышский полиметаллический комбинат;;;;;;;;;;кандидатов нет
КБФ Гознак;5916007170;ПРОФКОМ КБФ ГОЗНАКА;591601001;Пермский край;94.20;ACTIVE;Пермикина Наталья Викторовна;ПРЕДСЕДАТЕЛЬ;1;один кандидат
"КС ""Грязовец""";;;;;;;;;;кандидатов нет
"КС ""Изборская""";;;;;;;;;;кандидатов нет
"КС ""Краснознаменская""";;;;;;;;;;кандидатов нет
"КС ""Мышкин""";9909116168;СТРОИТЕЛЬНАЯ ПЛОЩАДКА КОМПАНИИ САНКРОСС ИНВЕСТМЕНТС ЛИМИТЕД НА КС МЫШКИНСКАЯ, Г.МЫШКИН, ЯРОСЛАВСКОЙ ОБЛАСТИ;761951001;;;LIQUIDATED;;;1;один кандидат
"КС ""Торжок""";9909133678;СТРОИТЕЛЬНАЯ ПЛОЩАДКА КС НОВОМИКУНЬСКАЯ В СОСТАВЕ СТРОЙКИ СИСТЕМА МАГИСТРАЛЬНЫХ ГАЗОПРОВОДОВ УХТА-ТОРЖОК (1 ОЧЕРЕДЬ);112151001;;;LIQUIDATED;;;1;один кандидат
Калужский ХМК;;;;;;;;;;кандидатов нет
Калужский турбинный завод;4026007424;"ПАО ""КАЛУЖСКИЙ ТУРБИННЫЙ ЗАВОД""";402801001;Калужская обл;28.11.2;ACTIVE;Сербин Иван Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;4;"отсеяно спутников: 1; несколько кандидатов, взят первый"
Капролактам;5249062283;"АО ""КАПРОЛАКТАМ-ДЗЕРЖИНСК""";524901001;Нижегородская обл;20.14.7;ACTIVE;Никонов Алексей Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
Карабашский ГМК;;;;;;;;;;кандидатов нет
Карабашский МПЗ;;;;;;;;;;кандидатов нет
Карабашский завод;7413023203;"ООО ""КАРАБАШСКИЙ ЗАВОД АБРАЗИВНЫХ МАТЕРИАЛОВ""";741301001;Челябинская обл;23.99;ACTIVE;Вязникова Надежда Владимировна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;3;несколько кандидатов, взят первый
Каустик;3448003962;"АО ""КАУСТИК""";344801001;Волгоградская обл;20.13;ACTIVE;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИКОХИМ""";;5;несколько кандидатов, взят первый
Качканарский ГОК;6674128174;"ООО ""КАЧКАНАРСКИЙ ГОК ""ВАНАДИЙ""";667401001;Свердловская обл;;LIQUIDATED;Грушин Александр Юрьевич;директор;1;один кандидат
"Кемеровское открытое акционерное общество ""Азот""";;;;;;;;;;кандидатов нет
Кингисеппский ферро- сплавный завод Кингисеппский ферро-сплавный завод;;;;;;;;;;кандидатов нет
Киришский газо-бензиновый завод;;;;;;;;;;кандидатов нет
Кирово-Чепецкий МК;;;;;;;;;;кандидатов нет
Кирово-Чепецкий ХК;4341014561;"АО ""КИРОВО-ЧЕПЕЦКИЙ ХК""";431201001;Кировская обл;10.71.1;ACTIVE;Луппов Юрий Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
Кировоградский ХЗ;;;;;;;;;;кандидатов нет
Когалымская КС;;;;;;;;;;кандидатов нет
"Коминефть ""Этан""";;;;;;;;;;кандидатов нет
Коминтерн МЗ;;;;;;;;;;кандидатов нет
Конкурсный управляющий Рыбкин Вадим Владимирович;;;;;;;;;;кандидатов нет
Косогорский МЗ;;;;;;;;;;кандидатов нет
Костомукшский ГОК;;;;;;;;;;кандидатов нет
Краснокамская бумажная фабрика Гознака;5916002502;"ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ ""КРАСНОКАМСКАЯ БУМАЖНАЯ ФАБРИКА ГОЗНАКА""";591601001;Пермский край;;LIQUIDATED;Агафонов Александр Николаевич;ДИРЕКТОР;1;один кандидат
Краснокамская бумажная фабрика – филиала Федерального государственного унитарного предприятия «Гознак»;;;;;;;;;;кандидатов нет
Красноленинский ГПЗ;8610002155;"ОАО ""КРАСНОЛЕНИНСКИЙ ГПЗ""";861001001;Ханты-Мансийский Автономный округ - Югра;;LIQUIDATED;Юлыгин Анатолий Михайлович;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;1;один кандидат
Красноуральский медеплавильный завод;;;;;;;;;;кандидатов нет
Красноярский алюминиевый завод;2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";246501001;Красноярский край;24.42;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ АЛЮМИНИЙ МЕНЕДЖМЕНТ""";;4;несколько кандидатов, взят первый
Красный Октябрь МЗ;3442122498;"АО ""ТД МЗ КО""";770401001;г Москва;70.22;LIQUIDATED;Дудаков Константин Евгеньевич;Конкурсный управляющий;4;несколько кандидатов, взят первый
Красный треугольник;7839109636;"АО ""ИЗКТ""";434501001;Кировская обл;71.12.62;ACTIVE;Гущин Максим Эдуардович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
Криогенмаш;6150078293;"ООО ""КРИОГЕНМАШ""";615001001;Ростовская обл;46.90;ACTIVE;Митин Олег Вячеславович;ДИРЕКТОР;5;несколько кандидатов, взят первый
Кузнецкий МК;9702078156;"АО ""МК-АЛЬЯНС""";770201001;г Москва;78.10;ACTIVE;Листопад Максим Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
Кузнецкий цементный завод;4217055972;"ООО ""КУЗНЕЦКИЙ ЦЕМЕНТНЫЙ ЗАВОД""";421701001;Кемеровская область - Кузбасс;23.51;LIQUIDATED;Исаев Михаил Юрьевич;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;5;несколько кандидатов, взят первый
Куйбышевазот;6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";632401001;Самарская обл;20.15.3;ACTIVE;Герасименко Александр Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
Куйбышевский завод синетет. спирта Куйбышевский завод синтетического спирта;;;;;;;;;;кандидатов нет
Куйбышевуголь;9309006621;"ЖСК ТРЕСТА ""КУЙБЫШЕВУГОЛЬ""";930901001;Донецкая Народная Респ;81.10;ACTIVE;Вегера Светлана Борисовна;ПРЕДСЕДАТЕЛЬ ПРАВЛЕНИЯ;1;один кандидат
Куприянов В. В.;7721657243;"ООО ""З-В""";232001001;Краснодарский край;71.12.41;ACTIVE;Куприянов Юрий Борисович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
Куприянов Вячеслав Вячеславович;781907963238;ИП Куприянов Вячеслав Вячеславович;;г Санкт-Петербург;62.09;LIQUIDATED;;;5;несколько кандидатов, взят первый
Курьяновская станция аэрации;;;;;;;;;;кандидатов нет
Лариса Владимировна Богачева;666100352756;ИП Богачева Лариса Владимировна;;Свердловская обл;69;ACTIVE;;;5;несколько кандидатов, взят первый
Лебедев Юрий Андреевич;280117088758;ИП Лебедев Юрий Андреевич;;Амурская обл;55.10;ACTIVE;;;5;несколько кандидатов, взят первый
Ленгаз;4705077384;"ООО ""ЛЕНГАЗ""";470501001;Ленинградская обл;41.10;ACTIVE;Семенов Денис Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
Ленинградский холодильный институт;;;;;;;;;;кандидатов нет
Лениногорский полиметаллический комбинат;;;;;;;;;;кандидатов нет
Ленметрострой;7841085365;"ООО ""ЛЕНМЕТРОСТРОЙ""";781301001;г Санкт-Петербург;41.20;ACTIVE;Трофимов Александр Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;4;"отсеяно спутников: 1; несколько кандидатов, взят первый"
Линейн.диспет. станция Линейная диспетчерская станция;;;;;;;;;;кандидатов нет
МЗ им.А.К.Серова;;;;;;;;;;кандидатов нет
МЛПУ «Городская больница №33» Ленинского района г. Нижнего Новгорода;;;;;;;;;;кандидатов нет
МП ПОЖКХ;6374000825;МП ПОЖКХ;637401001;Самарская обл;36.00.2;ACTIVE;Ананко Владимир Александрович;Директор;5;несколько кандидатов, взят первый
"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""СПОРТИВНАЯ ШКОЛА ""ТЕМП""";5920016280;"МАУ ДО ""СШ ""ТЕМП""";592001001;Пермский край;85.41.1;ACTIVE;Гражданкин Артем Анатольевич;ДИРЕКТОР;5;несколько кандидатов, взят первый
МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЛОЖКОВСКАЯ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА;5044019463;МБОУ ЛОЖКОВСКАЯ СОШ;504401001;Московская обл;85.14;ACTIVE;Апсалямова Лилия Рифовна;ДИРЕКТОР;1;один кандидат
"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ "" АВАРИЙНО-СПАСАТЕЛЬНАЯ СЛУЖБА ТИМАШЕВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ ТИМАШЕВСКОГО РАЙОНА """;2369005281;"МКУ ""АВАРИЙНО-СПАСАТЕЛЬНАЯ СЛУЖБА""";236901001;Краснодарский край;84.25.9;ACTIVE;Торкунов Денис Александрович;НАЧАЛЬНИК;1;один кандидат
"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ХОЗЯЙСТВЕННО-ЭКСПЛУАТАЦИОННОЕ УПРАВЛЕНИЕ""";5217003990;"МКУ ""ХЭУ""";521701001;Нижегородская обл;68.32.2;ACTIVE;Щепкин Александр Александрович;ЗАВЕДУЮЩИЙ;5;несколько кандидатов, взят первый
МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №15;2806004364;МОАУ СОШ № 15;280601001;Амурская обл;85.14;ACTIVE;Неценстрик Валентина Васильевна;ДИРЕКТОР;5;несколько кандидатов, взят первый
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АЗИМУТ""";5011018009;"МУП ""АЗИМУТ""";501101001;Московская обл;68.32.1;LIQUIDATED;Лаптев Роман Александрович;ДИРЕКТОР;3;несколько кандидатов, взят первый
"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПУШКИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ ""ПУШКИНСКИЙ ""ВОДОКАНАЛ""";5038057693;"МУП ""ПУШКИНСКИЙ ""ВОДОКАНАЛ""";503801001;Московская обл;42.21;LIQUIDATED;Вешнякова Екатерина Константиновна;Конкурсный управляющий;1;один кандидат
Магнитогорский МК;;;;;;;;;;кандидатов нет
Медногорский медносерный завод;5606001611;"ООО ""ММСК""";560601001;Оренбургская обл;24.44;ACTIVE;Исхаков Ильфат Ильдусович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;"отсеяно спутников: 1; один кандидат"
Мелеузовский ХЗ;;;;;;;;;;кандидатов нет
Мингазпром СССР;;;;;;;;;;кандидатов нет
Мингазпром СССР Камышинский завод;;;;;;;;;;кандидатов нет
Министерство поддержки и развития малого предпринимательства, потребительского рынка и услуг НО;5260157098;МИНИСТЕРСТВО ПОДДЕРЖКИ И РАЗВИТИЯ МАЛОГО ПРЕДПРИНИМАТЕЛЬСТВА, ПОТРЕБИТЕЛЬСКОГО РЫНКА И УСЛУГ НИЖЕГОРОДСКОЙ ОБЛАСТИ;526001001;Нижегородская обл;75.1;LIQUIDATED;Макаров Александр Витальевич;МИНИСТР;1;один кандидат
Миннибаевский газобензиновый завод;;;;;;;;;;кандидатов нет
Минудобрения;3627000397;"АО ""МИНУДОБРЕНИЯ""";362701001;Воронежская обл;20.15.7;ACTIVE;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСХИМ""";;5;несколько кандидатов, взят первый
Мосводоканал;7701984274;"АО ""МОСВОДОКАНАЛ""";770101001;г Москва;36.00.1;ACTIVE;Пономаренко Александр Михайлович;"ГЕНЕРАЛЬНЫЙ ДИРЕКТОР АО ""МОСВОДОКАНАЛ""";5;несколько кандидатов, взят первый
Московская печатная фабрика Гознака;7725038251;МОО-ППО МОСКОВСКАЯ ПЕЧАТНАЯ ФАБРИКА ГОЗНАКА МГО ПРГУ РФ;772501001;г Москва;94.20;LIQUIDATING;Спиридонов Олег Александрович;ЛИКВИДАТОР;2;несколько кандидатов, взят первый
Московская энергетическая установка 25;;;;;;;;;;кандидатов нет
Московский коксо-газовый завод;5003001097;"ППО ГМПР ""МОСКОКС""";500301001;Московская обл;94.20;ACTIVE;Силин Денис Валерьевич;ПРЕДСЕДАТЕЛЬ;1;один кандидат
Мосметрострой;7710068052;"АО ""МОСМЕТРОСТРОЙ""";770701001;г Москва;42.12;ACTIVE;Иванов Александр Анатольевич;ВРЕМЕННО ИСПОЛНЯЮЩИЙ ОБЯЗАННОСТИ ГЕНЕРАЛЬНОГО ДИРЕКТОРА;5;несколько кандидатов, взят первый
"Муниципальное унитарное предприятие ""Тепловодоканал"" г.Заволжья, Россия, 606520, Нижегородская область, г. Заволжье, пр-т Мира, д.28";;;;;;;;;;кандидатов нет
"НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ЭЛСИБ"" ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО";;;;;;;;;;кандидатов нет
"НЕПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОРОЖНО-СТРОИТЕЛЬНОЕ УПРАВЛЕНИЕ № 1""";2312122368;"НАО ""ДСУ-1""";231201001;Краснодарский край;52.21.22;ACTIVE;Закирьянов Михаил Валентинович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;5;несколько кандидатов, взят первый
НИИ N1 МАП;;;;;;;;;;кандидатов нет
Надеждинский МЗ;;;;;;;;;;кандидатов нет
Наталья Викторовна Гринева;641100983083;ИП Гринева Наталья Викторовна;;г Москва;55.10;ACTIVE;;;5;несколько кандидатов, взят первый
Невинномысский АТЗ;;;;;;;;;;кандидатов нет
Невинномысский ХК;;;;;;;;;;кандидатов нет
Нижневартовская БПТОиК;;;;;;;;;;кандидатов нет
Нижневартовский ГБЗ;;;;;;;;;;кандидатов нет
Нижневартовский ГПЗ-3;;;;;;;;;;кандидатов нет
Нижневартовскнефтегаз;8603028882;"ОАО ""ННГ""";860301001;Ханты-Мансийский Автономный округ - Югра;68.20.2;LIQUIDATED;Сметанин Олег Александрович;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;2;несколько кандидатов, взят первый
Нижнекамскнефтехим;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";165101001;Респ Татарстан;20.16;ACTIVE;Фаляхов Марат Инилович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;4;"отсеяно спутников: 1; несколько кандидатов, взят первый"
Нижнетагильский МК;;;;;;;;;;кандидатов нет
Нижний Тагил Нижнетагильский МК;6623015408;МКУ НТГИА;662301001;Свердловская обл;91.01;ACTIVE;Репникова Олеся Станиславовна;ДИРЕКТОР;1;один кандидат
Новокемеровский ХК;;;;;;;;;;кандидатов нет
Новокузнецк Новокузнецкий МЗ;;;;;;;;;;кандидатов нет
Новокузнецкий МЗ;;;;;;;;;;кандидатов нет
Новокуйбышевский НХК;6330000345;"ОАО ""НК НХК""";633001001;Самарская обл;;LIQUIDATED;Тотмаков Андрей Вениаминович;конкурсный управляющий;1;один кандидат
Новокуйбышевский завод синтетического спирта;;;;;;;;;;кандидатов нет
Новолипецкий МК;5256135912;"ООО ""НОВОЛИПЕЦКИЙ МК-НН""";525601001;Нижегородская обл;46.72;LIQUIDATED;Шемякина Александра Васильевна;ДИРЕКТОР;2;несколько кандидатов, взят первый
Новоменделеевский ХЗ;;;;;;;;;;кандидатов нет
Новомосковский жестекат.завод;;;;;;;;;;кандидатов нет
Новороссийский цементный завод;2315143084;"АО ""НЦЗ ""ГОРНЫЙ""";231501001;Краснодарский край;23.5;ACTIVE;Вавилов Виталий Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1;один кандидат
