employer;hits;queries;agency;profile_match;inn;egrul_name;okved;region;ruk;ruk_post;match_score;sugg_total
ООО СЗ ИСК Оптимум Сибирь;1;главный инженер;;;2225221813;"ООО ""СЗ ИСК ОПТИМУМ СИБИРЬ""";71.12.2;Алтайский край;Рыжков Владислав Сергеевич;ДИРЕКТОР;1.0;1
ООО БарсЭлитСтрой;1;главный инженер;;;1658184126;"ООО СК ""БАРСЭЛИТСТРОЙ""";41.20;Респ Татарстан;Хусаенов Ильхам Габдулфартович;ДИРЕКТОР;1.0;4
Архитектурное бюро Space Architects;1;главный инженер;;;;;;;;;;0
АО Хвоя;1;главный инженер;;;5445101362;"АО ""ХВОЯ""";55.90;Новосибирская обл;Ермишкин Олег Рафаэлович;ДИРЕКТОР;1.0;1
ООО Велесстрой;1;главный инженер;;;7709787790;"ООО ""ВЕЛЕССТРОЙ""";41.20.9;г Москва;Пизанов Алексей Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
АО ДЕКРА-СТРОЙЭКСПЛУАТАЦИЯ;1;главный инженер;;;7705502267;"АО ""ДЕКРА-СТРОЙЭКСПЛУАТАЦИЯ""";68.32;г Москва;Чернов Павел Геннадьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
Елабужский институт (филиал) КФУ;1;главный инженер;;;1655018018;"ЕЛАБУЖСКИЙ ИНСТИТУТ (ФИЛИАЛ) ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО АВТОНОМНОГО ОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАЗАНСКИЙ (ПРИВОЛЖСКИЙ) ФЕДЕРАЛЬНЫЙ УНИВЕРСИТЕТ""";;Респ Татарстан;;;1.0;0
Сталепромышленная компания;1;главный инженер;;;6679119021;"ООО ""СТАЛЕПРОМЫШЛЕННАЯ КОМПАНИЯ""";43.99;Свердловская обл;Якименков Александр Николаевич;ДИРЕКТОР;1.0;8
ООО Инплайн;1;главный инженер;;;5906142571;"ООО ""ИНПЛАЙН""";22.22;Пермский край;Шевшелев Сергей Викторович;ДИРЕКТОР;1.0;2
Курорт MIRACLEON;1;главный инженер;;;;;;;;;;0
АО Национальные Стратегические Активы;1;главный инженер;;;;;;;;;;1
ООО Сфера-Строй;1;главный инженер;;;9726094284;"ООО ""СФЕРА-СТРОЙ""";41.20;г Москва;Щербатых Александр Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
Государственное бюджетное учреждение Курганской области Многофункциональный центр по предо;1;главный инженер;;;;;;;;;;1
ГК Партнер;1;главный инженер;;;5612088057;"ООО ""ГК ""БИЗНЕС ПАРТНЕР""";46.21;Оренбургская обл;Балабаев Жанабай Айткалиевич;ДИРЕКТОР;1.0;8
«Почта России», Офис;1;главный инженер;;;7724490000;"АО ""ПОЧТА РОССИИ""";53.10.9;г Москва;Волков Михаил Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО ПТД Технохим;1;главный инженер;;да;5902118320;ООО ПТД ТЕХНОХИМ;25.62;Пермский край;Фукалов Юрий Васильевич;ДИРЕКТОР;1.0;1
ПАО Мосточлегмаш;1;главный инженер;;;7731026423;"ПАО ""МОСТОЧЛЕГМАШ""";25.71;г Москва;Алыев Рамиз Эюб-Оглы;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Инстройтехком;1;главный инженер;;;9704091064;"ООО ""ИСТК""";45.19.1;г Москва;Сидоров Иван Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;5
ООО ВудВЕР;1;главный инженер;;;9703133586;"ООО ""ВУДВЕР""";46.90;г Москва;Тимонина Марина Валерьевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Траверс;1;главный инженер;;;3702132518;"ООО ""ТРАВЕРС""";68.20;г Москва;Королев Михаил Андреевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
Компания;1;главный инженер;;;;;;;;;;8
Кадровый центр «ПРЕЗИДЕНТ»;1;главный инженер;да;;5504125431;"ООО ""ПРЕЗИДЕНТ""";46.90;Омская обл;Якименко Александр Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ООО Сэньюань;1;главный инженер;;;7500034586;"ООО ""СЭНЬЮАНЬ""";41.20;Забайкальский край;Лотова Ксения Сергеевна;ДИРЕКТОР;1.0;5
МАКИЗ-ФАРМА;1;главный инженер;;;7722767217;"ООО ""МАКИЗ-ФАРМА""";21.20.1;г Москва;Гурский Дмитрий Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;4
ООО СТС;1;главный инженер;;;;;;;;;;8
ООО Ритеил Стандарт-Новороссийск;1;главный инженер;;;2315189064;"ООО ""РИТЕИЛ СТАНДАРТ-НОВОРОССИЙСК""";68.10.12;г Москва;Титов Михаил Вячеславович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
TERIKA;1;главный инженер;;;4001007856;ООО ТЕРИКА;22.21.9;Калужская обл;Лосев Степан Борисович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;8
ИП Журавлева Ольга Владимировна;1;главный инженер;;;;;;;;;;8
ООО МПК Скворцово;1;главный инженер;;;9109000943;"ООО ""МПК ""СКВОРЦОВО""";10.13.2;Респ Крым;Эммер Людмила Владимировна;ДИРЕКТОР;1.0;1
ООО Энергопромсервис;1;главный инженер;;да;5044063800;"ООО ""ЭНЕРГОПРОМСЕРВИС""";42.21;Московская обл;Хасароков Азамат Магаруфович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
"О’КЕЙ ""Гипермаркеты""";1;главный инженер;;;;;;;;;;0
ООО Больница «Профессорская Плюс»;1;главный инженер;;;6671215012;"ООО БОЛЬНИЦА ""МЕДИЦИНСКАЯ КЛИНИКА ""ПРОФЕССОРСКАЯ ПЛЮС""";86.10;Свердловская обл;Коротких Василий Сергеевич;ДИРЕКТОР;1.0;1
Технопарк Смоленка;1;главный инженер;;;7801519129;"ООО ""ТЕХНОПАРК СМОЛЕНКА""";28.29.3;г Санкт-Петербург;Фролов Михаил Витальевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ГК Александровский Парк;1;главный инженер;;;3808119299;"ООО ""АЛЕКСАНДРОВСКИЙ ПАРК""";56.30;Иркутская обл;Коренев Евгений Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО Краснодарская Строительная Лаборатория;1;главный инженер;;;2309178385;"ООО ""КРАСНОДАРСКАЯ СТРОИТЕЛЬНАЯ ЛАБОРАТОРИЯ""";71.20;Краснодарский край;Галкин Юрий Александрович;ДИРЕКТОР;1.0;2
ООО Ак таш;1;главный инженер;;;;;;;;;;8
ФСК;1;главный инженер;;;;;;;;;;8
ООО Ресурс-Инт;1;главный инженер;;;7820338706;"ООО ""РЕСУРС-ИНТ""";41.20.9;г Санкт-Петербург;Печников Сергей Викторович;Генеральный директор;1.0;8
ООО А-эксперт;1;главный инженер;;;6671337412;"ООО ""А-ЭКСПЕРТ""";71.12;Свердловская обл;Заруднева Елена Борисовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ПАО Форвард Энерго;1;главный инженер;;да;7203162698;"ПАО ""ФОРВАРД ЭНЕРГО""";35.11.1;г Москва;Кожевников Вячеслав Евгеньевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО ГЕОГРУНТ;1;главный инженер;;;9723127990;"ООО ""ГЕОГРУНТ""";71.12;г Москва;Мерзляков Иван Васильевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
МБУ Муниципальная информационно-библиотечная система города Новокузнецка;1;главный инженер;;;;;;;;;;0
АО Красноярскнефтепродукт;1;главный инженер;;да;;;;;;;;2
Сбер для экспертов;1;главный инженер;;;;;;;;;;0
АрхИ Групп;1;главный инженер;;;2222808762;"ООО ""АРХИ ГРУПП""";71.11;Алтайский край;Пономаренко Евгений Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
Тушинский район Гидротехнических Сооружений-филиал ФГБУ Канал имени Москвы;1;главный инженер;;;7733231361;"ТУШИНСКИЙ РАЙОН ГИДРОТЕХНИЧЕСКИХ СООРУЖЕНИЙ - ФИЛИАЛ ФГБУ ""КАНАЛ ИМЕНИ МОСКВЫ""";;г Москва;;;0.86;1
ООО НТЦ ЭколоджиксЛаб;1;главный инженер;;;7805621476;"ООО ""НТЦ ""ЭКОЛОДЖИКСЛАБ""";72.19;г Санкт-Петербург;Макаренко Антон Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО ГК Аванти;1;главный инженер;;;9703144010;"ООО ""ГК АВАНТИ""";72.19;г Москва;Кострица Олег Иванович;ДИРЕКТОР ПО ЗАЩИТЕ ГОСУДАРСТВЕННОЙ ТАЙНЫ;1.0;2
ООО Эрроу Фасилити Менеджмент;1;главный инженер;;;7704472355;"ООО ""ЭРРОУ ФМ""";68.32;г Москва;Вовшин Михаил Маркович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.33;1
Агрохолдинг СИТНО;1;главный инженер;;да;6679138850;"АО ""СИТНО""";64.20;Челябинская обл;Миронов Тимур Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО ГК ЭНЕРГОПЕРСПЕКТИВА;1;главный инженер;;да;5405499468;"ООО ГК ""ЭНЕРГОПЕРСПЕКТИВА""";41.20.9;Новосибирская обл;Голосов Алексей Борисович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ОАО Российские железные дороги;1;главный инженер;;;3810084269;"ЧУ ""ДКЖ Г.СЛЮДЯНКА ОАО ""РЖД""";90.04.3;Иркутская обл;Савичев Дмитрий Анатольевич;ДИРЕКТОР;0.0;8
ООО ИНЖИНИРИНГОВЫЙ ЦЕНТР ТРАНСЭНЕРГО;1;главный инженер;;да;7723429404;"ООО ""ИНЖИНИРИНГОВЫЙ ЦЕНТР ТРАНСЭНЕРГО""";71.1;г Москва;Вето Дарья Валерьевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
"""МТС"", Технический блок";1;главный инженер;;;;;;;;;;0
ООО Премиум;1;главный инженер;;;7810263508;"ООО ""БРАВО ПРЕМИУМ""";11.01.2;г Санкт-Петербург;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУСТ РОССИЯ""";;1.0;8
ООО Удоканская медь, Энергетика/ремонт, обслуживание, эксплуатация, тепловодоснабжение, ве;1;главный энергетик;;да;7536097029;"ООО ""УДОКАНСКАЯ МЕДЬ""";07.29.1;Забайкальский край;Ящук Алексей Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
ООО ТАЙМЫР ИНВЕСТ;1;главный энергетик;;;5019026876;"ООО ""ТАЙМЫР ИНВЕСТ""";49.41.1;Московская обл;Тякин Марат Раисович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО ЛНН;1;главный энергетик;;;;;;;;;;8
Равис - птицефабрика Сосновская;1;главный энергетик;;да;7438003350;"АО ""РАВИС - ПТИЦЕФАБРИКА СОСНОВСКАЯ""";68.20.2;Челябинская обл;Старков Алексей Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;5
ООО Ника;1;главный энергетик;;;1655253269;"ООО ""НИКА""";68.20.2;Респ Татарстан;Гаврилов Алексей Сергеевич;ДИРЕКТОР;1.0;8
ООО Зазеркалье;1;главный энергетик;;;3525157695;"ООО ""ЗАЗЕРКАЛЬЕ""";01.41;Вологодская обл;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЗАЛЬТ АГРО""";;1.0;8
Комбинат пищевой Хороший вкус;1;главный энергетик;;да;6604011366;"АО ""КОМБИНАТ ПИЩЕВОЙ ""ХОРОШИЙ ВКУС""";10.13.4;Свердловская обл;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБИРСКАЯ АГРАРНАЯ ГРУППА""";;1.0;1
ПАО Калужский Турбинный Завод;1;главный энергетик;;да;4026007424;"ПАО ""КАЛУЖСКИЙ ТУРБИННЫЙ ЗАВОД""";28.11.2;Калужская обл;Сербин Иван Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ООО Русь-Бейкери;1;главный энергетик;;;1215113341;"ООО ""РУСЬ-БЕЙКЕРИ""";10.72.4;Респ Марий Эл;Охотникова Наталья Вячеславовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Орловский Бумажный Комбинат;1;главный энергетик;;да;;;;;;;;1
ООО Уралспецметалл-Экспорт;1;главный энергетик;;да;7448205490;"ООО ""УРАЛСПЕЦМЕТАЛЛ-ЭКСПОРТ""";25.61;Челябинская обл;Свирепо Сергей Юрьевич;ДИРЕКТОР;1.0;1
ПАО ТГК-14;1;главный энергетик;;;7534018889;"ПАО ""ТГК-14""";35.30.11;Забайкальский край;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""";;1.0;2
ООО Парк Владивосток;1;главный энергетик;;;2543179450;"ООО ""ПАРК ВЛАДИВОСТОК""";93.21;Приморский край;Демин Егор Вячеславович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО АВП-ГРУПП;1;главный энергетик;;;1650314013;"ООО ""АВП-ГРУПП""";25.11;Респ Татарстан;Прошин Андрей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Основа +;1;главный энергетик;;;1831194727;"ООО ""ОСНОВА +""";86.22;Удмуртская Респ;Арехтюк Татьяна Фотиевна;ДИРЕКТОР;1.0;6
ООО Нео-Пак;1;главный энергетик;;;5404475633;"ООО ""НЕО-ПАК""";22.22;Новосибирская обл;Ладан Александр Юрьевич;ДИРЕКТОР;1.0;8
Предприятие энергетической сферы;1;главный энергетик;;;;;;;;;;0
ООО Запсибгазпром-Газификация;1;главный энергетик;;да;7202083210;"ООО ""ЗАПСИБГАЗПРОМ-ГАЗИФИКАЦИЯ""";41.20.9;Тюменская обл;Жданова Ольга Викторовна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Энкорп;1;главный энергетик;;;7707438955;"ООО ""ЭНКОРП""";78.20;г Москва;Бородин Валерий Евгеньевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;6
АО Спецавтохозяйство;1;главный энергетик;;;2724211786;"АО ""СПЕЦАВТОХОЗЯЙСТВО Г. ХАБАРОВСКА""";38.11;Хабаровский край;Труфакин Александр Витальевич;ДИРЕКТОР;1.0;8
Гидрозо;1;главный энергетик;;;7719271309;"ООО ""ГИДРОЗО""";46.73;г Москва;Измайлов Ильдар Анвярович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО СТРОЙДЕВЕЛОПМЕНТГРУПП;1;главный энергетик;;;0278206340;"ООО ""СТРОЙДЕВЕЛОПМЕНТГРУПП""";43.99;Респ Башкортостан;Образцов Олег Юрьевич;ДИРЕКТОР;1.0;4
ООО Стройэнергоимпорт;1;главный энергетик;;да;7801564611;"ООО ""СТРОЙЭНЕРГОИМПОРТ""";43.21;г Санкт-Петербург;Чашинский Андрей Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Строительная Компания Фибоначчи-Строй;1;главный энергетик;;;6949116377;"ООО ""СК ""ФИБОНАЧЧИ-СТРОЙ""";41.20;Тверская обл;Селихов Андрей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.5;1
ООО АкТрансСервис;1;главный энергетик;;;;;;;;;;1
ООО БэйсПромЭлектро;1;главный энергетик;;;3662182439;"ООО ""БП-ЭЛЕКТРО""";46.15.3;Воронежская обл;Новорусов Владимир Валерьевич;Генеральный директор;0.0;2
ООО ГеоЛад - СТ;1;главный энергетик;;;8609322418;"ООО ""ГЕОЛАД-СТ""";09.10.1;Ханты-Мансийский Автономный округ - Югра;Ямелев Гайса Мансурович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;4
ООО Тольяттинский трубопрофильный завод;1;главный энергетик;;да;6324064630;"ООО ""ТТПЗ""";24.20.1;Самарская обл;Фролова Татьяна Геннадьевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;1
Колигаев Антон Сергеевич;1;главный энергетик;;;;;;;;;;0
ПАО Россети Ленэнерго;1;главный энергетик;;да;7803002209;"ПАО ""РОССЕТИ ЛЕНЭНЕРГО""";35.12.1;г Санкт-Петербург;Кузьмин Игорь Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО НОРД-ИНЖИНИРИНГ;1;главный энергетик;;;1101069473;"ООО ""НОРД-ИНЖИНИРИНГ""";71.1;Респ Коми;Жилин Андрей Николаевич;ДИРЕКТОР;1.0;8
ООО Строительно-Монтажная Компания Фердинанд;1;главный энергетик;;;7722447753;"ООО ""СМК ""ФЕРДИНАНД""";81.10;г Москва;Поликарпов Андрей Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.5;2
ИнтерПол, Строительная компания;1;главный энергетик;;;7451254191;"ООО СК ""ИНТЕРПОЛ""";41.20.9;г Санкт-Петербург;Слесарев Кирилл Евгеньевич;ДИРЕКТОР;0.5;2
ООО Мосинжгарант;1;главный энергетик;;;5074094718;"ООО ""МИГ-1""";43.21;Московская обл;Мартиросян Карен Сосович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;3
ООО Возрождение;1;главный энергетик;;;3666269056;"ООО ""ВОЗРОЖДЕНИЕ""";41.10;Воронежская обл;Караулов Александр Маркович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ОАО ВИЛС;1;главный энергетик;;;7731008209;"ОАО ""ВИЛС""";24.45.1;г Москва;Чечулин Дмитрий Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;6
ООО Очаковский комбинат ЖБИ;1;главный энергетик;;да;7729294143;"ООО ""ОЧАКОВСКИЙ КОМБИНАТ ЖБИ""";68.32;г Москва;Новикова Мария Александровна;ДИРЕКТОР;1.0;5
АО Тулагорводоканал;1;главный энергетик;;да;7105504223;"АО ""ТУЛАГОРВОДОКАНАЛ""";36.00.1;Тульская обл;Филатчев Андрей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
ООО СпецТрансГрупп;1;главный энергетик;;;7728829621;"ООО ""СПЕЦТРАНСГРУПП""";52.29;г Москва;Махмудов Мурат Басырович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ТЦ ГАЛЕОН;1;главный энергетик;;;;;;;;;;1
Грайн;1;главный энергетик;;;9718277260;"ООО ""ГРАЙН""";46.71;г Москва;Маркелов Максим Романович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Центр торговли и развития;1;главный энергетик;;;3906122211;"ООО ""ЦЕНТР ТОРГОВЛИ И РАЗВИТИЯ""";68.32.2;Калининградская обл;Снижко Руслан Олегович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Специальный Технологический Центр (ООО СТЦ);1;главный энергетик;;;7802170553;"МОСКОВСКИЙ ФИЛИАЛ ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛЬНЫЙ ТЕХНОЛОГИЧЕСКИЙ ЦЕНТР""";;г Москва;;;1.0;1
ООО Спутниковая Связь;1;главный энергетик;;;5404091235;"ООО ""СПУТНИКОВАЯ СВЯЗЬ""";61.30.1;Красноярский край;Кузминов Александр Васильевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
Grand Line;1;главный энергетик;;;9727045811;"ООО ""ГРАНД ЛАЙН""";46.31;г Москва;Шевченко Игорь Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;8
Поволжская строительная корпорация;1;главный энергетик;;;3442097957;"ООО ""ПОВОЛЖСКАЯ СТРОИТЕЛЬНАЯ КОРПОРАЦИЯ""";68.20.2;Волгоградская обл;Пименов Владимир Сергеевич;ДИРЕКТОР;1.0;8
МЕТРИКС Development;1;главный энергетик;;;5404957443;"ООО ""ЛИНЗА МЕТРИКС""";62.01;Новосибирская обл;Сердюков Алексей Андреевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.5;3
ООО УралГидроМашСервис;1;главный энергетик;;;7449147185;"ООО ""УГМС""";28.12.1;Челябинская обл;Шушарин Алексей Валерьевич;ДИРЕКТОР;0.0;2
ООО Грайнер Пэкэджин;1;главный энергетик;;;7733546844;"ООО ""ГРАЙНЕР ПЭКЭДЖИН СИСТЕМ""";22.22;Московская обл;Чернышев Алексей Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;2
Ирина Рудзик;1;главный энергетик;;;;;;;;;;0
Администрация Губернатора Забайкальского края;1;главный энергетик;;;7536095293;АДМИНИСТРАЦИЯ ГУБЕРНАТОРА ЗАБАЙКАЛЬСКОГО КРАЯ;84.11.21;Забайкальский край;Ганчар Никита Александрович;ПЕРВЫЙ ЗАМ.ПРЕДСЕД.ПРАВИТ-ВА ЗАБ.КР-ЗАМ.ГУБЕРНАТОРА ЗАБ.КР.-РУК-ТЕЛЬ АДМИНИСТРАЦ.ГУБЕРНАТОРА ЗАБ.КР;1.0;1
Мир специй, Производственно-торговый холдинг;1;главный энергетик;;;7810967423;"ООО ""МИР СПЕЦИЙ""";46.37;г Санкт-Петербург;Иванова Анна Анатольевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
АО Пензтеплоснабжение;1;главный энергетик;;да;5836631600;"АО ""ПЕНЗТЕПЛОСНАБЖЕНИЕ""";35.30.14;Пензенская обл;Ватаман Дмитрий Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Завод деревоизделий;1;главный энергетик;;да;;;;;;;;7
Арарат Парк Хаятт Москва;1;главный энергетик;;;;;;;;;;0
ООО ЖКУ;1;главный энергетик;;;;;;;;;;8
ООО РИИР Кемерово;1;главный энергетик;;;4205384443;"ООО ""РИИР КЕМЕРОВО""";38.21;Кемеровская область - Кузбасс;Капров Дмитрий Львович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО ТОЧИНВЕСТ-ШЗМК;1;главный энергетик;;;4502030750;"ООО ""ТОЧИНВЕСТ-ШЗМК""";25.11;Курганская обл;Ананьев Алексей Викторович;ДИРЕКТОР;1.0;1
Karl Schmidt Spedition GmbH Co. KG;1;главный энергетик;;;;;;;;;;0
Публично-правовая компания Военно-строительная компания;1;главный энергетик;;;;;;;;;;1
ООО Вертикаль;1;главный энергетик;;;9731141973;"ООО ""ВЕРТИКАЛЬ ИНВЕСТИЦИИ""";64.99;г Москва;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК КАПИТАЛ""";;1.0;8
Лакра;1;главный энергетик;;;9707049656;"АО ""ЛАКРА""";46.90;г Москва;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЦИНТИЛЛА""";;1.0;8
ООО ИНЭСИС;1;главный энергетик;;;9705125559;"ООО ""ИНЭСИС""";27.20;г Москва;Камашев Александр Сергеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;5
ООО Производственная Компания Контур;1;главный энергетик;;;6609010359;"ООО ""ПК КОНТУР""";22.21.9;Свердловская обл;Околелов Григорий Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.5;8
АО «Алтайэнергосбыт» (Энергосбыт, ЕИРЦ, НЭСК);1;главный энергетик;;да;2224103849;"АО ""АЛТАЙЭНЕРГОСБЫТ""";35.14;Алтайский край;Нагорнов Валерий Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;0
Операционные Системные Возможности;1;главный энергетик;;;;;;;;;;1
Компания Север;1;главный энергетик;;;8602257512;"АО ""ГК ""СЕВЕРАВТОДОР""";52.21.22;Ханты-Мансийский Автономный округ - Югра;Тудачков Роман Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;8
ООО Rostic’s Офис;1;главный энергетик;;;;;;;;;;0
ООО СПД БИРС;1;главный энергетик;;;1215151837;"ООО ""СПД ""БИРС""";28.14;Чувашская Республика - Чувашия;Сироткин Вадим Леонидович;УПРАВЛЯЮЩИЙ - ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ;1.0;1
ООО Форма;1;главный энергетик;;;5036118421;"ООО ""ФОРМА""";68.20.29;Московская обл;Косцов Юрий Владимирович;ДИРЕКТОР;1.0;8
Villeroy Boch Tableware division;1;главный энергетик;;;;;;;;;;0
ООО БСК Индустрия;1;главный энергетик;;;3233012692;"ООО ""БСК ИНДУСТРИЯ""";23.61.2;Брянская обл;Матюхин Денис Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Арсиспро;1;главный энергетик;;;5405505802;"ООО ""АРСИСПРО""";43.21;Новосибирская обл;Арсланов Руслан Маратович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;3
ООО Локтефф Групп;1;главный энергетик;;;;;;;;;;1
ООО Компания Хома;1;главный энергетик;;;5050033392;"ООО ""КОМПАНИЯ ХОМА""";20.30.1;Нижегородская обл;Резниченко Анастасия Александровна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ООО Евразийский рыбный центр;1;главный энергетик;;;;;;;;;;1
Группа компаний ВЕКТОР (ООО Арбелос);1;главный энергетик;;;2508000357;"ООО ""ГРУППА КОМПАНИЙ ""ВЕКТОР""";46.19;Приморский край;Панкрутский Алексей Игоревич;ДИРЕКТОР;1.0;0
ООО Пензенский Завод Энергетического Машиностроения;1;главный энергетик;;да;5835102403;"ООО ""ПЗЭМ""";25.29;Пензенская обл;Почивалов Евгений Владимирович;УПРАВЛЯЮЩИЙ - ИНДИВИДУАЛЬНЫЙ  ПРЕДПРИНИМАТЕЛЬ;0.0;2
ГалоПолимер;1;главный энергетик;;;7703665192;"АО ""ГАЛОПОЛИМЕР""";77.40;г Москва;Гневнов Артем Геннадьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;8
ВОЛМА;1;главный энергетик;;;3446019364;"ООО ""ВОЛМА""";23.62;Оренбургская обл;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""ВОЛМА""";;1.0;8
АО УК ГидроОГК;1;главный энергетик;;;5260096381;"АО ""УК ГИДРООГК""";70.22;Красноярский край;Миронов Юрий Валентинович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Флагманские Линии;1;главный механик;;;7714456786;"ООО ""ФЛАГМАНСКИЕ ЛИНИИ""";52.29;г Москва;Сибилев Андрей Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;1.0;1
ООО Русский Бизнес Концерн-РУБИКОН;1;главный механик;;;5262021430;"ООО ""РБК-РУБИКОН""";42.11;Нижегородская обл;Егиазарян Эдмон Егиазарович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;0.0;3
