srok;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik;marka;sreda_po_marke;istochnik_sredy
active;центробежный компрессор;77-ТУ-80096-2025;16.09.2025;7723006328;"АО ""ГАЗПРОМНЕФТЬ - МНПЗ""";"Заключение экспертизы промышленной безопасности № ЭПБ-06-00449-0006-2025 на техническое устройство компрессор центробежный К-250-61-5, поз. В-1/3, зав. №1420, установки производства битума, комплекса атмосферно-вакуумной переработки нефти, газофракционирования, висбрекинга и производства битума, Производства №1 - первичной переработки нефти и производства нефтепродуктов, АО ""Газпромнефть-МНПЗ""";ТУ;7709059631;"ЗАО ""ГИАП-ДИСТцентр""";соответствует;https://monitor-pb.ru/conclusion/77-%D0%A2%D0%A3-80096-2025;https://monitor-pb.ru/customer/7723006328;К-250-61-5;воздух;данные
active;центробежный компрессор;49-ТУ-87649-2024;20.12.2024;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";Заключение № 77-24 -24 экспертизы промышленной безопасности на техническое устройство: центробежный компрессор типа ЦК-135/8, техн. № 671ГПА-01, зав. № 84026, применяемый на установке № 33 цеха № 1 филиала Оренбургский гелиевый завод ООО «Газпром переработка» (ОПО: Площадка 1 очереди газоперерабатывающего производства Оренбургского гелиевого завода);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-87649-2024;https://monitor-pb.ru/customer/1102054991;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;49-ТУ-87490-2024;20.12.2024;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";Заключение № 81-24 -24 экспертизы промышленной безопасности на техническое устройство: центробежный компрессор типа ЦК-135/8, техн. № 471ГПА-01-02, зав. № 81004, применяемый на установке № 43 цеха № 2 филиала Оренбургский гелиевый завод ООО «Газпром переработка» (ОПО: Площадка 2 очереди газоперерабатывающего производства Оренбургского гелиевого завода);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-87490-2024;https://monitor-pb.ru/customer/1102054991;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;49-ТУ-87515-2024;20.12.2024;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";Заключение № 83-24 -24 экспертизы промышленной безопасности на техническое устройство: центробежный компрессор типа ЦК-135/8, техн. № 454Кр-01-02, зав. № 80003, применяемый на установке № 22 цеха № 2 филиала Оренбургский гелиевый завод ООО «Газпром переработка» (ОПО: Площадка 2 очереди газоперерабатывающего производства Оренбургского гелиевого завода);ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-87515-2024;https://monitor-pb.ru/customer/1102054991;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;51-ТУ-627070-2026;15.01.2026;5191431170;"АО ""КОЛЬСКАЯ ГМК""";Заключение экспертизы промышленной безопасности № КГМК/2544-2024-001-965 Объект экспертизы: Маслоотделитель МА 9,5 центробежного компрессора К-250-61-5 ст. № 3, инв. № 890100018079, АО «Кольская Горно-Металлургическая Компания» по адресу: Мурманская область, г. Заполярный Регистрационный номер ОПО: А26-00430-0040 «Площадка цеха энерго и электроснабжения» Класс опасности ОПО: II;ТУ;7841070104;"ООО ""СТЭК""";соответствует;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-627070-2026;https://monitor-pb.ru/customer/5191431170;К-250-61-5;воздух;данные
active;центробежный компрессор;51-ТУ-720737-2026;02.03.2026;5191431170;"АО ""КОЛЬСКАЯ ГМК""";Заключение экспертизы промышленной безопасности № КГМК/62-2026-001-893 Объект экспертизы: Маслоотделитель МР 9,5 центробежного компрессора К-250-61-5, ст. № 1, инв. № 20187, АО «Кольская Горно-Металлургическая Компания» Мурманская область, г. Заполярный Регистрационный номер ОПО: А26-00430-00040, «Площадка цеха энерго и электроснабжения, ТЭЦ» Класс опасности ОПО: III класс;ТУ;7841070104;"ООО ""СТЭК""";соответствует;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-720737-2026;https://monitor-pb.ru/customer/5191431170;К-250-61-5;воздух;данные
active;центробежный компрессор;51-ТУ-787887-2026;14.04.2026;5191431170;"АО ""КОЛЬСКАЯ ГМК""";Заключение экспертизы промышленной безопасности № КГМК/62-2026-001-892 Объект экспертизы: Маслоотделитель МР 9,5 центробежного компрессора К-250-61-5, ст. № 2, инв. № 64854, АО «Кольская Горно-Металлургическая Компания», Мурманская область, г. Заполярный Регистрационный номер ОПО: А26-00430-0040, «Площадка цеха энерго и электроснабжения, ТЭЦ» Класс опасности ОПО: III класс;ТУ;7841070104;"ООО ""СТЭК""";соответствует;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-787887-2026;https://monitor-pb.ru/customer/5191431170;К-250-61-5;воздух;данные
active;центробежный компрессор;51-ТУ-857636-2026;03.06.2026;5191431170;"АО ""КОЛЬСКАЯ ГМК""";Заключение экспертизы промышленной безопасности № КГМК/62-2026-001-928 Объект экспертизы: Центробежный компрессор К250-61-5, ст. № 2, инв. № 64854, эксплуатируемый АО «Кольская Горно-Металлургическая Компания» расположенным по адресу: Мурманская обл., Печенгский п-н, г. Заполярный Регистрационный номер ОПО: А26-00430-0040, «Площадка цеха энерго и электроснабжения» Класс опасности ОПО: III;ТУ;7841070104;"ООО ""СТЭК""";соответствует;https://monitor-pb.ru/conclusion/51-%D0%A2%D0%A3-857636-2026;https://monitor-pb.ru/customer/5191431170;К250-61-5;воздух;модель
active;центробежный компрессор;56-ТУ-774066-2026;04.04.2026;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";«Компрессор центробежный ЦК-135/8», зав. №80005, техн. №454Кр-01-04, инв. №123097, применяемое на опасном производственном объекте ООО «Газпром переработка», «Площадка 2 очереди газоперерабатывающего производства Оренбургского гелиевого завода», Рег. № ОПО А19-10619-0039, Класс опасности ОПО II, Установка № 22 получения гелия из гелиевого концентрата II очереди Оренбургского гелиевого завода;ТУ;7017206228;"ООО ""ДЕЛЬТА-ПРОЕКТ""";соответствует;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-774066-2026;https://monitor-pb.ru/customer/1102054991;ЦК-135/8;воздух;модель-переспрос
active;центробежный компрессор;01-ТУ-30931-2023;23.11.2023;7723006328;"АО ""ГАЗПРОМНЕФТЬ - МНПЗ""";"Заключение экспертизы промышленной безопасности №ЭПБ-06-00088-0001-2023 на техническое устройство: компрессор центробежный К 250-61-5, поз. В-1/2, зав. 1380, установки производства битума, комплекса атмосферно-вакуумной переработки нефти, газофракционирования, висбрекинга и производства битума, производства №1 - первичной переработки нефти и производства нефтепродуктов, АО ""Газпромнефть-МНПЗ""";ТУ;7709059631;"ЗАО ""ГИАП-ДИСТцентр""";соответствует;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-30931-2023;https://monitor-pb.ru/customer/7723006328;К 250-61-5;технологический газ;модель
active;центробежный компрессор;49-ТУ-18333-2024;21.03.2024;0274051582;"ПАО АНК ""БАШНЕФТЬ""";техническое устройство, применяемое на опасном производственном объекте «Площадка газокаталитического производства филиала ПАО АНК «Башнефть» «Башнефть-Новойл»» I класса опасности, рег. № А41-05559-0005 – Центробежный компрессор BCL-603, зав. №9196, инв. №10033130, поз. №К-201, установка «Жекса» Эксплуатирующая организация: ПАО АНК «Башнефть», Филиал ПАО АНК «Башнефть» «Башнефть-Новойл»;ТУ;1903018410;"ООО ""ЭТАЛОН"" (ИНН 1903018410)";соответствует;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-18333-2024;https://monitor-pb.ru/customer/0274051582;BCL-603;технологический газ;модель
active;центробежный компрессор;67-ТУ-16063-2024;16.10.2024;7840346335;"АО ""ГРУППА ""ИЛИМ""";на техническое устройство – Компрессор центробежный ХТК-2,5/3,5 поз. 65(5), зав. № 90004, применяемое на опасном производственном объекте: «Площадка хлорного производства» (рег. № А19-07153-0102 от 25.11.2015 г., класс опасности I). Место установки объекта: Филиал АО «Группа «Илим» в г. Братске, Хлорное производство, цех 1;ТУ;3808197586;"ООО ""ТЕХРЕГЛАМЕНТ""";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-16063-2024;https://monitor-pb.ru/customer/7840346335;ХТК-2,5/3,5;технологический газ;модель
active;центробежный компрессор;67-ТУ-16066-2024;16.10.2024;7840346335;"АО ""ГРУППА ""ИЛИМ""";на техническое устройство – Компрессор центробежный ХТК-2,5/3,5 поз. 65(1), зав. № 88002, применяемое на опасном производственном объекте: «Площадка хлорного производства» (рег. № А19-07153-0102 от 25.11.2015 г., класс опасности I). Место установки объекта: Филиал АО «Группа «Илим» в г. Братске, Хлорное производство, цех 1;ТУ;3808197586;"ООО ""ТЕХРЕГЛАМЕНТ""";соответствует;https://monitor-pb.ru/conclusion/67-%D0%A2%D0%A3-16066-2024;https://monitor-pb.ru/customer/7840346335;ХТК-2,5/3,5;технологический газ;модель
active;центробежный компрессор;16-ТУ-84136-2025;17.07.2025;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";Заключение № 2024-0969-ТУ экспертизы промышленной безопасности на технические устройства: Компрессор центробежный АТКП-435-1600, поз. № М-104/3, зав. № 78003, применяемое на опасном производственном объекте «База товарно-сырьевая №2», рег.№ А43-00503-0021, класс опасности I, производство №8802, управление ТСБ, ПАО «Нижнекамскнефтехим», г. Нижнекамск, Республика Татарстан Заказчик: ПАО «Нижнекамскнефтехим», г. Нижнекамск, Республика Татарстан;ТУ;1659107646;"ООО ""ПЭЦ ""ПРИКАМЬЕ""";соответствует;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-84136-2025;https://monitor-pb.ru/customer/1651000010;АТКП-435-1600;природный газ;данные
active;центробежный компрессор;16-ТУ-84166-2025;17.07.2025;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";Заключение № 2024-0968-ТУ экспертизы промышленной безопасности на технические устройства: Компрессор центробежный АТКП-435-1600, поз. № М-104/5, зав. № 78005, применяемое на опасном производственном объекте «База товарно-сырьевая №2», рег.№ А43-00503-0021, класс опасности I, производство №8802, управление ТСБ, ПАО «Нижнекамскнефтехим», г. Нижнекамск, Республика Татарстан Заказчик: ПАО «Нижнекамскнефтехим», г. Нижнекамск, Республика Татарстан;ТУ;1659107646;"ООО ""ПЭЦ ""ПРИКАМЬЕ""";соответствует;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-84166-2025;https://monitor-pb.ru/customer/1651000010;АТКП-435-1600;природный газ;данные
active;центробежный компрессор;18-ТУ-17880-2025;06.05.2025;7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";техническое устройство: компрессор центробежный марки К-250-61-5, зав. № 810 поз. К-4, применяемое на опасном производственном объекте: Площадка цеха ресурсообеспечения (Цех № 17), рег. № А18-00055-0010, IV класс опасности. Наименование Заказчика (Владелец) ПАО «Славнефть-ЯНОС». Эксплуатирующая организация: ПАО «Славнефть-ЯНОС». Адрес ОПО: 150023, Ярославская область, г. Ярославль, Московский проспект, дом 150;ТУ;7719481497;"ООО ""ЭКСПРОМ-М""";соответствует;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-17880-2025;https://monitor-pb.ru/customer/7601001107;К-250-61-5;воздух;данные
active;центробежный компрессор;42-ТУ-858086-2026;04.06.2026;4219000048;"АО  ""ЦОФ ""Абашевская""""";"технические устройства: технологическое оборудование цеха «ВШХ»: Насос центробежный секционный НЦС180-340, инв. № 6661, поз. № 1914, зав. № 180053; Углесос У900/90, поз. 1916, зав. № 13, инв. № 6575; технологическое оборудование цеха «Сушки»: Компрессор поршневой ЕСР 630-250, инв.№ 6741, зав. № 24318-7219752; Насос центробежный шламовый ШН250-34, инв. № 6559, поз. № 1038, зав. № 2301, технологическое оборудование цеха «ПСХ»: Насос центробежный двусторонний Д320-50, инв. № 6668, поз. №1414, зав. № 7У6; технологическое оборудование цеха «Обогащение»: Грохот инерционный ГИСТ72-2, поз. 491, зав. № 6106C, инв. № 6418, применяемое на опасном производственном объекте II класса опасности АО «ЦОФ «Абашевская», расположенном по адресу: 654086, Россия, Кемеровская обл. - Кузбасс, г. Новокузнецк, туп Стрелочный, (Орджоникидзевский р-н), Д.12";ТУ;4216000113;"АО ""СШМНУ""";соответствует;https://monitor-pb.ru/conclusion/42-%D0%A2%D0%A3-858086-2026;https://monitor-pb.ru/customer/4219000048;У900/90;воздух;модель
active;центробежный компрессор;16-ТУ-484629-2025;21.11.2025;1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";ЗАКЛЮЧЕНИЕ № 2025-УТНГП-249-НКО-ТУ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: вертикальный центробежный компрессор LMC-331F, зав.№ 92428949, техн.№ К201А, применяемый на опасном производственном объекте: «Площадка по производству нефтепродуктов Елховского нефтеперерабатывающего завода»)», рег.№А43-01519-1002, класс опасности – I, ПАО «Татнефть» им.В.Д.Шашина, Республика Татарстан, г.Альметьевск;ТУ;1644096286;"ООО МИП ""НЭС ПРОФЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-484629-2025;https://monitor-pb.ru/customer/1644003838;LMC-331;природный газ;модель-переспрос
active;центробежный компрессор;16-ТУ-484639-2025;21.11.2025;1644003838;"ПАО ""ТАТНЕФТЬ"" ИМ. В.Д. ШАШИНА";ЗАКЛЮЧЕНИЕ № 2025-УТНГП-250-НКО-ТУ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: вертикальный центробежный компрессор LMC-331F, зав.№ 92428950, техн.№ К201В, применяемый на опасном производственном объекте: «Площадка по производству нефтепродуктов Елховского нефтеперерабатывающего завода»)», рег.№А43-01519-1002, класс опасности – I, ПАО «Татнефть» им.В.Д.Шашина, Республика Татарстан, г.Альметьевск;ТУ;1644096286;"ООО МИП ""НЭС ПРОФЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-484639-2025;https://monitor-pb.ru/customer/1644003838;LMC-331;природный газ;модель-переспрос
active;центробежный компрессор;18-ТУ-00268-2024;17.01.2024;7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";техническое устройство модернизированный центробежный компрессор 5 VR 200/490 поз. ЦК-1, зав. №85.000/1 с цилиндром сжатия модификации 5 VR 200/490G, применяемый на опасном производственном объекте Площадка цеха №3 «Каталитического производства» регистрационный №А18-00055-0007 ПАО «Славнефть-ЯНОС», I класс опасности;ТУ;7814596346;"ООО ""Единый Инновационно-Технический Центр""";соответствует;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-00268-2024;https://monitor-pb.ru/customer/7601001107;VR 200/490;технологический газ;модель
active;центробежный компрессор;53-ТУ-01008-2025;09.06.2025;6323049893;"ООО ""ТОЛЬЯТТИКАУЧУК""";ЗАКЛЮЧЕНИЕ № 2025-ТК-0109-НКО-ТУ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство: Центробежный компрессор Э-200-31-1, зав. № 72, техн. № 20/1, применяемое на опасном производственном объекте «Площадка переработки мономеров и производства синтетического каучука», рег.№ А53-01264-0020, класс опасности – I, Установка получения изопрена термическим разложением диметилдиоксана (И-8), ООО «Тольяттикаучук», Самарская область, г. Тольятти.;ТУ;1644096286;"ООО МИП ""НЭС ПРОФЭКСПЕРТ""";соответствует;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-01008-2025;https://monitor-pb.ru/customer/6323049893;Э-200-31-1;технологический газ;модель
active;центробежный компрессор;61-ТУ-34436-2021;29.12.2021;5501041254;"АО ""ГАЗПРОМНЕФТЬ-ОНПЗ""";Заключение № 2021-12-0468 экспертизы промышленной безопасности на техническое устройство – центробежный компрессор (нагнетатель) Н900-31-4М, зав. № 99.201.1, тех. № ЦК-201/1 применяемый на опасном производственном объекте – площадке комбинированной установки глубокой переработки мазута КТ-1/1 Производства №2 АО «Газпромнефть-Омский НПЗ».;ТУ;5501254365;"ООО ""Центр технической безопасности и диагностики ""Полисервис""";соответствует;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-34436-2021;https://monitor-pb.ru/customer/5501041254;Н900-31-4М;природный газ;модель
active;центробежный компрессор;18-ТУ-00128-2023;11.01.2023;7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";на техническое устройство: компрессор центробежный 5ГЦ-400-0,3-1,7, зав. № 81001, поз. ЦК-403/2, установки С-400 цеха по производству масел и парафинов № 6, эксплуатируемый ПАО «Славнефть-ЯНОС» на опасном производственном объекте Площадка цеха № 6 «Производства масел и парафинов (КМ-2)» ,рег. № А18-00055-0008, I класс опасности;ТУ;5029124262;"ООО ""ПРОММАШ ТЕСТ"" (ИНН 5029124262)";соответствует;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-00128-2023;https://monitor-pb.ru/customer/7601001107;С-400;природный газ;данные
active;центробежный компрессор;18-ТУ-15293-2022;01.12.2022;7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";на техническое устройство:компрессор центробежный АТКП-435-1600, зав. № 82001, поз. ЦК-201Р, установки депарафинизации рафинатов и обезмасливания парафинов С-400 (Г-39/40) производства КМ-2, эксплуатируемый ПАО «Славнефть-ЯНОС» на опасном производственном объекте Площадка цеха № 6 «Производства масел и парафинов (КМ-2)» (рег. № А18-00055-0008, I класс опасности).;ТУ;5029124262;"ООО ""ПРОММАШ ТЕСТ"" (ИНН 5029124262)";соответствует;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-15293-2022;https://monitor-pb.ru/customer/7601001107;АТКП-435-1600;природный газ;данные
active;центробежный компрессор;58-ТУ-41633-2023;01.12.2023;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";Заключение экспертизы промышленной безопасности № 604-СЗСК-23 на техническое устройство: центробежный компрессор 4ГЦ2-230/24-31, тех. поз. ЦК-101/1, зав. № 93001, эксплуатируемый в компрессорном отделении комплекса облагораживания моторных топлив филиала Сургутский ЗСК ООО «Газпром переработка» (ОПО: Площадка вторичных процессов нефтеперерабатывающего производства Завода по стабилизации конденсата имени В.С. Черномырдина).;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-41633-2023;https://monitor-pb.ru/customer/1102054991;ЦК-101/1;природный газ;данные
active;центробежный компрессор;58-ТУ-41634-2023;01.12.2023;1102054991;"ООО ""ГАЗПРОМ ПЕРЕРАБОТКА""";Заключение экспертизы промышленной безопасности № 610-СЗСК-23 на техническое устройство: центробежный компрессор 4ГЦ2-230/24-31, тех. поз. ЦК-101/2, зав. № 94001, эксплуатируемый в компрессорном отделении комплекса облагораживания моторных топлив филиала Сургутский ЗСК ООО «Газпром переработка» (ОПО: Площадка вторичных процессов нефтеперерабатывающего производства Завода по стабилизации конденсата имени В.С. Черномырдина).;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-41634-2023;https://monitor-pb.ru/customer/1102054991;ЦК-101/2;природный газ;данные
active;центробежный компрессор;21-ТУ-815445-2026;05.05.2026;2124009521;"ПАО ""ХИМПРОМ""";ЗАКЛЮЧЕНИЕ № 6804-2-13 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство, применяемое на опасном производственном объекте Объект: Компрессор центробежный КТК-12,5/35 поз. 1/1 инв. № 61468 Место расположения: 429965, Чувашская Республика, город Новочебоксарск, улица Промышленная, 101 Эксплуатирующая организация: Публичное акционерное общество «Химпром» Наименование ОПО: Цех производства пергидроля Рег. № ОПО / Класс опасности: А44-31171-0017 / I класс опасности Цех/корпус 50 / 534;ТУ;3327112205;"ООО ""ДИС""";соответствует;https://monitor-pb.ru/conclusion/21-%D0%A2%D0%A3-815445-2026;https://monitor-pb.ru/customer/2124009521;КТК-12,5/35;кислород;данные
active;центробежный компрессор;18-ТУ-00028-2023;09.01.2023;7601001107;"ПАО ""СЛАВНЕФТЬ-ЯНОС""";на техническое устройство: компрессор центробежный АТКП-435-1600, зав. № 90003, поз. ЦК-402/1, установки депарафинизации рафинатов и обезмасливания парафинов С-400 (Г-39/40) цеха по производству масел и парафинов № 6, эксплуатируемый ПАО «Славнефть-ЯНОС» на опасном производственном объекте Площадка цеха № 6 «Производства масел и парафинов (КМ-2)» (рег. № А18-00055-0008, I класс опасности);ТУ;5029124262;"ООО ""ПРОММАШ ТЕСТ"" (ИНН 5029124262)";соответствует;https://monitor-pb.ru/conclusion/18-%D0%A2%D0%A3-00028-2023;https://monitor-pb.ru/customer/7601001107;АТКП-435-1600;природный газ;данные
active;центробежный компрессор;43-ТУ-09819-2024;23.04.2024;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";ЗАКЛЮЧЕНИЕ № 3901/03-23 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство «Компрессор центробежный марки КТК-12,5/35 (зав.№81009, техн.№ 31/), применяемое на опасном производственном объекте «Площадка производства олигомеров» Рег.№ А43-00503-0006, класс опасности I. ПАО «Нижнекамскнефтехим», 423570, Республика Татарстан, город Нижнекамск, завод ОиГ, цех 6708». Эксплуатирующая организация: ПАО «Нижнекамскнефтехим», 423570, РФ, Республика Татарстан, г. Нижнекамск;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-09819-2024;https://monitor-pb.ru/customer/1651000010;КТК-12,5/35;кислород;данные
active;центробежный компрессор;43-ТУ-306585-2023;31.08.2023;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";ЗАКЛЮЧЕНИЕ № 3188/03-23 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство «Компрессор центробежный марки К-250-61-2 (зав.№734, техн.№ М-902I), применяемое на опасном производственном объекте «Площадка производства стирола и полиэфирных смол», рег. № А43-00503-0007, класс опасности I. ПАО «Нижнекамскнефтехим», 423570, Республика Татарстан, город Нижнекамск, цех 2505, завод СПС» Эксплуатирующая организация: ПАО «Нижнекамскнефтехим», 423570, РФ, Республика Татарстан, г. Нижнекамск;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-306585-2023;https://monitor-pb.ru/customer/1651000010;К-250-61-2;технологический газ;модель
active;центробежный компрессор;39-ТУ-11737-2022;11.07.2022;3448003962;"АО ""КАУСТИК""";технические устройства: Компрессор центробежный ХТК-2,5/3,5 М зав.№2049920023 поз.63-1, цех 6 корпус 3-1 ОПО- Площадка АО «КАУСТИК» производства соды каустической ртутным и диафрагменным методом, жидкого хлора, синтетической соляной кислоты, хлорметила, хлорированных органических соединений, каустической соды плавленой, винилиденхлорида технического, хлорвинила, полихлорвиниловой смолы и товаров бытовой химии рег.№А39-00003-0001;ТУ;3448051282;"ООО ""Центр испытаний, оценки соответствия и экспертиз""";соответствует;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-11737-2022;https://monitor-pb.ru/customer/3448003962;ХТК-2,5/3,5 М;технологический газ;модель
active;центробежный компрессор;43-ТУ-06137-2024;14.03.2024;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";ЗАКЛЮЧЕНИЕ № 3948/03-23 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство Компрессор центробежный марки К-345-92-1 (зав.№6615, техн.№ 25/1), применяемый на опасном производственном объекте «Площадка производства олигомеров» Рег.№ А43-00503-0008, класс опасности I. ПАО «Нижнекамскнефтехим», 423570, Республика Татарстан, город Нижнекамск, завод ОиГ, цех 6708» Эксплуатирующая организация: ПАО «Нижнекамскнефтехим», 423570, РФ, Республика Татарстан, г. Нижнекамск;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-06137-2024;https://monitor-pb.ru/customer/1651000010;К-345-92-1;азот;модель-переспрос
active;центробежный компрессор;43-ТУ-09820-2024;23.04.2024;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";ЗАКЛЮЧЕНИЕ № 3949/03-23 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство Компрессор центробежный марки КТК-12,5/35 (зав.№80013, техн.№ 31/1), применяемое на опасном производственном объекте «Площадка производства олигомеров» Рег.№ А43-00503-0006, класс опасности I. ПАО «Нижнекамскнефтехим», 423570, Республика Татарстан, город Нижнекамск, завод ОиГ, цех 6708». Эксплуатирующая организация: ПАО «Нижнекамскнефтехим», 423570, РФ, Республика Татарстан, г. Нижнекамск;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-09820-2024;https://monitor-pb.ru/customer/1651000010;КТК-12,5/35;кислород;данные
active;центробежный компрессор;43-ТУ-306156-2023;30.08.2023;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";ЗАКЛЮЧЕНИЕ № 3189/03-23 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство «Компрессор центробежный марки К-250-61-2 (зав.№843, техн.№ М-902 III), применяемый на опасном производственном объекте «Площадка производства стирола и полиэфирных смол», рег. № А43-00503-0007, класс опасности I. ПАО «Нижнекамскнефтехим», 423570, Республика Татарстан, город Нижнекамск, цех 2505, завод СПС» Эксплуатирующая организация: ПАО «Нижнекамскнефтехим», 423570, РФ, Республика Татарстан, г. Нижнекамск;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-306156-2023;https://monitor-pb.ru/customer/1651000010;К-250-61-2;технологический газ;модель
active;центробежный компрессор;43-ТУ-306582-2023;31.08.2023;1651000010;"ПАО ""НИЖНЕКАМСКНЕФТЕХИМ""";ЗАКЛЮЧЕНИЕ № 3189/03-23 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство «Компрессор центробежный марки К-250-61-2 (зав.№843, техн.№ М-902 III), применяемый на опасном производственном объекте «Площадка производства стирола и полиэфирных смол», рег. № А43-00503-0007, класс опасности I. ПАО «Нижнекамскнефтехим», 423570, Республика Татарстан, город Нижнекамск, цех 2505, завод СПС» Эксплуатирующая организация: ПАО «Нижнекамскнефтехим», 423570, РФ, Республика Татарстан, г. Нижнекамск;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-306582-2023;https://monitor-pb.ru/customer/1651000010;К-250-61-2;технологический газ;модель
