organizator_na_ploshchadke;inn_dadata;egrul_nazvanie;okved;region;score_sopostavleniya;nash_iz_543;zapros;predmet_lota;summa;sekciya;nomer;data_publikacii
"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЖИЛИЩНОЕ АГЕНТСТВО КРАСНОГВАРДЕЙСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА""";7806051469;КРАСНОГВАРДЕЙСКОЕ РЖА;68.32.1;г Санкт-Петербург;0.0;;воздуходувка;Поставка воздуходувок Красногвардейскому РЖА для нужд Санкт-Петербурга в 2026 году.;798 083.25;Госзакупки по 44-ФЗ;0372200067926000046;12.05.2026 11:30
"СИВИНСКИЙ ФИЛИАЛ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ПЕРМСКОГО КРАЯ ""ГОСЛЕСХОЗ""";5921034926;"СИВИНСКИЙ ФИЛИАЛ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ПЕРМСКОГО КРАЯ ""ГОСЛЕСХОЗ""";;Пермский край;1.0;;турбокомпрессор;Турбокомпрессор;136 040.00;Госзакупки по 44-ФЗ;0356500007326000038;15.06.2026 12:25
"СИВИНСКИЙ ФИЛИАЛ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ПЕРМСКОГО КРАЯ ""ГОСЛЕСХОЗ""";5921034926;"СИВИНСКИЙ ФИЛИАЛ ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ПЕРМСКОГО КРАЯ ""ГОСЛЕСХОЗ""";;Пермский край;1.0;;турбокомпрессор;Турбокомпрессор;136 040.00;Госзакупки по 44-ФЗ;0356500007326000037;10.06.2026 12:22
"СОСНОВЕЦКИЙ РАЙОН ГИДРОСООРУЖЕНИЙ-ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ""АДМИНИСТРАЦИЯ БЕЛОМОРСКО-ОНЕЖСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";1013000200;"СОСНОВЕЦКИЙ РАЙОН ГИДРОСООРУЖЕНИЙ-ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ""АДМИНИСТРАЦИЯ БЕЛОМОРСКО-ОНЕЖСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";;Респ Карелия;1.0;;воздуходувка;Поставка бензоинструментов (воздуходувка);31  000.00;Госзакупки по 44-ФЗ;0306100011626000037;07.07.2026 12:09
Симакин Виталий Геннадьевич;;;;;;;центробежный компрессор;"Повторные торги залоговое имущество ООО ""Камышинская отделочная фабрика""";228 977 766.00;Продажа имущества (предприятия) банкротов;SBR013-1803270006.1;27.03.2018 14:59
Симакин Виталий Геннадьевич;;;;;;;центробежный компрессор;"Первые торги залоговое имущество ООО ""Камышинская отделочная фабрика""";254 419 740.00;Продажа имущества (предприятия) банкротов;SBR013-1801240002.1;24.01.2018 10:30
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МЕЖДУНАРОДНЫЙ ДЕТСКИЙ ЦЕНТР ""АРТЕК""";9103003070;"ФГБОУ ""МДЦ ""АРТЕК""";85.41.9;Респ Крым;0.11;;воздуходувка;Поставка воздуходувки Рутса для канализационных очистных сооружений;5  182 180.64;Госзакупки по 44-ФЗ;0375100001226000292;10.06.2026 16:00
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""МЕЖДУНАРОДНЫЙ ДЕТСКИЙ ЦЕНТР ""АРТЕК""";9103003070;"ФГБОУ ""МДЦ ""АРТЕК""";85.41.9;Респ Крым;0.11;;воздуходувка;Поставка воздуходувки Рутса для канализационных очистных сооружений;5  182 180.64;Госзакупки по 44-ФЗ;0375100001226000250;25.05.2026 15:54
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""БАШКИРСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";0274023088;ФГБОУ ВО БГМУ МИНЗДРАВА РОССИИ;86.10;Респ Башкортостан;0.0;;воздуходувка;"Поставка инструментов (бензопилы, пилы цепные, воздуходувки, дрели, кусторезы, фены) для нужд санатория ""Глуховская"" ФГБОУ ВО БГМУ Минздрава России.";84  851.59;Госзакупки по 44-ФЗ;0301100049626000801;25.05.2026 09:59
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ИМЕНИ В.А. АЛМАЗОВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";7802030429;"ФГБУ ""НМИЦ ИМ. В.А. АЛМАЗОВА"" МИНЗДРАВА РОССИИ";86.10;г Санкт-Петербург;0.07;;компрессор;Аварийная поставка герметичного спирального компрессора;381 878.33;Госзакупки по 44-ФЗ;0372100049626001723;27.07.2026 17:39
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СПЕЦИАЛЬНЫЙ ЛЕТНЫЙ ОТРЯД ""РОССИЯ"" УПРАВЛЕНИЯ ДЕЛАМИ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ";7732537999;"ФГБУ ""СЛО ""РОССИЯ""";51.10.2;г Москва;0.08;;центробежный компрессор;Поставка компрессоров воздушных центробежных для поддержания летной годности воздушных судов Ту-214;5  555 160.00;Госзакупки по 44-ФЗ;0373100003519000523;31.10.2019 14:25
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 16 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН""";0266014611;ФКУ ИК-16 УФСИН РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН;25.62;Респ Башкортостан;0.17;;компрессор;Прочая закупка товара (приобретение запасных частей и комплектующих для компрессора ДЭН 55Ш);306 340.66;Госзакупки по 44-ФЗ;0301100000726000048;08.07.2026 12:40
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 35 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО РЕСПУБЛИКЕ ХАКАСИЯ""";1901045802;ФКУ ИК-35 УФСИН РОССИИ ПО РЕСПУБЛИКЕ ХАКАСИЯ;84.23.4;Респ Хакасия;0.17;;турбокомпрессор;Турбокомпрессор;50  550.00;Госзакупки по 44-ФЗ;0380100004526000075;05.06.2026 07:50
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 35 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО РЕСПУБЛИКЕ ХАКАСИЯ""";1901045802;ФКУ ИК-35 УФСИН РОССИИ ПО РЕСПУБЛИКЕ ХАКАСИЯ;84.23.4;Респ Хакасия;0.17;;турбокомпрессор;Турбокомпрессор;50  550.00;Госзакупки по 44-ФЗ;0380100004526000074;04.06.2026 13:03
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕНИЕ ИСПРАВИТЕЛЬНЫХ КОЛОНИЙ № 30 ГЛАВНОГО УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО КРАСНОЯРСКОМУ КРАЮ""";;;;;;;центробежный компрессор;поставка компрессора воздушного, вентилятора центробежного и сварочного оборудования;791 901.37;Госзакупки по 44-ФЗ;0319100012916000094;09.06.2016 10:30
ФОНД ИМУЩЕСТВА КАЛУЖСКОЙ ОБЛАСТИ;4000000216;ФОНД ИМУЩЕСТВА КАЛУЖСКОЙ ОБЛАСТИ;63.11.1;Калужская обл;1.0;;воздуходувка;Поставка ранцевой воздуходувки (Реестровый номер: 52 ЗК-25/26утп);17  280.00;Закупки по 223-ФЗ;SBR003-260020353700089.1;07.05.2026 16:25
"отряд ФПС ГПС - Ставропольский филиал ФГБУ ""Управление ДП ФПС ГПС № 5""";3414016385;"ОТРЯД ФЕДЕРАЛЬНОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ ГОСУДАРСТВЕННОЙ ПРОТИВОПОЖАРНОЙ СЛУЖБЫ - СТАВРОПОЛЬСКИЙ ФИЛИАЛ ФГБУ ""УПРАВЛЕНИЕ ДП ФПС ГПС № 5""";;Ставропольский край;1.0;;компрессор;Поставка  расходных  материалов и комплектующих для дыхательных аппаратов и воздушных компрессоров;961 986.54;Закупки по 223-ФЗ;SBR003-260632909300007.1;14.07.2026 09:53
"федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Пермский национальный исследовательский политехнический университет""";;;;;;;центробежный компрессор;Приобретение комплектующих с целью  замены и ремонта  комплекса для исследования газодинамических процессов  в модельных ступенях центробежных компрессоров 1522;1  800 000.00;Госзакупки по ФЗ-94;0356100010111000521;18.11.2011 15:25
"федеральное государственное бюджетное образовательное учреждение высшего профессионального образования ""Пермский национальный исследовательский политехнический университет""";;;;;;;центробежный компрессор;Приобретение комплектующих с целью  замены и ремонта  комплекса для исследования газодинамических процессов  в модельных ступенях центробежных компрессоров 1296;1  800 000.00;Госзакупки по ФЗ-94;0356100010111000388;16.09.2011 14:27
