nomer;predmet;tip;zakazchik;zakazchik_inn;organizator;organizator_inn;cena;data_nachala;data_okonchaniya;status;region;ssylka;centrobezhnyy_predmet;klyuch;istochnik;data_sbora
4555976;Поставка компрессора и насосов;закупка по потребностям;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ НАЧАЛЬНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №99 ПЕТРОГРАДСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;7813288300;;;39046;19.06.2023;20.06.2023;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/4555976;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4457705;Поставка поршневых компрессоров;закупка по потребностям;"МУЖКП ""КОТЕЛЬНИКИ""";5027048658;;;72577.6;27.03.2023;30.03.2023;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/4457705;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4425661;Приобретение автомобильных компрессоров;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ МОСКОВСКОЙ ОБЛАСТИ ""СЕРГИЕВО-ПОСАДСКИЙ ДОМ-ИНТЕРНАТ СЛЕПОГЛУХИХ ДЛЯ ДЕТЕЙ И МОЛОДЫХ ИНВАЛИДОВ""";5042010909;;;34500;01.03.2023;09.03.2023;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/4425661;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9480060;Компрессор Rothenberger Ropuls;котировочная сессия;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ФИНАНСОВО-ХОЗЯЙСТВЕННОЕ УПРАВЛЕНИЕ""";7710177774;;;206400;30.01.2023;30.01.2023;Проведена;г Москва;https://zakupki.mos.ru/auction/9480060;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4281233;Поставка автомобильного компрессора;закупка по потребностям;"СПБ ГАУК ""Театр ""Мюзик-Холл""";7813046420;;;3550;23.11.2022;28.11.2022;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/4281233;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3872406;Поставка компрессоров автомобильных;закупка по потребностям;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""МОСОБЛЛЕС""";5038004331;;;146160;26.11.2021;30.11.2021;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/3872406;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3838853;поставка компрессора винтового;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ТЮМЕНСКОЙ ОБЛАСТИ ""ЦЕНТР ТРАНСПОРТНОГО ОБЕСПЕЧЕНИЯ"" УПРАВЛЕНИЯ ДЕЛАМИ ПРАВИТЕЛЬСТВА ТЮМЕНСКОЙ ОБЛАСТИ""";7203234663;;;581932.14;29.10.2021;31.10.2021;Отменена;обл Тюменская;https://zakupki.mos.ru/need/3838853;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3784464;Поставка компрессора стоматологического;закупка по потребностям;"ГБУЗ МО ""СОЛНЕЧНОГОРСКАЯ ОБЛАСТНАЯ БОЛЬНИЦА""";5044119676;;;28000;26.08.2021;30.08.2021;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/3784464;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3744307;Поставка поршневого компрессора.;закупка по потребностям;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ФЕЛЬДШЕРСКИЙ КОЛЛЕДЖ""";7804031675;;;20910;08.07.2021;09.07.2021;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/3744307;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3645959;Поставка компрессоров с комплектующими;закупка по потребностям;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 303 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ НЕМЕЦКОГО ЯЗЫКА И ПРЕДМЕТОВ ХУДОЖЕСТВЕННО-ЭСТЕТИЧЕСКОГО ЦИК;7816165232;;;34900;15.03.2021;16.03.2021;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/3645959;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3565494;Поставка автомобильных компрессоров;закупка по потребностям;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЙ САНКТ-ПЕТЕРБУРГА""";7813156286;;;7350.66;02.12.2020;03.12.2020;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/3565494;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3530286;Поставка холодильного компрессора;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""НАДЫМСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8903009263;;;10200;08.10.2020;12.10.2020;Прием предложений завершен;АО Ямало-Ненецкий;https://zakupki.mos.ru/need/3530286;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
282962;Поставка электродов и компрессора;закупка по потребностям;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОСТОТРЕСТ""";7806215195;;;95131.4;08.07.2020;09.07.2020;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/282962;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3041371;Компрессор медицинский безмасленый;закупка по потребностям;"ГОСУДАРСТВЕННОЕ ОБЛАСТНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НОВГОРОДСКАЯ ОБЛАСТНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";5321042234;;;357644.5;26.06.2020;29.06.2020;Прием предложений завершен;обл Новгородская;https://zakupki.mos.ru/need/3041371;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
2650978;поставка компрессоров для холодильников;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""НАДЫМСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";8903009263;;;17000;15.04.2020;15.04.2020;Прием предложений завершен;АО Ямало-Ненецкий;https://zakupki.mos.ru/need/2650978;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9645679;Поставка компрессора передвижного (Компрессор Einhell TE-AC 50 Silent 4020620);котировочная сессия;"Государственное бюджетное учреждение здравоохранения Пермского края ""Городская больница г. Соликамск""";5919028210;;;35999;26.10.2023;27.10.2023;Проведена;край Пермский;https://zakupki.mos.ru/auction/9645679;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
10035171;"Матрас противопролежневый ""Armed"" с компрессором вариант исполнения: DGC001-2 (компрессор тип А)";котировочная сессия;Государственное бюджетное учреждение здравоохранения города Москвы «Психиатрическая клиническая больница № 1 им. Н. А. Алексеева Департамента здравоохранения города Москвы»;7726050389;;;239700;01.09.2025;01.09.2025;Проведена;г Москва;https://zakupki.mos.ru/auction/10035171;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5185436;ТО-12000 компрессора DRE-100 API1765461. ТО-6000 компрессора DRB29IVRCE ITJ278943;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""САЛАВАТСТЕКЛО""";0266004050;;;;30.10.2024;06.11.2024;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5185436;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
6152707;Закупка ЗИП для компрессоров Vortex;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО КОНЦЕРН ""ЦЕНТРАЛЬНЫЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ""ЭЛЕКТРОПРИБОР""";7813438763;;;;24.07.2026;28.07.2026;Прием предложений завершен;;https://zakupki.mos.ru/need/6152707;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
10233117;Компрессор спиральный Danfoss HLH068T4LC6;котировочная сессия;Государственное бюджетное учреждение города Москвы «Объединение культурных и досуговых центров Северо-Восточного административного округа»;7715628325;;;126987.74;22.06.2026;23.06.2026;Не состоялась;г Москва;https://zakupki.mos.ru/auction/10233117;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
6113113;Поставка компрессора для холодильного шкафа;закупка по потребностям;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 6 ОБЩЕРАЗВИВАЮЩЕГО ВИДА С ПРИОРИТЕТНЫМ ОСУЩЕСТВЛЕНИЕМ ДЕЯТЕЛЬНОСТИ ПО ФИЗИЧЕСКОМУ РАЗВИТИЮ ДЕТЕЙ ПЕТРО;7819019409;;;10000;19.06.2026;22.06.2026;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/6113113;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
10229746;Компрессор Hiblow HP-80;котировочная сессия;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 5""";5939005362;;;26627;18.06.2026;18.06.2026;Проведена; Пермский край;https://zakupki.mos.ru/auction/10229746;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
10229610;Компрессор Embraco NT 6226GK;котировочная сессия;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1514»;7736076587;;;26543.67;17.06.2026;18.06.2026;Проведена;г Москва;https://zakupki.mos.ru/auction/10229610;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
6093244;Техническое обслуживание и дефектовка компрессоров;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЕКАМСКОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ИСКУССТВЕННЫХ КОЖ""";0264005146;;;;03.06.2026;05.06.2026;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/6093244;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
6082337;Приобретение распылителей воздуха для компрессоров;закупка по потребностям;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР СОЦИАЛЬНОЙ РЕАБИЛИТАЦИИ ИНВАЛИДОВ И ДЕТЕЙ-ИНВАЛИДОВ ВЫБОРГСКОГО РАЙОНА""";7802319267;;;6754;26.05.2026;27.05.2026;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/6082337;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
6078202;Проведение ТО винтовых компрессоров;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОРБЕНТ""";5908001417;;;;22.05.2026;28.05.2026;Отменена; Пермский край;https://zakupki.mos.ru/need/6078202;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5930416;Оказание услуг по замене компрессора;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 96 КРАСНОСЕЛЬСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА ""МЕЧТА""";7807263219;;;32600;19.02.2026;20.02.2026;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/5930416;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5837790;Винтовой компрессор LPD15PM-8;B2B;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛЬТАЛИЗИНГ""";2536247123;;;;16.12.2025;29.12.2025;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5837790;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5722247;Компрессор DANFOSS марки SM185S4RC;B2B;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕРВИС ИНЖИНИРИНГ СИСТЕМС""";3849096450;;;;20.10.2025;26.10.2025;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5722247;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5577934;Поставка компрессора для холодильного шкафа;закупка по потребностям;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 37 ""КОЛОКОЛЬЧИК""";8602205560;;;40000;15.07.2025;16.07.2025;Прием предложений завершен;г Сургут;https://zakupki.mos.ru/need/5577934;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5574852;Поставка компрессора холодильного шкафа;закупка по потребностям;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 22 АДМИРАЛТЕЙСКОГО РАЙОНА САНКТ ПЕТЕРБУРГА;7826718359;;;26240;10.07.2025;11.07.2025;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/5574852;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9982176;ЧАСТИ ЗАПАСНЫЕ К КОМПРЕССОРАМ;котировочная сессия;Государственное унитарное предприятие города Москвы Автокомбинат санитарного транспорта «Мосавтосантранс» Департамента здравоохранения города Москвы;7730036274;;;14700;22.05.2025;23.05.2025;Проведена;г Москва;https://zakupki.mos.ru/auction/9982176;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5420310;Закупка сальников 30х47х7мм для компрессоров;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮЖНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";3023004670;;;1408;25.03.2025;28.03.2025;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/5420310;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9941826;Поставка компрессора для холодильного оборудования;котировочная сессия;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КОМБИНАТ ПИТАНИЯ УПРАВЛЕНИЯ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ ГОРОДА КЕМЕРОВО""";4205032145;;;98744;11.03.2025;12.03.2025;Проведена;обл Кемеровская - Кузбасс;https://zakupki.mos.ru/auction/9941826;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5322649;Закупка Компрессора AS-19;B2B;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКИЙ ЗАВОД""";7830001910;;;;28.01.2025;03.02.2025;Отменена;г Москва;https://zakupki.mos.ru/need/5322649;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9901140;Компрессор Embraco EMC 40CLT;котировочная сессия;Государственное автономное учреждение города Москвы Инженерный научно-практический центр «Гормедтехника Департамента здравоохранения города Москвы»;7725262013;;;5400;24.12.2024;25.12.2024;Не состоялась;г Москва;https://zakupki.mos.ru/auction/9901140;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9898288;Компрессор Embraco EMC 40CLT;котировочная сессия;Государственное автономное учреждение города Москвы Инженерный научно-практический центр «Гормедтехника Департамента здравоохранения города Москвы»;7725262013;;;5400;19.12.2024;23.12.2024;Не состоялась;г Москва;https://zakupki.mos.ru/auction/9898288;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9878248;Компрессор спиральный Danfoss, SH140A4ALC;котировочная сессия;Государственное бюджетное учреждение здравоохранения города Москвы «Городская клиническая больница имени И.В. Давыдовского Департамента здравоохранения города Москвы»;7709129423;;;385000;21.11.2024;22.11.2024;Проведена;г Москва;https://zakupki.mos.ru/auction/9878248;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9806201;Аренда компрессора передвижного без экипажа;котировочная сессия;Государственное бюджетное учреждение города Москвы «Озеленение»;9717025245;;;120000;17.07.2024;17.07.2024;Не состоялась;г Москва;https://zakupki.mos.ru/auction/9806201;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9804524;Аренда компрессора передвижного без экипажа;котировочная сессия;Государственное бюджетное учреждение города Москвы «Озеленение»;9717025245;;;100000;15.07.2024;15.07.2024;Не состоялась;г Москва;https://zakupki.mos.ru/auction/9804524;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
5055904;Выполнение работ по ремонту компрессора;закупка по потребностям;"АО ""АРЕНА ""МЫТИЩИ""";5029226539;;;1082864;10.07.2024;12.07.2024;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/5055904;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4962145;Поставка и установка ТЭНов и компрессора;закупка по потребностям;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА-ИНТЕРНАТ № 576 СРЕДНЕГО ОБЩЕГО ОБРАЗОВАНИЯ С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ПРЕДМЕТА ФИЗИЧЕСКАЯ КУЛЬТУРА ВАСИЛЕОСТРОВСКОГО РАЙ;7801265957;;;58000;22.04.2024;23.04.2024;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/4962145;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4958957;Поставка компрессора для холодильного оборудования.;закупка по потребностям;"МАОУ ""СОШ № 13 С УИОП""";5053004520;;;15469;18.04.2024;22.04.2024;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/4958957;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9713289;ЧАСТИ ЗАПАСНЫЕ К КОМПРЕССОРАМ;котировочная сессия;Государственное бюджетное учреждение города Москвы «Центр социальной интеграции Дианы Гурцкая» Департамента труда и социальной защиты населения города Москвы;9701103096;;;4500;07.02.2024;08.02.2024;Проведена;г Москва;https://zakupki.mos.ru/auction/9713289;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9652863;Компрессор автомобильный Stvol Q5;котировочная сессия;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 554»;7727824902;;;12000;07.11.2023;07.11.2023;Не состоялась;г Москва;https://zakupki.mos.ru/auction/9652863;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4627145;Поставка компрессора к морозильной камере;закупка по потребностям;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛИЦЕЙ № 34""";5029234071;;;43750;27.08.2023;28.08.2023;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/4627145;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4578536;поставка компрессора для холодильной камеры;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ТЮМЕНСКОЙ ОБЛАСТИ ""ОБЛАСТНАЯ СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ""";7203002479;;;580000;07.07.2023;11.07.2023;Прием предложений завершен;обл Тюменская;https://zakupki.mos.ru/need/4578536;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4547310;Поставка компрессора масляного PATRIOT;закупка по потребностям;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КОММУНАЛЬНОЕ ХОЗЯЙСТВО И БЛАГОУСТРОЙСТВО"" ГОРОДСКОГО ОКРУГА КРАСНОЗНАМЕНСК МОСКОВСКОЙ ОБЛАСТИ";5032316729;;;12913.33;02.06.2023;14.06.2023;Прием предложений завершен;обл Московская;https://zakupki.mos.ru/need/4547310;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
9465467;Компрессор Embraco EMC 40CLT;котировочная сессия;Государственное автономное учреждение города Москвы Инженерный научно-практический центр «Гормедтехника Департамента здравоохранения города Москвы»;7725262013;;;4500;26.12.2022;27.12.2022;Проведена;г Москва;https://zakupki.mos.ru/auction/9465467;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4228091;Поставка товара (Компрессор автомобильный);закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""РЕГИОНАЛЬНЫЙ ЦЕНТР СПОРТИВНОЙ ПОДГОТОВКИ ПО СПОРТИВНОЙ БОРЬБЕ""";2310094073;;;;20.10.2022;25.10.2022;Прием предложений завершен;край Краснодарский;https://zakupki.mos.ru/need/4228091;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4155121;Поставка компрессора Tecumseh AEZ4430E;закупка по потребностям;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЦЕНТР РАЗВИТИЯ РЕБЕНКА - ДЕТСКИЙ САД № 13 МУНИЦИПАЛЬНОГО ОБОАЗОВАНИЯ ГОРОД НОВОРОССИЙСК;2315078396;;;17431;15.08.2022;19.08.2022;Прием предложений завершен;г Новороссийск;https://zakupki.mos.ru/need/4155121;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4120829;"Поставка компрессора электрического ""VOLCANO""";закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ПЕРМСКОГО КРАЯ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА""АКАДЕМИЯ ИГРОВЫХ ВИДОВ СПОРТА""";5905058207;;;32100;05.07.2022;06.07.2022;Прием предложений завершен;край Пермский;https://zakupki.mos.ru/need/4120829;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
4088630;компрессор TY W-6;закупка по потребностям;"Бюджетное учреждение Чувашской Республики ""Чебоксарская районная больница"" Министрерства здравоохранения Чувашской Республики";2116430101;;;27000;02.06.2022;06.06.2022;Прием предложений завершен;Респ Чувашия;https://zakupki.mos.ru/need/4088630;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3648800;Запасные части для компрессора Kaeser;B2B;"Акционерное общество ""ГалоПолимер Пермь""";5908007560;;;;17.03.2021;27.03.2021;Прием предложений завершен;г Москва;https://zakupki.mos.ru/need/3648800;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
3642781;Поставка компрессора для холодильного оборудования;закупка по потребностям;Муниципальное бюджетное общеобразовательное учреждение начальная школа № 30;8602002017;;;15150;16.03.2021;17.03.2021;Прием предложений завершен;г Сургут;https://zakupki.mos.ru/need/3642781;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
75714;Поставка компрессора для холодильного шкафа;закупка по потребностям;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 47 КОМБИНИРОВАННОГО ВИДА ФРУНЗЕНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;7816158267;;;13649.33;22.10.2019;24.10.2019;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/75714;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
0573200000618000074;Поставка инструмента ручного, компрессоров;конкурентная процедура;Государственное унитарное предприятие города Москвы «Моссвет»;7703214270;;;459001.62;12.03.2018;20.03.2018;Завершены;г Москва;https://zakupki.mos.ru/tender/1493013;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
6139759;поставка комплектующих для ремонта компрессоров;закупка по потребностям;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ТЮМЕНСКОЙ ОБЛАСТИ ""ПЕРИНАТАЛЬНЫЙ ЦЕНТР"" (Г.ТЮМЕНЬ)";7202070194;;;106727;13.07.2026;15.07.2026;Прием предложений завершен; Тюменская область;https://zakupki.mos.ru/need/6139759;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
6131286;Поставка компрессора для холодильника SC21CL;закупка по потребностям;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ВОССТАНОВИТЕЛЬНЫЙ ЦЕНТР ДЕТСКОЙ ОРТОПЕДИИ И ТРАВМАТОЛОГИИ ""ОГОНЁК""";7819012844;;;30000;03.07.2026;06.07.2026;Прием предложений завершен;г Санкт-Петербург;https://zakupki.mos.ru/need/6131286;нет;компрессор;zakupki.mos.ru/api/Cssp/Purchase/Query;2026-07-30
