inn;predpriyatie;ofic_nazvanie;status;adres;rukovoditel;dolzhnost_rukovoditelya;okved;marki_mashin;vozdushnyh_zaklyucheniy;posledneye_zaklyuchenie;oshibka
2631805988;"ООО МЭЗ ""РЕСУРС""";"ООО МЭЗ ""РЕСУРС""";ACTIVE;357101, СТАВРОПОЛЬСКИЙ КРАЙ, Г.О. ГОРОД НЕВИННОМЫССК, Г. НЕВИННОМЫССК, УЛ. МАТРОСОВА, ЗД. 8, К. А;Барабанов Дмитрий Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.41.24;ТВ-200-1, ТВ-200-1,12;6;2021-01-19;
0263009557;"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";"АО ""МЕЛЕУЗОВСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";ACTIVE;Респ Башкортостан, г Мелеуз, пл Химзавода, зд 1;Дьяк Роман Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.15.3;К-250-61-5;6;2023-12-12;
6626002291;"ПАО ""СТЗ""";"АО ""СТЗ""";LIQUIDATED;Свердловская обл, г Полевской, ул Вершинина, д 7;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРУБНАЯ МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ""";;24.20;К250-61-1, К500-61-1;6;2017-04-21;
6612005052;"АО ""РУСАЛ УРАЛ""";"АО ""РУСАЛ УРАЛ""";ACTIVE;Свердловская обл, г Каменск-Уральский, ул Заводская, д 10;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ АЛЮМИНИЙ МЕНЕДЖМЕНТ""";;24.42;ВЦ-160/9, К-250-61-1, К-500-61-1;6;2015-10-05;
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";ACTIVE;г Екатеринбург, ул Клары Цеткин, стр 14;Крюков Алексей Вячеславович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;49.50.21;НЦВЭ-56/1, НЦВЭ-56/1,45;6;2020-08-10;
4205037640;"ООО ""ОФ ""Тайбинская""";"ООО ""ОФ ""ТАЙБИНСКАЯ""";ACTIVE;Кемеровская область - Кузбасс, г Киселевск, ул Коминтерна, д 2;Козловский Павел Петрович;ДИРЕКТОР;68.20.29;ГЦМ-350, ГЦМ-360, МПЛ-150, СВП-500, ТВ-200-1, ТВ-200-1,4-1;6;2021-09-02;
6320004728;"АО ""ТОАЗ""";"АО ""ТОАЗ""";ACTIVE;Самарская обл, г Тольятти, Поволжское шоссе, д 32;Шаблинский Анатолий Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.15.3;ГТЭ-3675, ЦВД-2, ЭПБ-21;5;2025-11-19;
1627005779;"АО ""АММОНИЙ""";"АО ""АММОНИЙ""";ACTIVE;Респ Татарстан, г Менделеевск, тер Промзона, зд 3;Макаров Дмитрий Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.15.3;ТУ-2025, ЦК-135;5;2025-09-18;
1648032420;"АО ""ПОЗИС""";"АО ""ПОЗИС""";ACTIVE;Респ Татарстан, г Зеленодольск, ул Привокзальная, д 4;Хасанов Радик Шавкятович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;25.40;К-250-61-2, ЦК-135/8;5;2023-03-03;
0268004714;"АО ""СНХЗ""";"АО ""СНХЗ""";ACTIVE;Респ Башкортостан, г Стерлитамак, ул Техническая, зд 10Б;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСХИМ""";;20.17;К-250-61-1, Р-10/1;5;2026-06-29;
7704214548;"ООО""АФИПСКИЙ НПЗ""";"ООО ""АФИПСКИЙ НПЗ""";ACTIVE;Краснодарский край, Северский р-н, тер Промзона (пгт Афипский);Сидоров Алексей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;H-101/1;5;2025-07-22;
7727547920;"АО ""КБК ""Черемушки""";"АО ""КБК ""ЧЕРЁМУШКИ""";ACTIVE;г Москва, ул Академика Скрябина, д 9 к 2 стр 3;Мугандин Юрий Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.72.2;;5;2023-05-25;
6142025298;"ООО ТУ ""Шолоховское""";"ООО ТУ ""ШОЛОХОВСКОЕ""";LIQUIDATED;Ростовская обл, Белокалитвинский р-н, поселок Горняцкий, ул Степная, стр 42;Кириллова Елена Игоревна;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;49.41;ТВ-200-1, ТВ-80-1, ТВ-80-1,8-01;5;2017-12-11;
5321029508;"ПАО ""АКРОН""";"ПАО ""АКРОН""";ACTIVE;г Великий Новгород;Куницкий Владимир Яковлевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.15.3;;5;2026-04-17;
7718018279;"ОАО ""Мелькомбинат в Сокольниках""";"ОАО ""МЕЛЬКОМБИНАТ В СОКОЛЬНИКАХ""";LIQUIDATED;г Москва, ул Жебрунова, д 6;Шатурма Михаил Владимирович;Конкурсный управляющий;10.61;НМ-250, ТВ 250-1, ТВ 250-1,12;5;2018-06-18;
1004001744;"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";"АО ""КАРЕЛЬСКИЙ ОКАТЫШ""";ACTIVE;Респ Карелия, г Костомукша, шоссе Горняков, стр 284;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРСТАЛЬ МЕНЕДЖМЕНТ""";;07.10.2;К-250-61, К-250-61-5, К-250-61-5М, К-500-61-1;5;2020-12-15;
6623000708;"ОАО ""ВГОК"" (ИНН 6623000708)";"ОАО ""ВГОК""";BANKRUPT;Свердловская обл, г Нижний Тагил, ул Фрунзе, д 17;Гукасян Асатур Апетович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;07.10.3;К-250-61, К-250-61-1, К-250-61-5;5;2026-03-10;
3327112205;"ООО ""ДИС"" (ИНН 3327112205)";"ООО ""ДИС""";ACTIVE;г Владимир, ул Никитская, д 17;Кузин Илья Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;71.12;К-500-61, К-500-61-5М;5;2026-02-10;
7718918689;"ООО ""КФ""Черемушки""";"ООО ""КФ ""ЧЕРЕМУШКИ""";ACTIVE;г Москва, ул Амурская, д 22А стр 2;Барышева Ольга Николаевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;46.36;;4;2024-01-30;
5019002730;"ОАО ""БАЙСАД-КАШИРА""";"ОАО ""БАЙСАД-КАШИРА""";ACTIVE;Московская обл, г Кашира, ул Ильича, д 1;Черкасова Алла Алексеевна;ДИРЕКТОР;10.73.1;;4;2026-05-14;
1102057865;"ООО  ""ЛУКОЙЛ-УНП""";"ООО ""ЛУКОЙЛ-УНП""";ACTIVE;Респ Коми, г Ухта, ул Заводская, д 11;Садыров Артём Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.9;ВДН-17;4;2026-06-16;
2455024746;"ООО ""КДВ Минусинск""";"ООО ""КДВ МИНУСИНСК""";ACTIVE;Красноярский край, Минусинский р-н, г Минусинск, ул Крекерная, д 8;Шапранова Татьяна Николаевна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.72.35;АВБ-60, БКВ-160, ВG 250, ЦР-600;4;2025-11-13;
5020002781;"ОАО ""ГЕРКУЛЕС""";"ОАО ""ГЕРКУЛЕС""";ACTIVE;Московская обл, г Клин, ул Лавровская дорога, к 71;Ефимов Владимир Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.91.1;GSLА 10, GМА 12, GМА 13, НПО-2023/0131-11/17, НПО-2023/0131-26-1;4;2025-12-01;
2303025270;"ООО ""ЕВРОХИМ-БМУ""";"ООО ""ЕВРОХИМ-БМУ""";ACTIVE;Краснодарский край, г Белореченск;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВО МИНЕРАЛЬНЫХ УДОБРЕНИЙ ""ЕВРОХИМ""";;20.15.7;;4;2022-03-31;
5249051203;"АО ""СИБУР-НЕФТЕХИМ""";"АО ""СИБУР-НЕФТЕХИМ""";ACTIVE;Нижегородская обл, г Дзержинск, Автозаводское шоссе, д 65;Парамонов Андрей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.7;GM-35, GMA-10, С-1601, С-1901;4;2025-01-31;
2457080792;"ООО ""МЕДВЕЖИЙ РУЧЕЙ""";"ООО ""МЕДВЕЖИЙ РУЧЕЙ""";ACTIVE;Красноярский край, г Норильск, ул Горная, д 13;Афанасьев Алексей Валерьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;07.29.99;ВОК-79, К-500-61-1;4;2024-08-13;
7704655662;"АО НПКЦ ""ЭНЕРГИЯ"" (ИНН 7704655662)";"АО НПКЦ ""ЭНЕРГИЯ""";ACTIVE;г Москва, Большой Саввинский пер, д 9 стр 2, помещ 2;Агарков Иван Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;71.12.13;ЦК-135;4;2026-04-14;
2426005202;"ООО ""БОГОЛЮБОВСКОЕ""";"ООО ""БОГОЛЮБОВСКОЕ""";ACTIVE;Красноярский край, Мотыгинский р-н, поселок Новоангарск, ул 1-й квартал, д 1;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ ""НОК ГРУПП""";;07.29.41;СМХ-02-0103-2026, СМХ-02-0104-2026, СМХ-02-0128-2024, СМХ-02-0129-2024, ТВ-200-1, ТВ-200-1,4-01;4;2026-06-11;
3524015320;"ООО ""ШКХП""";"ООО ""ШКХП""";ACTIVE;Вологодская обл, рп Шексна, ул Промышленная, д 1;Гусев Дмитрий Петрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.91.1;ВПЗ 9,6/120, ТУ-2024, ЭПБ-1372, ЭПБ-1373, ЭПБ-1374, ЭПБ-1375;4;2025-02-03;
8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";ACTIVE;Ямало-Ненецкий АО, г Новый Уренгой, ул Геологоразведчиков, д 9;Шалимов Сергей Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;06.20.1;;3;2020-03-25;
7706415345;"ООО ""КДВ ВОСКРЕСЕНСК""";"ООО ""КДВ ВОСКРЕСЕНСК""";ACTIVE;Московская обл, г Воскресенск, село Федино, ул Производственная 2-я, зд 2 стр 5, офис 5;Ледяйкин Константин Иванович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.72.1;BL-520-400;3;2025-12-22;
7017156263;"ООО ""ГАЗПРОМ МЕТАНОЛ""";"ООО ""ГАЗПРОМ МЕТАНОЛ""";ACTIVE;г Томск, Кузовлевский тракт, д 2 стр 169;Козлов Дмитрий Петрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.7;;3;2024-02-21;
5250051800;"ООО ""СИБУР-КСТОВО""";"ООО ""СИБУР-КСТОВО""";ACTIVE;607650, НИЖЕГОРОДСКАЯ ОБЛАСТЬ, Г.О. ГОРОД НИЖНИЙ НОВГОРОД, Г. КСТОВО, Р-Н ПРОМЫШЛЕННЫЙ, ПР-Д 4-Й, Д. 2;Дудукалов Николай Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.7;;3;2026-01-16;
2205001753;"АО ""АЛТАЙ-КОКС""";"АО ""АЛТАЙ-КОКС""";ACTIVE;Алтайский край, г Заринск, ул Притаежная, влд 2;Валяс Вадим Иванович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.10;;3;2024-08-22;
0266036534;"АО ""СХЗ"" (ИНН 0266036534)";"АО ""СХЗ""";ACTIVE;Респ Башкортостан, г Салават, ул Молодогвардейцев, д 30;Усманов Анатолий Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.7;;3;2022-07-22;
5501085734;"ООО ""ПОЛИОМ""";"ООО ""ПОЛИОМ""";ACTIVE;г Омск, Красноярский тракт, д 137;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБГАЗПОЛИМЕР""";;20.16;GM 150;3;2025-02-18;
4011033206;"ООО ""МИРФУДС""";"ООО ""МИРФУДС""";ACTIVE;249080, КАЛУЖСКАЯ ОБЛАСТЬ, М.О. МАЛОЯРОСЛАВЕЦКИЙ, С. ДЕТЧИНО, УЛ. МОСКОВСКАЯ, Д. 77, СТР. 3;Афанасьева Юлия Фёдоровна;ИСПОЛНИТЕЛЬНЫЙ ДИРЕКТОР;10.89.9;GMA 11, GMA 12;3;2025-06-26;
4220023963;"ООО ""ШАХТА №12""";"ООО ""ШАХТА № 12""";ACTIVE;Кемеровская область - Кузбасс, г Киселевск, ул Чумова, д 2А;Кацубин Александр Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;05.10.22;CRE 15-4, CRE 20-3, HSG1200, WZ1200, В-1200, В-1400;3;2025-06-24;
0275075378;"ООО ""Башнефть-Сервис НПЗ""";"ООО ""БАШНЕФТЬ-СЕРВИС НПЗ""";ACTIVE;г Уфа, ул Энергетиков, д 65/225;Ахматдинов Филарид Нашъатович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;33.12;ТВ-80-1;3;2018-10-05;
5406766317;"ООО ""ГОФ Красногорская""";"ООО ""ГОФ КРАСНОГОРСКАЯ""";BANKRUPT;г Новосибирск, ул Толмачевская, д 33, офис 2;Матолыгин Константин Викторович;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;05.10.2;;3;2021-05-18;
5005000148;"АО ""Воскресенские минеральные удобрения""";"АО ""ВОСКРЕСЕНСКИЕ МИНЕРАЛЬНЫЕ УДОБРЕНИЯ""";LIQUIDATED;Московская обл, г Воскресенск, ул Заводская, д 1;Трушков Дмитрий Анатольевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.13;;3;2020-12-07;
2801147023;"ООО ""Маломырский рудник""";"ООО ""МАЛОМЫРСКИЙ РУДНИК""";ACTIVE;г Благовещенск, ул Ленина, д 140/1;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАС МАЙНИНГ""";;07.29.41;FA-101, FA-102, FA-201;3;2023-10-09;
1121003135;"АО ""СЛПК""";"АО ""СЛПК""";ACTIVE;г Сыктывкар, пр-кт Бумажников, д 2;Буслаев Павел Валентинович;ПЕРВЫЙ ЗАМЕСТИТЕЛЬ ГЕНЕРАЛЬНОГО ДИРЕКТОРА - ФИНАНСОВЫЙ ДИРЕКТОР;17.12;К-250-61-5;3;2026-03-26;
6323106975;"ЗАО ""Тольяттисинтез""";"АО ""ТОЛЬЯТТИСИНТЕЗ""";LIQUIDATED;Самарская обл, г Тольятти, ул Новозаводская, д 8;Морозов Юрий Витальевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;68.2;ТВ-80-1, ТВ-80-1,4;3;2016-12-20;
2465000141;"АО ""РУСАЛ КРАСНОЯРСК""";"АО ""РУСАЛ КРАСНОЯРСК""";ACTIVE;г Красноярск, ул Пограничников, зд 40;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ АЛЮМИНИЙ МЕНЕДЖМЕНТ""";;24.42;К-500-61-1, К-500-61-5;3;2017-05-17;
5501023216;"АО ""ОМСКИЙ КАУЧУК""";"АО ""ОМСКИЙ КАУЧУК""";ACTIVE;г Омск, пр-кт Губкина, д 30;Иванилов Сергей Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.14.2;ТУ-2022;2;2023-05-30;
7735004068;"АО ""Хлебозавод №28""";"АО ""ХЛЕБОЗАВОД №28""";ACTIVE;г Москва, г Зеленоград, пр-кт Генерала Алексеева, д 44 стр 1;Цупрова Татьяна Александровна;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.71.1;;2;2023-08-31;
2315072242;"АО ""ЧЕРНОМОРТРАНСНЕФТЬ""";"АО ""ЧЕРНОМОРТРАНСНЕФТЬ""";ACTIVE;Краснодарский край, г Новороссийск, Сухумское шоссе, д 85 к 1;Зленко Александр Владимирович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;49.50.11;RB 120, RBS 125;2;2018-05-22;
5913001268;"АО ""МЕТАФРАКС КЕМИКАЛС""";"АО ""МЕТАФРАКС КЕМИКАЛС""";ACTIVE;Пермский край, г Губаха;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСХИМ""";;20.14.2;IGW 400;2;2025-11-01;
5911029807;"ПАО ""УРАЛКАЛИЙ""";"ПАО ""УРАЛКАЛИЙ""";ACTIVE;Пермский край, г Березники, ул Пятилетки, д 63;Лаук Виталий Викторович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.15.5;ZL8200;2;2024-12-03;
4004002750;"АО ""Кондровский хлебокомбинат""";"АО ""КОНДРОВСКИЙ ХЛЕБОКОМБИНАТ""";ACTIVE;Калужская обл, г Кондрово, ул Коммуны, д 14;Катеринчук Алексей Андреевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;68.20;;2;2024-06-03;
5501177142;"ООО ""ГАЗПРОМНЕФТЬ - КС""";"ООО ""ГАЗПРОМНЕФТЬ - КС""";ACTIVE;г Омск, пр-кт Губкина, д 1;Чембулаев Александр Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.59.5;VD-108;2;2025-11-15;
3128033189;"ЗАО ""Комбинат хлебопродуктов Старооскольский""";"АО ""КХПС""";ACTIVE;Белгородская обл, г Старый Оскол, ул Первой Конной Армии;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОПРОМЫШЛЕННАЯ КОМПАНИЯ ""СТОЙЛЕНСКАЯ НИВА""";;10.61.2;RSS-50/1700, БКВ 32-32, ВЛ-350, ВЛ-500, ВР 132-30, ВЦ 14-46;2;2024-05-27;
5250043567;"ООО ""ЛУКОЙЛ-НИЖЕГОРОДНЕФТЕОРГСИНТЕЗ""";"ООО ""ЛУКОЙЛ-НИЖЕГОРОДНЕФТЕОРГСИНТЕЗ""";ACTIVE;Нижегородская обл, г Нижний Новгород, г Кстово, р-н Промышленный, Центральное шоссе, д 9;Андронов Сергей Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;EW 1007/1, EW1006, H 2001, HI-1010, R 2002, V 2003;2;2024-02-08;
2310040800;"АО ""КТК-Р""";"АО ""КТК-Р""";ACTIVE;Краснодарский край, г Новороссийск, тер Приморский округ Морской терминал;Горбань Николай Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;49.50.11;;2;2022-01-25;
3811185573;"ООО ""ИРКУТСКИЙ МАСЛОЖИРКОМБИНАТ""";"ООО ""ИРКУТСКИЙ МАСЛОЖИРКОМБИНАТ""";ACTIVE;г Иркутск, ул Байкальская, д 265;Баймашева Тамара Ивановна;Генеральный директор;10.41.4;;2;2024-01-31;
3232000609;"ОАО ""Бежицкий хлебокомбинат""";"ОАО ""БЕЖИЦКИЙ ХЛЕБОКОМБИНАТ""";ACTIVE;г Брянск, ул Ульянова, д 60;Пилипушко Сергей Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.71.1;ЗАФ-49;2;2019-12-23;
2443000518;"АО ""АНПЗ ВНК""";"АО ""АНПЗ ВНК""";ACTIVE;КРАСНОЯРСКИЙ КРАЙ, М.О. АЧИНСКИЙ, Р-Н ПРОМЗОНА НПЗ, СТР. 1;Белов Олег Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;ТВ 175-1, ТВ175-1;2;2020-06-29;
4202004414;"ОАО ЦОФ ""Беловская""";"ОАО ЦОФ ""БЕЛОВСКАЯ""";LIQUIDATED;Кемеровская область - Кузбасс, г Белово, ул 1-й Телеут, д 27;Харченко Владимир Федорович;ДИРЕКТОР;05.10.2;ВЦ 14-46-2;2;2016-05-20;
4202050996;"ООО ""ММК-УГОЛЬ""";"ООО ""ММК-УГОЛЬ""";ACTIVE;Кемеровская область - Кузбасс, г Белово, ул 1-й Телеут, д 27;Краснов Максим Львович;ДИРЕКТОР;05.10.15;;2;2018-06-01;
4221000133;"АО ""ЗАВОД УНИВЕРСАЛ""";"АО ""ЗАВОД УНИВЕРСАЛ""";ACTIVE;Новосибирская обл, Черепановский р-н, рп Дорогино, ул Центральная, д 4;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЯЮЩАЯ КОМПАНИЯ УНИВЕРСАЛ""";;25.99;;2;2018-05-28;
7718117872;"ПАО ""РУССКИЙ ПРОДУКТ""";"АО ""РУССКИЙ ПРОДУКТ""";ACTIVE;Калужская обл, Малоярославецкий р-н, село Детчино, ул Московская, д 77;Граудин Владимир Константинович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;68.20.29;GMA 11;2;2018-05-21;
6162015019;"АО ""АСТОН""";"АО ""АСТОН""";ACTIVE;г Ростов-на-Дону, ул 1-я Луговая, зд 3Б;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ УПРАВЛЯЮЩАЯ КОМПАНИЯ ""АСТОН ПЕРЕДОВЫЕ ТЕХНОЛОГИИ""";;10.41.24;ZL 5000;2;2020-09-14;
5452114972;"АО ""Ерофеев""";"АО ""ЕРОФЕЕВ""";ACTIVE;Новосибирская обл, Куйбышевский р-н, г Куйбышев, ул Омская, д 1;Радченко Николай Андреевич;ДИРЕКТОР;11.01.4;ТВ-80-1;2;2023-09-19;
7718220196;"ООО ""ТОРГ-ИНВЕСТ""";"ООО ""ТОРГ-ИНВЕСТ""";BANKRUPT;г Москва, ул Пермская, влд 7;Султанов Юлай Рафаилович;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;10.91;ТВ-80-1;2;2021-01-21;
2302016730;"ОАО ""Масложиркомбинат""Армавирский""""";"АО ""МЖК ""АРМАВИРСКИЙ""";LIQUIDATED;Краснодарский край, г Армавир, ул Кирова, д 128;Мучаев Сергей Станиславович;КОНКУРСНЫЙ УПРАВЛЯЮЩИЙ;10.41.2;ТВ-200-1, ТВ-200-1,12;2;2015-12-17;
3448017919;"ООО ""ЛУКОЙЛ-ВОЛГОГРАДНЕФТЕПЕРЕРАБОТКА""";"ООО ""ЛУКОЙЛ-ВОЛГОГРАДНЕФТЕПЕРЕРАБОТКА""";ACTIVE;г Волгоград, ул 40 лет ВЛКСМ, д 55;Иванов Александр Петрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.1;К250-6/1;2;2020-10-06;
4217196807;"ООО ""МЕЛЬКОМБИНАТ В СОКОЛЬНИКАХ""";"ООО ""МЕЛЬКОМБИНАТ В СОКОЛЬНИКАХ""";ACTIVE;г Москва, ул Жебрунова, д 6 стр 1, офис 220;Беляев Сергей Иванович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.61.2;НМ-250, ТУ-798-2023, ТУ-799-2023;2;2023-08-23;
4221000535;"АО ""РУСАЛ НОВОКУЗНЕЦК""";"АО ""РУСАЛ НОВОКУЗНЕЦК""";ACTIVE;Кемеровская область - Кузбасс, г Новокузнецк, р-н Кузнецкий, Ферросплавный проезд, д 7;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РУССКИЙ АЛЮМИНИЙ МЕНЕДЖМЕНТ""";;24.42;К250-61-5;2;2026-07-01;
2457061920;"ООО ""НОРИЛЬСКИЙ ОБЕСПЕЧИВАЮЩИЙ КОМПЛЕКС""";"ООО ""НОРИЛЬСКИЙ ОБЕСПЕЧИВАЮЩИЙ КОМПЛЕКС""";ACTIVE;Красноярский край, г Норильск, ул Нансена, д 64;Плотников Сергей Леонидович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;08.11.2;К250-61-2, К250-61-5;2;2021-07-08;
4250005979;"АО ""УК ""СЕВЕРНЫЙ КУЗБАСС""";"АО ""УГОЛЬНАЯ КОМПАНИЯ ""СЕВЕРНЫЙ КУЗБАСС""";BANKRUPT;Кемеровская область - Кузбасс, г Березовский, ул Матросова, д 1;Лупий Станислав Михайлович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;05.10.22;ESN2008, К100-65-200;1;2025-08-12;
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";ACTIVE;Респ Коми, г Ухта, наб Газовиков, д 10/1;Баранов Андрей Дмитриевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;49.50.21;;1;2021-03-19;
8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";ACTIVE;Ямало-Ненецкий АО, г Новый Уренгой, ул Железнодорожная, д 8;Корякин Александр Юрьевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;06.20.1;;1;2017-01-24;
2605013094;"ООО ""ЗАМАН""";"ООО ""ЗАМАН""";ACTIVE;Ставропольский край, Благодарненский р-н, аул Эдельбай, ул Новая, зд 21;Эреджепов Ануар Закерьяевич;ДИРЕКТОР;01.11.1;ESRB-100;1;2026-04-29;
6378003182;"ЗАО ""ХИМСИНТЕЗ""";"ЗАО ""ХИМСИНТЕЗ""";ACTIVE;Самарская обл, г Чапаевск, ул Производственная, зд 4;Симдянов Александр Михайлович;ДИРЕКТОР;20.16;;1;2021-09-20;
6730000614;"ООО ""ТАУ-С""";"ООО ""ТАУ-С""";ACTIVE;214010, СМОЛЕНСКАЯ ОБЛАСТЬ, М.О. СМОЛЕНСКИЙ, Д. МАГАЛИНЩИНА, УЛ. ГЕНЕРАЛА СУДОПЛАТОВА, Д. 1;Макаров Николай Николаевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.30.1;;1;2024-03-06;
7729134774;"ООО ""ПЕНТА-91""";"ООО ""ПЕНТА-91""";ACTIVE;г Москва, Космодамианская наб, д 26/55 стр 6;Голдман Игорь Рафаилович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.59.5;;1;2023-01-10;
5603045522;"ООО ""РН-БГПП""";"ООО ""РН-БГПП""";ACTIVE;Оренбургская обл, г Бузулук, ул Техническая, д 10, офис 18;Таркин Александр Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;19.20.9;;1;2025-04-16;
5911066005;"ООО ""ЕВРОХИМ - УКК""";"ООО ""ЕВРОХИМ - УКК""";ACTIVE;618400, ПЕРМСКИЙ КРАЙ, М.О. ГОРОД БЕРЕЗНИКИ, ТЕР. УСОЛЬСКОГО КАЛИЙНОГО КОМБИНАТА, СООР. 15;Токарев Дмитрий Александрович;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;20.15.5;;1;2021-02-09;
6803629911;"ООО ""ТАМБОВСКИЙ БЕКОН""";"ООО ""ТАМБОВСКИЙ БЕКОН""";ACTIVE;393665, ТАМБОВСКАЯ ОБЛАСТЬ, М.О. ЖЕРДЕВСКИЙ, ТЕР. БУРНАКСКАЯ, СТР. 61Б;Алтухов Александр Алексеевич;ГЕНЕРАЛЬНЫЙ ДИРЕКТОР;10.11.1;;1;2026-07-20;
