inn;nomer_procedury;skolko_zapisey;istochniki;tipy;tekst;pochemu
5001071638;ГП127367;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Выполнение работ по техническому обслуживанию турбокомпрессоров TAE+200A/15 зав. №СВ-15396, TAE+50M4R2RCD/30 зав. №CB-15397 и TAE50RC30 зав. №CB-15398 согласно Технического задания;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001071638;ГП041277;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Выполнение работ по диагностики и техническому обслуживанию турбокомпрессора TAE-200A/15 зав. № СВ-15093 согласно Технического задания и сервисный набор для вскрытия компрессора;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001071638;ГП027448;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Выполнение работ по техническому обслуживанию и плановому или аварийному ремонту турбокомпрессоров Hanwha SM4000-900HP серийный № CE1196 в количестве 3х шт. Поставка ЗИП и необходи;один документ записан несколькими фактами — счётчик «Фактов» завышен
5001071638;ГП041278;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Выполнение работ по техническому обслуживанию турбокомпрессоров TAE+200A/15 зав. №СВ-15396 и TAE+50M4R2RCD/30 зав. №CB-15397 согласно Технического задания;один документ записан несколькими фактами — счётчик «Фактов» завышен
5003026493;АП121248;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;вихревая или роторная воздуходувка, принцип не центробежный;Воздуходувка вихревая Elmo Rietschle G-BH1 2BH1400-7AH16;один документ записан несколькими фактами — счётчик «Фактов» завышен
5003026493;АП030812;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;Бензопилы и воздуходувки;один документ записан несколькими фактами — счётчик «Фактов» завышен
5003063216;ГП106335;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка запасных частей для центробежных компрессоров CAMERON для Томского филиала ООО «Криогенмаш-Газ»;один документ записан несколькими фактами — счётчик «Фактов» завышен
5003063216;ГП058488;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"Приобретение запасных частей для турбокомпрессора CAMERON с поставкой по адресу: Томский филиал ООО ""Криогенмаш-Газ"", 634067, г. Томск, Кузовлевский тракт, дом 2, стр. 384.";один документ записан несколькими фактами — счётчик «Фактов» завышен
5003113668;ГП109245;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка согласно спецификации №202: Форсунки топливные, турбокомпрессор, топливоподкачивающий насос на катки НАММ (32, 34). Аналоги не рассматриваются. С доставкой за счёт поставщ;один документ записан несколькими фактами — счётчик «Фактов» завышен
5003113668;ГП106533;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка согласно спецификации №107: Турбокомпрессор на экск. Komatsu (218). Аналоги не рассматриваются. С доставкой за счёт поставщика по адресу: 142000, Московская обл., г. Домод;один документ записан несколькими фактами — счётчик «Фактов» завышен
5003113668;ГП023219;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;Поставка согласно спецификации №103: Турбокомпрессоры, прокладки, шланги, фильтр на КАМАЗ (150). Аналоги не рассматриваются. С доставкой за счёт поставщика по адресу: 142000, Моско;один документ записан несколькими фактами — счётчик «Фактов» завышен
5003113668;ГП109736;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка согласно спецификации 27ТЦ: Трубка турбокомпрессора на ПАЗ (280). С доставкой по адресу: 142700, Россия, Московская область, Ленинский район, г. Видное, Промзона ОАО «ВЗ Г;один документ записан несколькими фактами — счётчик «Фактов» завышен
5003113668;ГП058412;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;Поставка согласно спецификации №92: Турбокомпрессор, прокладки, кольца, патрубок на VOLVO (75). Аналоги не рассматриваются, только оригинал VOLVO. С доставкой за счёт поставщика по;один документ записан несколькими фактами — счётчик «Фактов» завышен
5003113668;ГП140153;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка согласно спецификации №70: Турбокомпрессор, коронки ковша, ... (Производитель указан в спецификации) на экскаватор Komatsu (84). С доставкой за счёт поставщика по адресу: ;один документ записан несколькими фактами — счётчик «Фактов» завышен
5008028127;0373400009623000202;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;"Поставка турбокомпрессора и водяной помпы для нужд филиала ""Мособлводхоз"" ФГБВУ ""Центррегионводхоз""";один документ записан несколькими фактами — счётчик «Фактов» завышен
5008028127;0373400009623000169;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная;"Поставка турбокомпрессора и водяной помпы для нужд филиала ""Мособлводхоз"" ФГБВУ ""Центррегионводхоз""";один документ записан несколькими фактами — счётчик «Фактов» завышен
5024001482;31807219812;2;Портал поставщиков Москвы;центробежная, вид по слову;Электронный запрос котировок на право заключения контракта на оказание услуг по Ремонту воздуходувку эрлифта вторичных отстойников на очистных сооружений.;один документ записан несколькими фактами — счётчик «Фактов» завышен
5027116065;32414142539;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Конкурентный отбор в электронной форме на электронной торговой площадке на право заключения договора на поставку турбокомпрессорной установки без электродвигателя, проводимый консо;один документ записан несколькими фактами — счётчик «Фактов» завышен
5243027892;32514643187;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Модернизация «Нежилое здание (насосная-воздуходувная станция)» (Модернизация насосно-воздуходувной станции с целью внедрения НДТ 4(д));один документ записан несколькими фактами — счётчик «Фактов» завышен
5243027892;32514840251;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Модернизация «Нежилое здание (насосная-воздуходувная станция)» (Модернизация насосно-воздуходувной станции с целью внедрения НДТ 4(д);один документ записан несколькими фактами — счётчик «Фактов» завышен
5243027892;32514737481;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка турбокомпрессора для выполнения мероприятия «Модернизация «Нежилое здание (насосная-воздуходувная станция)» (Модернизация насосно-воздуходувной станции с целью внедрения Н;один документ записан несколькими фактами — счётчик «Фактов» завышен
5243027892;32514846275;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставка турбовоздуходувки НКВ-300 (или эквивалент) для выполнения работ по мероприятию «Модернизация «Нежилое здание (насосная-воздуходувная станция)» (Модернизация насосно-воздух;один документ записан несколькими фактами — счётчик «Фактов» завышен
5257086827;32211528560;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Капитальный ремонт ГВС и отопления здания решеток- воздуходувная Ду 42мм- 364 п.м., 100 мм- 364 п.м. Инв.№030100003.;один документ записан несколькими фактами — счётчик «Фактов» завышен
5504097128;31908346235;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;"Выполнение работ по окраске стен, кровель ОСК по ул. Комбинатская, 50 (Металлический ангар у склада хлора 9914985А (Здание мат.склада № 6); Кровля у бомбоубежища 9911271А (сторожка";один документ записан несколькими фактами — счётчик «Фактов» завышен
5504097128;32009155368;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;"Окраска кровель по ул.Комбинатская,50 (Метал.ангар у скл.хлора 9914985А (Здание матер.склада 6);Кровля (К-703,зд-е на площ.ЦМО) 3010069А (Трубопровод пескопровода-2);Кровля (К-151,";один документ записан несколькими фактами — счётчик «Фактов» завышен
5504097128;31908428748;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не установлен;"Лот № 1 - Ремонт кровли воздуходувной станции №2 цеха ОСК по ул. Комбинатская, 50 (Инв. №1000008А -Зд в/дув ст.N2сборн, кирп.бетон1140квм ОСК/ Советский р-н/) для нужд АО ""ОмскВодо";один документ записан несколькими фактами — счётчик «Фактов» завышен
5504097128;31908068216;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не установлен;"Лот 1–Кап.ремонт помещ.химлаб-рии в блоке подсоб.помещ. ц.СВ по ул.19-я Марьяновская,40 Инв.№6100026А Блок п/помещ.,зд кирп.4эт.Лен.р-н12*28 ЛОВС;Лот 2–Ремонт каб-тов в АБК-3 (2эт.";один документ записан несколькими фактами — счётчик «Фактов» завышен
5504097128;31907606966;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Выполнение капитального ремонта электроосвещения воздуходувной станции №1 цеха «Очистные сооружения канализации» (Здание Воздуходувная станция №1, инв.№1000012А) по адресу: г.Омск,;один документ записан несколькими фактами — счётчик «Фактов» завышен
5504097128;31907687732;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;Выполнение капитального ремонта системы релейной защиты электродвигателей турбовоздуходувных агрегатов на воздуходувной станции №1 цеха «Очистные сооружения канализации» (Здание Во;один документ записан несколькими фактами — счётчик «Фактов» завышен
5504097128;32413436650;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не установлен;Выполнение работ «Ремонт кровли над машинным залом и АБК воздуходувной станции № 2 цеха ОСиСВ по ул. Комбинатская, 50 (инв. №1000008А -Воздуходувная станция №2 сборн., кирп., бетон;один документ записан несколькими фактами — счётчик «Фактов» завышен
5504097128;32009598393;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Капитальный ремонт крана мостового рег. №112 в здании Воздуходувной насосной станции (инв. №1000012А) цеха очистных сооружений и сетей водоотведения АО «ОмскВодоканал» в 2020 году;один документ записан несколькими фактами — счётчик «Фактов» завышен
5504097128;31807077512;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;"Выполнение комплекса строительно-монтажных и пуско-наладочных работ объекта: ""Реконструкция системы воздухоснабжения (инв. №1000008А) цеха ОСК г. Омска. Строительство сетей воздухо";один документ записан несколькими фактами — счётчик «Фактов» завышен
5515201050;32413514170;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Работы по ремонту турбокомпрессора ТВ80-1,6-01.УЗ с исполнением на 2024 год;один документ записан несколькими фактами — счётчик «Фактов» завышен
5515201050;32211865893;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;работы по ремонту турбокомпрессора ТВ80-1,6-01.У3 с исполнением на 2022-2023 годы;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610058025;31502010896;2;ЭТП ГПБ, поиск по словам;тип не установлен;Поставка запасных частей к компрессору 4М10-40/70;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610058025;31401524077;2;ЭТП ГПБ, поиск по словам;тип не установлен;Право заключения договора на поставку мембран к компрессорам 4,0МК 60/12,5-200 для нужд ООО «Газпром добыча Оренбург» 122/ДОренбург/14_2.2_3619/16.09.14/ЗЭ;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610058025;31604340443;2;ЭТП ГПБ, поиск по словам;поршневая или винтовая;право заключения договора на поставку ЗИП к установкам компрессорным винтовым типа ДЭН для нужд ООО «Газпром добыча Оренбург» (16/2.2/0069279) - для субъектов СМСП;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610077370;32009214128;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Выполнение работ по капитальному ремонту кровли здания насосно-воздуходувной станции;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610077370;31908639873;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Выполнение строительно-монтажных работ по объекту: «Модернизация системы подачи воздуха в аэротенки I и II очереди очистных сооружений канализации г. Оренбурга. Замена воздуходувны;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610077370;32110386137;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Выполнение работ по капитальному ремонту кровли здания насосно-воздуходувной станции аэротенков 2 очереди (Литер В16, инв. №000112382) по адресу: г. Оренбург, ул. Луганская, 46;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610077370;32009501778;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Выполнение строительно-монтажных работ по объекту: «Модернизация здания насосно - воздуходувной станции II очереди, литер В16, расположенной по адресу: г.Оренбург, ул. Луганская, 4;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610077370;32009500761;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;"Выполнение строительно-монтажных работ по объекту: ""Модернизация здания насосно - воздуходувной станции II очереди, литер В16, расположенной по адресу: г. Оренбург, ул. Луганская, ";один документ записан несколькими фактами — счётчик «Фактов» завышен
5610077370;32110413419;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не установлен;Поставка материалов для капитального ремонта кровли насосно-воздуходувной станции аэротенков 2 очереди для нужд ООО «Оренбург Водоканал»;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610077370;31908486750;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Выполнение строительно-монтажных работ по объекту: «Модернизация системы подачи воздуха в аэротенки I очереди. Замена двух воздуходувных агрегатов. Усиление элементов строительных ;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610077370;31908672459;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Выполнение строительно-монтажных работ по объекту: «Модернизация системы подачи воздуха в аэротенки I и II очереди очистных сооружений канализации г. Оренбурга. Замена воздуходувны;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610077370;31908032902;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Выполнение проектно-изыскательских работ по объекту: «Модернизация системы подачи воздуха в аэротенки I очереди. Замена двух воздуходувных агрегатов. Усиление элементов строительны;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610077370;32110598208;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;«Модернизация системы подачи воздуха в аэротенки I и II очереди очистных сооружений канализации г. Оренбурга. Замена воздуходувных агрегатов. Электроснабжение»;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610077370;32110278338;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не применимо;Выполнение строительно-монтажных работ по объекту: «Модернизация системы подачи воздуха в аэротенки I и II очереди очистных сооружений канализации г. Оренбурга. Замена воздуходувны;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610218014;ГП045180;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Открытый отбор организации на оказание услуг 11618 Ремонт и сервисное обслуживание оборудования компрессорных станций по перекачке газа. Ревизия и ремонт сухих газодинамических упл;один документ записан несколькими фактами — счётчик «Фактов» завышен
5610218014;АП025932;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Открытый конкурентный отбор на право заключения договора на оказание услуг по ремонту и сервисному обслуживанию оборудования компрессорных станций по перекачке газа (ревизия и ремо;один документ записан несколькими фактами — счётчик «Фактов» завышен
5612002437;109236;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;Турбокомпрессоры и запасные части для двигателя Cummins;один документ записан несколькими фактами — счётчик «Фактов» завышен
5612002437;32514576858;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;"Диагностика и ремонт турбокомпрессоров дизельных двигателей ТС для нужд АО ""АК №1825""";один документ записан несколькими фактами — счётчик «Фактов» завышен
5612002437;497773;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"Работы по ремонту турбокомпрессоров двигателей для нужд АО ""АК №1825""";один документ записан несколькими фактами — счётчик «Фактов» завышен
5612002437;31603733008;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Оказание услуг по ремонту турбокомпрессоров;один документ записан несколькими фактами — счётчик «Фактов» завышен
5612002437;31603560032;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Оказание услуг по ремонту турбокомпрессоров;один документ записан несколькими фактами — счётчик «Фактов» завышен
5612002437;31603653975;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Оказание услуг по ремонту турбокомпрессоров;один документ записан несколькими фактами — счётчик «Фактов» завышен
5612002437;31503070694;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"Оказание услуг по ремонту турбокомпрессоров для нужд ЗАО ""АК № 1825""";один документ записан несколькими фактами — счётчик «Фактов» завышен
5612002437;103402;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;Запчасти к автобусам (турбокомпрессор, вал первичный, арки, шкворня);один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;ГП006712;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не установлен;вентилятор центробежный GR25V_41P.ZC.AR ;один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;31806807904;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Изготовление и поставка компрессора центробежного, изготовленного по техническому заданию ИЯТЛ.064415.251 ТЗ;один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;32110385871;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставщик обязуется поставить ЗИП компрессора центробежного НЦ-16ПХГ, (далее по тексту Товар).;один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;ГП450964;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Предоставление услуги по доработкам газоперекачивающих агрегатов, центробежных компрессоров, газотурбинных электростанций на объектах эксплуатации, включая монтаж, демонтаж, ревизи;один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;31908349158;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Изготовление и поставка узлов и систем центробежного компрессора НЦ10С/150.0000-000 из состава агрегата газоперекачивающе-го ГКА-16-02;один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;31908717110;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"Проведение работ по подтверждению соответствия компрессора центробежного НЦ-16ДКС-02 требованиям технического регламента Таможенного союза ""О безопасности оборудования для работы в";один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;31908544050;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"Проведение работ по подтверждению соответствия компрессора центробежного НЦ-25М/120 требованиям технического регламента Таможенного союза ""О безопасности оборудования для работы во";один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;32413289276;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"Поставщик обязуется изготовить и поставить Покупателю, а Покупатель принять и оплатить "" Ящик и упаковки для компрессора центробежного НЦ-16ДКС/100 ""Урал"" для проекта ГКС ""Сахалин""";один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;32110508639;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"проведение работ по подтверждению соответствия компрессоров центробежных НЦ16С/76-01П требованиям технического регламента Таможенного союза ТР ТС 012/2011 ""О безопасности оборудова";один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;32313141181;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставщик обязуется в соответствии с конструкторской документацией Покупателя (далее - КД) изготовить и поставить Покупателю, а Покупатель принять и оплатить упаковку для компрессо;один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;31908398179;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Выполнение работ по подтверждению соответствия компрессора центробежного НЦ-25М/120 в форме декларирования и передаче сведений в Росаккредитацию для регистрации декларации о соотве;один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;31806250651;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Поставщик обязуется изготовить и поставить, а Покупатель принять и оплатить детали и сборочные единицы для центробежных компрессоров, именуемые в дальнейшем Товар, в ассортименте, ;один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;32009547398;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Выполнение работ по подтверждению соответствия компрессоров центробежных (НЦ-16ДКС, НЦ-16М, НЦ-12С, НЦ-2) в форме декларирования и передаче сведений в Росаккредитацию для регистрац;один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;32110497539;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"проведение работ по подтверждению соответствия компрессоров центробежных НЦ-16М/120-04 и НЦ-16М-01 требованиям технического регламента Таможенного союза ТР ТС 012/2011 ""О безопасно";один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;32110497052;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;"проведение работ по подтверждению соответствия компрессоров центробежных НЦ-12С/56-03, НЦ-2/20 и НЦ-10С/150 требованиям технического регламента Таможенного союза ТР ТС 012/2011 ""О ";один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;31907806572;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;вихревая или роторная воздуходувка, принцип не центробежный;Роторная воздуходувка ВB-89C N=7,5кВт, Q=200нм3/ч, Ризб=70 кПа с опциями: Ex, En, SP, СP, PG изговленная по ТУ 3643-001-60694612-2015 или роторная воздуходувка Aerzen GM4S N=7,5кВт;один документ записан несколькими фактами — счётчик «Фактов» завышен
5907001774;31806451949;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;садовый инструмент, не машина;Изготовление и поставка воздуходувки KAESER CB 111 C 11кВт с необходимым набором опций (En, Sp, Ср, Pg, USV);один документ записан несколькими фактами — счётчик «Фактов» завышен
5917004527;0356500002321000112;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;Поставка медицинского оборудования (аппараты для измерения артериального давления, стетофонендоскопы, стетоскопы, нагнетатели, манометры);один документ записан несколькими фактами — счётчик «Фактов» завышен
5920000593;961501;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;"Поставка воздуходувки для производственно-эксплуатационных нужд ООО ""Газпром трансгаз Чайковский""";один документ записан несколькими фактами — счётчик «Фактов» завышен
5944202327;B0209240719299;2;Росэлторг;услуга или чужая техника, не наша машина;Турбокомпрессор КАМАЗ дв.ЕВРО-4 левый;один документ записан несколькими фактами — счётчик «Фактов» завышен
6027014114;986299;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;Поставка товара Электрическая воздуходувка Bosch UniversalGardenTidy 3000;один документ записан несколькими фактами — счётчик «Фактов» завышен
6027143462;983896;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;услуга или чужая техника, не наша машина;Поставка турбокомпрессора;один документ записан несколькими фактами — счётчик «Фактов» завышен
6027143462;0857200000222000556;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;Воздуходувка 0857200000222000556;один документ записан несколькими фактами — счётчик «Фактов» завышен
6165132680;32515336845;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не установлен;выполнение электромонтажных и пусконаладочных работ по объекту: «Капитальный ремонт (замена) микропроцессорной защиты, Воздуходувная станция, ОСК, ул. 1-я Луговая, 32, г. Ростов-на;один документ записан несколькими фактами — счётчик «Фактов» завышен
6165132680;32312182290;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;выполнения строительно-монтажных работ по объекту: «Капитальный ремонт малого круга системы охлаждения нагнетателей (замена бака), воздуходувная станция, ОСК, ул. 1-я Луговая,32, г;один документ записан несколькими фактами — счётчик «Фактов» завышен
6315376946;956921;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;не установлен;Вентилятор центробежный FUK-4700/SP;один документ записан несколькими фактами — счётчик «Фактов» завышен
6317024749;803421;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная;Турбокомпрессор IVECO TRAKKER;один документ записан несколькими фактами — счётчик «Фактов» завышен
6450007198;0360100030324000040;2;ТЭК-Торг | ТЭК-Торг, контакты;центробежная, вид по слову;Поставка воздуходувки;один документ записан несколькими фактами — счётчик «Фактов» завышен
6454003331;32615693848;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;Выполнение работ по капитальному ремонту нагнетателя Н750-23-6, установленного на воздуходувной станции ГСА МУПП «Саратовводоканал»;один документ записан несколькими фактами — счётчик «Фактов» завышен
6455010934;877798;2;ЭТП ГПБ | ЭТП ГПБ, поиск по словам;центробежная, вид по слову;Воздуходувка для ПК;один документ записан несколькими фактами — счётчик «Фактов» завышен
6606011940;32616245549;2;РТС-тендер | ЭТП ГПБ, поиск по словам;не установлен;«Ремонт гидроцилиндра телескопирования стрелы автокрана КС-3574»;один документ записан несколькими фактами — счётчик «Фактов» завышен
6608001915;ЗП6052387;2;ТЭК-Торг | ТЭК-Торг, контакты;вихревая или роторная воздуходувка, принцип не центробежный;Работы по ремонту ступеней сжатия воздуходувок GM80L;один документ записан несколькими фактами — счётчик «Фактов» завышен
6608001915;ЗП6052212;2;ТЭК-Торг | ТЭК-Торг, контакты;вихревая или роторная воздуходувка, принцип не центробежный;Услуги по техническому обслуживанию и ремонту ступеней сжатия воздуходувок GM80L после 20000 часов наработки с использованием запчастей исполнителя;один документ записан несколькими фактами — счётчик «Фактов» завышен
6608001915;ЗП6041641;2;ТЭК-Торг | ТЭК-Торг, контакты;вихревая или роторная воздуходувка, принцип не центробежный;Оказание услуги по техническому обслуживанию и ремонту ступени сжатия воздуходувки GM80L после 20000 часов наработки или 3 года эксплуатации (что раньше наступит) в количестве 3 шт;один документ записан несколькими фактами — счётчик «Фактов» завышен
