organizator;inn_organizatora;inn_primechanie;zakazchiki;inn_zakazchikov;predmet;summa;data_publikacii;region;stadiya;tip_procedury;sekciya;reestrovyy_nomer;ssylka;zapros;centrobezhnyy_predmet;centro_priznak;centro_shum
"ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ НАУКИ ""НАЦИОНАЛЬНЫЙ НАУЧНЫЙ ЦЕНТР МОРСКОЙ БИОЛОГИИ ИМ. А.В. ЖИРМУНСКОГО"" ДАЛЬНЕВОСТОЧНОГО ОТДЕЛЕНИЯ РОССИЙСКОЙ АКАДЕМИИ НАУК - НАУЧНО-ОБРАЗОВАТЕЛЬНЫЙ КОМПЛЕКС ""ПРИМОРСКИЙ ОКЕАНАРИУМ""";;нет в словаре площадки;ННЦМБ ДВО РАН;2539008324;Поставка воздуходувного устройства для нужд «Приморского океанариума» - филиала ННЦМБ ДВО РАН;320000.0;2025-07-18;Приморский край;completed;Аукцион на понижение в электронной форме для СМСП;Закупки.Бизнес223;32515050255;https://etpgpb.ru/procedures/etp/1143870-postavka-vozduhoduvnogo-ustroystva-dlya-nuzhd-primorskogo-okeanariuma-filiala-nntsmb-dvo-ran/;воздуходувная;да;воздуходувка;
БАРНАУЛЬСКИЙ ВОДОКАНАЛ;;нет в словаре площадки;БАРНАУЛЬСКИЙ ВОДОКАНАЛ;;Капитальный ремонт здания воздуходувной станции КОС-1, ул.Степанова,15;1745751.62;2023-03-07;Алтайский край;completed;Запрос предложений;Закупки.Бизнес223;32312172665;https://etpgpb.ru/procedures/etp/753906-kapitalnyy-remont-zdaniya-vozduhoduvnoy-stantsii-kos-1-ul-stepanova-15/;воздуходувная;да;воздуходувка;
ГУП ДНР ВОДА ДОНБАССА;9303031163;;ГУП ДНР ВОДА ДОНБАССА;9303031163;Воздуходувное оборудование;11972000.0;2026-01-16;Донецкая Народная Республика;completed;Аукцион на понижение (конкурентный);Закупки.Бизнес223;32615614150;https://etpgpb.ru/procedures/etp/1207748-vozduhoduvnoe-oborudovanie/;воздуходувная+турбокомпрессор;да;воздуходувка;
"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;;"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;Выполнение работ по капитальному ремонту кровли здания насосно-воздуходувной станции;4999999.2;2020-06-04;Оренбургская область;completed;Попозиционная;Закупки.Бизнес223;32009214128;https://etpgpb.ru/procedures/etp/352643-vypolnenie-rabot-po-kapitalnomu-remontu-krovli-zdaniya-nasosno-vozduhoduvnoy-stantsii/;воздуходувная;да;воздуходувка;
"ООО ""РВК-САХАЛИН""";7730263950;;"ООО ""РВК-САХАЛИН""";7730263950;"Поставка воздуходувного агрегата с эл. двигателем для нужд ООО ""РВК-Сахалин""";341306.0;2022-10-12;Сахалинская область;completed;Попозиционная;Закупки.Бизнес223;32211755625;https://etpgpb.ru/procedures/etp/689365-postavka-vozduhoduvnogo-agregata-s-el-dvigatelem-dlya-nuzhd-ooo-rvk-sahalin/;воздуходувная;да;воздуходувка;
ГБУЗ ПСКОВСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ;6027021658;;;;Воздуходувное устройство 0357300006324000255;26852.33;2024-12-27;Псковская область;commission;Электронный аукцион;Закупки.Гос44;0357300006324000255;;воздуходувная;да;воздуходувка;
"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;;"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;МИ-050-ПП-26 в электронной форме на электронной торговой площадке на право заключения договора на оказание услуг по проведению текущего ремонта воздуходувного агрегата GTB-T40-XY, проводимое нецентрализованно для нужд ООО «Тюмень Водоканал»;1303375.41;2026-06-29;Тюменская область;commission;Запрос предложений;Закупки.Бизнес223;32616157715;https://etpgpb.ru/procedures/etp/1266679-mi-050-pp-26-v-elektronnoy-forme-na-elektronnoy-torgovoy-ploschadke-na-pravo-zaklyucheniya-dogovora-na-okazanie-uslug-po-provedeniyu-tekuschego-remonta-vozduhoduvnogo-agregata-gtb-t40-xy-provodimoe-netsentralizovanno-dlya-nuzhd-ooo-tyumen-vodokanal/;воздуходувная+воздуходувка;да;воздуходувка;
"АО ""ОМСКВОДОКАНАЛ""";;нет в словаре площадки;АО ОМСКВОДОКАНАЛ;5504097128;Выполнение капитального ремонта электроосвещения воздуходувной станции №1 цеха «Очистные сооружения канализации» (Здание Воздуходувная станция №1, инв.№1000012А) по адресу: г.Омск, ул. Комбинатская, 50 для нужд АО «ОмскВодоканал»;622863.6;2019-03-05;Омская область;completed;Запрос предложений;Закупки.Бизнес223;31907606966;https://etpgpb.ru/procedures/etp/213630-vypolnenie-kapitalnogo-remonta-elektroosvescheniya-vozduhoduvnoy-stantsii-1-tseha-ochistnye-sooruzheniya-kanalizatsii-zdanie-vozduhoduvnaya-stantsiya-1-inv-1000012a-po-adresu-g-omsk-ul-kombinatskaya-50-dlya-nuzhd-ao-omskvodokanal/;воздуходувная;да;воздуходувка;
"ООО ""УЛЬЯНОВСКОБЛВОДОКАНАЛ""";7728778215;;"ООО ""УЛЬЯНОВСКОБЛВОДОКАНАЛ""";7728778215;Перепланировка здания воздуходувной станции ГОС, под лабораторию по ул Промышленной №9 г. Димитровград;1811153.68;2023-07-07;Ульяновская область;completed;Конкурс в электронной форме для СМСП;Закупки.Бизнес223;32312563488;https://etpgpb.ru/procedures/etp/811254-pereplanirovka-zdaniya-vozduhoduvnoy-stantsii-gos-pod-laboratoriyu-po-ul-promyshlennoy-9-g-dimitrovgrad/;воздуходувная;да;воздуходувка;
"ООО ""Порт Мечел-Темрюк";;нет в словаре площадки;"ООО ""Порт Мечел-Темрюк";;Ранцевое заплечное воздуходувное устройство.;240000.0;2022-03-24;Краснодарский край;completed;Запрос предложений в электронной форме для СМСП;Закупки.Бизнес223;32211252765;https://etpgpb.ru/procedures/etp/616718-rantsevoe-zaplechnoe-vozduhoduvnoe-ustroystvo/;воздуходувная;нет;воздуходувка;ручной инструмент
АДМИНИСТРАЦИЯ МО ГОРОД АЛЕКСИН;7111019673;;;;Поставка ранцевого воздуходувного устройства 0166300033421000026;50990.0;2021-03-18;Тульская область;completed;Электронный аукцион;Закупки.Гос44;0166300033421000026;;воздуходувная;нет;воздуходувка;ручной инструмент
"АО ""ОМСКВОДОКАНАЛ""";;нет в словаре площадки;АО ОМСКВОДОКАНАЛ;5504097128;"Выполнение капитального ремонта системы релейной защиты электродвигателей турбовоздуходувных агрегатов на воздуходувной станции №1 цеха «Очистные сооружения канализации» (Здание Воздуходувная станция №1, инв.№1000012А) по адресу: ул. Комбинатская, 50 для нужд АО ""ОмскВодоканал""";1480915.2;2019-03-27;Омская область;completed;Запрос предложений;Закупки.Бизнес223;31907687732;https://etpgpb.ru/procedures/etp/218785-vypolnenie-kapitalnogo-remonta-sistemy-releynoy-zaschity-elektrodvigateley-turbovozduhoduvnyh-agregatov-na-vozduhoduvnoy-stantsii-1-tseha-ochistnye-sooruzheniya-kanalizatsii-zdanie-vozduhoduvnaya-stantsiya-1-inv-1000012a-po-adresu-ul-kombinatskaya-50-dlya-nuzhd-ao-omskvodokanal/;воздуходувная;да;"турбовоздуходувка; воздуходувка";
"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;;"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;МИ-029-СМР-ИП-19 Выполнение комплекса работ «под ключ» (разработка рабочей документации,  выполнение строительно-монтажных работ по зданию воздуходувной насосной станции ВНС-2, поставка материалов и оборудования) по объекту: «Модернизация воздуходувных станций I и II очередей»;13237673.0;2019-05-17;Тюменская область;completed;Запрос предложений;Закупки.Бизнес223;31907880425;https://etpgpb.ru/procedures/etp/235105-mi-029-smr-ip-19-vypolnenie-kompleksa-rabot-pod-klyuch-razrabotka-rabochey-dokumentatsii-vypolnenie-stroitelno-montazhnyh-rabot-po-zdaniyu-vozduhoduvnoy-nasosnoy-stantsii-vns-2-postavka-materialov-i-oborudovaniya-po-obektu-modernizatsiya-vozduhoduvnyh-stantsiy-i-i-ii-ocheredey/;воздуходувная;да;воздуходувка;
АРЗАМАССКИЙ ВОДОКАНАЛ;5243027892;;АРЗАМАССКИЙ ВОДОКАНАЛ;5243027892;Модернизация «Нежилое здание (насосная-воздуходувная станция)» (Модернизация насосно-воздуходувной станции с целью внедрения НДТ 4(д));12000000.0;2025-03-21;Нижегородская область;completed;Конкурс в электронной форме для СМСП;Закупки.Бизнес223;32514643187;https://etpgpb.ru/procedures/etp/1096696-modernizatsiya-nezhiloe-zdanie-nasosnaya-vozduhoduvnaya-stantsiya-modernizatsiya-nasosno-vozduhoduvnoy-stantsii-s-tselyu-vnedreniya-ndt-4-d/;воздуходувная;да;воздуходувка;
АРЗАМАССКИЙ ВОДОКАНАЛ;5243027892;;АРЗАМАССКИЙ ВОДОКАНАЛ;5243027892;Модернизация «Нежилое здание (насосная-воздуходувная станция)»  (Модернизация насосно-воздуходувной станции с целью внедрения НДТ 4(д);4768148.4;2025-05-15;Нижегородская область;completed;Конкурс в электронной форме для СМСП;Закупки.Бизнес223;32514840251;https://etpgpb.ru/procedures/etp/1118098-modernizatsiya-nezhiloe-zdanie-nasosnaya-vozduhoduvnaya-stantsiya-modernizatsiya-nasosno-vozduhoduvnoy-stantsii-s-tselyu-vnedreniya-ndt-4-d/;воздуходувная;да;воздуходувка;
"ООО ""УЛЬЯНОВСКОБЛВОДОКАНАЛ""";7728778215;;"ООО ""УЛЬЯНОВСКОБЛВОДОКАНАЛ""";7728778215;Замена окон насосно-воздуходувной станции ГОС;2090208.24;2022-11-25;Ульяновская область;completed;Запрос (ценовых) котировок;Закупки.Бизнес223;32211886568;https://etpgpb.ru/procedures/etp/711122-zamena-okon-nasosno-vozduhoduvnoy-stantsii-gos/;воздуходувная;да;воздуходувка;
"ООО ""Мечел-Кокс""";7450043423;;"ООО ""Мечел-Кокс""";7450043423;Ремонт здания станции насосно-воздуходувной;;2018-10-19;Челябинская область;completed;Попозиционные торги;Закупки.Бизнес;ГП822817;https://etpgpb.ru/procedures/etp/182483-remont-zdaniya-stantsii-nasosno-vozduhoduvnoy/;воздуходувная;да;воздуходувка;
"АО ""ОМСКВОДОКАНАЛ""";;нет в словаре площадки;АО ОМСКВОДОКАНАЛ;5504097128;Выполнение работ «Ремонт кровли над машинным залом и АБК воздуходувной станции № 2 цеха ОСиСВ по ул. Комбинатская, 50 (инв. №1000008А -Воздуходувная станция №2 сборн., кирп., бетон 1140 кв.м ОСК/Советский р-н)», проводимый централизованно ООО УК РОСВОДОКАНАЛ» для нужд АО «ОмскВодоканал»;6767373.55;2024-03-26;Омская область;completed;Запрос предложений;Закупки.Бизнес223;32413436650;https://etpgpb.ru/procedures/etp/928958-vypolnenie-rabot-remont-krovli-nad-mashinnym-zalom-i-abk-vozduhoduvnoy-stantsii-2-tseha-osisv-po-ul-kombinatskaya-50-inv-1000008a-vozduhoduvnaya-stantsiya-2-sborn-kirp-beton-1140-kv-m-osk-sovetskiy-r-n-provodimyy-tsentralizovanno-ooo-uk-rosvodokanal-dlya-nuzhd-ao-omskvodokanal/;воздуходувная;да;воздуходувка;
"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;;"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;«Модернизация системы подачи воздуха в аэротенки I и II очереди очистных сооружений канализации г. Оренбурга. Замена воздуходувных агрегатов. Электроснабжение»;389327.0;2021-08-30;Оренбургская область;completed;Попозиционная;Закупки.Бизнес223;32110598208;https://etpgpb.ru/procedures/etp/529036-modernizatsiya-sistemy-podachi-vozduha-v-aerotenki-i-i-ii-ocheredi-ochistnyh-sooruzheniy-kanalizatsii-g-orenburga-zamena-vozduhoduvnyh-agregatov-elektrosnabzhenie/;воздуходувная;да;воздуходувка;
"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;;"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;Выполнение строительно-монтажных работ по объекту: «Модернизация системы подачи воздуха в аэротенки I и II очереди очистных сооружений канализации г. Оренбурга. Замена воздуходувных агрегатов. Здание насосно - воздуходувной станции I очереди, литер В10, расположенной по адресу: г.Оренбург, ул. Луганская, 46 (инв.№000112382). Общестроительные работы»;991749.6;2019-12-10;Оренбургская область;completed;Запрос предложений;Закупки.Бизнес223;31908639873;https://etpgpb.ru/procedures/etp/298947-vypolnenie-stroitelno-montazhnyh-rabot-po-obektu-modernizatsiya-sistemy-podachi-vozduha-v-aerotenki-i-i-ii-ocheredi-ochistnyh-sooruzheniy-kanalizatsii-g-orenburga-zamena-vozduhoduvnyh-agregatov-zdanie-nasosno-vozduhoduvnoy-stantsii-i-ocheredi-liter-v10-raspolozhennoy-po-adresu-g-orenburg-ul-luganskaya-46-inv-000112382-obschestroitelnye-raboty/;воздуходувная;да;воздуходувка;
"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;;"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;МИ-059-ТМЦ-ПП-26 в электронной форме на электронной торговой площадке на право заключения договора на поставку комплекта запасных частей для проведения текущего ремонта воздуходувного агрегата GTB-T40-XY, проводимый не централизовано для нужд ООО «Тюмень Водоканал»;2877122.36;2026-06-29;Тюменская область;commission;Запрос предложений;Закупки.Бизнес223;32616157742;https://etpgpb.ru/procedures/etp/1266668-mi-059-tmts-pp-26-v-elektronnoy-forme-na-elektronnoy-torgovoy-ploschadke-na-pravo-zaklyucheniya-dogovora-na-postavku-komplekta-zapasnyh-chastey-dlya-provedeniya-tekuschego-remonta-vozduhoduvnogo-agregata-gtb-t40-xy-provodimyy-ne-tsentralizovano-dlya-nuzhd-ooo-tyumen-vodokanal/;воздуходувная+компрессор;да;воздуходувка;
"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;;"ООО ""ТЮМЕНЬ ВОДОКАНАЛ""";7204095194;ОЗП-015-ТМЦ-18 Поставка модульной воздуходувной станции для нужд ООО «Тюмень Водоканал»;8617122.05;2018-02-22;Тюменская область;completed;Запрос предложений;Закупки.Бизнес223;31806173725;https://etpgpb.ru/procedures/etp/140085-ozp-015-tmts-18-postavka-modulnoy-vozduhoduvnoy-stantsii-dlya-nuzhd-ooo-tyumen-vodokanal/;воздуходувная;да;воздуходувка;
"ООО ""РВК-ВОРОНЕЖ""";7726671234;;РВК-ВОРОНЕЖ;;Запрос предложений на выполнение работ по  капитальному ремонту кровли блока воздуходувных силовых насосных станций;1538453.89;2015-05-19;Воронежская область;completed;Запрос предложений;Закупки.Бизнес223;31502368190;https://etpgpb.ru/procedures/etp/24819-zapros-predlozheniy-na-vypolnenie-rabot-po-kapitalnomu-remontu-krovli-bloka-vozduhoduvnyh-silovyh-nasosnyh-stantsiy/;воздуходувная;да;воздуходувка;
ГБУ ДО ДООЦ РОССОНЬ ИМ. Ю.А.ШАДРИНА;4707022214;;;;"Поставка ранцевого воздуходувного устройства для нужд ГБУ ДО ДООЦ ""Россонь"" им. Ю.А. Шадрина"" 0345200010626000004";115266.67;2026-03-30;Ленинградская область;commission;Запрос котировок в электронной форме (оптима);Закупки.Гос44;0345200010626000004;;воздуходувная;нет;воздуходувка;ручной инструмент
ГБУЗ ПСКОВСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ;6027021658;;;;"Поставка бензоинструмента (воздуходувное устрйство) для нужд ГБУЗ ""Псковская станция скорой медицинской помощи"" 0357300006322000124";23708.47;2022-08-16;Псковская область;completed;Электронный аукцион;Закупки.Гос44;0357300006322000124;;воздуходувная;да;воздуходувка;
"АО ""ОМСКВОДОКАНАЛ""";;нет в словаре площадки;АО ОМСКВОДОКАНАЛ;5504097128;Капитальный ремонт крана мостового рег. №112 в здании Воздуходувной насосной станции (инв. №1000012А) цеха очистных сооружений и сетей водоотведения АО «ОмскВодоканал» в 2020 году;764080.8;2020-10-20;Омская область;completed;Запрос предложений;Закупки.Бизнес223;32009598393;https://etpgpb.ru/procedures/etp/403787-kapitalnyy-remont-krana-mostovogo-reg-112-v-zdanii-vozduhoduvnoy-nasosnoy-stantsii-inv-1000012a-tseha-ochistnyh-sooruzheniy-i-setey-vodootvedeniya-ao-omskvodokanal-v-2020-godu/;воздуходувная;да;воздуходувка;
"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;;"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;Выполнение работ по капитальному ремонту кровли здания насосно-воздуходувной станции аэротенков 2 очереди (Литер В16, инв. №000112382) по адресу: г. Оренбург, ул. Луганская, 46;3405376.8;2021-06-16;Оренбургская область;completed;Попозиционная;Закупки.Бизнес223;32110386137;https://etpgpb.ru/procedures/etp/491396-vypolnenie-rabot-po-kapitalnomu-remontu-krovli-zdaniya-nasosno-vozduhoduvnoy-stantsii-aerotenkov-2-ocheredi-liter-v16-inv-000112382-po-adresu-g-orenburg-ul-luganskaya-46/;воздуходувная;да;воздуходувка;
"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;;"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;"Выполнение строительно-монтажных работ по объекту: «Модернизация системы подачи воздуха в аэротенки I и II очереди очистных сооружений канализации г. Оренбурга. Замена воздуходувных агрегатов""";1920978.0;2021-05-14;Оренбургская область;completed;Запрос предложений;Закупки.Бизнес223;32110278338;https://etpgpb.ru/procedures/etp/477463-vypolnenie-stroitelno-montazhnyh-rabot-po-obektu-modernizatsiya-sistemy-podachi-vozduha-v-aerotenki-i-i-ii-ocheredi-ochistnyh-sooruzheniy-kanalizatsii-g-orenburga-zamena-vozduhoduvnyh-agregatov/;воздуходувная;да;воздуходувка;
"ООО ""УЛЬЯНОВСКОБЛВОДОКАНАЛ""";7728778215;;"ООО ""УЛЬЯНОВСКОБЛВОДОКАНАЛ""";7728778215;конкурс в электронной форме на право заключения договора, на выполнение работ по капитальному ремонту насосно-воздуходувной станции ГОС;2067348.0;2020-06-26;Ульяновская область;completed;Конкурс;Закупки.Бизнес223;32009273465;https://etpgpb.ru/procedures/etp/363938-konkurs-v-elektronnoy-forme-na-pravo-zaklyucheniya-dogovora-na-vypolnenie-rabot-po-kapitalnomu-remontu-nasosno-vozduhoduvnoy-stantsii-gos/;воздуходувная;да;воздуходувка;
"ООО ""НОВОГОР-ПРИКАМЬЕ""";;нет в словаре площадки;"ООО ""НОВОГОР-ПРИКАМЬЕ""";;Разработка проекта по консервации здания и оборудования воздуходувной насосной станции №1 БОС Гляденово г. Перми;6733957.28;2024-06-25;Пермский край;completed;Конкурс в электронной форме для СМСП;Закупки.Бизнес223;32413742172;https://etpgpb.ru/procedures/etp/972785-razrabotka-proekta-po-konservatsii-zdaniya-i-oborudovaniya-vozduhoduvnoy-nasosnoy-stantsii-1-bos-glyadenovo-g-permi/;воздуходувная;да;воздуходувка;
МУПП САРАТОВВОДОКАНАЛ;6454003331;;МУПП САРАТОВВОДОКАНАЛ;6454003331;Выполнение работ по капитальному ремонту нагнетателя Н750-23-6, установленного на воздуходувной станции ГСА МУПП «Саратовводоканал»;2151180.0;2026-02-11;Саратовская область;completed;Запрос (ценовых) котировок;Закупки.Бизнес223;32615693848;https://etpgpb.ru/procedures/etp/1216590-vypolnenie-rabot-po-kapitalnomu-remontu-nagnetatelya-n750-23-6-ustanovlennogo-na-vozduhoduvnoy-stantsii-gsa-mupp-saratovvodokanal/;воздуходувная+нагнетатель;да;"воздуходувка; нагнетатель";
АО РКС-МЕНЕДЖМЕНТ;7704838722;;"ООО ""НОВОГОР-ПРИКАМЬЕ""";;Конкурс в электронной форме на электронной торговой площадке  на право заключения договора подряда на выполнение работ по разработке проектно-сметной документации на «Реконструкцию системы подачи воздуха с заменой воздуходувных агрегатов воздуходувной станции БОС г. Перми (цех №17) б.н.п. Гляденово» для нужд ООО «Новогор-Прикамье» в период 2019 года для участников из числа субъектов малого и среднего предпринимательства РКСМ-899;7086594.36;2019-02-27;Пермский край;completed;;Закупки.Бизнес223;31907584353;https://etpgpb.ru/procedures/etp/211611-konkurs-v-elektronnoy-forme-na-elektronnoy-torgovoy-ploschadke-na-pravo-zaklyucheniya-dogovora-podryada-na-vypolnenie-rabot-po-razrabotke-proektno-smetnoy-dokumentatsii-na-rekonstruktsiyu-sistemy-podachi-vozduha-s-zamenoy-vozduhoduvnyh-agregatov-vozduhoduvnoy-stantsii-bos-g-permi-tseh-17-bnp-glyadenovo-dlya-nuzhd-ooo-novogor-prikamie-v-period-2019-goda-dlya-uchastnikov-iz-chisla-subektov-malogo-i-srednego-predprinimatelstva-rksm-899/;воздуходувная;да;воздуходувка;
"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;;"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;Выполнение строительно-монтажных работ по объекту: «Модернизация здания насосно - воздуходувной станции II очереди, литер В16, расположенной по адресу: г.Оренбург, ул. Луганская, 46 (инв.№000112382). Электроснабжение и вентиляция;1625786.4;2020-09-17;Оренбургская область;completed;Запрос предложений;Закупки.Бизнес223;32009501778;https://etpgpb.ru/procedures/etp/387106-vypolnenie-stroitelno-montazhnyh-rabot-po-obektu-modernizatsiya-zdaniya-nasosno-vozduhoduvnoy-stantsii-ii-ocheredi-liter-v16-raspolozhennoy-po-adresu-g-orenburg-ul-luganskaya-46-inv-000112382-elektrosnabzhenie-i-ventilyatsiya/;воздуходувная;да;воздуходувка;
"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;;"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;"Выполнение строительно-монтажных работ по объекту: ""Модернизация здания насосно - воздуходувной станции II очереди, литер В16, расположенной по адресу: г. Оренбург, ул. Луганская, 46 (инв.№000112382). Общестроительные работы""";1614129.6;2020-09-17;Оренбургская область;completed;Запрос предложений;Закупки.Бизнес223;32009500761;https://etpgpb.ru/procedures/etp/386091-vypolnenie-stroitelno-montazhnyh-rabot-po-obektu-modernizatsiya-zdaniya-nasosno-vozduhoduvnoy-stantsii-ii-ocheredi-liter-v16-raspolozhennoy-po-adresu-g-orenburg-ul-luganskaya-46-inv-000112382-obschestroitelnye-raboty/;воздуходувная;да;воздуходувка;
КОНЦЕССИИ ВОДОСНАБЖЕНИЯ;3460019060;;КОНЦЕССИИ ВОДОСНАБЖЕНИЯ;3460019060;Здание воздуходувной станции общей площадью 1986,4 кв. м инв. №000009943.;;2023-09-28;Волгоградская область;completed;Ценовой запрос;Торговый портал;513637;https://etpgpb.ru/procedures/price_request/513637-zdanie-vozduhoduvnoy-stantsii-obschey-ploschadyu-19864-kv-m-inv-000009943/;воздуходувная;да;воздуходувка;
"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;;"ООО ""ОРЕНБУРГ ВОДОКАНАЛ""";5610077370;Поставка материалов для капитального ремонта кровли насосно-воздуходувной станции аэротенков 2 очереди  для нужд ООО «Оренбург Водоканал»;3173802.52;2021-06-24;Оренбургская область;completed;Попозиционная;Закупки.Бизнес223;32110413419;https://etpgpb.ru/procedures/etp/502002-postavka-materialov-dlya-kapitalnogo-remonta-krovli-nasosno-vozduhoduvnoy-stantsii-aerotenkov-2-ocheredi-dlya-nuzhd-ooo-orenburg-vodokanal/;воздуходувная;да;воздуходувка;
САМАРСКИЕ КОММУНАЛЬНЫЕ СИСТЕМЫ;;нет в словаре площадки;САМАРСКИЕ КОММУНАЛЬНЫЕ СИСТЕМЫ;;Открытый конкурс с предварительной квалификацией в электронной форме для заключения договора на выполнение проектно-изыскательских работ по объекту: «Реконструкция воздуходувной станции ГОКС» для нужд ООО «Самарские коммунальные системы» в 2024-2025 годах. (СКС-3379);4515000.0;2024-10-30;Самарская область;completed;Конкурс в электронной форме для СМСП;Закупки.Бизнес223;32414138085;https://etpgpb.ru/procedures/etp/1028951-otkrytyy-konkurs-s-predvaritelnoy-kvalifikatsiey-v-elektronnoy-forme-dlya-zaklyucheniya-dogovora-na-vypolnenie-proektno-izyskatelskih-rabot-po-obektu-rekonstruktsiya-vozduhoduvnoy-stantsii-goks-dlya-nuzhd-ooo-samarskie-kommunalnye-sistemy-v-2024-2025-godah-sks-3379/;воздуходувная;да;воздуходувка;
РКС-ХОЛДИНГ;;нет в словаре площадки;"ООО ""БВК""";;"РКСМ-1377 Открытый конкурс в электронной форме на право заключения договора на разработку проектно-сметной документации по объекту: «Реконструкция и модернизация действующих очистных сооружений левого берега, главной канализационной насосной станции. Реконструкция аэрационной системы подачи воздуха с заменой воздуходувных агрегатов воздуходувной станции ГОС г. Березники"" для нужд ООО «Березниковская водоснабжающая компания»";12212400.0;2022-10-17;Пермский край;completed;Запрос предложений;Закупки.Бизнес223;32211768247;https://etpgpb.ru/procedures/etp/691352-rksm-1377-otkrytyy-konkurs-v-elektronnoy-forme-na-pravo-zaklyucheniya-dogovora-na-razrabotku-proektno-smetnoy-dokumentatsii-po-obektu-rekonstruktsiya-i-modernizatsiya-deystvuyuschih-ochistnyh-sooruzheniy-levogo-berega-glavnoy-kanalizatsionnoy-nasosnoy-stantsii-rekonstruktsiya-aeratsionnoy-sistemy-podachi-vozduha-s-zamenoy-vozduhoduvnyh-agregatov-vozduhoduvnoy-stantsii-gos-g-berezniki-dlya-nuzhd-ooo-bereznikovskaya-vodosnabzhayuschaya-kompaniya/;воздуходувная;да;воздуходувка;
РКС-ХОЛДИНГ;;нет в словаре площадки;САМАРСКИЕ КОММУНАЛЬНЫЕ СИСТЕМЫ;;"РКСМ-1756 Запрос предложений в электронной форме на право заключения договора генерального подряда на выполнение строительно-монтажных и пуско-наладочных работ по объекту ""Реконструкция воздуходувной станции ГОКС"" для нужд ООО ""Самарские коммунальные системы""";119379781.98;2025-09-19;Самарская область;completed;Запрос предложений;Закупки.Бизнес223;32515227839;https://etpgpb.ru/procedures/etp/1166893-rksm-1756-zapros-predlozheniy-v-elektronnoy-forme-na-pravo-zaklyucheniya-dogovora-generalnogo-podryada-na-vypolnenie-stroitelno-montazhnyh-i-pusko-naladochnyh-rabot-po-obektu-rekonstruktsiya-vozduhoduvnoy-stantsii-goks-dlya-nuzhd-ooo-samarskie-kommunalnye-sistemy/;воздуходувная;да;воздуходувка;
ГУП ДНР ВОДА ДОНБАССА;9303031163;;ГУП ДНР ВОДА ДОНБАССА;9303031163;Текущий ремонт кровли здания воздуходувной насосной станции на городских очистных сооружениях, г. Торез, ул. Промплощадки д.9;5980886.0;2025-06-25;Донецкая Народная Республика;completed;Запрос (ценовых) котировок;Закупки.Бизнес223;32514978689;https://etpgpb.ru/procedures/etp/1134689-tekuschiy-remont-krovli-zdaniya-vozduhoduvnoy-nasosnoy-stantsii-na-gorodskih-ochistnyh-sooruzheniyah-g-torez-ul-promploschadki-d-9/;воздуходувная;да;воздуходувка;
"АО ""НИЖЕГОРОДСКИЙ ВОДОКАНАЛ""";5257086827;;"АО ""НИЖЕГОРОДСКИЙ ВОДОКАНАЛ""";5257086827;Капитальный ремонт ГВС и отопления здания решеток- воздуходувная Ду 42мм- 364 п.м., 100 мм- 364 п.м. Инв.№030100003.;4492586.4;2022-07-06;Нижегородская область;completed;Запрос котировок в электронной форме для СМСП;Закупки.Бизнес223;32211528560;https://etpgpb.ru/procedures/etp/654848-kapitalnyy-remont-gvs-i-otopleniya-zdaniya-reshetok-vozduhoduvnaya-du-42mm-364-p-m-100-mm-364-pm-inv-030100003/;воздуходувная;да;воздуходувка;
