uroven_doveriya;predpriyatie_podtverzhdeno;novoe_predpriyatie;zapros;nomer;data;inn_zakazchika;zakazchik;obekt;tip;inn_eo;ekspertnaya_org;vyvod;istochnik;istochnik_zakazchik
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-45779-2019;28.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 70/12, 70/13, 70/14, 70/15, 70/16, 70/17 углеводородного конденсата от ТК-901/2, АТ-901/2, АТ-902/2, л. 47/12...16, 70/2, 70/4 до Е-901, дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-45779-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46205-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 26/1 воздуха КИПиА от ТМП до коллектора, дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46205-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46153-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. Т7/6 пара водяного от линии Т7/3 до КРР2, дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46153-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46154-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. Т7/5 пара водяного от линии Т7/2 до КРР2, дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46154-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46157-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. Т7/1 парового конденсата от титула 302 до коллектора (КРР2), дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46157-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46201-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 70/5 конденсата углеводородного от Е-601 до существующего трубопровода, дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46201-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46204-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 49/1 углеводородного конденсата от С-602 до Е-601, дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46204-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46206-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 26/3 воздуха КИПиА от л. 26/1 до коллектора, дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46206-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46207-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 26/4 воздуха КИПиА от л. 26/1 до коллектора, дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46207-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-45981-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 52-102Б газа отбензиненного от ТК-901/1 до 47-4 Дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-45981-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46012-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 56/2-2 углеводородного газа от л. 47/17 до атмосферы Дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46012-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-45999-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 52-104Б газа отбензиненного от ТК-901/1 до 47-7 Дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-45999-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46010-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 56/4-4 углеводородного газа от л. 47/12 до атмосферы Дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46010-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46008-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 52-104Б(1) газа отбензиненного от ТК-901/2 до 47-16 Дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46008-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46150-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 47/11 отбензиненного газа от линии 47/8 до ТК-901/1, дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46150-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46156-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. Т7/2 пара водяного от линии Т7/1 до ТК-901/1, дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46156-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46158-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. Т7/3 пара водяного от линии Т7/1 до ТК-901/2, дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46158-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46208-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 47/7 газа отбензиненного от ТК-901/1 до АТ-902/1, дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46208-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-45995-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 52-102Б(1) газа отбензиненного от ТК-901/2 до 47-13 Дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-45995-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46009-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 33/2-2 масла турбинного от ТК-901/2 до сливной муфты Дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46009-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46210-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 47/20 отбензиненного газа от линии 47/17 до ТК-901/2, дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46210-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46211-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 70/3 углеводородного конденсата от С-901/1 до Е-101 (МКС), дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46211-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46162-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 70/4 углеводородного конденсата от С-901/2 до л. 70/3, КРР-2, дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46162-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46166-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 47/5 отбензиненного газа от АТ-901/1 до С-902/1 (штуцер А1), дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46166-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46200-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 47/6 газа отбензиненного от Т-102/1,2 до С-103/1,2, дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46200-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46209-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 47/14 отбензиненного газа от АТ-901/2 до С-902/2 (штуцер А1), дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46209-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-45977-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 26/3-2,4 воздуха КИП от Р-901 до КИП аппаратного двора ДКС-2 Дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-45977-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-45987-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";"Техническое устройство – трубопровод л. 26/1-1,5,8,12 воздуха КИП от сети завода до 26/2; КС № 2; Р-901; Р-902; В-901 Дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»";ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-45987-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-46152-2019;29.10.2019;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";Техническое устройство – трубопровод л. 47/8, 47/9, 47/17, 47/18, 47/21 отбензиненного газа от АТ-902/1,2 до 302/1-1, узла топливного газа, дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-46152-2019;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-39979-2018;31.10.2018;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";трубопровод л. 118/22 масло компрессорное от огнепреградителя АС-201/2 на свечу, Дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-39979-2018;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-39967-2018;31.10.2018;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";трубопровод л. 118/1 масло компрессорное от маслобака до насоса Н-201-202/1, Дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-39967-2018;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-39864-2018;31.10.2018;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";трубопровод л. 118/19 масло компрессорное отработанное от Б-203/1,2 до АС-201/1, Дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-39864-2018;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-39873-2018;31.10.2018;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";трубопровод л. 118/11 масло компрессорное от подшипников редуктора, эл. двигателя, компрессора КЦ-102/1 в маслобак, Дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-39873-2018;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-39972-2018;31.10.2018;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";трубопровод л. 118/4 масло компрессорное от насоса Н-201-202/2 до маслобака АС-201/2, Дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-39972-2018;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-39862-2018;31.10.2018;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";предохранительный клапан СППК4-25-40ХЛ1, зав. № 8725 Дожимная компрессорная станция № 2, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-39862-2018;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-39875-2018;31.10.2018;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";трубопровод л. 118/8 масло компрессорное отработанное от воздушных холодильников Т-101/2 до масляных фильтров КЦ-102/2, Дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-39875-2018;https://monitor-pb.ru/customer/7202116628
только по процессу;да;нет;дожимная компрессорная станция;57-ТУ-39931-2018;31.10.2018;7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";трубопровод л. 118/6 масло компрессорное отработанное от насоса Н-201-202/2 до воздушных холодильников Т-101/2, Дожимная компрессорная станция № 1, газоперерабатывающее производство, «Южно-Балыкский ГПЗ» - филиал АО «СибурТюменьГаз»;ТУ;7801082551;"АО НДЦ НПФ ""РУССКАЯ ЛАБОРАТОРИЯ""";соответствует;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-39931-2018;https://monitor-pb.ru/customer/7202116628
только по процессу;нет;нет;дожимная компрессорная станция;43-ТП-07294-2016;26.07.2016;1657036630;"АО ""ТАТЭНЕРГО""";«Техническое перевооружение опасного производственного объекта «Сеть газопотребления Казанской ТЭЦ-2» в части установки дополнительной дожимной компрессорной станции»;ТП;1658005426;"ООО ""Учебно-производственный центр по дефектоскопии и сварке""";соответствует;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%9F-07294-2016;https://monitor-pb.ru/customer/1657036630
только по процессу;нет;нет;дожимная компрессорная станция;30-ЗС-04284-2024;05.03.2024;2308065678;"ООО ""ГАЗПРОМ ДОБЫЧА КРАСНОДАР""";сооружение, применяемое на опасном производственном объекте № ЗЭ-МСПб-ВПТ-0191-2023 Сооружение: Газопровод дожимной компрессорной станции Кевсала(подводящий), инв. № 092835 Опасный производственный объект (ОПО): Система промысловых трубопроводов Тахта-Кугультинского месторождения газового промысла № 2 Светлоградского газопромыслового управления Регистрационный номер ОПО: А30-00506-0403 Класс опасности ОПО: III класс Эксплуатирующая-организация: филиал ООО «Газпром добыча Краснодар» Светлоградское газопромысловое управление Место установки: Россия, Ставропольский край, Ипатовский район;ЗС;7805704098;"ООО ""МОНОЛИТ-СПБ""";соответствует;https://monitor-pb.ru/conclusion/30-%D0%97%D0%A1-04284-2024;https://monitor-pb.ru/customer/2308065678
только по процессу;нет;нет;дожимная компрессорная станция;35-ТУ-09234-2018;14.11.2018;2308065678;"ООО ""ГАЗПРОМ ДОБЫЧА КРАСНОДАР""";Газопровод дожимной компрессорной станции Кевсала( подводящий) инв. № 092835 филиала ООО «Газпром добыча Краснодар» - Светлоградского ГПУ;ТУ;7728654509;"ООО ""ИТЦ ""Техническая Квалификация""";соответствует;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-09234-2018;https://monitor-pb.ru/customer/2308065678
только по процессу;нет;нет;дожимная компрессорная станция;41-ЗС-52687-2022;01.09.2022;8903019871;"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""";Сооружение: Газопровод внутренний установки подготовки топливного, пускового и импульсного газа блока подогревателей топливного газа ПТПГ-30, зав. № 27, ст. № 2, инв. № 003689. Опасный производственный объект (ОПО): Площадка промысловой компрессорной станции Ямсовейского месторождения Регистрационный номер ОПО: А59-50021-057 Класс опасности ОПО: III Предприятие владелец: ООО Газпром добыча Надым Место установки: блок подогревателей газа дожимной компрессорной станции Ямсовейского месторождения Надымского НГДУ;ЗС;7805704098;"ООО ""МОНОЛИТ-СПБ""";не в полной мере;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-52687-2022;https://monitor-pb.ru/customer/8903019871
только по процессу;нет;нет;дожимная компрессорная станция;41-ЗС-52683-2022;01.09.2022;8903019871;"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""";Сооружение: Газопровод внутренний установки подготовки топливного, пускового и импульсного газа блока подогревателя газа регенерации (ГП 987.07.00.00001), зав. № 2208, техн. № БПГР, инв. № 003690. Опасный производственный объект (ОПО): Площадка промысловой компрессорной станции Ямсовейского месторождения Регистрационный номер ОПО: А59-50021-057 Класс опасности ОПО: III Предприятие владелец: ООО Газпром добыча Надым Место установки: блок подогревателей газа дожимной компрессорной станции Ямсовейского месторождения Надымского НГДУ;ЗС;7805704098;"ООО ""МОНОЛИТ-СПБ""";не в полной мере;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-52683-2022;https://monitor-pb.ru/customer/8903019871
только по процессу;нет;нет;дожимная компрессорная станция;59-ЗС-24008-2018;04.07.2018;8903019871;"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""";здание и сооружение на опасном производственном объекте - Здание «Блок-бокс маслофильтров. Дожимная компрессорная станция (1оч.) Юбилейного ГМ», инв.№307164 Надымского НГДУ ООО «Газпром добыча Надым»;ЗС;7729700980;"ООО ""МИК - ИНЖИНИРИНГ""";соответствует;https://monitor-pb.ru/conclusion/59-%D0%97%D0%A1-24008-2018;https://monitor-pb.ru/customer/8903019871
только по процессу;нет;нет;дожимная компрессорная станция;59-ЗС-24010-2018;04.07.2018;8903019871;"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""";здание и сооружение на опасном производственном объекте - Здание «Блок-бокс маслофильтров. Дожимная компрессорная станция (1оч.) Юбилейного ГМ», инв.№307163 Надымского НГДУ ООО «Газпром добыча Надым»;ЗС;7729700980;"ООО ""МИК - ИНЖИНИРИНГ""";соответствует;https://monitor-pb.ru/conclusion/59-%D0%97%D0%A1-24010-2018;https://monitor-pb.ru/customer/8903019871
только по процессу;нет;нет;дожимная компрессорная станция;59-ЗС-24017-2018;04.07.2018;8903019871;"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""";здание и сооружение на опасном производственном объекте - Здание «Блок-бокс маслофильтров. Дожимная компрессорная станция (1оч.) Юбилейного ГМ», инв. №307161 Надымского НГДУ ООО «Газпром добыча Надым»;ЗС;7729700980;"ООО ""МИК - ИНЖИНИРИНГ""";соответствует;https://monitor-pb.ru/conclusion/59-%D0%97%D0%A1-24017-2018;https://monitor-pb.ru/customer/8903019871
