inn;nash_zakazchik_epb;nazvanie_v_erknm;vid_nadzora;vid_knm;status;data_nachala;organ;adres_obekta;erpid;tekst_predosterezheniya;istochnik;data_sbora
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Региональный государственный жилищный контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-05;ОТРАСЛЕВОЙ ОРГАН АДМИНИСТРАЦИИ ГОРОДА УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ГОРОДА ИЖЕВСКА;;18261181840021977005; принять меры по надлежащему порядку предоставления коммунальной услуги по горячему водоснабжению и отоплению в многоквартирном доме, расположенном по адресу: г. Ижевск, ул. Вадима Сивкова, д. 88 в части допустимой продолжительности перерыва ГВС. ;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Региональный государственный жилищный контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-05;ГОСУДАРСТВЕННАЯ ЖИЛИЩНАЯ ИНСПЕКЦИЯ САМАРСКОЙ ОБЛАСТИ;443022, обл. Самарская, г. Самара, ул. Вятская, д 14/6;63261186300021978466;"Сверхнормативный перерыв в предоставлении коммунальной услуги горячего водоснабжения по адресам: г. Самара, ул. Вятская, д. 14 г. Самара, Московское шоссе, д. 185, 147 г. Самара, ул. Ново-Вокзальная, д. 201 г. Самара, ул. Стара Загора, д. 141 г. Самара, ул. Фадеева, д. 60 чем нарушен п. 4 прил. 1 Постановления Правительства РФ от 06.05.2011 N 354 ""О предоставлении коммунальных услуг собственникам и пользователям помещений в многоквартирных домах и жилых домов"" ";ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Региональный государственный жилищный контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-05;ИНСПЕКЦИЯ ГОСУДАРСТВЕННОГО ЖИЛИЩНОГО НАДЗОРА ПЕРМСКОГО КРАЯ;Московская обл, г Видное, деревня Ближние Прудищи, тер МКАД, 26-й км, д 5к стр 3кв, офис 506;59261185900021980228;Согласно обращению от 8 мая 2026 г. № 17-17-вхОГ-5920 в многоквартирном доме № 22 по улице Декабристов нарушены требования к предоставлению коммунальной услуги по горячему водоснабжению в части превышения допустимого продолжительности перерыва в предоставлении коммунальной услуги в мае 2026 года. (п.4 Приложения № 1 Правил № 354) ;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Региональный государственный жилищный контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-05;ИНСПЕКЦИЯ ГОСУДАРСТВЕННОГО ЖИЛИЩНОГО НАДЗОРА ПЕРМСКОГО КРАЯ;Московская обл, г Видное, деревня Ближние Прудищи, тер МКАД, 26-й км, д 5к стр 3кв, офис 506;59261185900021980454;Согласно обращению от 8 мая 2026 г. № 45-15-10-2080 в многоквартирном доме № 45Б по улице Стахановская нарушены требования к предоставлению коммунальной услуги по горячему водоснабжению в части превышения допустимого продолжительности перерыва в предоставлении коммунальной услуги в мае 2026 года. (п.4 Приложения № 1 Правил № 354);ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Региональный государственный жилищный контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-05;ОТРАСЛЕВОЙ ОРГАН АДМИНИСТРАЦИИ ГОРОДА УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА АДМИНИСТРАЦИИ ГОРОДА ИЖЕВСКА;426061, Республика Удмуртская, г. Ижевск, ул. Ворошилова, д 42;18261181840021971898;1) принять меры по соблюдению действующего законодательства Российской Федерации в части порядка предоставления коммунальной услуги «горячее водоснабжение» в части соблюдения допустимой продолжительности перерыва подачи на многоквартирном доме № 42 по ул. Ворошилова в г. Ижевске ;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Федеральный государственный экологический контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-05;Западно-Уральское межрегиональное управление Федеральной службы по надзору в сфере природопользования;Удмуртская Республика, г. Ижевск, ул. Буммашевская, д. 11;59260021000221976986; В Западно-Уральское межрегиональное управление Росприроднадзора (далее - Управление) из Министерства природных ресурсов и охраны окружающей среды Удмуртской Республики (далее – Министерство) поступила информация о признаках нарушения природоохранного законодательства Публичным акционерным обществом «Т Плюс» (далее — ПАО «Т Плюс»). Согласно данным государственного реестра объектов негативного воздействия на окружающую среду (далее – объекты НВОС) Промплощадка No1, принадлежащая ПАО «Т Плюс», расположена по адресу: Удмуртская Республика, г. Ижевск, ул. Буммашевская, 11, поставлена на учет в государственном реестре объектов НВОС, код: 94-0118-001894-П, III категория. Из поступившей информации следует, что у вышеуказанного объекта отсутствует План мероприятий по уменьшению выбросов загрязняющих веществ в атмосферный воздух в периоды неблагоприятных метеорологических условий (далее — НМУ). Согласно п. 11 ст. 19 Федерального закона Российской Федерации от 04.05.1999 г. № 96-ФЗ «Об охране атмосферного воздуха» Планы мероприятий по снижению выбросов загрязняющих веществ в атмосферный воздух в периоды НМУ разрабатываются и утверждаются юридическими лицами, индивидуальными предпринимателями;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Муниципальный контроль на автомобильном транспорте, городском наземном электрическом транспорте и в дорожном хозяйстве;Объявление предостережения;Предостережение объявлено;2026-06-05;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ &quot;ГОРОД САРАТОВ&quot;";;64261216440121976071;ПУБЛИЧНОГО АКЦИОНЕРНОГО ОБЩЕСТВА «Т ПЛЮС» (Филиал «Саратовский» ПАО «Т Плюс»), ИНН: 6315376946. При осуществлении муниципального контроля на автомобильном транспорте, городском наземном электрическом транспорте и в дорожном хозяйстве на территории муниципального образования «Город Саратов» поступили сведения о следующих действиях (бездействии): о неисполнении ПАО «Т Плюс» обязанности по подготовке и проведению земляных работ (в ходе которых произведено вскрытие асфальтобетонного покрытия) на проезжей части автомобильной дороги общего пользования, обеспечению наличия сплошных ограждений места производства земляных работ и видимости места вскрытия, в темное время суток, для водителей и пешеходов по адресу: г. Саратов, ул. им. Сакко и Ванцетти, д. 23. Указанные действия (бездействие) могут привести/приводят к нарушениям следующих обязательных требований: пункта 4.10.7. Правил благоустройства территории муниципального образования «Город Саратов», принятых решением Саратовской городской Думы от 25.12.2018 № 45-326, пункта 1.9 Порядка проведения работ на подземных коммуникациях и обустройства строительных площадок, утвержденное постановлением администрации муниципального образования «Гор;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Муниципальный контроль в сфере благоустройства;Объявление предостережения;Предостережение объявлено;2026-06-05;АДМИНИСТРАЦИЯ БАЛАКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;;64261706440121971931; Из разрешения (ордера) на производство земляных работ № 174 от 04.05.2026 и приложенных к нему материалов следует, что земляные работы по адресу: г.Балаково, ул. Набережная Леонова,д.63/2 (ЦТП-71) осуществлялись Балаковскими тепловыми сетями филиал «Саратовский» ПАО «Т Плюс», срок производства работ с 30.04.2026 по 27.05.2026, срок восстановления благоустройства - до 29.05.2026. Согласно акту приема-сдачи земляных работ и работ по восстановлению благоустройства № 174 от 02.06.2026, составленному МКУ «Управление дорожного хозяйства и благоустройства» при приеме территории по адресу: г.Балаково, ул.Набережная Леонова,д. 63/2 (ЦТП-71) после земляных работ, проведенных Балаковскими тепловыми сетями филиал «Саратовский» ПАО «Т Плюс», было выявлено, что благоустройство не выполнено в полном объеме: не восстановлено асфальтобетонное покрытие парковочной площадки возле ЦТП-71 .;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Муниципальный контроль на автомобильном транспорте, городском наземном электрическом транспорте и в дорожном хозяйстве;Объявление предостережения;Предостережение объявлено;2026-06-05;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ &quot;ГОРОД САРАТОВ&quot;";;64261216440121975843;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО «Т ПЛЮС» (Филиал «Саратовский» ПАО «Т Плюс»), ИНН: 6315376946. При осуществлении муниципального контроля на автомобильном транспорте, городском наземном электрическом транспорте и в дорожном хозяйстве на территории муниципального образования «Город Саратов» поступили сведения о следующих действиях (бездействии): о неисполнении ПАО «Т Плюс» обязанности по подготовке и проведению земляных работ (в ходе которых произведено вскрытие асфальтобетонного покрытия) на проезжей части автомобильной дороги общего пользования, а также обеспечению наличия сплошных ограждений места производства земляных работ и видимости места вскрытия, в темное время суток, для водителей и пешеходов по адресу: г. Саратов, ул. им. Мичурина И.В., д. 148. Указанные действия (бездействие) могут привести/приводят к нарушениям следующих обязательных требований: пункта 4.10.7. Правил благоустройства территории муниципального образования «Город Саратов», принятых решением Саратовской городской Думы от 25.12.2018 № 45-326, пункта 1.9 Порядка проведения работ на подземных коммуникациях и обустройства строительных площадок, утвержденное постановлением администрации муниципального образования ;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Региональный государственный жилищный контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-05;АДМИНИСТРАЦИЯ БАЛАКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;413865, обл. Саратовская, г. Балаково, ул. Набережная Леонова, д 19;64261186440121980337;"ПАО ""Т Плюс"" не предприняло своевременных мер по ремонту, герметизации соединений транзитного трубопровода теплоносителя, находящегося в зоне ответственности ресурсосберегающей организации, согласно концессионному соглашению, расположенного в подвальном помещении многоквартирного дома 19 по ул. Наб. Леонова в г. Балаково, что привело к подтоплению подвального помещения данного дома.";ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Муниципальный контроль в сфере благоустройства;Объявление предостережения;Предостережение объявлено;2026-06-04;АДМИНИСТРАЦИЯ БАЛАКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;413860, обл. Саратовская, г. Балаково, ул. Набережная Леонова, д 48;64261706440121955150; Из разрешения (ордера) на производство земляных работ № 129 от 01.04.2026 и приложенных к нему материалов следует, что земляные работы по адресу: Саратовская обл., г.Балаково, ул. Набережная Леонова, д. 48 осуществлялись Балаковскими тепловыми сетями филиал «Саратовский» ПАО «Т Плюс», срок производства работ с 30.03.2026 по 26.04.2026 , срок восстановления благоустройства - до 28.04.2026. Согласно акту приема-сдачи земляных работ и работ по восстановлению благоустройства № 129 от 02.06.2026, составленному МКУ «Управление дорожного хозяйства и благоустройства» при приеме территории по адресу: г.Балаково, ул. Набережная Леонова, д. 48 после земляных работ, проведенных Балаковскими тепловыми сетями филиал «Саратовский» ПАО «Т Плюс», было выявлено, что благоустройство не выполнено в полном объеме: не проведена планировка грунта, не убрана щебенка и куски асфальта.;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Муниципальный контроль в сфере благоустройства;Объявление предостережения;Предостережение объявлено;2026-06-04;АДМИНИСТРАЦИЯ БАЛАКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;;64261706440121955577; Из разрешения (ордера) на производство земляных работ № 104 от 17.03.2024 и приложенных к нему материалов следует, что земляные работы по адресу: Саратовская область, г.Балаково, ул. Коммунистическая,д.106а осуществлялись Балаковскими тепловыми сетями филиал «Саратовский» ПАО «Т Плюс», срок производства работ с 04.03.2026 по 28.03.2026, срок восстановления благоустройства - до 02.04.2026. Согласно акту приема-сдачи земляных работ и работ по восстановлению благоустройства № 104 от 17.04.2026, составленному МКУ «Управление дорожного хозяйства и благоустройства» при приеме территории по адресу: г.Балаково, ул. Коммунистическая,д.106а после земляных работ, проведенных Балаковскими тепловыми сетями филиал «Саратовский» ПАО «Т Плюс», было выявлено, что благоустройство не выполнено в полном объеме: не произведена планировка грунта,не вывезен строительный мусор.;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Муниципальный контроль в сфере благоустройства;Объявление предостережения;Предостережение объявлено;2026-06-04;АДМИНИСТРАЦИЯ БАЛАКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;413841, обл. Саратовская, г. Балаково, ул. Комарова, д 122;64261706440121955699; Из разрешения (ордера) на производство земляных работ № 97 от 13.03.2026 и приложенных к нему материалов следует, что земляные работы по адресу: Саратовская обл., г.Балаково, ул. Комарова, д. 122 осуществлялись Балаковскими тепловыми сетями филиал «Саратовский» ПАО «Т Плюс», срок производства работ с 10.03.2026 по 06.04.2026, срок восстановления благоустройства - до 08.04.2026 (срок продлен до 18.04.2026). Согласно акту приема-сдачи земляных работ и работ по восстановлению благоустройства № 97 от 02.06.2026, составленному МКУ «Управление дорожного хозяйства и благоустройства» при приеме территории по адресу: г.Балаково, ул. Комарова, д. 122 после земляных работ, проведенных Балаковскими тепловыми сетями филиал «Саратовский» ПАО «Т Плюс», было выявлено, что благоустройство не выполнено в полном объеме: не восстановлено 7 кв.м. асфальтобетонного покрытия тротуара, не восстановлен поребрик 7 п.м.;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Муниципальный контроль на автомобильном транспорте, городском наземном электрическом транспорте и в дорожном хозяйстве;Объявление предостережения;Предостережение объявлено;2026-06-04;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ &quot;ГОРОД САРАТОВ&quot;";;64261216440121960807;Публичного акционерного общества «Т Плюс» (Филиал «Саратовский» ПАО «Т Плюс»), ИНН: 6315376946. При осуществлении муниципального контроля на автомобильном транспорте, городском наземном электрическом транспорте и в дорожном хозяйстве на территории муниципального образования «Город Саратов» поступили сведения о следующих действиях (бездействии): о неисполнении ПАО «Т Плюс» обязанности по выявлению и устранению просадок (провалов) дорожного покрытия, расположенных над инженерными коммуникациями, причин, способствующих их образованию, на проезжей части автомобильной дороги общего пользования, по адресу: г. Саратов, Набережная Космонавтов, д. 1 (дворовая территория). Указанные действия (бездействие) могут привести/приводят к нарушениям следующих обязательных требований: абзаца 1 пункта 3.5.13. Правил благоустройства территории муниципального образования «Город Саратов», принятых решением Саратовской городской Думы от 25.12.2018 № 45-326. В соответствии с частью 1 статьи 49 Федерального закона от 31.07.2020 № 248-ФЗ «О государственном контроле (надзоре) и муниципальном контроле в Российской Федерации» ОБЪЯВЛЯЮ ПРЕДОСТЕРЕЖЕНИЕ о недопустимости нарушения обязательных требований и предлага;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6315376946;"ПАО ""Т ПЛЮС""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";Региональный государственный жилищный контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-04;МИНИСТЕРСТВО ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И ГРАЖДАНСКОЙ ЗАЩИТЫ НАСЕЛЕНИЯ ПЕНЗЕНСКОЙ ОБЛАСТИ;;58261185840121964264; При осуществлении регионального государственного жилищного контроля (надзора) (обращение вх. от 07.04.2026 №Эл-Л-4684) поступили сведения о следующих действиях (бездействии) ПАО «Т Плюс»: - отсутствие проверки состояния и достоверности представленных потребителями сведений о показаниях индивидуальных приборов учета горячей воды. Исполнителем коммунальной услуги по горячему водоснабжению в многоквартирном доме № 7 по ул. 8 Марта в г. Пензе (далее - МКД) является ПАО «Т Плюс». В соответствии с положениями п.п «а» и «б» п. 82 Правил предоставления коммунальных услуг собственникам и пользователям помещений в многоквартирных домах и жилых домов, утвержденных постановлением Правительства РФ от 06.05.2011 № 354 (далее – Правила № 354), исполнитель обязан проводить проверки состояния установленных и введенных в эксплуатацию индивидуальных, общих (квартирных), комнатных приборов учета тепловой энергии, факта их наличия или отсутствия, а также проводить проверки достоверности представленных потребителями сведений о показаниях индивидуальных, общих (квартирных), комнатных приборов учета тепловой энергии путем сверки их с показаниями соответствующего прибора учета на момент проверки (в случая;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6320005915;"ПАО ""КУЙБЫШЕВАЗОТ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""КУЙБЫШЕВАЗОТ""";Федеральный государственный экологический контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-05;Межрегиональное управление Федеральной службы по надзору в сфере природопользования по Самарской и Ульяновской областям;445007, Самарской обл., г. Тольятти, ул. Новозаводская, 6;63260021000221979932;Федеральной службой по надзору в сфере природопользования в ходе анализа имеющихся сведений установлено следующее. Согласно части 1 статьи 7 Федерального закона № 446-ФЗ юридические лица, индивидуальные предприниматели, которым принадлежат объекты размещения отходов I и II классов опасности, введенные в эксплуатацию до 01.09.2023, обязаны по согласованию с Росприроднадзором, определить срок эксплуатации объектов размещения отходов I и II классов опасности в срок до 01.03.2025. Вместе с тем, по состоянию на 20.05.2026 сведения о сроках эксплуатации объектов размещения отходов I и II классов опасности в Росприроднадзор не поступали. Пунктом 3 статьи 56.1 Федерального закона от 10.01.2002 № 7-ФЗ «Об охране окружающей среды» (далее – Федеральный закон № 7-ФЗ) установлено, что юридические лица, индивидуальные предприниматели, которым принадлежат отдельные производственные объекты, за исключением шахт угольной промышленности, не позднее чем за пять лет до истечения содержащегося в проектной документации срока эксплуатации зданий и сооружений, которые являются отдельными опасными производственными объектами и (или) в которых находятся отдельные опасные производственные объекты, и (или) ср;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6325004584;"АО ""СНПЗ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЫЗРАНСКИЙ НЕФТЕПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""";Федеральный государственный энергетический надзор в сфере электроэнергетики;Профилактический визит;Завершено;2026-06-29;СРЕДНЕ-ПОВОЛЖСКОЕ УПРАВЛЕНИЕ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ПО ЭКОЛОГИЧЕСКОМУ, ТЕХНОЛОГИЧЕСКОМУ И АТОМНОМУ НАДЗОРУ;Самарская обл, г Сызрань, ул Астраханская, д 1;63260011000022127411;;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6325004584;"АО ""СНПЗ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЫЗРАНСКИЙ НЕФТЕПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД""";Федеральный государственный экологический контроль (надзор);Объявление предостережения;Предостережение объявлено;2026-06-05;Межрегиональное управление Федеральной службы по надзору в сфере природопользования по Самарской и Ульяновской областям;Самарская область, г.Сызрань, улица Астраханская, 1;63260021000221974002;Федеральной службой по надзору в сфере природопользования в ходе анализа имеющихся сведений установлено следующее. Согласно части 1 статьи 7 Федерального закона № 446-ФЗ юридические лица, индивидуальные предприниматели, которым принадлежат объекты размещения отходов I и II классов опасности, введенные в эксплуатацию до 01.09.2023, обязаны по согласованию с Росприроднадзором, определить срок эксплуатации объектов размещения отходов I и II классов опасности в срок до 01.03.2025. Вместе с тем, по состоянию на 20.05.2026 сведения о сроках эксплуатации объектов размещения отходов I и II классов опасности в Росприроднадзор не поступали. Пунктом 3 статьи 56.1 Федерального закона от 10.01.2002 № 7-ФЗ «Об охране окружающей среды» (далее – Федеральный закон № 7-ФЗ) установлено, что юридические лица, индивидуальные предприниматели, которым принадлежат отдельные производственные объекты, за исключением шахт угольной промышленности, не позднее чем за пять лет до истечения содержащегося в проектной документации срока эксплуатации зданий и сооружений, которые являются отдельными опасными производственными объектами и (или) в которых находятся отдельные опасные производственные объекты, и (или) ср;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";Федеральный государственный пожарный надзор;Профилактический визит;Завершено;2026-06-29;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО САРАТОВСКОЙ ОБЛАСТИ;"обл Саратовская, р-н Марксовский территория Санаторий- профилакторий &quot;Нива&quot;";64260061000221963981;;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Федеральный государственный пожарный надзор;Профилактический визит;Завершено;2026-06-29;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЧЕЛЯБИНСКОЙ ОБЛАСТИ;обл Челябинская, р-н Троицкий, п Ясные Поляны;74260061000222166007;;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Федеральный государственный пожарный надзор;Профилактический визит;Завершено;2026-06-29;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЧЕЛЯБИНСКОЙ ОБЛАСТИ;обл Челябинская, р-н Троицкий, п Берлин;74260061000222165849;;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
6608007434;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ТРАНСГАЗ ЕКАТЕРИНБУРГ""";Федеральный государственный пожарный надзор;Профилактический визит;Завершено;2026-06-29;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО ЧЕЛЯБИНСКОЙ ОБЛАСТИ;обл Челябинская, г Троицк, тер Южный промышленный район;74260061000222165741;;ЕРКНМ, открытые данные: https://proverki.gov.ru/blob/erknm-opendata/2026/6/data-20260729-structure-20220125.zip (срез первых 40 МБ архива);2026-07-29
