marka;nash_profil;tip;sreda;seriya;proizvoditel;pochemu;nashih_upominaniy;nashih_predpriyatiy;znayut;ssylka;godno_kak_slovo_poiska
NEK-2150GK;;;;;;;0;0;1s-неопознанные;;
NEK-2168GK;;;;;;;0;0;1s-неопознанные;;
NEK-6170;;;;;;;0;0;1s-неопознанные;;
NEK-6217GK;;;;;;;0;0;1s-неопознанные;;
NEU 6212;;;;;;;4;2;только наша база;;
NEU-2155;;;;;;;0;0;1s-неопознанные;;
NEU-2155GK;;;;;;;0;0;1s-неопознанные;;
NEU-2170UA;;;;;;;0;0;1s-неопознанные;;
NEU-6212;;;;;;;0;0;1s-неопознанные;;
NEU-6215;;;;;;;0;0;1s-неопознанные;;
NEU2178GK;;;;;;;8;3;только наша база;;
NH-68;;;;;;;0;0;1s-неопознанные;;
NJ-2212GK;;;;;;;0;0;1s-неопознанные;;
NJ-9232;;;;;;;0;0;1s-неопознанные;;
NJ2212GK;;;;;;;3;2;только наша база;;
NK-160G-V034;;;;;;;0;0;1s-неопознанные;;
NL-11;;;;;;;0;0;1s-неопознанные;;
NL-60;;;;;;;0;0;1s-неопознанные;;
NLE-12;;;;;;;0;0;1s-неопознанные;;
NO-5020;;;;;;;0;0;1s-неопознанные;;
NOV-12-P-160;;;;;;;0;0;1s-неопознанные;;
NR-17;;;;;;;0;0;1s-неопознанные;;
NR-20;;;;;;;0;0;1s-неопознанные;;
NR20;;;воздух;;;Турбокомпрессор PBS turbo NR20 является узлом наддува двигателя и подает атмосферный воздух.;5;1;1s-среда;;
NR20/SJ;;;газ;;;Турбокомпрессор NR20/SJ обслуживается в составе ГПА (газоперекачивающего агрегата), работающего на природном газе.;12;2;1s-среда;;
NT-1-10A;;;;;;;0;0;1s-неопознанные;;
NT-1117GZ;;;;;;;0;0;1s-неопознанные;;
NT-2178GK;;;;;;;0;0;1s-неопознанные;;
NT-2212GK;;;;;;;0;0;1s-неопознанные;;
NT-6224;;;;;;;0;0;1s-неопознанные;;
NT1-10A;;;воздух;;;Турбокомпрессоры серии Napier NT1 предназначены для подавления и сжатия воздуха наддува двигателей.;3;1;1s-среда;;
NX-400-C050;;;;;;;0;0;1s-неопознанные;;
OCX-24L-O;;;;;;;2;1;1s-неопознанные;;
ODRE-2775;;;;;;;0;0;1s-неопознанные;;
OFRA-2,2;;;;;;;0;0;1s-неопознанные;;
OFRA-7,5;;;;;;;0;0;1s-неопознанные;;
OFS-45;;;;;;;2;1;1s-неопознанные;;
OL-195;;;;;;;0;0;1s-неопознанные;;
OL-231;;;;;;;0;0;1s-неопознанные;;
OL-68;;;;;;;0;0;1s-неопознанные;;
OLD-10;;;;;;;0;0;1s-неопознанные;;
OLD-10НК;;;;;;;0;0;1s-неопознанные;;
OLD-15Т;;;;;;;0;0;1s-неопознанные;;
OLD-20;;;;;;;0;0;1s-неопознанные;;
OLD-20-ЗТ;;;;;;;0;0;1s-неопознанные;;
OLD10;;;;;;;13;5;только наша база;;
OLD10НК;;;;;;;4;2;только наша база;;
OLD15;;;;;;;8;3;только наша база;;
OLD20;;;;;;;22;5;только наша база;;
OLS-280;;;;;;;0;0;1s-неопознанные;;
OM 906;;;;;;;5;2;только наша база;;
OM-906;;;;;;;0;0;1s-неопознанные;;
OM444LA;;;воздух;;;Турбокомпрессор дизельного двигателя сжимает атмосферный воздух для подаче в цилиндры ДВС.;4;1;1s-среда;;
OM906;;;воздух;;;Турбокомпрессор дизельного двигателя OM 906 LA предназначен для сжатия атмосферного воздуха для наддува ДВС.;0;0;1s-среда;;
OSC-250;;;;;;;0;0;1s-неопознанные;;
P-01A;;;;;;;0;0;1s-неопознанные;;
P-02B;;;;;;;0;0;1s-неопознанные;;
P-03-5012;;;;;;;0;0;1s-неопознанные;;
P-03-5043;;;;;;;0;0;1s-неопознанные;;
P-03-5046;;;;;;;0;0;1s-неопознанные;;
P-1102;;;;;;;0;0;1s-неопознанные;;
P-124;;;;;;;0;0;1s-неопознанные;;
P-12TN;;;;;;;0;0;1s-неопознанные;;
P-136;;;;;;;0;0;1s-неопознанные;;
P-137;;;;;;;0;0;1s-неопознанные;;
P-138S;;;;;;;1;1;1s-неопознанные;;
P-139;;;;;;;0;0;1s-неопознанные;;
P-14-4553;;;;;;;0;0;1s-неопознанные;;
P-141S;;;;;;;1;1;1s-неопознанные;;
P-143;;;;;;;0;0;1s-неопознанные;;
P-148;;;;;;;0;0;1s-неопознанные;;
P-152;;;;;;;0;0;1s-неопознанные;;
P-153;;;;;;;0;0;1s-неопознанные;;
P-154;;;;;;;0;0;1s-неопознанные;;
P-163;;;;;;;0;0;1s-неопознанные;;
P-18-4007;;;;;;;0;0;1s-неопознанные;;
P-2,15А;;;;;;;0;0;1s-неопознанные;;
P-223;;;;;;;0;0;1s-неопознанные;;
P-30;;;;;;;0;0;1s-неопознанные;;
P-4001A;;;;;;;1;1;1s-неопознанные;;
P-4006;;;;;;;1;1;1s-неопознанные;;
P-41;;;;;;;1;1;1s-неопознанные;;
P-6EX;;;;;;;0;0;1s-неопознанные;;
P01A/В;;;;;;;8;2;только наша база;;
PA-1,1;;;;;;;0;0;1s-неопознанные;;
PA-150;;;;;;;1;1;1s-неопознанные;;
PB-300;;;;;;;0;0;1s-неопознанные;;
PB-530HE;;;;;;;0;0;1s-неопознанные;;
PB-770;;;;;;;6;2;1s-неопознанные;;
PB-80;;;;;;;0;0;1s-неопознанные;;
PC-059;;;;;;;0;0;1s-неопознанные;;
PC-060;;;;;;;0;0;1s-неопознанные;;
PC-061;;;;;;;0;0;1s-неопознанные;;
PCL 802/24;;;;;;;35;2;только наша база;;
PCL 804-2/36;;;;;;;12;3;только наша база;;
PCL 804-2/36/B;;;;;;;16;2;только наша база;;
PCL 804-2/36В;;;;;;;2;2;только наша база;;
PCL-802;;;;;;;0;0;1s-неопознанные;;
PCL-802/24;;;газ;;;Нагнетатель серии PCL эксплуатируется на компрессорной станции магистрального газопровода для перекачки природного газа.;5;1;1s-среда;;
PCL-804;;;;;;;0;0;1s-неопознанные;;
PCL-804-2;;;;;;;0;0;1s-неопознанные;;
PCL-804-2-36;;;;;;;0;0;1s-неопознанные;;
PCL-804/2-36;;;газ;;;Нагнетатель PCL в составе ГПА на компрессорной станции предназначен для перекачки природного газа.;5;2;1s-среда;;
PCL802/24;;;газ;;;Нагнетатель серии PCL в составе газоперекачивающего агрегата сжимает природный газ.;2;1;1s-среда;;
PCL804-2-36;;;газ;;;Центробежный нагнетатель PCL применяется на компрессорной станции магистрального газопровода.;0;0;1s-среда;;
PCL804-2-36/В;;;газ;;;Центробежный нагнетатель PCL применяется на компрессорной станции магистрального газопровода.;0;0;1s-среда;;
PCL804-2/36;;;газ;;;В контексте машина прямо названа центробежным нагнетателем природного газа.;0;0;1s-среда;;
PCL804-2/36/B;;;газ;;;Нагнетатели серии PCL предназначены для перекачки природного газа на компрессорных станциях.;0;0;1s-среда;;
PCL804-2/36В;;;газ;;;PCL — серия центробежных нагнетателей для природного газа, прямо указано в контексте 'нагнетатель природного газа'.;0;0;1s-среда;;
PCL804/2-36;;;газ;;;В контексте прямо указано, что устройство является нагнетателем природного газа.;0;0;1s-среда;;
PCV-1256;;;;;;;3;1;1s-неопознанные;;
PCV-4059;;;;;;;1;1;1s-неопознанные;;
PCV-4102;;;;;;;2;1;1s-неопознанные;;
PDH-50;;;;;;;0;0;1s-неопознанные;;
PDH50;;;воздух;;;Судовой турбокомпрессор PDH 50 сжимает воздух для наддува дизельного двигателя.;0;0;1s-среда;;
PDN-35;;;;;;;0;0;1s-неопознанные;;
PDN35;;;не ясно;;;В контексте закупки турбокомпрессора отсутствуют сведения о его рабочей среде.;0;0;1s-среда;;
PDP-20;;;;;;;0;0;1s-неопознанные;;
PDP-28;;;;;;;0;0;1s-неопознанные;;
PDP-350-0,5R;;;;;;;0;0;1s-неопознанные;;
PDS-400S-B;;;;;;;0;0;1s-неопознанные;;
PDS-400SC-W;;;;;;;0;0;1s-неопознанные;;
PDS185SC-W;;;;;;;7;2;только наша база;;
PDS265SC-W;;;;;;;11;2;только наша база;;
PDS390SC;;;;;;;5;2;только наша база;;
PDSF-920SC-W;;;;;;;0;0;1s-неопознанные;;
PDV-428;;;;;;;0;0;1s-неопознанные;;
PE-300-HE-330;;;;;;;0;0;1s-неопознанные;;
PF-180;;;;;;;3;1;1s-неопознанные;;
PF-4;;;;;;;0;0;1s-неопознанные;;
PFU-250Е;;;;;;;1;1;1s-неопознанные;;
PG-35;;;;;;;0;0;1s-неопознанные;;
PGT-10;;;;;;;2;2;1s-неопознанные;;
PIRC-1721;;;;;;;1;1;1s-неопознанные;;
PK 100;;;;;;;3;2;только наша база;;
PK-100;;;;;;;0;0;1s-неопознанные;;
PK-9501;;;;;;;0;0;1s-неопознанные;;
PL-611;;;;;;;0;0;1s-неопознанные;;
PL-611A;;;;;;;0;0;1s-неопознанные;;
PL-616;;;;;;;0;0;1s-неопознанные;;
PLUS-8-08;;;;;;;0;0;1s-неопознанные;;
PM-240-2;;;;;;;0;0;1s-неопознанные;;
PN 1;;;;;;;68;9;только наша база;;
PN 10;;;;;;;17;2;только наша база;;
PN 100;;;;;;;7;2;только наша база;;
PN 16;;;;;;;46;6;только наша база;;
PN 160;;;;;;;36;2;только наша база;;
PN 25;;;;;;;7;3;только наша база;;
PN 40;;;;;;;5;2;только наша база;;
PN 6;;;;;;;34;5;только наша база;;
PN 63;;;;;;;7;2;только наша база;;
PN 64;;;;;;;7;2;только наша база;;
PN 7;;;;;;;58;12;только наша база;;
PN 75;;;;;;;43;8;только наша база;;
PN 8;;;;;;;103;12;только наша база;;
PN 8.0;;;;;;;7;2;только наша база;;
PN 80;;;;;;;32;7;только наша база;;
PN-0,6;;;;;;;0;0;1s-неопознанные;;
PN-1,0;;;;;;;0;0;1s-неопознанные;;
PN-1,2;;;;;;;0;0;1s-неопознанные;;
PN-1,46;;;;;;;0;0;1s-неопознанные;;
PN-1,6;;не компрессор (другое оборудование);;;;обозначение номинального давления (PN 1,6 МПа);0;0;1s-провайдером, 1s-неопознанные;;
PN-10,0;;;;;;;0;0;1s-неопознанные;;
PN-100;;;;;;;0;0;1s-неопознанные;;
PN-125;;;;;;;0;0;1s-неопознанные;;
PN-15,0;;;;;;;0;0;1s-неопознанные;;
PN-16;;не компрессор (другое оборудование);;;;обозначение номинального давления (PN 16 bar / 1,6 МПа);0;0;1s-провайдером, 1s-неопознанные;;
PN-16,0;;не компрессор (другое оборудование);;;;обозначение номинального давления (PN);0;0;1s-провайдером, 1s-неопознанные;;
PN-160;;не компрессор (другое оборудование);;;;Jurop PN-160, пластинчато-роторный вакуумный насос;0;0;1s-провайдером, 1s-неопознанные;;
PN-20;;;;;;;0;0;1s-неопознанные;;
PN-200;;;;;;;0;0;1s-неопознанные;;
PN-24,0;;;;;;;0;0;1s-неопознанные;;
PN-25;;;;;;;1;1;1s-неопознанные;;
PN-25,0;;;;;;;0;0;1s-неопознанные;;
PN-25,5;;;;;;;0;0;1s-неопознанные;;
PN-40;;не компрессор (другое оборудование);;;;обозначение номинального давления (PN);0;0;1s-провайдером, 1s-неопознанные;;
PN-50;;;;;;;0;0;1s-неопознанные;;
PN-6,4;;;;;;;0;0;1s-неопознанные;;
PN-63;;;;;;;0;0;1s-неопознанные;;
PN-64;;;;;;;0;0;1s-неопознанные;;
PN-7,4;;;;;;;0;0;1s-неопознанные;;
PN-7,5;;не компрессор (другое оборудование);;;;обозначение номинального давления (PN 7,5) арматуры или оборудования;0;0;1s-провайдером, 1s-неопознанные;;
PN-7,85;;;;;;;0;0;1s-неопознанные;;
PN-73,5;;;;;;;0;0;1s-неопознанные;;
PN-75;;не компрессор (другое оборудование);;;;обозначение номинального давления (PN 75) или элемента трубопроводов;0;0;1s-провайдером, 1s-неопознанные;;
PN-8,0;;не компрессор (другое оборудование);;;;обозначение номинального давления (PN 8,0 bar/MPa) арматуры или трубопроводов;0;0;1s-провайдером, 1s-неопознанные;;
PN-80;;не компрессор (другое оборудование);;;;;0;0;1s-провайдером, 1s-неопознанные;;
PN-9,8;;;;;;;0;0;1s-неопознанные;;
PN1;;;;;;;36;5;только наша база;;
PN100;;;;;;;7;3;только наша база;;
PN16;;;;;;;39;8;только наша база;;
PN40;;;;;;;10;3;только наша база;;
PN6;;;;;;;5;2;только наша база;;
PN64;;;;;;;7;3;только наша база;;
PN75;;;не ясно;;;В контексте указано лишь номинальное давление арматуры обвязки и нет данных о рабочей среде машины.;8;4;1s-среда;;
PN8;;;;;;;6;3;только наша база;;
PN80;;;газ;;;Оборудование входит в технологическую обвязку нагнетателя газоперекачивающего агрегата компрессорной станции.;13;6;1s-среда;;
PR-764;;;;;;;4;1;1s-неопознанные;;
PS-3-W3S;;;;;;;0;0;1s-неопознанные;;
PSV-0018;;;;;;;0;0;1s-неопознанные;;
PSV-11;;;;;;;0;0;1s-неопознанные;;
PSV-3621;;;газ;;;В контексте указано, что позиция относится к газовому компрессору.;3;1;1s-среда, 1s-неопознанные;;
PSV-4001;;;;;;;1;1;1s-неопознанные;;
PSV-4002;;;;;;;1;1;1s-неопознанные;;
PSV-4005;;;;;;;2;1;1s-неопознанные;;
PSV-4006;;;;;;;1;1;1s-неопознанные;;
PSV-4008;;;;;;;1;1;1s-неопознанные;;
PSV-4011;;;;;;;1;1;1s-неопознанные;;
PSV-4013;;;;;;;1;1;1s-неопознанные;;
PSV-4101;;;;;;;1;1;1s-неопознанные;;
PSV-4102;;;;;;;1;1;1s-неопознанные;;
PSV-4103;;;;;;;1;1;1s-неопознанные;;
PSV-4110А;;;;;;;0;0;1s-неопознанные;;
PTR-180;;;воздух;;;Турбокомпрессор газового двигателя сжимает атмосферный воздух для наддува.;7;1;1s-среда, 1s-неопознанные;;
PV-1032A;;;;;;;2;1;1s-неопознанные;;
PV-1175;;;;;;;3;1;1s-неопознанные;;
PV-14;;;;;;;1;1;1s-неопознанные;;
PV-160;;;;;;;1;1;1s-неопознанные;;
PV-20/16;;;не ясно;;;Марка относится к эжектору паротурбинной установки, сжимаемая среда прямо не указана.;1;1;1s-среда;;
PV-204,1;;;;;;;0;0;1s-неопознанные;;
PV-235;;;;;;;0;0;1s-неопознанные;;
PV-271;;;;;;;0;0;1s-неопознанные;;
PV-4021;;;;;;;1;1;1s-неопознанные;;
PV-600;;;;;;;0;0;1s-неопознанные;;
PV-610;;;;;;;1;1;1s-неопознанные;;
PV20/16-P;;;не ясно;;;В приведенном контексте отсутствует информация о рабочей среде эжекторного блока.;0;0;1s-среда;;
PW-401;;;;;;;0;0;1s-неопознанные;;
Q-5-33;;;;;;;0;0;1s-неопознанные;;
QSD-4,2-320;;;;;;;0;0;1s-неопознанные;;
QSX-15;;;;;;;0;0;1s-неопознанные;;
QSX15;;;воздух;;;Турбокомпрессор дизельного двигателя сжимает атмосферный воздух для подачи в цилиндры.;3;1;1s-среда;;
QV-10H;;;;;;;0;0;1s-неопознанные;;
QXR-16E;;;;;;;4;1;1s-неопознанные;;
QXR-25E;;;;;;;3;1;1s-неопознанные;;
QXR-41E;;;;;;;3;1;1s-неопознанные;;
QА-107-9;;;;;;;1;1;1s-неопознанные;;
R 46;;;;;;;14;5;только наша база;;
R-0167-18-РД;;;;;;;0;0;1s-неопознанные;;
R-0168-18-РД;;;;;;;0;0;1s-неопознанные;;
R-0169-18-РД;;;;;;;0;0;1s-неопознанные;;
R-0170-18-РД;;;;;;;0;0;1s-неопознанные;;
R-0171-18-РД;;;;;;;0;0;1s-неопознанные;;
R-100;;;;;;;0;0;1s-неопознанные;;
R-102;;;;;;;0;0;1s-неопознанные;;
R-1200-9;;;;;;;0;0;1s-неопознанные;;
R-134;;;;;;;12;3;1s-неопознанные;;
R-134A;;;;;;;1;1;1s-неопознанные;;
R-160L;;;;;;;0;0;1s-неопознанные;;
R-200;;;;;;;0;0;1s-неопознанные;;
R-201;;;;;;;6;2;1s-неопознанные;;
R-202;;;;;;;11;4;1s-неопознанные;;
R-203;;;;;;;8;3;1s-неопознанные;;
R-204;;;;;;;3;1;1s-неопознанные;;
R-205N;;;;;;;1;1;1s-неопознанные;;
R-22;;;;;;;6;2;1s-неопознанные;;
R-290;;;;;;;1;1;1s-неопознанные;;
R-301;;;;;;;1;1;1s-неопознанные;;
R-301N;;;;;;;1;1;1s-неопознанные;;
R-302;;;;;;;3;1;1s-неопознанные;;
R-311;;;;;;;0;0;1s-неопознанные;;
R-37-51,5;;;;;;;0;0;1s-неопознанные;;
R-401;;;;;;;1;1;1s-неопознанные;;
R-401-404;;;;;;;1;1;1s-неопознанные;;
R-402;;;;;;;3;1;1s-неопознанные;;
R-404;;;;;;;2;1;1s-неопознанные;;
R-404A;;;;;;;2;2;1s-неопознанные;;
R-404a;;;;;;;4;2;только наша база;;
R-419;;;;;;;3;1;1s-неопознанные;;
R-420;;;;;;;3;1;1s-неопознанные;;
R-421;;;;;;;3;1;1s-неопознанные;;
R-451;;;;;;;1;1;1s-неопознанные;;
R-46;;;;;;;0;0;1s-неопознанные;;
R-46AL;;;;;;;0;0;1s-неопознанные;;
R-500;;;;;;;0;0;1s-неопознанные;;
R-510A;;;воздух;;;Турбокомпрессор Napier серии R предназначен для подачи наддувочного воздуха в судовой дизель.;3;1;1s-среда, 1s-неопознанные;;
R-600;;;;;;;3;1;1s-неопознанные;;
R-68;;;;;;;0;0;1s-неопознанные;;
R-6A-005;;;;;;;0;0;1s-неопознанные;;
R134a;;;;;;;6;3;только наша база;;
R404A;;;;;;;5;3;только наша база;;
R410A;;;;;;;6;3;только наша база;;
RA-49;;;;;;;0;0;1s-неопознанные;;
RB-120;;;;;;;0;0;1s-неопознанные;;
RB-180-36;;;;;;;0;0;1s-неопознанные;;
RB-40;;;;;;;0;0;1s-неопознанные;;
RB-40VA;;;;;;;0;0;1s-неопознанные;;
RB-4B;;;;;;;0;0;1s-неопознанные;;
RB-6B;;;газ;;;Компрессорный корпус работает в составе агрегата переработки попутного нефтяного газа.;4;1;1s-среда, 1s-неопознанные;;
RB4B;;;газ;;;Центробежный компрессор типа RB4B используется для перекачки технологических газов на установках гидрокрекинга и производства бензола.;2;1;1s-среда;;
RBA-44B-5RBA;;;;;;;0;0;1s-неопознанные;;
RBA44B;;;газ;;;Центробежный компрессор АДА серии RBA на заводе КуйбышевАзот, химическое производство.;0;0;1s-среда;;
RBA44B-5RBA;;;не ясно;;;В приведённом контексте и маркировке компрессора сведения о рабочей среде отсутствуют.;0;0;1s-среда;;
RBL26BP;;;;;;;4;2;только наша база;;
RBL42BP;;;;;;;8;4;только наша база;;
RBS-125;;;;;;;0;0;1s-неопознанные;;
RBS-126;;;;;;;0;0;1s-неопознанные;;
RBS-35;;;;;;;0;0;1s-неопознанные;;
RBS-45;;;;;;;0;0;1s-неопознанные;;
RBS-55;;;;;;;0;0;1s-неопознанные;;
RBS-65;;;;;;;0;0;1s-неопознанные;;
RBS-85;;;;;;;0;0;1s-неопознанные;;
RBS45/SP;;;воздух;;;Роторные нагнетатели серии RBS используются на водоканалах для подачи воздуха на аэрацию.;0;0;1s-среда;;
RBS85/3P;;;воздух;;;Роторный блок серии RBS применяется на водоочистных сооружениях для нагнетания воздуха.;0;0;1s-среда;;
RBV-36B;;;;;;;0;0;1s-неопознанные;;
RC-4В;;;;;;;0;0;1s-неопознанные;;
RC-5-4B;;;;;;;0;0;1s-неопознанные;;
RC-5B;;;не ясно;;;Марка оборудования и контекст не содержат сведений о рабочей среде.;1;1;1s-среда, 1s-неопознанные;;
RC-6B;;;;;;;0;0;1s-неопознанные;;
RC-6S;;;;;;;0;0;1s-неопознанные;;
RC-7-6B;;;;;;;0;0;1s-неопознанные;;
RC-7B;;;газ;;;Нагнетатель RC-7B предназначен для транспортировки природного газа на компрессорных станциях.;4;2;1s-среда, 1s-неопознанные;;
RC-8-6S;;;;;;;0;0;1s-неопознанные;;
RC-8B;;;газ;;;Упоминается в связке с позициями 7 и 8 как оборудование 'Участка комплексной подготовки газа' (ГКС).;1;1;1s-среда, 1s-неопознанные;;
RC-9-8B;;;;;;;0;0;1s-неопознанные;;
RC5-4B;;;газ;;;Компрессоры серии RC компании Dresser-Rand разработаны для перекачки газа.;1;1;1s-среда;;
RC6B;;;газ;;;Компрессор RC6B эксплуатируется на площадке газоперерабатывающего завода.;6;3;1s-среда;;
RC6S;;;газ;;;Машина работает в цехе подготовки и компрессирования газа на месторождении.;9;1;1s-среда;;
RC7-6B;;;не ясно;;;В приведенных данных отсутствуют сведения о перекачиваемой среде.;4;2;1s-среда;;
RC8-6S;;;газ;;;Компрессор предназначен для сжатия попутного нефтяного газа на ГПЗ.;19;1;1s-среда;;
RC9-8B;;;газ;;;Компрессоры Cooper Bessemer на нефтяных месторождениях используются для сжатия попутного газа.;9;1;1s-среда;;
RC9-8D;;;газ;;;В контексте прямо указано: 'газовый турбокомпрессор', применяемый на участке подготовки газа.;1;1;1s-среда;;
RC9-8В;;;газ;;;Аналогично позиции 11, в контексте указан 'газовый турбокомпрессор' на участке подготовки газа.;1;1;1s-среда;;
RCI-11-500;;;;;;;1;1;1s-неопознанные;;
RCM-075U;;;;;;;0;0;1s-неопознанные;;
RD-315;;;;;;;0;0;1s-неопознанные;;
RD-6-4S;;;;;;;0;0;1s-неопознанные;;
RD-7B;;;;;;;0;0;1s-неопознанные;;
RD-9-8S;;;;;;;0;0;1s-неопознанные;;
RD6-4S;;;газ;;;В контексте прямо указано использование компрессора на установке очистки газа от сернистых соединений.;4;2;1s-среда;;
RD7B;;;не ясно;;;В приведённом контексте отсутствуют данные о рабочей среде компрессора RD7B.;15;2;1s-среда;;
RD9-8S;;;газ;;;Центробежный компрессор работает на установке газоразделения в производстве изобутилена и МТБЭ.;10;2;1s-среда;;
RDH-710;;;;;;;0;0;1s-неопознанные;;
RE-25P-4DK.4I;;;;;;;0;0;1s-неопознанные;;
RE-28P-4DK.6F;;;;;;;0;0;1s-неопознанные;;
RE31P-4DK.6K;;;;;;;5;2;только наша база;;
REYQ-16M;;;;;;;0;0;1s-неопознанные;;
RF-2095C;;;;;;;2;1;1s-неопознанные;;
RF-22P-2DD.5H;;;;;;;0;0;1s-неопознанные;;
RF-2BB;;;газ;;;Нагнетатели типа RF-2BB предназначены для перекачки природного газа на компрессорных станциях.;3;1;1s-среда, 1s-неопознанные;;
RF-2BB-30;;;;;;;10;3;1s-неопознанные;;
RF-2BB-36;;;газ;;;В контексте прямо указано: нагнетатель природного газа типа RF-2BB-36.;10;2;1s-среда, 1s-неопознанные;;
RF-2ВВ;;;;;;;2;1;1s-неопознанные;;
RF2BB-30;;;газ;;;Центробежный нагнетатель RF2BB-30 установлен в КЦ на объектах транспорта газа.;12;2;1s-среда;;
RF2ВВ/30;;;газ;;;Нагнетатель RF2ВВ/30 используется на компрессорной станции магистрального газопровода.;4;1;1s-среда;;
RFC-6D-40,2;;;;;;;0;0;1s-неопознанные;;
RGA-75;;;;;;;1;1;1s-неопознанные;;
RGEL-400;;;;;;;0;0;1s-неопознанные;;
RGEL-500;;;;;;;0;0;1s-неопознанные;;
RH-11;;;;;;;1;1;1s-неопознанные;;
RH-12;;;;;;;2;1;1s-неопознанные;;
RH-13;;;;;;;2;1;1s-неопознанные;;
RH-14;;;;;;;2;1;1s-неопознанные;;
RH-15;;;;;;;2;1;1s-неопознанные;;
RH-16;;;;;;;1;1;1s-неопознанные;;
RL-32-3MAF;;;;;;;0;0;1s-неопознанные;;
RMA-62;;;;;;;0;0;1s-неопознанные;;
RMA62;;;не ясно;;;Контекст не содержит сведений о рабочей среде машины, а марка RMA62 однозначно ее не определяет.;0;0;1s-среда;;
RMD-56;;;газ;;;Компрессор эксплуатируется на установке выделения изобутан изобутиленовой фракции.;6;1;1s-среда, 1s-неопознанные;;
RNT-32,30;;;;;;;0;0;1s-неопознанные;;
RNT-33,30;;;;;;;0;0;1s-неопознанные;;
RO-6,3;;;;;;;0;0;1s-неопознанные;;
ROTO-45;;;;;;;0;0;1s-неопознанные;;
ROTO-45,21;;;;;;;0;0;1s-неопознанные;;
RPA-70;;;газ;;;Холодильный турбокомпрессор 8 RPA-70 работает в составе установки переработки газа на ГПЗ, сжимая газообразный хладагент.;1;1;1s-среда, 1s-неопознанные;;
RPD-135;;;;;;;0;0;1s-неопознанные;;
RPD-135A;;;;;;;0;0;1s-неопознанные;;
RPD135;;;газ;;;Обозначение серии RPD соответствует центробежным компрессорам для технологического газа.;2;1;1s-среда;;
RPD135A;;;газ;;;В контексте прямо указано, что машина является пропиленовым турбокомпрессором.;0;0;1s-среда;;
RPА-70;;;;;;;1;1;1s-неопознанные;;
RPА70;;;газ;;;Обозначение серии RPA относится к центробежным компрессорам для технологических газов.;0;0;1s-среда;;
RRF-350;;;;;;;11;2;1s-неопознанные;;
RS-18,5;;;;;;;0;0;1s-неопознанные;;
RS-560;;;не ясно;;;Контекст 'работы по фрезеровке лап крепления редуктора турбокомпрессора' не указывает на среду.;3;1;1s-среда, 1s-неопознанные;;
RS403;;;не ясно;;;Обозначение является позиционным индексом установки, данных о рабочей среде недостаточно.;0;0;1s-среда;;
RSA-32;;;;;;;0;0;1s-неопознанные;;
RSA-36;;;;;;;0;0;1s-неопознанные;;
RSA-36В;;;;;;;0;0;1s-неопознанные;;
RSA-45;;;;;;;0;0;1s-неопознанные;;
RSA32;;;оба;;;Компрессор 4RSA32 — многофункционального назначения, на установке гидроочистки и изомеризации ЛСИ-200, среда может быть воздух или водородосодержащий газ.;0;0;1s-среда;;
RSA36В;;;газ;;;Компрессор перекачивает водородсодержащий газ в составе установки ЛЧ-35-11/600.;0;0;1s-среда;;
RSD-3500;;;;;;;3;1;1s-неопознанные;;
RSH-105;;;;;;;0;0;1s-неопознанные;;
RSS-150;;;;;;;0;0;1s-неопознанные;;
RT-223;;;;;;;0;0;1s-неопознанные;;
RT-35;;;;;;;8;1;1s-неопознанные;;
RT223;;;воздух;;;Турбокомпрессор двигателя тягача Terberg RT223 сжимает атмосферный воздух.;4;1;1s-среда;;
RU-125KG;;;;;;;0;0;1s-неопознанные;;
RUB-600;;;;;;;0;0;1s-неопознанные;;
RUB600;;;воздух;;;Редуктор предназначен для турбокомпрессора Людмила, обеспечивающего подачу воздуха в производстве соды.;3;1;1s-среда;;
RVA39;;;газ;;;В контексте прямо указано, что компрессор предназначен для углекислого газа СО2.;2;1;1s-среда;;
RVH-6000;;;;;;;0;0;1s-неопознанные;;
RVJ-1600;;;;;;;0;0;1s-неопознанные;;
RVK-063;;;;;;;0;0;1s-неопознанные;;
RVM-08;;;;;;;0;0;1s-неопознанные;;
RW-3;;;;;;;0;0;1s-неопознанные;;
RW-3,15;;;;;;;0;0;1s-неопознанные;;
RW3,15;;;воздух;;;Компрессор эксплуатируется в составе установки получения кислорода и азота, где перекачиваемой средой является воздух.;0;0;1s-среда;;
RYTC-6;;;;;;;0;0;1s-неопознанные;;
RYTC-61;;;;;;;0;0;1s-неопознанные;;
RВS-46;;;;;;;0;0;1s-неопознанные;;
RМА70;;;газ;;;Компрессор 7RМА70 на обозначенном как 'Площадка...' объекте Тольяттикаучука используется для газов.;0;0;1s-среда;;
RС-6B;;;;;;;0;0;1s-неопознанные;;
RС6B;;;газ;;;Компрессор используется на объекте добычи и переработки газа ООО Газпром добыча Астрахань.;4;1;1s-среда;;
S 125;;;;;;;6;2;только наша база;;
S 50;;;;;;;6;2;только наша база;;
S 60;;;;;;;6;2;только наша база;;
S 75;;;;;;;8;2;только наша база;;
S-0;;;;;;;0;0;1s-неопознанные;;
S-0070G;;;;;;;2;1;1s-неопознанные;;
S-1;;;;;;;0;0;1s-неопознанные;;
S-1,3;;;;;;;0;0;1s-неопознанные;;
S-100;;;не ясно;;;Контекст содержит упоминание компрессорного масла без указания рабочей среды оборудования.;4;2;1s-среда;;
