marka;vid;sereya;proizvoditel;sreda;uverennost;pochemu;predpriyatiy;upominaniy;goditsya_dlya_poiska;kto_razobral
К-500-61-5;центробежный компрессор;К-500-61;Казанькомпрессормаш;воздух;высокая;Серия К-500-61: центробежный воздушный компрессор, 5-я модификация;27;182;да;2-я сессия
КТ-1/1;не опознано;;;неизвестно;низкая;Префикс КТ не соответствует однозначно известной серии компрессорного оборудования;2;172;;2-я сессия
Ц4-70;вентилятор или дымосос;Ц4-70;;воздух;высокая;Ц4-70 — широко известная серия промышленных центробежных вентиляторов;23;160;;2-я сессия
КТК-12;не опознано;;;неизвестно;низкая;Аббревиатура КТК не соответствует однозначно известной серии;11;158;;2-я сессия
К-0;не опознано;;;неизвестно;низкая;Неполное обозначение, одна буква и нуль — вероятно обрывок строки;36;153;;2-я сессия
К 250-61-5;центробежный компрессор;К-250-61;Казанькомпрессормаш;воздух;высокая;Тот же тип, что К-250-61-5, пробел вместо дефиса — орфографический вариант;17;150;да;2-я сессия
ТВ-200-1;турбовоздуходувка/нагнетатель;ТВ;;воздух;средняя;"Серия ТВ — турбовоздуходувки;ТВ-200 — больший типоразмер по сравнению с ТВ-80";20;148;да;2-я сессия
К-250;центробежный компрессор;К-250;Невинномысский завод химического машиностроения;зависит от исполнения;высокая;стандартное обозначение советской/российской серии центробежных компрессоров К-250;22;146;да;2-я сессия
12;не опознано;;;неизвестно;низкая;одиночное число без контекста, идентификация невозможна;19;145;;2-я сессия
К-250-61-2;центробежный компрессор;К-250;Невинномысский завод химического машиностроения;зависит от исполнения;высокая;модель серии К-250 по стандартной нотации К-[подача]-[давление]-[модификация];24;143;да;2-я сессия
К-345-92-1;центробежный компрессор;К-345;Невинномысский завод химического машиностроения;зависит от исполнения;средняя;структура К-[подача]-[давление]-[мод] совпадает с серией К центробежных компрессоров, но К-345 менее известна;11;143;да;2-я сессия
Н-196;турбовоздуходувка/нагнетатель;;;газ;средняя;префикс Н соответствует российскому обозначению нагнетателя (центробежный газовый), число — параметр производительности;13;134;да;2-я сессия
К-250-61-1;центробежный компрессор;К-250;Невинномысский завод химического машиностроения;зависит от исполнения;высокая;модель серии К-250, стандартная нотация советских центробежных компрессоров;20;128;да;2-я сессия
Л-35-11/300;поршневой компрессор;;;зависит от исполнения;средняя;"формат X/Y (подача/давление) типичен для поршневых компрессоров; префикс Л предположительно лабиринтный или иной тип, точная серия не установлена";7;127;;2-я сессия
ТГК-11;центробежный компрессор;;;газ;средняя;"ТГК расшифровывается как турбогазовый компрессор, -11 — типоразмер; точная принадлежность серии не подтверждена";3;124;да;2-я сессия
К-905-61-1;центробежный компрессор;К-905;Невинномысский завод химического машиностроения;зависит от исполнения;средняя;структура совпадает с серией К центробежных компрессоров, К-905 менее распространена чем К-250;12;121;да;2-я сессия
К250-61-5;центробежный компрессор;К-250;Невинномысский завод химического машиностроения;зависит от исполнения;высокая;то же обозначение серии К-250, дефис после К пропущен (вариант написания);23;114;да;2-я сессия
К-500;центробежный компрессор;К-500;Невинномысский завод химического машиностроения;зависит от исполнения;высокая;серия К центробежных компрессоров, К-500 — известный типоразмер;18;113;да;2-я сессия
25;не опознано;;;неизвестно;низкая;одиночное число без контекста;30;104;;2-я сессия
15;не опознано;;;неизвестно;низкая;одиночное число без контекста;30;104;;2-я сессия
К-890-121-1;центробежный компрессор;К;;зависит от исполнения;средняя;Формат К-[подача]-[давление]-[исполнение] характерен для советских/российских центробежных компрессоров серии К;6;62;да;2-я сессия
ВО-14М-320-6;вентилятор или дымосос;ВО;;воздух;высокая;ВО — серия осевых вентиляторов,14 — диаметр в дм, М — модернизированный;1;62;;2-я сессия
Г-43-107М/1;не опознано;;;неизвестно;низкая;Префикс Г может указывать на газовый поршневой компрессор, но формат не совпадает с известными сериями;3;59;;2-я сессия
ПК-1;позиционное обозначение;;;неизвестно;низкая;"Слишком короткое для марки машины;ПК-1 чаще встречается как позиционное обозначение на схеме";16;58;;2-я сессия
ТВ80-1;турбовоздуходувка/нагнетатель;ТВ;Казанский компрессорный завод;воздух;средняя;ТВ — серия турбовоздуходувок, 80 — типоразмер, производитель серии ТВ — Казанский КЗ;13;58;да;2-я сессия
PN 7;не опознано;;;неизвестно;низкая;PN (Pressure Nominal) — обозначение условного давления по стандарту, не марка оборудования;12;58;;2-я сессия
GBR357;не опознано;;;неизвестно;низкая;Обозначение не совпадает ни с одной известной серией компрессорного или насосного оборудования;24;56;;2-я сессия
S3-900;не опознано;;;неизвестно;низкая;Формат не соответствует ни одной известной серии;9;56;;2-я сессия
ТВ-300-1;турбовоздуходувка/нагнетатель;ТВ;;воздух;средняя;ТВ — серия турбовоздуходувок, 300 — типоразмер или производительность;6;55;да;2-я сессия
ТЭЦ-21;не опознано;;;неизвестно;низкая;ТЭЦ-21 — название теплоэлектроцентрали (предприятия), а не марка оборудования;8;55;;2-я сессия
ТВ-175-1;турбовоздуходувка/нагнетатель;ТВ;;воздух;средняя;ТВ — серия турбовоздуходувок, 175 — типоразмер или производительность;10;54;да;2-я сессия
К-1500-62-1;центробежный компрессор;К;;зависит от исполнения;средняя;Формат К-[подача]-[давление]-[исполнение] аналогичен К-890-121-1, характерен для серии К;6;54;да;2-я сессия
А67-00348;не опознано;;;неизвестно;низкая;Формат напоминает заводской номер или артикул, не совпадает со стандартными сериями машин;1;54;;2-я сессия
Н-101/1;позиционное обозначение;;;неизвестно;высокая;Н + трёхзначный номер + /1 — стандартное позиционное обозначение насоса (рабочего агрегата) на технологической схеме;14;53;;2-я сессия
Н-101;позиционное обозначение;;;неизвестно;высокая;Н + трёхзначный номер — стандартное позиционное обозначение насоса на технологической схеме НПЗ/нефтехимии;18;53;;2-я сессия
У2;не опознано;;;неизвестно;низкая;"У2 — климатическое исполнение по ГОСТ 15150, не марка оборудования; возможен обрывок строки";6;52;;2-я сессия
НКВ 360/125;насос;НКВ;;зависит от исполнения;средняя;НКВ — серия вертикальных конденсатных насосов, 360/125 — подача/напор;11;52;;2-я сессия
4М10-40/70;поршневой компрессор;М10;;газ;высокая;"Формат xМy-a/b — стандарт советских/российских поршневых компрессоров;4 — число рядов, М10 — серия, 40/70 — подача/давление";10;51;;2-я сессия
Н 540-41-1;не опознано;;;неизвестно;низкая;"Формат с буквой Н и параметрами встречается и у нагнетателей, и у насосов; без контекста однозначно не идентифицируется";2;51;;2-я сессия
Н-2/1;не опознано;;;неизвестно;низкая;"Может быть как позиционным обозначением насоса на схеме, так и малым поршневым компрессором Н-2/1; контекст отсутствует";22;50;;2-я сессия
ПТ-60-130/13;не опознано;;;неизвестно;низкая;Префикс ПТ с данным числовым форматом не соответствует однозначно узнаваемой серии компрессорного оборудования;13;50;;2-я сессия
II 1608-6Ex;иное оборудование;;;неизвестно;высокая;Суффикс 6Ex и группа II — маркировка взрывозащиты по ATEX/IECEx, не модель машины;1;50;;2-я сессия
Н-900-31-4;центробежный компрессор;Н;;газ;средняя;Формат Н-XXXX-XX-X характерен для центробежных нагнетателей российского производства;3;48;да;2-я сессия
BGK 345;не опознано;;;неизвестно;низкая;Аббревиатура BGK не соответствует известной серии компрессорного или насосного оборудования;21;48;;2-я сессия
НК 200/120;насос;НК;;зависит от исполнения;средняя;"НК — серия консольных центробежных насосов; формат XXX/XXX указывает подачу и напор";9;48;;2-я сессия
45;не опознано;;;неизвестно;низкая;Одиночное число без контекста — невозможно идентифицировать оборудование;8;47;;2-я сессия
АА-108/7;не опознано;;;неизвестно;низкая;Префикс АА с данным форматом не соответствует уверенно узнаваемой серии компрессорного оборудования;1;46;;2-я сессия
ЦК 135/8;центробежный компрессор;ЦК;;зависит от исполнения;высокая;ЦК — стандартная аббревиатура серии центробежных компрессоров, 135/8 — типовой формат производительность/давление;10;43;да;2-я сессия
К-1500;центробежный компрессор;К;;воздух;средняя;"К-серия советских/российских центробежных воздушных компрессоров; типоразмер 1500 вписывается в ряд К-250/К-500/К-1000";7;39;да;2-я сессия
С416М;не опознано;;;неизвестно;низкая;Обозначение не соответствует ни одной известной серии компрессорного или насосного оборудования;15;39;;2-я сессия
КС-2К;поршневой компрессор;КС;;воздух;средняя;КС — серия передвижных строительных поршневых компрессорных станций;6;39;;2-я сессия
PN16;иное оборудование;;;неизвестно;высокая;PN (Pressure Nominal) — обозначение условного давления по EN/ГОСТ, не марка машины;8;39;;2-я сессия
КЦ-101/1;позиционное обозначение;;;неизвестно;средняя;Формат «буквенный код — число/число» типичен для позиционного тега на технологической схеме;4;39;;2-я сессия
К250;центробежный компрессор;К-250;;воздух;высокая;К-250 — хорошо известная серия советских/российских центробежных воздушных компрессоров;5;38;да;2-я сессия
КТК 12;не опознано;;;неизвестно;низкая;аббревиатура КТК не распознана;5;35;;2-я сессия
НПС 65/35-500;насос;НПС;;неизвестно;высокая;НПС — типовое обозначение насосов (насос поверхностный/погружной);8;35;;2-я сессия
К-602;центробежный компрессор;К;;зависит от исполнения;средняя;серия К — центробежные компрессоры СССР/России;2;35;да;2-я сессия
PCL 802/24;не опознано;;;неизвестно;низкая;маркировка не распознана;2;35;;2-я сессия
Н-205;позиционное обозначение;;;неизвестно;высокая;Н-ХХХ — стандартное позиционное обозначение колонны/аппарата;12;35;;2-я сессия
5-4000;не опознано;;;неизвестно;низкая;обрывок строки или просто числа;7;35;;2-я сессия
А-37/3;не опознано;;;неизвестно;низкая;формат не распознан уверенно;1;35;;2-я сессия
ИМ 11.33;не опознано;;;неизвестно;низкая;обозначение не знакомо;2;34;;2-я сессия
К890-121-1;центробежный компрессор;К;;зависит от исполнения;средняя;серия К с индексами — центробежные компрессоры;2;34;да;2-я сессия
PN 6;не опознано;;;неизвестно;высокая;PN — это номинальное давление, не модель;5;34;;2-я сессия
Н-455;позиционное обозначение;;;неизвестно;высокая;Н-ХХХ — позиционное обозначение аппарата;2;34;;2-я сессия
GA160;винтовой компрессор;GA;Atlas Copco;воздух;высокая;GA — серия винтовых компрессоров Atlas Copco;3;34;;2-я сессия
К500-61-1;центробежный компрессор;К;;зависит от исполнения;высокая;К500— центробежный компрессор советско-российского производства;5;33;да;2-я сессия
VDR-100-0;не опознано;;;неизвестно;низкая;маркировка не распознана;2;33;;2-я сессия
Л-24/7;не опознано;;;неизвестно;низкая;обозначение не знакомо;5;33;;2-я сессия
КС-12;не опознано;;;неизвестно;низкая;КС может быть компрессорной станцией, но не моделью машины;4;33;;2-я сессия
КС-22;не опознано;;;неизвестно;низкая;КС может быть компрессорной станцией, но не моделью машины;2;33;;2-я сессия
АФК 65;не опознано;;;неизвестно;низкая;маркировка не распознана;5;33;;2-я сессия
ПС 500;не опознано;;;неизвестно;низкая;обозначение не знакомо;1;33;;2-я сессия
К-300-240;центробежный компрессор;К;;зависит от исполнения;средняя;К-300 — обозначение центробежных компрессоров;7;32;да;2-я сессия
PN 80;не опознано;;;неизвестно;низкая;неясный код, может быть насос или зарубежное оборудование;7;32;;2-я сессия
ГПУ-10;иное оборудование;ГПУ;;газ;средняя;ГПУ — газоперекачивающая установка, цифра указывает мощность;6;32;;2-я сессия
Л-35/11-600;не опознано;;;неизвестно;низкая;формат похож на советское обозначение, но серия Л не распознана;2;32;;2-я сессия
НК 65/35-70;насос;НК;;зависит от исполнения;средняя;НК — насос консольный, цифры — типоразмер;11;32;;2-я сессия
Н 750-23-6;позиционное обозначение;;;неизвестно;высокая;формат Н-xxx-xx-x характерен для позиционных обозначений на схемах;1;32;;2-я сессия
НМШ 8-25;насос;НМШ;;зависит от исполнения;высокая;НМШ — насос масляный шестеренный;2;32;;2-я сессия
GM80L;не опознано;;;неизвестно;низкая;формат похож на электродвигатель или зарубежное оборудование;5;31;;2-я сессия
ГАЦ-28-6М2;не опознано;;;неизвестно;низкая;ГАЦ не распознан, формат советского обозначения;1;31;;2-я сессия
ЛЧ-35-11/600;не опознано;;;неизвестно;низкая;похож на компрессор, но серия ЛЧ не распознана;3;31;;2-я сессия
К-345-91-1;центробежный компрессор;К;Казанькомпрессормаш;зависит от исполнения;высокая;серия К — центробежные компрессоры Казанькомпрессормаш;3;31;да;2-я сессия
КМ 100-80-170Е;насос;КМ;;зависит от исполнения;средняя;КМ — консольный моноблочный насос;9;31;;2-я сессия
Н-11/2;позиционное обозначение;;;неизвестно;высокая;формат Н-xx/x — позиционное обозначение на схеме;13;31;;2-я сессия
SM6000;не опознано;;;неизвестно;низкая;неясное обозначение, возможно зарубежное оборудование;3;31;;2-я сессия
21А280-7-3;не опознано;;;неизвестно;низкая;формат похож на каталожный номер или позиционное обозначение;8;31;;2-я сессия
РВС 1000;иное оборудование;РВС;;зависит от исполнения;высокая;;3;31;;2-я сессия
PN 24;не опознано;;;неизвестно;низкая;неясный код, возможно насос или зарубежное оборудование;1;31;;2-я сессия
Г-10-100;не опознано;;;неизвестно;низкая;;1;31;;2-я сессия
УКВШ-15/7;винтовой компрессор;УКВШ;;воздух;высокая;;4;30;;2-я сессия
25А;не опознано;;;неизвестно;низкая;;5;30;;2-я сессия
ЛСИ-200;не опознано;;;неизвестно;низкая;серия ЛСИ не распознана;2;30;;2-я сессия
Н-100;насос;Н;;зависит от исполнения;средняя;префикс Н типичен для насосов, но может быть и позиционным обозначением;9;30;;2-я сессия
П-4/1;позиционное обозначение;;;неизвестно;высокая;формат дробного обозначения с буквой характерен для схем;7;30;;2-я сессия
Э200-31-1;позиционное обозначение;;;неизвестно;высокая;трёхуровневая цифровая структура типична для позиций на схемах;5;30;;2-я сессия
ДКС-03;не опознано;;;неизвестно;низкая;может быть дожимная компрессорная станция, но конкретная модель не узнаётся;1;30;;2-я сессия
НК 65/35-240;насос;НК;;зависит от исполнения;высокая;НК — стандартное обозначение насосов консольных, цифры — типоразмер;7;30;;2-я сессия
ЗИФ-1;позиционное обозначение;;;неизвестно;средняя;формат обозначения цеха или аппарата на площадке;1;30;;2-я сессия
ГТН-16;турбовоздуходувка/нагнетатель;ГТН;;газ;высокая;;4;30;да;2-я сессия
Ц-6;центробежный компрессор;Ц;;зависит от исполнения;средняя;;5;30;да;2-я сессия
GA-160;винтовой компрессор;GA;Atlas Copco;воздух;высокая;;2;30;;2-я сессия
К-905;не опознано;;;неизвестно;низкая;;2;29;;2-я сессия
5Х;не опознано;;;неизвестно;низкая;;1;29;;2-я сессия
Н-235-23-1;позиционное обозначение;;;неизвестно;высокая;;5;29;;2-я сессия
23;не опознано;;;неизвестно;низкая;;4;29;;2-я сессия
Н-5/1;позиционное обозначение;;;неизвестно;высокая;;12;29;;2-я сессия
ТКР-7С-6;турбовоздуходувка/нагнетатель;ТКР;;зависит от исполнения;высокая;;6;29;да;2-я сессия
GBR376;не опознано;;;неизвестно;низкая;;13;29;;2-я сессия
ТВ-50-1;турбовоздуходувка/нагнетатель;ТВ;;воздух;высокая;;4;28;да;2-я сессия
55/1;позиционное обозначение;;;неизвестно;средняя;;2;28;;2-я сессия
ТВ-42-1;турбовоздуходувка/нагнетатель;ТВ;;воздух;высокая;;7;28;да;2-я сессия
ГПА-10;центробежный компрессор;ГПА;;газ;высокая;;6;28;да;2-я сессия
2НСГ-0;не опознано;;;неизвестно;низкая;Аббревиатура НСГ не сопоставляется с известной серией насосов или компрессоров;9;28;;2-я сессия
Ц 4-70;вентилятор или дымосос;Ц4-70;;воздух;высокая;Классическая серия центробежных вентиляторов по ГОСТ, формат Ц X-XX;7;28;;2-я сессия
НЦ-100;насос;НЦ;;зависит от исполнения;средняя;НЦ — стандартная аббревиатура «насос центробежный» в российской номенклатуре;11;28;;2-я сессия
S3-2500;не опознано;;;неизвестно;низкая;Буквенно-цифровой формат иностранного вида, серия не идентифицирована;6;28;;2-я сессия
ТЭЦ-22;иное оборудование;;;неизвестно;высокая;ТЭЦ — теплоэлектроцентраль, наименование объекта, а не единицы оборудования;3;28;;2-я сессия
К-250-61;центробежный компрессор;К-250;Казанькомпрессормаш;воздух;высокая;Серия К центробежных компрессоров КАЗКМаш, 250 — подача, 61 — типоразмер/исполнение;7;27;да;2-я сессия
ЛЧ-35/11-1000;не опознано;;;неизвестно;низкая;Аббревиатура ЛЧ не сопоставляется с известной серией компрессорного или насосного оборудования;2;27;;2-я сессия
ТМ 2000-3;иное оборудование;;;неизвестно;средняя;ТМ — вероятно, трансформатор масляный (ТМ-2000 кВА), не компрессорное оборудование;1;27;;2-я сессия
ГКС-21-1;не опознано;;;газ;низкая;ГКС может означать газокомпрессорную станцию (объект) или агрегат, точная идентификация невозможна;1;27;;2-я сессия
ГПА-10-01;центробежный компрессор;ГПА-10;;газ;высокая;ГПА — газоперекачивающий агрегат,10 — мощность привода 10 МВт, центробежный нагнетатель;4;27;да;2-я сессия
ГПА-16-01;центробежный компрессор;ГПА-16;;газ;высокая;ГПА — газоперекачивающий агрегат, 16 — мощность привода 16 МВт, центробежный нагнетатель;2;27;да;2-я сессия
ТВ-350-1;турбовоздуходувка/нагнетатель;ТВ;;воздух;средняя;ТВ — аббревиатура «турбовоздуходувка»,350 — подача или давление, формат типичен для этой серии;3;26;да;2-я сессия
ДАО-550;не опознано;;;неизвестно;низкая;Аббревиатура ДАО с уверенностью не сопоставляется ни с одной известной серией;2;26;;2-я сессия
6ВВ-25/9;поршневой компрессор;;;воздух;средняя;"Формат X/X (подача/давление) типичен для поршневых компрессоров;ВВ предположительно «воздушный вертикальный»";3;26;;2-я сессия
EB5300TH;не опознано;;;неизвестно;низкая;Иностранное буквенно-цифровое обозначение, серия и производитель не идентифицированы;8;26;;2-я сессия
ЦК-135/8М1;центробежный компрессор;ЦК;;зависит от исполнения;высокая;ЦК — «центробежный компрессор», 135/8 — подача/давление, М1 — модификация;5;26;да;2-я сессия
7RVA70;не опознано;;;неизвестно;низкая;Иностранное буквенно-цифровое обозначение, серия и производитель не идентифицированы;1;26;;2-я сессия
К354-101-1;не опознано;;;неизвестно;низкая;"К354 не соответствует стандартным серийным номерам серии К центробежных компрессоров; возможно, позиционный номер или артикул детали";1;26;;2-я сессия
GA75;винтовой компрессор;GA;Atlas Copco;воздух;высокая;Atlas Copco GA — известная серия маслозаполненных винтовых компрессоров, 75 — мощность 75 кВт;7;26;;2-я сессия
DABL 270;не опознано;;;неизвестно;низкая;Буквенно-цифровое обозначение DABL не сопоставляется с известной серией оборудования;10;26;;2-я сессия
Н-205/1;позиционное обозначение;;;неизвестно;высокая;буква Н с номером через дефис — типовое позиционное обозначение насоса;10;24;;2-я сессия
СБ4/С-50;винтовой компрессор;СБ4;Казанькомпрессормаш;воздух;высокая;серия СБ4 — винтовые компрессоры советского/российского производства;9;24;;2-я сессия
СБ4/Ф-500;винтовой компрессор;СБ4;Казанькомпрессормаш;зависит от исполнения;средняя;та же серия СБ4, Ф может означать специальное исполнение;9;24;;2-я сессия
ДП-2025-039;не опознано;;;неизвестно;низкая;похоже на номер документа или чертежа, а не на модель машины;2;24;;2-я сессия
ДККС-12-1;не опознано;;;неизвестно;низкая;обозначение не знакомо, не могу достоверно определить тип;1;24;;2-я сессия
7ВП 20/220;вентилятор или дымосос;ВП;;воздух;высокая;ВП — серия промышленных вентиляторов;3;24;;2-я сессия
4ВМ10-100/8;поршневой компрессор;ВМ;ПО Воздухомаш;воздух;высокая;серия ВМ — поршневые компрессоры Воздухомаш;7;23;;2-я сессия
6М;не опознано;;;неизвестно;низкая;слишком короткое и общее обозначение;6;23;;2-я сессия
ИМ 04.70;не опознано;;;неизвестно;низкая;обозначение не знакомо;1;23;;2-я сессия
ВЦ4-75;вентилятор или дымосос;ВЦ;;воздух;высокая;;7;23;;2-я сессия
ЦК-100/6;центробежный компрессор;ЦК;;зависит от исполнения;высокая;ЦК — обозначение центробежных компрессоров;3;23;да;2-я сессия
GA 160;винтовой компрессор;GA;Atlas Copco;воздух;высокая;GA — основная серия винтовых компрессоров Atlas Copco;5;23;;2-я сессия
ДЭН-37Ш;вентилятор или дымосос;ДЭН;;дымовые газы;высокая;ДЭН — дымосос эксгаустерный, Ш — шахтное исполнение;9;23;;2-я сессия
ХТК-2;не опознано;;;неизвестно;низкая;;3;23;;2-я сессия
МП-600;не опознано;;;неизвестно;низкая;МП может означать многое, без контекста не определить;1;23;;2-я сессия
АМ-76;не опознано;;;неизвестно;низкая;;3;23;;2-я сессия
ТВ-80/1;турбовоздуходувка/нагнетатель;ТВ;;воздух;высокая;ТВ — турбовоздуходувка;5;23;да;2-я сессия
BG 50;винтовой компрессор;BG;Kaeser;воздух;средняя;;10;23;;2-я сессия
MS 3002;не опознано;;;неизвестно;низкая;;3;23;;2-я сессия
Н-300-1;позиционное обозначение;;;неизвестно;высокая;;3;23;;2-я сессия
Л-35/6;не опознано;;;неизвестно;низкая;Серия «Л» с параметрами 35/6 не соответствует известным стандартным обозначениям компрессорного оборудования;5;23;;2-я сессия
Н-102;позиционное обозначение;;;неизвестно;средняя;Формат «Н-<число>» типичен для позиционного обозначения насоса на технологической схеме;12;23;;2-я сессия
Н-370-17-1;позиционное обозначение;;;неизвестно;высокая;Структура идентична примеру Н-370-18-1 из условия задачи — позиционный тег насоса;2;23;;2-я сессия
ГТ-750-6;иное оборудование;;;неизвестно;средняя;"ГТ — вероятно «газовая турбина»;750 — мощность в кВт или другой параметр; не компрессор";2;23;;2-я сессия
ВО-06-300;вентилятор или дымосос;ВО;;воздух;высокая;"ВО — стандартная российская серия осевых вентиляторов; формат обозначения типичен для этой серии";2;23;;2-я сессия
ТГК-16;не опознано;;;неизвестно;низкая;Серия ТГК не идентифицируется с достаточной уверенностью как известный тип оборудования;1;23;;2-я сессия
ТГК-13;не опознано;;;неизвестно;низкая;Та же серия ТГК — не опознана с достаточной уверенностью;2;23;;2-я сессия
ПС 35;не опознано;;;неизвестно;низкая;Аббревиатура ПС с числом 35 не соответствует известным обозначениям серийного оборудования;1;23;;2-я сессия
GB-26;не опознано;;;неизвестно;низкая;Латинские буквы GB-26 — не соответствует известным обозначениям компрессорного оборудования;8;23;;2-я сессия
К250-61-1;центробежный компрессор;К-250;;газ;высокая;Серия К с числовыми индексами — стандартное обозначение отечественных центробежных компрессоров типоряда К-250;4;22;да;2-я сессия
3ГП-12/35;поршневой компрессор;;;газ;средняя;Структура «ЦифраГП-подача/давление» соответствует советской/российской номенклатуре поршневых газовых компрессоров;6;22;;2-я сессия
КТК-7/14;не опознано;;;неизвестно;низкая;Серия КТК не идентифицируется как известный тип оборудования;4;22;;2-я сессия
Н-2/2;не опознано;;;неизвестно;низкая;Формат Н-<число>/<число> допускает как позиционный тег, так и модель малого насоса/компрессора — однозначно не опознаётся;11;22;;2-я сессия
ТВ200-1;турбовоздуходувка/нагнетатель;ТВ;;воздух;высокая;"ТВ — серия турбовоздуходувок; ТВ200-1 — типичное обозначение отечественной турбовоздуходувки";6;22;да;2-я сессия
ГАЦ-2.8-6;не опознано;;;неизвестно;низкая;Аббревиатура ГАЦ не соответствует известным сериям компрессорного или иного оборудования;1;22;;2-я сессия
4ВУ1-5/9;поршневой компрессор;ВУ;;воздух;средняя;Структура «Цифра-ВУ-серия-подача/давление» соответствует советской номенклатуре воздушных угловых поршневых компрессоров;7;22;;2-я сессия
ТВ-150-1;турбовоздуходувка/нагнетатель;ТВ;;воздух;высокая;"ТВ — серия турбовоздуходувок; ТВ-150-1 — типичное обозначение отечественной турбовоздуходувки меньшей модели";2;22;да;2-я сессия
КС-17;не опознано;;;неизвестно;низкая;КС-17 — возможно обозначение компрессорной станции или позиционный тег, но не идентифицируется однозначно;5;22;;2-я сессия
5-1;позиционное обозначение;;;неизвестно;низкая;Состоит только из цифр с дефисом — вероятно, обрывок позиционного обозначения или номер позиции;9;22;;2-я сессия
Н-4/1;не опознано;;;неизвестно;низкая;Формат Н-<число>/<число> допускает как позиционный тег, так и модель малого насоса — однозначно не опознаётся;10;22;;2-я сессия
OLD20;не опознано;;;неизвестно;низкая;Аббревиатура не соответствует ни одной известной российской или зарубежной серии компрессорного оборудования;5;22;;2-я сессия
ТКМР-20;не опознано;;;неизвестно;низкая;Аббревиатура ТКМР не идентифицируется как известная серия оборудования;8;22;;2-я сессия
ТО-4000;иное оборудование;;;неизвестно;высокая;"ТО — стандартное обозначение теплообменника в российских техдокументах; 4000 — параметр (площадь поверхности м² или объём)";7;22;;2-я сессия
РВСП-1000;иное оборудование;;;неизвестно;высокая;"РВСП — резервуар вертикальный стальной с понтоном, хорошо известное российское обозначение; 1000 — объём в м³";6;22;;2-я сессия
ГТК-10ИР;центробежный компрессор;ГТК;Невский завод;газ;средняя;"ГТК — газотурбинный компрессорный агрегат с центробежным нагнетателем; модификация ИР известной серии ГТК-10";3;21;да;2-я сессия
КС-13;не опознано;;;неизвестно;низкая;"КС-13 скорее обозначение компрессорной станции, а не отдельной машины; конкретная модель не идентифицируется";3;21;;2-я сессия
Н-101/2;позиционное обозначение;;;неизвестно;высокая;Н = насос, 101/2 — типичный формат позиции на технологической схеме (номер позиции / номер аппарата);7;21;;2-я сессия
5ЦД-208/30-45М;центробежный компрессор;ЦД;;газ;средняя;"Ц = центробежный, Д = дожимающий, параметры208/30-45 соответствуют формату центробежного газового компрессора; М — модернизация";7;21;да;2-я сессия
Н-10/1;позиционное обозначение;;;неизвестно;высокая;Н = насос, 10/1 — стандартный формат позиционного обозначения на технологической схеме;9;21;;2-я сессия
IP54;не опознано;;;неизвестно;высокая;IP54 — класс защиты оболочки по МЭК 60529, а не обозначение машины;8;21;;2-я сессия
С412М;не опознано;;;неизвестно;низкая;Формат не соответствует известным сериям компрессорного оборудования;3;21;;2-я сессия
DUB362Z;не опознано;;;неизвестно;низкая;Не соответствует ни одной известной серии компрессорного или насосного оборудования;9;21;;2-я сессия
2ВМ4-8/401;поршневой компрессор;ВМ;Пензакомпрессормаш;газ;высокая;"2ВМ4 — классическая серия поршневых компрессоров ВМ; 8/401 — производительность/давление; выпускается Пензакомпрессормашем";6;21;;2-я сессия
АВШ-3;не опознано;;;неизвестно;низкая;Аббревиатура АВШ не соответствует уверенно известной серии оборудования;6;21;;2-я сессия
НЦВ-6;насос;НЦВ;;зависит от исполнения;средняя;НЦВ — насос центробежный вертикальный, известная советская/российская серия;3;21;;2-я сессия
И-2-3;позиционное обозначение;;;неизвестно;средняя;Формат «буква-цифра-цифра» типичен для позиционного обозначения аппарата на технологической схеме;1;21;;2-я сессия
46;не опознано;;;неизвестно;низкая;Одиночное число без контекста не идентифицируется как модель оборудования;1;21;;2-я сессия
BR 600;не опознано;;;неизвестно;низкая;Формат не соответствует известным отечественным или зарубежным сериям компрессорного оборудования;8;21;;2-я сессия
АФК 1-65;не опознано;;;неизвестно;низкая;Аббревиатура АФК не распознаётся как известная серия компрессорного или насосного оборудования;3;21;;2-я сессия
ПОК-50;не опознано;;;неизвестно;низкая;ПОК-50 не соответствует известной серии компрессорного оборудования;1;21;;2-я сессия
43ВЦ-160/9;центробежный компрессор;ВЦ;;воздух;средняя;"ВЦ — воздушный центробежный компрессор; 43 — типоразмер; 160/9 — производительность/давление";5;20;да;2-я сессия
ФУН-200;иное оборудование;;;неизвестно;низкая;"Ф вероятно фильтр или сепаратор; не является компрессором или насосом, точная расшифровка не установлена";1;20;;2-я сессия
ТВ 300-1;турбовоздуходувка/нагнетатель;ТВ;;воздух;средняя;"ТВ — турбовоздуходувка, известное обозначение в советской/российской промышленности; 300 — типоразмер";5;20;да;2-я сессия
К500;центробежный компрессор;К;Казанькомпрессормаш;воздух;высокая;"Серия К (К-250, К-500, К-1000) — стандартные центробежные воздушные компрессоры; К500 выпускается Казанькомпрессормашем";4;20;да;2-я сессия
1BB-40/9;не опознано;;;неизвестно;низкая;Буквенное сочетание BB (латиница) не опознаётся в известных российских и распространённых зарубежных сериях;1;20;;2-я сессия
ПКС-3;поршневой компрессор;ПКС;;воздух;средняя;ПКС — передвижная компрессорная станция, обычно с поршневым агрегатом;5;20;;2-я сессия
