inn;predpriyatie;razryad;pochemu;tip_mashiny;sreda;kak_uznali_sredu;marki;citata;chem_dokazano;ssylka_na_istochnik;sostoyanie;strok_faktov;lyudej_u_menya
7708671295;"Общество с ограниченной ответственностью ""АРМЗ Сервис""";B;B. доказано маркой или серией машины;центробежная;воздух;марка 43ВЦ-160/9 однозначна по всему корпусу;43ВЦ-160/9;Право заключения договора на капитальный ремонт центробежного компрессора 43ВЦ-160/9 заводской №88001 Цех №18. Капитальный ремонт газоохладителей центробежного компрессора 43ВЦ-160/9 заводской №88001 Цех №18.;Сбербанк-АСТ, лот 295779926.1;;покупает;1;0
7727260438;Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 69 Департамента здра;B;B. доказано маркой или серией машины;центробежная по серии;воздух;провайдер разобрал обозначение К-21-MINI;К-21-Mini;Ингалятор компрессорный Алмаз К-21-Mini;процедура 9840928;https://zakupki.mos.ru/auction/9840928;покупает;1;0
2352039660;ОТЭКО - ТЕРМИНАЛ;B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение VTR201-2P;VTR 201-2P;Покупка турбокомпрессора BBC VTR 201-2P или аналога;процедура ГП520559;https://etpgpb.ru/procedures/etp/1151189-pokupka-turbokompressora-bbc-vtr-201-2p-ili-analoga/;покупает;1;0
3914790290;ППО БАЛТИЙСКОЙ АЭС;B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ТК3403;ТК3403;Поставка з/ч к турбокомпрессору ТК3403.;Фабрикант, процедура 2143679-1 (ИНН по справочнику ЕГРЮЛ);https://fabrikant.ru/trades/atom/PriceRequest/?action=view&id=6658;покупает;1;0
2466199794;"ООО ""Норникель - ЕРП""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ТК23Н-40;ТК23Н-40,;Поставка турбокомпрессоров ТК23Н-40, согласно Специфицированному перечню – Приложение №4 к Приглашению;ТЭК-Торг: процедура 20039313/2;;покупает;1;0
3524015320;"ООО ""ШКХП""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ЭПБ-1375/ТУ-2024;ЭПБ-1375/ТУ-2024 | ВПЗ 9,6/1200П;ЗАКЛЮЧЕНИЕ ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ № ЭПБ-1375/ТУ-2024 на техническое устройство, применяемое на опасном производственном объекте: Объект экспертизы: Турбокомпрессор ВПЗ 9,6/1200П техн. №319 Опасный производственный объект (ОПО): Цех по производств;заключение ЭПБ № 28-ТУ-02235-2025;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-02235-2025;есть;1;0
1660173241;"ООО ""ХИМПРОМПРОЕКТ""";B;B. доказано маркой или серией машины;центробежная;воздух и газ названы оба;провайдер разобрал обозначение АМ-76;АМ-76 | ХПП-384-1900-САУ.;Документация на техническое перевооружение опасного производственного объекта ООО «Газпром нефтехим Салават» «Площадка основного производства ООО «Газпром нефтехим Салават» (рег. номер А41-00137-0002, I класс опасности) «СИСТЕМА АВТОМАТИЧЕСКОГО УПРАВЛЕНИЯ (САУ;заключение ЭПБ № 16-ТП-945395-2026;https://monitor-pb.ru/conclusion/16-%D0%A2%D0%9F-945395-2026;есть;1;0
7701288541;"ОАО ""Евразруда""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение К250-61-5;К250-61-5;"технического устройства на турбокомпрессор К250-61-5 №3 (инв. №Ц0063250, №42) шахты Абаканского филиала ОАО ""Евразруда"" с истекшим нормативным сроком эксплуатации";заключение ЭПБ № 65-ТУ-00412-2014;https://monitor-pb.ru/conclusion/65-%D0%A2%D0%A3-00412-2014;есть;1;0
7422029201;"ООО ""Бакальское рудоуправление""";B;B. доказано маркой или серией машины;центробежная;воздух;марка К-250-61-2 однозначна по всему корпусу;К-250-61-2;на техническое перевооружение опасного производственного объекта «Рудник с подземным способом разработки (шахта Сидеритовая)» ООО «Бакальское рудоуправление» (рег. № А56-00204-0006, I класс опасности) «Модернизация системы охлаждения (градирни) турбокомпрессор;заключение ЭПБ № 56-ТП-21849-2021;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%9F-21849-2021;есть;1;0
6321357797;"ООО ""СНХ-ИНЖИНИРИНГ""";B;B. доказано маркой или серией машины;центробежная по серии;воздух;сказано прямо в тексте;К-1700;Документация на техническое перевооружение опасного производственного объекта «Изменение схемы подачи воздуха с компрессора К-1700 №5. Устройство сепаратора на линии выхода паров масла. Устройство монорельса и тали для демонтажа насоса на наружной установке» ш;заключение ЭПБ № 53-ТП-48409-2022;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%9F-48409-2022;есть;1;0
7743946827;Государственное бюджетное учреждение города Москвы «Жилищник района Войковский»;B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ВКМ2020;ВКМ 2020;Турбокомпрессор ВКМ 2020;процедура SP9262962;https://www.roseltorg.ru/procedure/SP9262962/4;покупает;1;0
5904297072;"ООО ""ПЕРМКОМПРЕССОРМАШ""";B;B. доказано маркой или серией машины;центробежная по серии;воздух;сказано прямо в тексте;К-0,15;Установка воздухоразделительная К-0,15 зав. № 766 принадлежащая ООО «ПЕРМКОМПРЕССОРМАШ», г. Пермь, Пермский край;заключение ЭПБ № 48-ТУ-01873-2021;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-01873-2021;есть;1;0
6661024788;"ЗАО ""УРАЛТЕХМАРКЕТ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение К-250-61-5;К-250-61-5;ОАО «Челябинский кузнечно-прессовый завод «Техническое перевооружение системы автоматического управления турбокомпрессора К-250-61-5 (САУТК К-250-61-5) Компрессор №3».;заключение ЭПБ № 56-ТП-07047-2014;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%9F-07047-2014;есть;1;0
7703111250;"ООО ""ХЁРБИГЕР""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение VK32-3;VK 32-3;«Техническое перевооружение центробежного турбокомпрессора модели VK 32-3 Eх, заводской № 8484» на технологических линиях установки получения терефталевой кислоты («Площадка производства»), ОАО «ПОЛИЭФ» (Республика Башкортостан, г.Благовещенск);заключение ЭПБ № 41-ТП-04891-2016;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%9F-04891-2016;есть;1;0
5318000280;"ОАО ""ЭНЕРГОМАШ""";B;B. доказано маркой или серией машины;центробежная;воздух;марка К1500-62-2 однозначна по всему корпусу;К1700-61-1 | К1500-62-2;документация на техническое перевооружение опасного производственного объекта, не входящая в состав проектной документации такого объекта, подлежащей экспертизе в соответствии с законодательством о градостроительной деятельности «Турбокомпрессорный агрегат К17;заключение ЭПБ № 19-ТП-23968-2019;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%9F-23968-2019;есть;1;0
5947009096;"государственное бюджетное профессиональное образовательное учреждение ""Строгановский колледж""";B;B. доказано маркой или серией машины;центробежная по серии;воздух;провайдер разобрал обозначение К-1500/24БМ;К-1500/24БМ;Компрессор ПАРМА К-1500/24БМ безмаслянный для накачки шин;процедура 10161124;https://zakupki.mos.ru/auction/10161124;покупает;1;0
7024034570;"ООО ""СИБРЕГИОНПРОМСЕРВИС""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ТА-3000;ТА-3000;"Проведение диагностики масляной системы турбокомпрессора трёхступенчатого центробежного ТА-3000 №1 в здании 1004 ЗРИ АО ""СХК"" на основании акта №11-40/03-03/1263-ВК от 14.12.2018";Фабрикант, процедура 5076503-1 (ИНН по справочнику ЕГРЮЛ);https://fabrikant.ru/v2/trades/procedure/view/vWul5fsspPDbFr4jY6S7DA;покупает;1;0
5902290191;ФБУ АДМИНИСТРАЦИЯ КАМВОДПУТЬ;B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение РТD230;РТD230 | АН01-05;Поставка турбокомпрессора тип РТD230 АН01-05 для нужд НКРВПС;план 2230729098 позиция 171, сумма 615 000,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=6804f5b4-27fe-4697-9944-4c2116e10a96_7ca36240-ed4e-41c9-a875-67ba82d3241c&infoGuid=6804f5b4-27fe-4697-9944-4c2116e10a96;планировал;1;1
5246053330;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНЫЙ ЦЕНТР""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение PTR-180;PTR-180 | SE652CM;Поставка турбокомпрессор PTR-180 (арт. SE652CM по каталогу Perkins4016TRS) производства PBS Turbo для газового двигателя Perkins4016TRS1;план 2200438403 позиция 21, сумма 20 650,00 Евро;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=2e485e86-e18f-4f3d-a1bf-f39da8799c00_b40446ef-98b0-4db1-936e-15b383ce1c00&infoGuid=2e485e86-e18f-4f3d-a1bf-f39da8799c00;планировал;1;0
6829064007;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ТАМБОВГОРТРАНС""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение OM906;OM 906;«Поставка картриджей и актуаторов для турбокомпрессора OM 906 LA»;план 2250870945 позиция 19, сумма 293 513,12 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=d90f27c8-9dc1-4f31-85d8-2a5c0e5f189d_f053ee0f-0deb-4df2-aef9-eb375194ccee&infoGuid=d90f27c8-9dc1-4f31-85d8-2a5c0e5f189d;планировал;1;0
7733019171;"федеральное государственное унитарное предприятие ""Государственный научно-исследовательский институт биологического приб";B;B. доказано маркой или серией машины;центробежная, вид по слову;воздух и газ названы оба;провайдер разобрал обозначение МР2-4Г;МР2-4Г;Микронагнетатель МР2-4Г;план 2160159324 позиция 14, сумма 202 488,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=b65cd95c-4b7a-42ea-82fe-ff0c2724d7db_086e8a73-2ded-4781-8e99-449328cced77&infoGuid=b65cd95c-4b7a-42ea-82fe-ff0c2724d7db;планировал;1;0
7724654924;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТГРУПП-ЭНЕРДЖИ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение TPS48;TPS 48;Выполнение работ техническому обслуживанию двух турбокомпрессоров ABB TPS 48 F33 при наработке 24 000 м/ч;план 2200454943 позиция 4, сумма 629 668,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=ab2ba95e-c382-4ec4-b5a5-4991c77d29c6_52611ff7-60ac-412c-a31b-ae10a0d2a007&infoGuid=ab2ba95e-c382-4ec4-b5a5-4991c77d29c6;планировал;1;0
0314886622;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТУГНУЙСКОЕ ПОГРУЗОЧНО-ТРАНСПОРТНОЕ УПРАВЛЕНИЕ""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение 6ТК12.00;6ТК12.00;Поставка турбокомпрессора 6ТК12.00.000 СПЧ;план 2200475711 позиция 202, сумма 1 764 000,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0050569e-69e6-1eeb-b5f5-8e227174d12a_f583040e-b468-4409-b9eb-24ab189d3d82&infoGuid=0050569e-69e6-1eeb-b5f5-8e227174d12a;планировал;1;0
1414007933;"АКЦИОНЕРНОЕ ОБЩЕСТВО СУДОХОДНАЯ КОМПАНИЯ ""АЛРОСА-ЛЕНА""";B;B. доказано маркой или серией машины;центробежная;воздух;провайдер разобрал обозначение ТК23Н-40;ТК23Н-40;Поставка турбокомпрессоров ТК23Н-40 в 2022 году для нужд АО СК «АЛРОСА-ЛЕНА».;план 2190385237 позиция 64187, сумма 1 270 000,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=005056a3-4249-1eec-aace-fde80299c75c_005056a3-4249-1edc-b2ea-7bc31e578fcb&infoGuid=005056a3-4249-1eec-aace-fde80299c75c;планировал;1;0
5199000024;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИЧЕСКИЕ МОРСКИЕ ИНЖЕНЕРНО-ГЕОЛОГИЧЕСКИЕ ЭКСПЕДИЦИИ""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Поставка расходного материала для турбокомпрессора АВВ НИС Бавенит;процедура 32313085443;https://www.roseltorg.ru/procedure/32313085443/1;покупает;66;0
3811146038;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МЕЖДУНАРОДНЫЙ АЭРОПОРТ ИРКУТСК""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Поставка турбокомпрессора BORG WARNER 13839980040;план 2240793650 позиция 588, сумма 225 580,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=037fc15e-b35d-4f7d-9b55-7bcbafee1b91_dfe3119c-c8c5-4b09-82be-57a69e8331f8&infoGuid=037fc15e-b35d-4f7d-9b55-7bcbafee1b91;планировал;55;3
0276178778;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СПЕЦИАЛИЗИРОВАННОЕ АВТОМОБИЛЬНОЕ ХОЗЯЙСТВО ПО УБОРКЕ ГОРОДА""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Выполнение работ по ремонту турбокомпрессоров, гидроусилителей руля, алюминиевых радиаторов с заменой запасных частей;процедура 32616110668;https://www.roseltorg.ru/procedure/32616110668/1;покупает;33;32
5038004331;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""МОСОБЛЛЕС""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;"Поставка турбокомпрессора для МТЗ для нужд Бородинского филиала ГАУ МО ""Мособллес""";процедура 5996086;https://zakupki.mos.ru/need/5996086;покупает;23;18
7830001758;САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ПАССАЖИРСКОГО АВТОМОБИЛЬНОГО ТРАНСПОРТА;C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Оказание услуг по восстановительному ремонту турбокомпрессоров;процедура 4852924;https://zakupki.mos.ru/need/4852924;покупает;15;14
0272927232;"АКЦИОНЕРНОЕ ОБЩЕСТВО МАШИННО-ТЕХНОЛОГИЧЕСКАЯ СТАНЦИЯ ""ЦЕНТРАЛЬНАЯ""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух и газ названы оба;провайдер определил по роду деятельности предприятия;;оказание услуг по ремонту турбокомпрессоров сельскохозяйственной техники и автотранспорта с использованием запасных частей исполнителя;процедура 32514505491;https://www.roseltorg.ru/procedure/32514505491/1;покупает;14;2
6317024749;"АО ""ТРАНСНЕФТЬ-ПРИВОЛГА""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Турбокомпрессор IVECO TRAKKER;процедура 803421;https://etpgpb.ru/procedures/price_request/803421-turbokompressor-iveco-trakker/;покупает;13;12
2709001590;"АО ""ПОРТ ВАНИНО""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Поставка турбокомпрессора для ПС Mantsinen 70R, согласно техническому заданию для нужд АО «Порт Ванино» (ГП827674);процедура 32312672606;https://etpgpb.ru/procedures/etp/827674-postavka-turbokompressora-dlya-ps-mantsinen-70r-soglasno-tehnicheskomu-zadaniyu-dlya-nuzhd-ao-port-vanino-gp827674/;покупает;12;11
2508010281;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТИВИДОРНАЯ КОМПАНИЯ ""МАЛЫЙ ПОРТ""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Турбокомпрессор FRONTIER;план 2210556026 позиция 83, сумма 149 812,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0050569e-69e6-1edd-a1e8-69458662764a_4b520640-171c-43b4-bda0-853868c1fac3&infoGuid=0050569e-69e6-1edd-a1e8-69458662764a;планировал;8;0
6726024309;Золотая нива (ИК Арлан);C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Закупка турбокомпрессора к тр-ру Терион для ООО Золотая нива Смоленской области (id492151);тендер 492151;https://www.tender.pro/api/tender/492151/view_public;покупает;7;6
5249006828;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ЭКСПРЕСС"" Г.ДЗЕРЖИНСК";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Поставка турбокомпрессора и оси коромысла для нужд МУП «Экспресс»;план 2240814528 позиция 80, сумма 266 117,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=7b039d58-8441-4fc4-88e6-ed3f287067c5_599e97f8-15a5-4052-97ee-fc516f2d172c&infoGuid=7b039d58-8441-4fc4-88e6-ed3f287067c5;планировал;7;0
7704758153;ГК ЛокоТех;C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;ОЗК на выполнение работ по ремонту турбокомпрессоров для нужд филиалов ООО «ЛокоТех-Сервис». (id659265);тендер 659265;https://www.tender.pro/api/tender/659265/view_public;покупает;6;5
3500009656;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПАТП №1""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;"Выполнение работ по ремонту турбокомпрессоров для нужд АО ""ПАТП №1""";план 2250874900 позиция 18, сумма 1 152 000,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=07cee1ee-0c00-4bb8-9048-dcaaecc8322f_46d6ccb6-b9be-1292-e063-06548d0a086e&infoGuid=07cee1ee-0c00-4bb8-9048-dcaaecc8322f;планировал;6;1
1101071049;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМИАВТОТРАНС""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Выполнение работ по ремонту турбокомпрессоров для автотранспортной техники.;план 2230725157 позиция 48, сумма 2 000 000,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=b147dafc-15cb-4120-a65c-0f03c5725a01_d62cf145-679e-4600-9cb2-d94bee65a34f&infoGuid=b147dafc-15cb-4120-a65c-0f03c5725a01;планировал;5;0
3810036184;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ИРКУТСКАВТОТРАНС"" Г.ИРКУТСКА";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Поставка турбокомпрессора;план 2220637500 позиция 156, сумма 215 000,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=f1037fee-9d02-49c6-8ba0-204d511601c8_13d8c1c9-b05d-4d62-8246-a8b2e78699ad&infoGuid=f1037fee-9d02-49c6-8ba0-204d511601c8;планировал;4;0
7404032480;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""АВТОХОЗЯЙСТВО АДМИНИСТРАЦИИ ЗЛАТОУСТОВСКОГО ГОРОДСКОГО ОКРУГА""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Поставка турбокомпрессора 53403-1118010;план 2240793459 позиция 60, сумма 140 000,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=f470161f-f23e-4f0a-ad95-468695c836c5_35e4dcab-d051-4854-805a-56cee7bc4adb&infoGuid=f470161f-f23e-4f0a-ad95-468695c836c5;планировал;4;4
6318105574;"АО ""МЕТАЛЛИСТ-САМАРА""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;"Замена стартера; прошивка ЭБУ 80145101В СС11-12А650-ВС 6SNC J38AC; удаление клапана ЕГР; снятие и установка турбокомпрессора, а также дефектовка; снятие, установка, замена троса КПП на автомобиле Форд Транзит 3227АМ 2013г.в.";процедура 5441920;https://zakupki.mos.ru/need/5441920;есть на площадке;3;2
2901038518;Севералмаз;C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;"Закуп турбокомпрессора на снегоболотоход ""Петрович""";тендер 153653;https://www.tender.pro/api/tender/153653/view_public;покупает;2;2
5008028127;"ФИЛИАЛ ""УЛЬЯНОВСКАЯ ДАМБА""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;"Поставка турбокомпрессора и водяной помпы для нужд филиала ""Мособлводхоз"" ФГБВУ ""Центррегионводхоз""";ТЭК-Торг: процедура 0373400009623000169;https://www.tektorg.ru/44-fz/procedures/8817326;покупает;2;1
5908007560;"АО ""ГАЛОПОЛИМЕР ПЕРМЬ""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Ремонт асинхронного электродвигателя типа 2АЗМ-1000/6000 УХЛ4 центробежного (воздушного) компрессора поз.2/4 корп.138 цеха энергопроизводство;процедура 3817886;https://zakupki.mos.ru/need/3817886;покупает;1;0
5904081443;"ПЕРМСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКОЕ КОММУНАЛЬНОЕ И ТЕПЛОВОЕ ХОЗЯЙСТВО""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Поставка турбокомпрессоров для ГПУ;процедура 10254637;https://zakupki.mos.ru/auction/10254637;покупает;1;0
5612002437;АО АК № 1825;C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;"Оказание услуг по ремонту турбокомпрессоров для нужд ЗАО ""АК № 1825""";процедура 31503070694;https://etpgpb.ru/procedures/gaz/52012-okazanie-uslug-po-remontu-turbokompressorov-dlya-nuzhd-zao-ak-1825/;покупает;1;0
0245022178;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ СЕЛЬСКОХОЗЯЙСТВЕННОЕ ПРЕДПРИЯТИЕ МАШИННО- ТЕХНОЛОГИЧЕСКАЯ СТАНЦИЯ ""ЦЕНТРАЛЬНАЯ"" РЕСПУБЛИКИ БАШ";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух и газ названы оба;провайдер определил по роду деятельности предприятия;;оказание услуг по ремонту турбокомпрессоров сельскохозяйственной техники и автотранспорта;процедура 32312122220;https://www.roseltorg.ru/procedure/32312122220/1;покупает;1;0
7727656790;Государственное бюджетное учреждение города Москвы «Автомобильные дороги»;C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;"Аукцион в электронной форме среди субъектов малого предпринимательства на право заключения контракта на оказание услуг по ремонту турбокомпрессоров автомобилей ГБУ ""Автомобильные дороги""";процедура Номер  не присвоен;https://zakupki.mos.ru/tender/1220802;есть на площадке;1;0
5615002820;ОКУ;C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Ремонт турбокомпрессоров двигателей импортной автотракторной техники (id261480);тендер 261480;https://www.tender.pro/api/tender/261480/view_public;покупает;1;0
2801108200;Филиал АО «ДРСК» «Хабаровские электрические сети»;C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Турбокомпрессор Shantui к бульдозерам Shantui 7N7748/4N8969 Китай;процедура KIM000007035;https://www.roseltorg.ru/procedure/KIM000007035/8;покупает;1;0
2315990838;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""МУНИЦИПАЛЬНЫЙ ПАССАЖИРСКИЙ ТРАНСПОРТ НОВОРОССИЙСКА""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Поставка турбокомпрессора;процедура 4182024;https://zakupki.mos.ru/need/4182024;покупает;1;0
7704747169;Государственное автономное учреждение культуры города Москвы «Московское агентство организации отдыха и туризма»;C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Ремонт турбокомпрессоров спецтехники;процедура SP9746928;https://www.roseltorg.ru/procedure/SP9746928/5;покупает;1;0
7716789300;Государственное бюджетное учреждение города Москвы «Жилищник Ярославского района»;C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Турбокомпрессор VM 35242143Н;процедура SP9767076;https://www.roseltorg.ru/procedure/SP9767076/13;покупает;1;1
7104002774;"ПАО ""КМЗ"" (ИНН 7104002774)";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;техническое устройство – «Трубопровод подачи пара к турбокомпрессору № 2 (ТК-2), рег. № 876», применяемое на опасном производственном объекте «Площадка главного корпуса ТЭЦ-ПВС», рег. № А11-00009-0006, класс опасности – III АО «Косогорский металлургический зав;заключение ЭПБ № 11-ТУ-32540-2024;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-32540-2024;есть;1;0
5033002595;"МБУ ГОРОДСКОГО ОКРУГА ОЗЕРЫ ""ГРАД-СЕРВИС""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Поставка турбокомпрессора для камаза;процедура 3837532;https://zakupki.mos.ru/need/3837532;покупает;1;0
1304004070;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ МОРДОВИЯ ""БЕРЕЗНИКОВСКОЕ ТЕРРИТОРИАЛЬНОЕ ЛЕСНИЧЕСТВО""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;Закупка турбокомпрессора для отопительных котлов;процедура 0309200018823000004;https://www.roseltorg.ru/procedure/0309200018823000004/1;покупает;1;0
4205088363;"ГОСУДАРСТВЕННОЕ ПРЕДПРИЯТИЕ КУЗБАССА ""ПАССАЖИРАВТОТРАНС""";C;C. тип назван прямо, среда — вывод (не доказательство);центробежная;воздух;провайдер определил по роду деятельности предприятия;;"Поставка турбокомпрессора для газового двигателя для нужд ГПК ""ПАТ"" г.Кемерово";план 2250847846 позиция 237, сумма 195 000,00 ₽;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=0f1bfe78-6117-41dd-a829-2ddc02c95f8a_740931b5-912e-4590-9189-794f3909e0b8&infoGuid=0f1bfe78-6117-41dd-a829-2ddc02c95f8a;планировал;1;0
