organizaciya,inn,marka,moshchnost,god,cena,tip_oborudovaniya,istochnik,dokument,ssylka,kak_privyazano,ogovorka
"Государственное казенное учреждение Рязанской области ""Дирекция дорог Рязанской области""",6234179756,,,2022-10-11,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"62-1-1-3-072038-2022, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '62-1-1-3-072038-2022',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Устройство искусственного электроосвещения в населенном пункте Унгор на автомобильной дороге Путятино - компрессорная станция - Унгор - Васино в Путятинском районе Рязанской област"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УФИМСКИЙ ЗАВОД ЭКСПЕРИМЕНТАЛЬНЫХ ХИМИЧЕСКИХ ПРОДУКТОВ""",0277074450,,,2022-10-03,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"02-2-1-2-070128-2022, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '02-2-1-2-070128-2022',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция стационарной АЗС с расширением под АГНКС (Автомобильная газонаполнительная компрессорная станция) и газопровод с узлом учета. Адрес объекта: РБ, г. Уфа, ул. Силикатна"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРИН ОПЕРЕЙШН СЕРВИСИЗ""",3015088148,,,2022-07-19,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"74-2-1-2-048165-2022, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '74-2-1-2-048165-2022',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция автомобильной газонаполнительной компрессорной станции (АГНКС), расположенной по адресу: Челябинская область, г. Южноуральск, ул. Победы, 6"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САБЛАЙН СЕРВИС""",7721218278,,,2022-06-16,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"50-2-1-2-038520-2022, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '50-2-1-2-038520-2022',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Реконструкции здания блока вспомогательных цехов под склад и здания компрессорной под административно-офисный центр"" по адресу Московская область, городской округ Балашиха, г. Бал"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""",8608048498,,,2022-05-24,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"86-1-1-3-032567-2022, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '86-1-1-3-032567-2022',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция газовой компрессорной станции Южно-Ягунского месторождения"
"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ФЕДЕРАЛЬНЫЙ ЦЕНТР НЕЙРОХИРУРГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСК",7204152364,,,2022-03-17,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"72-1-1-2-015128-2022, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '72-1-1-2-015128-2022',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Капитальный ремонт компрессорной станции, расположенной по адресу: г. Тюмень, ул. 4 км Червишевского тракта, д. 5. ФГБУ ""ФЦН"" Минздрава России"
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ""",7736050003,,,2022-01-21,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"11-1-1-3-003321-2022, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '11-1-1-3-003321-2022',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Реконструкция компрессорных цехов на СМГ Ухта-Торжок (Ямал) на участке Ухта-Грязовец"". Этап 1. КЦ-7 КС ""Сосногорская""; Этап 2. КЦ-6 КС ""Сосногорская""; Этап 3. КЦ-6 КС ""Новосиндорс"
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТНЕФТЬ"" ИМЕНИ В.Д. ШАШИНА",1644003838,,,2022-01-19,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"16-1-1-3-002222-2022, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-1-1-3-002222-2022',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Реконструкция компрессорной установки сырого газа"""
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУРГУТНЕФТЕГАЗ""",8602060555,,,2022-01-19,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"86-1-1-3-002042-2022, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '86-1-1-3-002042-2022',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Станция компрессорная (реконструкция газотурбинной электростанции Тянского месторождения)"""
"Общество с ограниченной ответственностью ""Ульяновскцентргаз""",7326021601,,,2021-12-16,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"73-2-1-3-079085-2021, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '73-2-1-3-079085-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция автомобильной газонаполнительной компрессорной станции (АГНКС)."
"Акционерное общество ""Выксунский металлургический завод""",5247004695,,,2021-12-07,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"52-2-1-3-075209-2021, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '52-2-1-3-075209-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Организация центра испытаний и разработки резьбовых соединений обсадных и насосно-компрессорных труб"". ""Реконструкция главного лабораторного корпуса"""
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОЕКТОР""",7727658878,,,2021-12-02,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"33-2-1-2-073054-2021, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '33-2-1-2-073054-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Автомобильная газонаполнительная компрессорная станция, расположенная по адресу: Владимирская область, р-н Собинский, МО Воршинское (сельское поселение), д. Хрястово, 164 км а/д """
Нет данных,,,,2021-11-19,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"16-1-1-2-068245-2021, Капитальный ремонт, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-1-1-2-068245-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Ремонт съезда от улицы Васильченко к автомобильной газонаполнительной компрессорной станции в Московском районе г. Казани Республики Татарстан"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЛАДА""",6229047842,,,2021-11-11,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"62-2-1-3-066012-2021, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '62-2-1-3-066012-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Реконструкция нежилого здания производственного - компрессорной, кадастровый номер 62:29:0120001:349, расположенное по адресу: г. Рязань, р-н Восточный промузел, 21"""
"Муниципальное бюджетное учреждение ""Физкультурно-оздоровительный комплекс ""Олимпийский""",5916020445,,,2021-10-21,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"59-1-1-2-061789-2021, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '59-1-1-2-061789-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция здания компрессорной под зал бокса и спортивного игрового зала"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖЕЛЕЗНОДОРОЖНАЯ ТРАНСПОРТНО-ЭКСПЕДИТОРСКАЯ КОМПАНИЯ""",7817045570,,,2021-09-15,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"78-2-2-3-052522-2021, Реконструкция, Отрицательное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '78-2-2-3-052522-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция производственного здания (главная компрессорная Воздушная станция) под производство по модернизации и капитальному ремонту путевой техники на комбинированном ходу и с"
"Акционерное общество ""Воронежское пассажирское автотранспортное предприятие № 3"" (АО ""ВПАТП №3"")",3665086660,,,2021-07-15,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"36-2-1-3-038828-2021, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '36-2-1-3-038828-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция АЗС - объект незавершенного строительства в автомобильную газонаполнительную компрессорную станцию, расположенную на земельном участке с кадастровым номером №36:34:05"
"Общество с ограниченной ответственностью ""АЗС-Люкс""",5410784414,,,2021-06-24,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"54-2-1-3-033514-2021, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '54-2-1-3-033514-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Реконструкция АЗС со строительством автомобильной газонаполнительной компрессорной станции по адресу: г. Новосибирск, ул. Богдана Хмельницкого"""
"Общество с ограниченной ответственностью ""Тасма-Инвест-Торг""",1658026747,,,2021-06-10,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"16-1-1-2-030560-2021, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-1-1-2-030560-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция зданий №151, №108 (компрессорная станция) под строительство производственного здания №5090"
"Общество с ограниченной ответственностью ""СЛК ЦЕМЕНТ""",6633028244,,,2021-01-26,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"74-1-1-3-002612-2021, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '74-1-1-3-002612-2021',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Реконструкция отделения помола цемента, отделения компрессорной, трансформаторной подстанции на предприятии ООО ""Дюккерхофф Коркино Цемент"""
ИП Алеников Вячеслав Павлович,,,,2020-09-16,,компрессорная станция,ЕГРЗ (реестр заключений экспертизы),"74-2-1-2-045110-2020, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '74-2-1-2-045110-2020',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Автомобильная газонаполнительная компрессорная станция (АГНКС), расположенная по адресу: Челябинская область, г. Магнитогорск, Орджоникидзевский р-н, ул. 50-летия Магнитки, 88/1"""
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПБГЕОПРОЕКТ""",3912503247,,,2025-12-18,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"39-2-1-2-077954-2025, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '39-2-1-2-077954-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Обустройство Рязанского месторождения. Кустовая площадка №1 нефтяных эксплуатационных скважин №№2,3,4,5,8 с коридорами коммуникаций. Кустовая площадка №2 нефтяных эксплуатационных "
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТЕХ""",1644014815,,,2025-10-31,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"16-2-1-2-065761-2025, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-2-065761-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Строительство водовода от точки врезки в районе скважин 949 и 948 Онбийского нефтяного месторождения (для нагнетательных скважин №11479, №1106, №11212)"""
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТОЙЛГАЗ""",1644011638,,,2025-10-31,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"16-2-1-2-065759-2025, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-2-065759-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Обустройство нагнетательной скважины №406 Урустамакского месторождения"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТОЙЛГАЗ""",1644011638,,,2025-10-31,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"16-2-1-2-065760-2025, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-2-065760-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Обустройство нагнетательных скважин №№14003, 13993 Кузайкинского месторождения"""
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНО-СИБИРСКАЯ НЕФТЕГАЗОВАЯ КОМПАНИЯ""",7710007910,,,2025-10-23,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"24-2-1-3-063251-2025, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '24-2-1-3-063251-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Обустройство кустовой площадки газонагнетательных скважин №5"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНО-СИБИРСКАЯ НЕФТЕГАЗОВАЯ КОМПАНИЯ""",7710007910,,,2025-10-21,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"24-2-1-3-062605-2025, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '24-2-1-3-062605-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Обустройство кустовой площадки газонагнетательных скважин №4"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТГК-16""",1655189422,,,2025-10-01,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"16-2-1-3-058800-2025, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-3-058800-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Сооружение наблюдательных и нагнетательных скважин узла закачки минерализованных стоков ВПУ ХЦ филиала АО ""ТГК -16""-""Казанская ТЭЦ-3"" в глубинные горизонты недр"" (Обустройство скв"
"Общество с ограниченной ответственностью ""ЛУКОЙЛ-ПЕРМЬ""",5902201970,,,2025-09-29,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"11-2-1-3-057661-2025, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '11-2-1-3-057661-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Обустройство паронагнетательных скважин №1154/1ГС уклонного блока 2-1Д, №1156/1ГС уклонного блока 1Т-6 Ярегского нефтяного месторождения"""
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТОЙЛГАЗ""",1644011638,,,2025-04-03,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"16-2-1-3-018076-2025, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-3-018076-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Обустройство скважин Урустамакского месторождения. Обустройство нагнетательной скважины №499"""
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ПЕРМЬ""",5902201970,,,2025-01-13,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"11-2-1-3-000403-2025, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '11-2-1-3-000403-2025',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Обустройство паронагнетательных скважин №№ 3033 бис, 3069/1, 3069/2 (3 скв.) уклонного блока 3-2Д НШ-3 Ярегского нефтяного месторождения"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ПЕРМЬ""",5902201970,,,2024-10-17,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"11-2-1-3-061410-2024, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '11-2-1-3-061410-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Обустройство паронагнетательных скважин блока 2-1Д скв. 2091-2093, 2095-2097 Ярегского нефтяного месторождения"" (6 скв.)"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-ПЕРМЬ""",5902201970,,,2024-09-06,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"11-2-1-3-052515-2024, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '11-2-1-3-052515-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Обустройство паронагнетательных скважин блока 2-3Д скв. 2132-2135, 2137-2158 Ярегского нефтяного месторождения"" (26 скв.)"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВМЕСТНАЯ КОМПАНИЯ ""РУСВЬЕТПЕТРО""",7701791321,,,2024-09-04,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"83-2-1-3-051787-2024, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '83-2-1-3-051787-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""1728 - Обустройство Висового месторождения ЦХП (блок №2). Расширение системы ППД. Обустройство нагнетательной скважины №2607"""
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЛАДКОВСКО-ЗАРЕЧНОЕ""",5611037405,,,2024-06-05,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"56-2-1-2-028121-2024, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '56-2-1-2-028121-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Высоконапорный водовод от ГНУ на МБСНУ скв.1 Кошинского месторождения нефти до нагнетательной скв.620 Кошинского месторождения нефти"""
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛУКОЙЛ-КОМИ""",1106014140,,,2024-03-28,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"11-2-1-3-014029-2024, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '11-2-1-3-014029-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Обустройство паронагнетательных скважин блока 2-1Д скв.2066-2072, 2074- 2078 Ярегского нефтяного месторождения"" (12 скв)"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТНЕФТЕПРОМ-ЗЮЗЕЕВНЕФТЬ""",1632004033,,,2024-03-22,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"16-2-1-3-012724-2024, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-3-012724-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Обустройство нагнетательной скважины №1232 Ерыклинского нефтяного месторождения"""
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТОЙЛГАЗ""",1644011638,,,2024-02-08,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"16-2-1-3-005144-2024, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-3-005144-2024',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Обустройство скважин Кузайкинского месторождения. Обустройство нагнетательной скважины №13840"""
"ООО ""ЛУКОЙЛ-ПЕРМЬ""",5902201970,,,2023-12-26,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"11-2-1-3-081504-2023, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '11-2-1-3-081504-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Обустройство паронагнетательных скважин блока 3-1Д скв. 3053-3058 Ярегского месторождения"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТОЙЛГАЗ""",1644011638,,,2023-10-12,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"16-2-1-3-061770-2023, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-3-061770-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Обустройство скважин Урмышлинского месторождения. Обустройство нагнетательной скважины №11278"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТОЙЛГАЗ""",1644011638,,,2023-09-22,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"16-2-1-3-062764-2023, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-3-062764-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Обустройство скважин Урустамакского месторождения. Обустройство нагнетательной скважины №218"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТОЙЛГАЗ""",1644011638,,,2023-07-14,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"16-2-1-3-041702-2023, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-3-041702-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Обустройство нагнетательной скважины №13861 Кузайкинского нефтяного месторождения"""
"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРНО-МЕТАЛЛУРГИЧЕСКАЯ КОМПАНИЯ ""НОРИЛЬСКИЙ НИКЕЛЬ""",8401005730,,,2023-06-06,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"24-2-1-3-030840-2023, Реконструкция, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '24-2-1-3-030840-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Реконструкция отделения нагнетателей и расходного склада ГСМ в склад МТР"
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАТОЙЛГАЗ""",1644011638,,,2023-05-23,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"16-2-1-3-027506-2023, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '16-2-1-3-027506-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: ""Обустройство дополнительных скважин Кузайкинского месторождения. Обустройство нагнетательной скважины №14024""."
Нет данных,,,,2023-04-20,,нагнетатель,ЕГРЗ (реестр заключений экспертизы),"14-2-1-3-020436-2023, Строительство, Положительное заключение",https://open-api.egrz.ru/api/PublicRegistrationBook?$filter=ExpertiseNumber eq '14-2-1-3-020436-2023',ИНН застройщика напечатан в записи реестра,"год = дата заключения экспертизы, не год выпуска машины; марка — только если названа в наименовании объекта; наименование объекта: Обустройство нагнетательной скважины"
