oboznachenie;tip;sreda;rasshifrovka;uverennost
RSA 32;центробежный;не знаю;Центробежный компрессор 4 RSA 32, среда не указана;средняя
АТП5-5;центробежный;природный газ;Турбокомпрессор АТП5-5/3М для перекачки природного/попутного газа на ГПЗ;высокая
КЦ-501/1;не машина;не знаю;Технологический номер позиции компрессора АТП5-5/3М на схеме;высокая
НТК-1300;не машина;не знаю;Обозначение установки или комплекса, не марка машины;высокая
КЦ-501/2;не машина;не знаю;Технологический номер позиции компрессора АТП5-5/3М на схеме;высокая
Кларк 2;центробежный;природный газ;Центробежный компрессор Clark (Кларк) 2BF4/2BC4 для переработки попутного газа;высокая
С-104;не машина;не знаю;Технологический номер позиции компрессора Кларк 3М9-7 на схеме;высокая
К-890-400;центробежный;природный газ;Центробежный компрессор К-890-400 для перекачки газа на ГПЗ;высокая
АТП 5-5/3;центробежный;природный газ;Турбокомпрессор АТП 5-5/3 для перекачки природного/попутного газа;высокая
ТКА-101/1;не машина;не знаю;Технологический номер позиции компрессора D06R7S на схеме;высокая
ТКА-101/2;не машина;не знаю;Технологический номер позиции компрессора D06R7S на схеме;высокая
У-31/32;не машина;не знаю;Обозначение установки гелиевого завода, не марка компрессора;высокая
КР-01-01;не машина;не знаю;Часть технологического номера позиции компрессора ЦК-135/8;высокая
ЦК-202;не машина;не знаю;Технологический номер позиции компрессора 43 ЦКО-160/15 на схеме;высокая
КЦ 102/1;не машина;не знаю;Технологический номер позиции компрессора 4ГЦ2-109/18-76 на схеме;высокая
А18-00529-0116;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
К250-6/1;центробежный;не знаю;центробежный компрессор К250-6/1;средняя
А 39-00045-0001;не машина;не знаю;номер регистрации опасного производственного объекта;высокая
У-1.734;не машина;не знаю;обозначение установки;высокая
ДЭН-13;не машина;не знаю;обозначение не встречается в строках как марка машины;средняя
ЦНСн 180-85;насос;не знаю;центробежный многоступенчатый секционный насос;средняя
БКК-45/8-2;не знаю;не знаю;обозначение не найдено в приведённых строках;низкая
А68-00603-0035;не машина;не знаю;номер регистрации;высокая
К-380-102-2;центробежный;не знаю;центробежный компрессор К-380-102-2;средняя
М-21/7;не машина;не знаю;технологическая позиция компрессора;высокая
H-540-41-1;центробежный;не знаю;центробежный компрессор H-540-41-1;средняя
ОК-500-94;центробежный;не знаю;центробежный компрессор ОК-500-94;средняя
К-901 КВД;центробежный;не знаю;компрессор высокого давления установки К-901, тип 3М7;средняя
К-250-61-5М;центробежный;не знаю;центробежный компрессор К-250-61-5М;средняя
ТК 8/4;не машина;не знаю;технологический номер позиции;высокая
К250-61-1;центробежный;не знаю;центробежный компрессор К250-61-1;средняя
К500-61-1;центробежный;не знаю;центробежный компрессор К500-61-1;средняя
К-901 КНД;центробежный;не знаю;компрессор низкого давления установки К-901, тип 3М9-7;средняя
К-602 КВД;центробежный;не знаю;компрессор высокого давления установки К-602, тип 3М-10-8;средняя
К-601 КНД;центробежный;не знаю;компрессор низкого давления установки К-601, тип 553-В9;средняя
К-601 КСД;центробежный;не знаю;компрессор среднего давления установки К-601, тип 373-В5/5;средняя
К-601 КВД;центробежный;не знаю;компрессор высокого давления установки К-601, тип 272-В7/1R;средняя
К-602 КНД;центробежный;не знаю;компрессор низкого давления установки К-602, тип 4М-8-6;средняя
ЦКО-2;не машина;не знаю;технологическая позиция;высокая
К-1700-61-1;центробежный;не знаю;центробежный компрессор К-1700-61-1;средняя
КЦ 135/8;центробежный;не знаю;центробежный компрессор КЦ 135/8;средняя
К905.2.01;не машина;не знаю;регистрационный номер;высокая
К905.3.01;не машина;не знаю;регистрационный номер;высокая
КА7-IVS;центробежный;не знаю;центробежный компрессор КА7-IVS;средняя
К-55-61-5;центробежный;воздух;центробежный воздушный компрессор К-55-61-5;высокая
CO 1000;не знаю;не знаю;вероятно заводской номер;низкая
К-350-61-2;центробежный;не знаю;центробежный компрессор К-350-61-2;средняя
К-350-62-1;центробежный;не знаю;центробежный компрессор К-350-62-1;средняя
К-401;не машина;не знаю;технологический индекс позиции;высокая
С-401;не машина;не знаю;технологический индекс позиции;высокая
К905.1.03;не машина;не знаю;регистрационный номер;высокая
К905.2.03;не машина;не знаю;регистрационный номер;высокая
К905.3.03;не машина;не знаю;регистрационный номер;высокая
RSA 3;не знаю;не знаю;обозначение не найдено в приведённых строках;низкая
ТК-250-61-5;центробежный;не знаю;центробежный компрессор ТК-250-61-5;средняя
К-400;центробежный;не знаю;центробежный компрессор К-400;средняя
К905.2.05;не машина;не знаю;регистрационный номер трубопровода слива масла;высокая
ЛЧ-35/11-600;не машина;не знаю;обозначение технологической установки (цеха);высокая
К485-61-1МА2;центробежный;не знаю;центробежный компрессор НЗЛ серии К485;средняя
И-3/4;не машина;не знаю;номер отделения в цехе И-3;высокая
K-901;центробежный;природный газ;центробежный компрессор CLARK для установки аммиака;высокая
K-601;центробежный;природный газ;центробежный компрессор CLARK для установки аммиака;высокая
К905.3.05;не машина;не знаю;регистрационный номер трубопровода слива масла;высокая
Нд-58-1;центробежный;не знаю;центробежный компрессор НЗЛ серии Нд;средняя
С-110 ЦЕХА;не машина;не знаю;технологическая позиция компрессора в цехе;высокая
С-120 ЦЕХА;не машина;не знаю;технологическая позиция компрессора в цехе;высокая
VK32-3;центробежный;не знаю;центробежный компрессор (вероятно производство полиэфира);низкая
K-602;центробежный;природный газ;центробежный компрессор CLARK для установки аммиака;высокая
К250-61-2;центробежный;воздух;центробежный воздушный компрессор НЗЛ;высокая
А43-00503-0007;не машина;не знаю;регистрационный номер опасного производственного объекта;высокая
М-902/1;не машина;не знаю;технологическая позиция компрессора;высокая
Н-902/3;не машина;не знаю;технологическая позиция компрессора;высокая
К-119;не машина;не знаю;номер корпуса (здания);высокая
КВД 105 J;не машина;не знаю;технологический индекс или позиция компрессора;средняя
К-1500-62-5;центробежный;воздух;центробежный воздушный компрессор НЗЛ;высокая
ЦК-115/9;центробежный;технологический газ;центробежный компрессор для разделения газа (цех разделения газа);высокая
К1/1-1;не машина;не знаю;технологический номер компрессора;высокая
К1/1-3;не машина;не знаю;технологический номер компрессора;высокая
К400-51-1;центробежный;не знаю;центробежный компрессор НЗЛ серии К400;средняя
K-201;центробежный;природный газ;центробежный компрессор LMC на газоперерабатывающем заводе;высокая
ПМН-1/2;не машина;не знаю;технологический номер пускового маслонасоса;высокая
GB-732;не машина;не знаю;технологическая позиция компрессора;высокая
К-150-62-5;центробежный;воздух;центробежный воздушный компрессор НЗЛ;высокая
К-105-61-1;центробежный;не знаю;центробежный компрессор НЗЛ серии К105;средняя
Н-370-18-1 2;центробежный;природный газ;центробежный нагнетатель природного газа НЗЛ;высокая
КЦ-102;не машина;не знаю;технологический номер компрессора на ГПЗ;высокая
УНП-1;не машина;не знаю;установка нефтеподготовки;высокая
ЦНС 120-1900-3ТМ;насос;не знаю;центробежный насос секционный (заводоуправление нефтяного оборудования);высокая
БКНС-18;не машина;не знаю;блочная кустовая насосная станция;высокая
ЦППД-1;не машина;не знаю;цех подготовки и перекачки для добычи нефти;высокая
БКНС-20;не машина;не знаю;блочная кустовая насосная станция;высокая
ЦНС 180-1422-3ТМ;насос;не знаю;центробежный насос секционный;высокая
К-1700-62-2;центробежный;воздух;центробежный воздушный компрессор НЗЛ;высокая
Дана-1;центробежный;не знаю;центробежный компрессор TKP-D производства Борислав (для производства каучука);средняя
K-102;центробежный;природный газ;центробежный компрессор CLARK для установки аммиака;высокая
Б-1/2;не машина;не знаю;номер отделения товарно-сырьевого цеха;высокая
ЭнЦ-1 АО;не машина;не знаю;Название цеха или площадки (Энергоцех-1 АО «ОЭМК»);высокая
КС-19;не машина;не знаю;Название компрессорной станции (КС-19 Шаран);высокая
К-400-51-1;центробежный;не знаю;Турбокомпрессор центробежный К-400-51-1;низкая
ОКС-32/244;центробежный;не знаю;Центробежный компрессор ОКС-32/244;низкая
К 250-61-2;центробежный;не знаю;Центробежный компрессор К 250-61-2;низкая
М-902/4;не машина;не знаю;Позиция по схеме (М-902/4);высокая
КЦ 101/3;не машина;не знаю;Технологический номер позиции компрессора;высокая
ЦНС 180-1900-3ТМ;насос;не знаю;Центробежный насос ЦНС 180-1900-3ТМ;высокая
БКНС-15;не машина;не знаю;Блочная кустовая насосная станция (БКНС-15);высокая
ЦНС 240-1900-3ТМ;насос;не знаю;Центробежный насос ЦНС 240-1900-3ТМ;высокая
БКНС-17;не машина;не знаю;Блочная кустовая насосная станция (БКНС-17);высокая
ЦК-201 АО;не машина;не знаю;Технологический номер установки в цехе ЦК-201 АО «АНПЗ ВНК»;высокая
К-500;не машина;не знаю;Позиция по схеме (К-500);высокая
КЦ 101/1;не машина;не знаю;Технологический номер позиции компрессора;высокая
КЦ 101/2;не машина;не знаю;Технологический номер позиции компрессора;высокая
К380-103-3;центробежный;природный газ;Центробежный компрессор для попутного нефтяного газа К380-103-3;высокая
КЦ 101/4;не машина;не знаю;Технологический номер позиции компрессора;высокая
КЦ 101/5;не машина;не знаю;Технологический номер позиции компрессора;высокая
ЦНС 240-1650;насос;не знаю;Центробежный насос ЦНС 240-1650;высокая
БКНС-2;не машина;не знаю;Блочная кустовая насосная станция (БКНС-2);высокая
GA-425/7;центробежный;не знаю;Центробежный компрессор BORSIG GA-425/7;низкая
R-393;центробежный;не знаю;Центробежный компрессор ТК-R-393 «Весна»;низкая
У-3 ГЗ;не машина;не знаю;Название установки (У-3 ГЗ) на гелиевом заводе;высокая
К-01-04;не машина;не знаю;Технологический номер позиции компрессора;высокая
АТП5-5/3;центробежный;природный газ;Турбокомпрессор АТП5-5/3 для переработки природного газа на гелиевом заводе;высокая
У-24 ГЗ;не машина;не знаю;Название установки (У-24 ГЗ) на заводе;высокая
ГЦ 2-64/4-26;центробежный;природный газ;Центробежный компрессор 3 ГЦ 2-64/4-26 для попутного нефтяного газа;средняя
КС 101/3;не машина;не знаю;Агрегатный номер позиции компрессора на КССГ;высокая
КС 101/1;не машина;не знаю;Агрегатный номер позиции компрессора на КССГ;высокая
ЦНС 240-1422-3ТМ;насос;не знаю;Центробежный насос ЦНС 240-1422-3ТМ;высокая
К 354-101-1;центробежный;природный газ;Центробежный компрессор К 354-101-1 для попутного нефтяного газа;высокая
К-890-121;центробежный;природный газ;Центробежный компрессор К-890-121-1 для попутного нефтяного газа;высокая
ТКА-1;не машина;не знаю;Технологический номер турбокомпрессорного агрегата;высокая
ТКА-2;не машина;не знаю;Технологический номер турбокомпрессорного агрегата;высокая
ТКА-3;не машина;не знаю;Технологический номер турбокомпрессорного агрегата;высокая
ЦНС 45-1800;насос;не знаю;Центробежный насос ЦНС 45-1800;высокая
ЦППД-2;не машина;не знаю;Название цеха (Цех подготовки и перекачки добываемой продукции-2);высокая
БКНС-24;не машина;не знаю;Блочная кустовая насосная станция (БКНС-24);высокая
ЦНС 60-66;насос;не знаю;Центробежный насос ЦНС 60-66;высокая
ОК-500-92;центробежный;воздух;Центробежный воздушный компрессор ОК-500-92;высокая
А39-00003-0001;не машина;не знаю;регистрационный номер ОПО;высокая
К-151;не машина;не знаю;технологический номер компрессора RB4B;высокая
БКНС-11;не машина;не знаю;обозначение площадки (блочная компрессорная насосная станция);высокая
ЦНС 180-1650;насос;не знаю;центробежный насос секционный, подача 180 м³/ч, напор 1650 м;высокая
БКНС-3;не машина;не знаю;обозначение площадки (блочная компрессорная насосная станция);высокая
К-1 ЦНД;не машина;не знаю;технологический индекс секции низкого давления компрессора;высокая
К890-121/1;центробежный;природный газ;центробежный компрессор природного газа серии К890;высокая
К890-121/3;центробежный;природный газ;центробежный компрессор природного газа серии К890;высокая
К 380-103-1;центробежный;природный газ;центробежный компрессор природного газа серии К380;высокая
БКНС-10;не машина;не знаю;обозначение площадки (блочная компрессорная насосная станция);высокая
БКНС-4;не машина;не знаю;обозначение площадки (блочная компрессорная насосная станция);высокая
К-3000-61-1;центробежный;воздух;центробежный воздушный турбокомпрессор производительностью 3000 м³/мин;высокая
БКНС-39;не машина;не знаю;обозначение площадки (блочная компрессорная насосная станция);высокая
БКНС-35;не машина;не знаю;обозначение площадки (блочная компрессорная насосная станция);высокая
В630/270;поршневой;природный газ;поршневой компрессор AVAC, производительность 630 м³/ч при давлении 270 атм;средняя
ЦНС 38/176;насос;не знаю;центробежный насос секционный, подача 38 м³/ч, напор 176 м;высокая
ЦНС 38/132;насос;не знаю;центробежный насос секционный, подача 38 м³/ч, напор 132 м;высокая
КЦДНГ-5;не машина;не знаю;обозначение объекта (компрессорный цех дожимной насосной группы);высокая
КТ12 ERP65;не машина;не знаю;технологический номер масляного насоса системы смазки компрессора;высокая
К905.2.02;не машина;не знаю;регистрационный номер трубопровода;высокая
К905.2.08;не машина;не знаю;регистрационный номер трубопровода;высокая
К905.3.02;не машина;не знаю;регистрационный номер трубопровода;высокая
БКНС-25;не машина;не знаю;обозначение площадки (блочная компрессорная насосная станция);высокая
БКНС-32;не машина;не знаю;обозначение площадки (блочная компрессорная насосная станция);высокая
БКНС-40;не машина;не знаю;обозначение площадки (блочная компрессорная насосная станция);высокая
БКНС-7;не машина;не знаю;обозначение площадки (блочная компрессорная насосная станция);высокая
БКНС-9;не машина;не знаю;обозначение площадки (блочная компрессорная насосная станция);высокая
К905.3.08;не машина;не знаю;регистрационный номер трубопровода;высокая
НЦ-102/2;не машина;не знаю;технологический номер пускового маслонасоса;высокая
НЦ-102/1;не машина;не знаю;технологический номер пускового маслонасоса;высокая
R500/90-640;винтовой;не знаю;винтовой компрессор, производительность 500 м³/мин, давление 90-640 кПа;средняя
NP-2/2;не машина;не знаю;технологический номер насоса;высокая
E 040-315;насос;не знаю;центробежный насос Etanorm серии E;средняя
Р-102;не машина;не знаю;технологический номер насоса;высокая
Р-101;не машина;не знаю;технологический номер насоса;высокая
NP-1/1;не машина;не знаю;технологический номер насоса;высокая
SV 1610 F110T;винтовой;не знаю;винтовой насос серии SV;средняя
NP-4/2;не машина;не знаю;технологический номер насоса;высокая
Р-105;не машина;не знаю;технологический номер насоса;высокая
SV 3303/2;винтовой;не знаю;винтовой насос серии SV;средняя
SА 200/35;не знаю;не знаю;обозначение встречается в строке с насосами SN660, но само не идентифицировано как марка;низкая
NP-2/1;не машина;не знаю;позиция или номер по схеме (формат NP-X/Y характерен для позиций);высокая
С-102;не машина;не знаю;позиция по схеме;высокая
NP-3/1;не машина;не знаю;позиция или номер по схеме;высокая
A 32/1;не знаю;не знаю;обозначение встречается в строке с насосами SN660, но само не идентифицировано;низкая
NP-3/2;не машина;не знаю;позиция или номер по схеме;высокая
Е 150-400;не знаю;не знаю;обозначение встречается в строке с насосами SN660, но само не идентифицировано;низкая
SN660;насос;не знаю;насос винтовой марки SN660;высокая
FHE 40-160/40;не знаю;не знаю;обозначение встречается в строке с насосами SN660, но само не идентифицировано;низкая
NP-1/2;не машина;не знаю;позиция или номер по схеме;высокая
Р-103;не машина;не знаю;технологическая позиция (встречается как тех. поз. Р-1038А, Р-1038В);высокая
NP-4/1;не машина;не знаю;позиция или номер по схеме;высокая
А38-00528-0004;не машина;не знаю;регистрационный номер ОПО;высокая
M538 А;центробежный;технологический газ;центробежный компрессор YORK модель M538 А на газоперерабатывающем заводе;высокая
GFD00525;не машина;не знаю;заводской номер компрессора (полный номер GFD0052544);высокая
C-140;не машина;не знаю;технологическая позиция (C-1400А);высокая
GFD01225;не машина;не знаю;заводской номер компрессора (полный номер GFD0122545);высокая
C-1410;не машина;не знаю;технологическая позиция компрессора;высокая
ДГ-35/11-300;не машина;не знаю;обозначение установки каталитического риформинга;высокая
VRM-200/490;центробежный;технологический газ;центробежный компрессор на установке переработки нефти;средняя
К905.2.07;не машина;не знаю;регистрационный номер трубопровода;высокая
К905.3.04;не машина;не знаю;регистрационный номер трубопровода;высокая
К905.3.07;не машина;не знаю;регистрационный номер трубопровода;высокая
У-170/171;не машина;не знаю;обозначение установки;высокая
Ц-16-76;не машина;не знаю;обозначение турбокомпрессорного агрегата ТКА-Ц-16-76;высокая
КС-3/2;не машина;не знаю;обозначение компрессорной станции;высокая
К905.2.06;не машина;не знаю;регистрационный номер трубопровода;высокая
К905.3.06;не машина;не знаю;регистрационный номер трубопровода;высокая
ВД-10;не машина;не знаю;технологическая позиция компрессора;высокая
ВЦ 5-50;центробежный;воздух;воздушный центробежный компрессор ВЦ 5-50;высокая
ВЦ 5 50;центробежный;воздух;воздушный центробежный компрессор ВЦ 5-50;высокая
ВД 11;не машина;не знаю;технологическая позиция компрессора;высокая
ТКФ-348;центробежный;технологический газ;центробежный компрессор ТКФ-348 на хлорном производстве;средняя
Цех 0;не машина;не знаю;номер цеха;высокая
Ц4-75-5;центробежный;не знаю;центробежный компрессор Ц4-75-5;средняя
Н360-22-1;центробежный;технологический газ;центробежный нагнетатель Н360-22-1 на установке ГК-3;высокая
А22-01029-0010;не машина;не знаю;регистрационный номер;высокая
Р-1023;не машина;не знаю;технологическая позиция компрессора;высокая
М 238 А7;центробежный;технологический газ;центробежный компрессор типа М 238 А7 на производстве нитроаммофоски;средняя
MAB 103;не машина;не знаю;центробежный сепаратор масла для воздушных компрессоров;высокая
А53-01507-0006;не машина;не знаю;Регистрационный номер ОПО;высокая
Цех 16;не машина;не знаю;Номер цеха;высокая
А19-07153-0102;не машина;не знаю;Регистрационный номер ОПО;высокая
А41-00050;не машина;не знаю;Регистрационный номер ОПО;высокая
LМС-331;центробежный;не знаю;Вертикальный центробежный компрессор;средняя
ЕНПЗ-269-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
ЕНПЗ-270-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
А 57-20113-0001;не машина;не знаю;Регистрационный номер ОПО;высокая
LМС-33;центробежный;не знаю;Вертикальный центробежный компрессор;средняя
ЕНПЗ-183-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
SF114;центробежный;не знаю;Центробежный компрессор в составе турбокомпрессора;средняя
SА1000;не машина;не знаю;Паровая турбина (привод компрессора);высокая
FTР-100;не машина;не знаю;Позиционное обозначение агрегата;высокая
НМШ 5-25-4,0;насос;не знаю;Шестеренный насос;высокая
ВК 5/3;насос;не знаю;Вихревой насос;высокая
Н-1/1;не машина;не знаю;Технологическая позиция насоса;высокая
Р6493;не машина;не знаю;Инвентарный или регистрационный номер;высокая
НД 2,5 10;насос;не знаю;Насос динамический;средняя
Н-2/1;не машина;не знаю;Технологическая позиция насоса;высокая
НД 1,0 10;насос;не знаю;Насос динамический;средняя
НМШ 5-25-4,0/4;насос;не знаю;Шестеренный насос;высокая
FDRC 80-400;не знаю;не знаю;Оборудование неопределенного типа;низкая
БР-1/2;не машина;не знаю;Технологическая позиция (бункер-разгрузчик или бак-резервуар);высокая
Н-1/2;не машина;не знаю;Технологическая позиция насоса;высокая
ВК 4/2;насос;не знаю;Вихревой насос;высокая
КМ 100-65-200;насос;не знаю;Консольный моноблочный насос;высокая
В1 107;не знаю;не знаю;Оборудование неопределенного типа;низкая
ВК 2/26;насос;не знаю;Вихревой насос;высокая
Н-2/2;не машина;не знаю;Технологическая позиция насоса;высокая
КЦДНГ-1;не машина;не знаю;Цех или установка (цех добычи нефти и газа);высокая
БР-1/1;не машина;не знаю;Технологическая позиция (бункер-разгрузчик или бак-резервуар);высокая
Р6502;не машина;не знаю;Инвентарный или регистрационный номер;высокая
ЦВД-2;центробежный;воздух;Центробежный воздушный компрессор высокого давления;высокая
ГТЭ-3675-ТУ;не машина;не знаю;Номер заключения экспертизы;высокая
ЦНД-2;центробежный;воздух;Центробежный воздушный компрессор низкого давления;высокая
Насос 6 EAHFC;насос;не знаю;Насос центробежный;средняя
RPA 70;не знаю;не знаю;Оборудование неопределенного типа;низкая
П14012;не машина;не знаю;Номер протокола или документа;высокая
П14011;не машина;не знаю;Номер протокола или документа;высокая
KU011;не знаю;не знаю;Оборудование неопределенного типа;низкая
А19-10619-0067;не машина;не знаю;регистрационный номер опасного производственного объекта;высокая
ШН 250-34;насос;не знаю;шламовый насос горизонтальный;средняя
Насос 8/6 E;насос;не знаю;центробежный насос;низкая
Насос 150/100 С;насос;не знаю;центробежный консольный насос типа С;средняя
SCK-42/10;винтовой;не знаю;винтовой компрессор;средняя
Насос 4/3 D;насос;не знаю;центробежный насос;низкая
Насос 65 QVSP;насос;не знаю;вертикальный насос;низкая
C-104;не машина;не знаю;позиция компрессора по схеме;высокая
C-106;не машина;не знаю;позиция компрессора по схеме;высокая
C-102;не машина;не знаю;позиция компрессора по схеме;высокая
C-101;не машина;не знаю;позиция компрессора по схеме;высокая
C-103;не машина;не знаю;позиция компрессора по схеме;высокая
Н-9000-11-5;вентилятор;воздух;центробежный нагнетатель для агломерационного производства;высокая
Н-750-23-6;вентилятор;воздух;центробежный нагнетатель;средняя
СПЧ1,35/56-6;центробежный;не знаю;центробежный нагнетатель;низкая
НЦ-230/3-3,5;центробежный;технологический газ;центробежный нагнетатель для технологических газов;средняя
Э-1700-11-2М;вентилятор;воздух;эксгаустер центробежный;высокая
В-404;не машина;не знаю;технологический номер позиции по схеме;высокая
НЦВЭ-56/1,45;вентилятор;воздух;центробежный нагнетатель взрывозащищенного исполнения;высокая
НЦ-196-1-45;центробежный;не знаю;центробежный нагнетатель;средняя
Н750-23-6;вентилятор;воздух;центробежный нагнетатель;средняя
BCL 604;центробежный;не знаю;центробежный нагнетатель;низкая
В-604/3;не машина;не знаю;технологический номер позиции по схеме;высокая
Н-196/56-1,45;центробежный;не знаю;центробежный нагнетатель;средняя
Н-45-21-4;центробежный;не знаю;центробежный нагнетатель;средняя
А-401;не машина;не знаю;позиция по схеме;высокая
ГТК-10-4;центробежный;природный газ;газотурбинный компрессорный агрегат для перекачки природного газа;высокая
Н9000-11;вентилятор;воздух;центробежный нагнетатель для агломерационного производства;высокая
Н 650-22-2;вентилятор;воздух;центробежный нагнетатель;средняя
ИП-2-6;не машина;не знаю;номер цеха или отделения изопренового производства;высокая
Н-650;вентилятор;не знаю;центробежный нагнетатель;средняя
А58-70004-0117;не машина;не знаю;регистрационный номер опасного производственного объекта;высокая
А58-70004-0091;не машина;не знаю;регистрационный номер опасного производственного объекта;высокая
А58-70004-0089;не машина;не знаю;регистрационный номер опасного производственного объекта;высокая
Э-360-22-1;центробежный;технологический газ;эксгаустер центробежный для технологических газов;высокая
М-15/2;не машина;не знаю;технологический индекс позиции по схеме;высокая
МКЦ-1;не машина;не знаю;номер машинного компрессорного цеха;высокая
МКЦ-2;не машина;не знаю;номер машинного компрессорного цеха;высокая
Н-650-21-2;вентилятор;воздух;центробежный нагнетатель;средняя
К-8/3;не машина;не знаю;технологический номер позиции по схеме;высокая
М-15/3;центробежный;технологический газ;Центробежный нагнетатель типа Э-360-22-1 или 360-22-1 или Э200-31-1 на производстве изобутилена;высокая
Вихрь-2;не знаю;не знаю;Инжекторный нагнетатель производства ООО «СИБ - ДАМЕЛЬ»;низкая
БП77-ТУ;не машина;не знаю;Префикс номера заключения экспертизы промышленной безопасности;высокая
ЦНТ-900;центробежный;не знаю;Центробежный нагнетатель;средняя
НГ 360-22-1;центробежный;технологический газ;Центробежный нагнетатель на производстве изопренового каучука;высокая
Н-700-12;центробежный;не знаю;Центробежный нагнетатель;средняя
А25-00261-0626;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
Н-300-1,23;центробежный;природный газ;Центробежный нагнетатель природного газа;высокая
А25-00261-0630;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
А25-00261-0615;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
А25-00261-0618;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
PCL-802/24;центробежный;природный газ;Центробежный нагнетатель на компрессорной станции газопровода;высокая
Н-900-31-1;центробежный;не знаю;Центробежный нагнетатель;средняя
Н-900-31-3;центробежный;не знаю;Центробежный нагнетатель;средняя
Н-1000-31-1;центробежный;не знаю;Центробежный нагнетатель;средняя
Н 1050-13-1;центробежный;технологический газ;Центробежный нагнетатель на участке сернокислотного хозяйства;высокая
ГТ-6-750;центробежный;природный газ;Газоперекачивающий агрегат с центробежным нагнетателем Н-300-1,23;высокая
К087-АНХК;не машина;не знаю;Часть регистрационного номера заключения экспертизы;высокая
ДП-2025-039.1456;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1457;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1458;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ОС-12;не машина;не знаю;Обозначение объекта или площадки;высокая
В11-1;не машина;не знаю;Технологическая позиция нагнетателя по схеме;высокая
В10-2;не машина;не знаю;Технологическая позиция нагнетателя по схеме;высокая
ТПО-0285.09-2023;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
М-101-2;центробежный;технологический газ;Центробежный нагнетатель марки 133-21-1 на производстве синтетического этилового спирта;высокая
М-101-1;центробежный;технологический газ;Центробежный нагнетатель марки 133-21-1 на производстве синтетического этилового спирта;высокая
НЦ-12/56-1,44;центробежный;не знаю;Центробежный нагнетатель;средняя
ДП-2025-039.1426;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1431;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1428;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1433;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1432;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1427;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1437;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1436;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1438;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1441;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1442;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1443;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1446;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1447;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1448;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1451;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1452;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
ДП-2025-039.1453;не машина;не знаю;Номер заключения экспертизы промышленной безопасности;высокая
М-15/1;не машина;не знаю;Позиция по схеме на установке дегидрирования;высокая
Э200-31-1;центробежный;технологический газ;Центробежный нагнетатель на установке дегидрирования (производство изобутилена и МТБЭ);высокая
М-15/4;не машина;не знаю;Позиция по схеме на установке дегидрирования;высокая
М-15/8;не машина;не знаю;Позиция по схеме на установке дегидрирования;высокая
М-15/6;не машина;не знаю;Позиция по схеме на установке дегидрирования;высокая
М-15/5;не машина;не знаю;Позиция по схеме на установке дегидрирования;высокая
М-15/7;не машина;не знаю;Позиция по схеме на установке дегидрирования;высокая
PCL 804-2-36;центробежный;природный газ;Центробежный нагнетатель производства Nuovo Pignone на ООО «Газпром трансгаз Чайковский»;высокая
ЗЭ-2024;не машина;не знаю;Номер заключения экспертизы;высокая
СПЧ 370-1,5/76-16;не машина;не знаю;Сменная проточная часть для центробежного нагнетателя 370;высокая
А58-70004-0139;не машина;не знаю;Регистрационный номер опасного производственного объекта;высокая
РЦОТ-480;не машина;не знаю;Редуктор цилиндрический одноступенчатый турбокомпрессорный в составе ГПА;высокая
СТД-12500;не машина;не знаю;Обозначение электроприводного газоперекачивающего агрегата в сборе;высокая
