nazvanie;postavok;gody;sovremennoe;strana;sostoyanie;uverennost
Харьковский турбинный завод;1;1957-1957;ПАО Турбоатом;Украина;работает;высокая
Шахта 1-5;1;1957-1957;не знаю;не знаю;не знаю;низкая
Сумгаитский завод синтетич.каучука;1;1957-1957;не знаю;другая;не знаю;низкая
Стирол Горловский коксо-химический завод;1;1957-1957;Горловский коксо-химический завод в составе концерна Стирол;Украина;не знаю;средняя
Кадиевский саж. завод;1;1957-1957;Стахановский завод технического углерода;Украина;не знаю;средняя
"Р/У им.Коминтерна Трест ""Ленинруда""";1;1958-1958;трестовая структура упразднена;Россия;ведомство упразднено;высокая
"Трест ""Дзержинскруда""";1;1958-1958;трестовая структура упразднена;не знаю;ведомство упразднено;высокая
Шахта Горловская-Глубокая;1;1958-1958;не знаю;Украина;не знаю;средняя
Харьковский коксо- химич.завод Харьковский коксо-химич.завод;1;1958-1958;;не знаю;не знаю;низкая
Румянцево-шахта;1;1958-1958;не знаю;не знаю;не знаю;низкая
Химический комбинат Камыш-Бурунский железорудный комбинат;1;1958-1958;не знаю;не знаю;не знаю;низкая
Ленинградский холодильный институт;1;1959-1959;ВНИХИ имени академика В.С.Мартыновского;Россия;работает;средняя
7;1;1959-1959;не знаю;не знаю;не знаю;низкая
Сумской суперфосф.завод;1;1959-1959;ПАО Сумыхимпром;Украина;не знаю;средняя
Богдановкая аглофабрика;1;1959-1959;не знаю;не знаю;не знаю;низкая
Самарское управление водопровода и канализации;1;1959-1959;МП Самараводоканал;Россия;работает;высокая
Аньшаньский МК;1;1959-1959;Anshan Iron and Steel Group;другая;работает;высокая
Рязанский завод по произв. и перераб. цв.мет.;1;1959-1959;ОАО Рязцветмет;Россия;не знаю;средняя
Усть-Каменогорский титано- магниевый комбинат Усть-Каменогорский титано-магниевый комбинат;1;1960-1960;;не знаю;не знаю;низкая
Макеевский труболитейный завод;1;1960-1960;Макеевский труболитейный завод;Украина;не знаю;средняя
Свердловский турбомет.завод;1;1960-1960;не знаю;Россия;не знаю;низкая
Новокриворожский МК;1;1960-1960;АрселорМиттал Кривой Рог;Украина;работает;высокая
Главгаз СССР КС-2, Курск;1;1960-1960;компрессорная станция в Курской области, ведомство Главгаз СССР упразднено;Россия;ведомство упразднено;высокая
Главгаз СССР КС-3а, Луганск;1;1960-1960;компрессорная станция в Луганске, ведомство Главгаз СССР упразднено;Украина;ведомство упразднено;высокая
Главгаз СССР КС-7, Егорлык;1;1960-1960;компрессорная станция Егорлыкская, ведомство Главгаз СССР упразднено;Россия;ведомство упразднено;высокая
Главгаз СССР КС-7а, Елец;1;1960-1960;компрессорная станция в Ельце, ведомство Главгаз СССР упразднено;Россия;ведомство упразднено;высокая
Воронежская КС-6;1;1960-1960;компрессорная станция в Воронежской области;Россия;не знаю;средняя
Главгаз СССР КС-5Н, Псков;1;1960-1960;компрессорная станция в Пскове, ведомство Главгаз СССР упразднено;Россия;ведомство упразднено;высокая
Главгаз СССР КС-9, Луганск;1;1960-1960;компрессорная станция в Луганске, ведомство Главгаз СССР упразднено;Украина;ведомство упразднено;высокая
8;1;1960-1960;не знаю;не знаю;не знаю;низкая
Джезказганский ГМК;1;1960-1960;Корпорация Казахмыс;Казахстан;вошло в состав другого;средняя
Алапаевский МК;1;1960-1960;Алапаевский металлургический завод;Россия;работает;средняя
"Главгаз СССР КС ""Шатская""";1;1960-1960;компрессорная станция Шатская, ведомство Главгаз СССР упразднено;Россия;ведомство упразднено;средняя
Рязанский завод по произв. и перераб. цв.мет. Рязанский завод по производству и переработке цветных металлов;1;1960-1960;;не знаю;не знаю;низкая
Свердловский МЗ;1;1961-1961;не знаю;Россия;не знаю;низкая
Никопольмарганец;1;1961-1961;Никопольский завод ферросплавов;Украина;работает;высокая
Невинномысский АТЗ;1;1961-1961;Невинномысский Азот;Россия;работает;высокая
"Р/У им.Дзержинского Шахта ""Гигант""";1;1961-1961;не знаю;не знаю;не знаю;низкая
"Р/У им.Розы Люксембург Трест ""Ленинруда""";1;1961-1961;не знаю;не знаю;не знаю;низкая
1-ГПЗ;1;1961-1961;Первый подшипниковый завод;Россия;не знаю;средняя
Стерлитомакский цементный завод;1;1961-1961;Стерлитамакский цементный завод;Россия;не знаю;средняя
КС-3;1;1961-1961;не знаю;не знаю;не знаю;низкая
КС-7;1;1961-1961;не знаю;не знаю;не знаю;низкая
Наньцань ст.;1;1961-1961;не знаю;другая;не знаю;низкая
Саларские очистит.сооруж. Саларские очистительные сооружения;1;1961-1961;не знаю;не знаю;не знаю;низкая
ЦКТИ Московское отд.;1;1961-1961;Акционерное общество «Научно-производственное объединение по исследованию и проектированию энергетического оборудования имени И. И. Ползунова» (АО «НПО ЦКТИ»), Московское отделение;Россия;работает;высокая
Буруктальский никелевый комбинат;1;1962-1962;АО «Бурибаевский горно-обогатительный комбинат»;Россия;работает;средняя
Завод синтетического каучука;1;1962-1962;родовое название, в СССР существовало несколько десятков заводов синтетического каучука;не знаю;не знаю;низкая
Р/У им.Кирова Шахта им.Артема;1;1962-1962;не знаю;не знаю;не знаю;низкая
Крекинг завод;1;1962-1962;родовое название установки нефтепереработки, конкретное предприятие не определяется;не знаю;не знаю;низкая
Астраханский комбинат;1;1962-1962;родовое название, без уточнения отрасли конкретное предприятие не определяется;не знаю;не знаю;низкая
Балаковский завод иск. волокна;1;1962-1962;не знаю;Россия;не знаю;низкая
Бозсуйские очистит.сооруж. Бозсуйские очистительные сооружения;1;1962-1962;не знаю;не знаю;не знаю;низкая
Куйбышевский завод синетет. спирта Куйбышевский завод синтетического спирта;1;1962-1962;не знаю;Россия;не знаю;низкая
Новокраматорский МК;1;1962-1962;Публичное акционерное общество «Новокраматорский машиностроительный завод»;Украина;работает;высокая
Лениногорский цинк.комбинат;1;1962-1962;АО «Казцинк» филиал «Лениногорский горно-металлургический комбинат»;Казахстан;вошло в состав другого;высокая
Академия Наук СССР институт физических проблем;1;1963-1963;Институт физических проблем имени П. Л. Капицы Российской академии наук;Россия;работает;высокая
Бийский ХК;1;1963-1963;АО «Бийский химический комбинат»;Россия;работает;высокая
Средне-Уральский медосплав. завод Среднеуральский медеплавильный завод;1;1963-1963;АО «Среднеуральский медеплавильный завод»;Россия;работает;высокая
Львовские очистит.сооруж.;1;1963-1963;Львовские очистные сооружения;Украина;работает;средняя
Мосводоканал;1;1963-1963;АО «Мосводоканал»;Россия;работает;высокая
Орловский метизно- металлург.завод Орловский метизно-металлургический завод;1;1963-1963;не знаю;Россия;не знаю;низкая
Шебекинский завод СЖК;1;1963-1963;не знаю;Россия;не знаю;низкая
Ефремовский завод стальных конструкций;1;1963-1963;не знаю;Россия;не знаю;низкая
Иркутский ХК;1;1964-1964;не знаю;Россия;не знаю;низкая
Одесский литейный завод;1;1964-1964;не знаю;Украина;не знаю;низкая
Кировоканский ХК;1;1964-1964;Ванадзорский химический завод;другая;работает;средняя
Архангельский бум. комбинат;1;1964-1964;АО «Архангельский целлюлозно-бумажный комбинат»;Россия;работает;высокая
Минская ст.аэрации;1;1964-1964;Минские очистные сооружения;Белоруссия;работает;средняя
Стерлитомакский СЦ завод;1;1964-1964;АО «Башкирская содовая компания»;Россия;работает;средняя
Гомель Центролит;1;1965-1965;не знаю;Белоруссия;не знаю;низкая
Рязанский литейный завод;1;1965-1965;не знаю;Россия;не знаю;низкая
Центролит;1;1965-1965;родовое название литейных производств, не одно конкретное предприятие;не знаю;не знаю;низкая
п/я 558;1;1965-1965;не знаю;не знаю;не знаю;низкая
Ижевский завод бум.дел.обор. Ижевский завод бумагоделательного оборудования;1;1965-1965;не знаю;Россия;не знаю;низкая
Ленметрострой;1;1967-1967;ООО «Метрострой»;Россия;работает;средняя
Орловский завод;1;1967-1967;не знаю;Россия;не знаю;низкая
Северный ГОК;1;1970-1970;ПАО «Северный горно-обогатительный комбинат»;Украина;работает;высокая
п/я А-7466;1;1970-1970;не знаю;не знаю;не знаю;низкая
Кокандский ХК;1;1970-1970;не знаю;Узбекистан;не знаю;средняя
Вахшский азото-туковый завод;1;1972-1972;не знаю;другая;не знаю;средняя
Ярославнефтеоргсинтез;1;1972-1972;ПАО «Славнефть-ЯНОС»;Россия;работает;высокая
Гороблагодат. рудоупр. Гороблагодатское рудоуправление;1;1973-1973;месторождение выработано, рудник закрыт;Россия;закрыто;высокая
ГКЭС;1;1973-1973;не знаю;не знаю;ведомство упразднено;средняя
Линейн.диспет. станция Линейная диспетчерская станция;1;1973-1973;родовое название станций на трубопроводах, не одно конкретное предприятие;не знаю;не знаю;низкая
Самаркандский СФЗ;1;1973-1973;не знаю;Узбекистан;не знаю;средняя
Юргинский абразивный завод;1;1974-1974;не знаю;Россия;не знаю;средняя
Карабашский МПЗ;1;1974-1974;Карабашский медеплавильный завод;Россия;работает;высокая
Нижневартовский ГПЗ-3;1;1975-1975;не знаю;Россия;не знаю;средняя
Арнамерх МЗ;1;1975-1975;не знаю;не знаю;не знаю;низкая
Златоустовское рудоуправление;1;1976-1976;не знаю;Россия;не знаю;низкая
Челябинский кузнечно- прессовый завод Челябинский кузнечно-прессовый завод;1;1976-1976;ПАО «Челябинский кузнечно-прессовый завод»;Россия;работает;высокая
Казахский ГПЗ;1;1976-1976;не знаю;Казахстан;не знаю;средняя
Норильский медно-никелевый комбинат;1;1977-1977;ПАО «ГМК «Норильский никель»;Россия;работает;высокая
Надеждинский МЗ;1;1977-1977;Надеждинский металлургический завод (закрыт в 1990-х);Россия;закрыто;высокая
Сургутский ГПЗ;1;1977-1977;Сургутский газоперерабатывающий завод (ООО «Газпром переработка»);Россия;работает;высокая
Сланцеперерабатывающий комбинат;1;1977-1977;Сланцы (Эстония) — Kiviter AS либо Россия (Сланцы) — завод закрыт;не знаю;не знаю;низкая
Нижневартовскнефтегаз;1;1979-1979;АО «Самотлорнефтегаз» (входит в ТНК-BP, затем «Роснефть»);Россия;вошло в состав другого;высокая
Чебоксарский ХК;1;1979-1979;ПАО «Химпром» (Чебоксары);Россия;работает;высокая
Полимер;1;1979-1979;Родовое название, много предприятий с таким именем в СССР;не знаю;не знаю;низкая
Главтюменьнефтегаз Варьегонское месторождение;1;1980-1980;Варьёганское месторождение (разработка «РН-Юганскнефтегаз», «Роснефть»);Россия;ведомство упразднено;средняя
Главтюменьнефтегаз Мешонская база ПТО и К;1;1980-1980;не знаю;Россия;не знаю;низкая
Главтюменьнефтегаз Повховское месторождение;1;1980-1980;Повховское месторождение (разработка «Сургутнефтегаз», «Сургутнефтегаз»);Россия;ведомство упразднено;средняя
Сургутнефтегаз;1;1980-1980;ПАО «Сургутнефтегаз»;Россия;работает;высокая
Холмогорское месторождение;1;1980-1980;Холмогорское нефтегазовое месторождение (ХМАО, разработка «Газпромнефть-Хантос»);Россия;работает;средняя
Чеховский завод;1;1981-1981;не знаю;не знаю;не знаю;низкая
Белозерский ГПЗ;1;1982-1982;Белозерский газоперерабатывающий завод (Тюменская область, «Сибур Тобольск»);Россия;работает;высокая
Ставропольнефтегаз;1;1982-1982;не знаю;Россия;не знаю;низкая
"Шахта ""Комсомолец Донбасса""";1;1984-1984;Шахта «Комсомолец Донбасса» (Донецкая область);Украина;не знаю;средняя
Грознефтеоргсинтез;1;1984-1984;ОАО «Грознефтегаз» (Чечня, работа нестабильна после войн);Россия;не знаю;средняя
Трипольский био-химич.завод Трипольский био-химический завод;1;1984-1984;Трипольский биохимический завод (Украина, Киевская область);Украина;не знаю;средняя
Россошанский ХЗ;1;1985-1985;ООО «Минудобрения» (Россошь, Воронежская область);Россия;работает;средняя
Димитровградский ХК аммиак аз.кисл Димитровградский завод;1;1985-1985;АО «Димитровградхиммаш» (Димитровград, Ульяновская область);Россия;работает;средняя
Таганрогский МЗ;1;1985-1985;ПАО «Таганрогский металлургический завод»;Россия;работает;высокая
Алавердский ГМК;1;1985-1985;Алавердский горно-металлургический комбинат (Армения);другая;работает;высокая
Дальневосточный МЗ;1;1985-1985;не знаю;Россия;не знаю;низкая
Новокузнецкий МЗ;1;1985-1985;ЕВРАЗ Западно-Сибирский металлургический комбинат (Новокузнецк);Россия;работает;высокая
Криогенмаш;1;1986-1986;АО «Криогенмаш» (Балашиха, Московская область);Россия;работает;высокая
Орджоникидзовский угольный комбинат;1;1986-1986;не знаю;не знаю;не знаю;низкая
Новороссийский цементный завод;1;1986-1986;Новороссийский цементный завод (входит в холдинг «Новоросцемент»);Россия;работает;высокая
"Степногорский завод ""Прогресс""";1;1986-1986;Казахстанский государственный химико-фармацевтический завод «Прогресс»;Казахстан;работает;высокая
Новоменделеевский ХЗ;1;1986-1986;Новоменделеевский химический завод;Россия;закрыто;средняя
Подшипниковый завод;1;1987-1987;не знаю — родовое название, множество подшипниковых заводов в СССР;не знаю;не знаю;низкая
Фосфорит;1;1987-1987;Кингисеппское производственное объединение «Фосфорит»;Россия;закрыто;средняя
Грязовец ОПКС;1;1987-1987;не знаю;не знаю;не знаю;низкая
Нижневартовская БПТОиК;1;1988-1988;Нижневартовская база производственно-технического обеспечения и комплектации;Россия;вошло в состав другого;средняя
Сургутская БПТОиК;1;1988-1988;Сургутская база производственно-технического обеспечения и комплектации;Россия;вошло в состав другого;средняя
Серп и молот МЗ;1;1988-1988;Металлургический завод «Серп и Молот»;Россия;работает;высокая
Агполиметалл р-к Шалкия;1;1988-1988;Рудник Шалкия (АО «Агрополиметалл»);Казахстан;работает;средняя
Волжский азотокислородный завод;1;1988-1988;не знаю;не знаю;не знаю;низкая
Омский шинный завод;1;1988-1988;Омский шинный завод;Россия;закрыто;высокая
Волготрансгаз;1;1988-1988;Волготрансгаз (филиал ПАО «Газпром»);Россия;работает;высокая
МК им.Ленина;1;1988-1988;не знаю — может быть Кузнецкий металлургический комбинат им. Ленина или другой;не знаю;не знаю;низкая
Раздольское ПО Сера;1;1988-1988;Раздольское производственное объединение «Сера»;Украина;закрыто;средняя
ТХК;1;1989-1989;не знаю — может быть Тобольский химический комбинат или Томский химический комбинат;не знаю;не знаю;низкая
Оскольский эл.мет.комбинат;1;1989-1989;Оскольский электрометаллургический комбинат (ОЭМК);Россия;работает;высокая
Резинский цем.завод;1;1989-1989;не знаю;не знаю;не знаю;низкая
Турбоатомгаз;1;1989-1989;не знаю;не знаю;не знаю;низкая
Уфимский НПЗ;1;1989-1989;Уфимский нефтеперерабатывающий завод (входит в состав АО «Башнефть»);Россия;работает;высокая
Гудермесский био-хим. завод Гудермесский био-химический завод;1;1989-1989;Гудермесский биохимический завод;Россия;закрыто;средняя
Мелеузовский ХЗ;1;1989-1989;Мелеузовский химический завод (входит в состав ООО «МХЗ»);Россия;работает;высокая
Химволокно;1;1990-1990;не знаю — родовое название, множество заводов химволокна в СССР;не знаю;не знаю;низкая
Спасскцемент;1;1990-1990;Спасский цементный завод «Спасскцемент»;Россия;работает;высокая
Шевченко;1;1990-1990;не знаю — может быть город Актау (бывш. Шевченко) или предприятие в нём;не знаю;не знаю;низкая
Радеховский био-хим.завод Радеховский био-химический завод;1;1990-1990;Радехівський біохімічний завод (закрыт);Украина;закрыто;высокая
Саратовтрансгаз;1;1990-1990;ООО «Газпром трансгаз Саратов»;Россия;работает;высокая
Кременчугский НПЗ;1;1990-1990;ПАТ «Укртатнафта» Кременчуцький НПЗ;Украина;работает;высокая
Нижний Тагил Нижнетагильский МК;1;1991-1991;Нижнетагильский металлургический комбинат (ЕВРАЗ НТМК);Россия;работает;высокая
Харьковская ГРЭС;1;1991-1991;Харківська ТЕЦ-5;Украина;работает;средняя
Ахангаранцветмет;1;1991-1991;Алмалыкский горно-металлургический комбинат (Ахангаранский филиал);Узбекистан;вошло в состав другого;средняя
Богословский алюм.завод Богословский алюминиевый завод;1;1991-1991;Богословский алюминиевый завод (РУСАЛ БАЗ);Россия;работает;высокая
Балаклейский шиферно- цементный завод Балаклейский шиферно-цементный завод;1;1991-1991;Балаклійський шиферно-цементний завод;Украина;закрыто;средняя
Ижсталь;1;1991-1991;ПАО «Ижсталь»;Россия;работает;высокая
Минский подшипниковый завод;1;1991-1991;ОАО «Минский подшипниковый завод»;Белоруссия;работает;высокая
Тихвинский глинозем.завод Тихвинский глиноземный завод;1;1991-1991;не знаю;Россия;не знаю;низкая
Орджоникидзеуголь;1;1991-1991;не знаю;не знаю;не знаю;низкая
Соколово-Сарбайское ГПО;1;1992-1992;Соколовско-Сарбайское горно-обогатительное производственное объединение (АО «ССГПО»);Казахстан;работает;высокая
Апатит;1;1992-1992;АО «Апатит» (ФосАгро);Россия;работает;высокая
Двигатель;1;1992-1992;Родовое название, невозможно идентифицировать конкретное предприятие;не знаю;не знаю;низкая
Тарасовский ГПЗ;1;1992-1992;Тарасовский газоперерабатывающий завод (в составе «Газпром переработка»);Россия;работает;средняя
Новополоцкий завод БВК;1;1992-1992;Новополоцкий завод белково-витаминных концентратов (закрыт);Белоруссия;закрыто;средняя
Волгоградтрансгаз;1;1994-1994;ООО «Газпром трансгаз Волгоград»;Россия;работает;высокая
"КС ""Изборская""";1;2006-2006;Компрессорная станция «Изборская» (ООО «Газпром трансгаз Санкт-Петербург»);Россия;работает;высокая
Металлургический завод г. Роуркела г. Роуркела, металлургический завод;1;2006-2006;Rourkela Steel Plant (Steel Authority of India Limited);другая;работает;высокая
Исфаганский металлургический комбинат г. Исхафан, Исфаганский металлургический комбинат;1;2006-2006;Esfahan Steel Company (Mobarakeh Steel Company);другая;работает;средняя
"ОАО ""Азовсталь МК"" г.Мариуполь, ОАО ""Азовсталь МК""";1;2006-2006;ПАТ «Металургійний комбінат «Азовсталь»;Украина;работает;высокая
"КС ""Грязовец""";1;2008-2008;Компрессорная станция «Грязовец» (ООО «Газпром трансгаз Ухта»);Россия;работает;высокая
"ООО ""Торговый Дом ""Россия- Украина"" г.Мариуполь, Мариупольский МК им.Ильича";1;2008-2008;ПАТ «Маріупольський металургійний комбінат ім. Ілліча»;Украина;работает;высокая
"ООО ""Газпром трансгаз Санкт- Петербург"" КС ""Изборская""";1;2009-2009;Компрессорная станция «Изборская» (ООО «Газпром трансгаз Санкт-Петербург»);Россия;работает;высокая
"КС ""Торжок""";1;2009-2009;ООО «Газпром трансгаз Санкт-Петербург», компрессорная станция «Торжок»;Россия;работает;высокая
"ООО «Газпром трансгаз Ухта» Реконструкция КС ""Грязовец""";1;2009-2009;ООО «Газпром трансгаз Ухта», компрессорная станция «Грязовец»;Россия;работает;высокая
"ОАО""НЛМК""";1;2009-2009;Публичное акционерное общество «Новолипецкий металлургический комбинат»;Россия;работает;высокая
"КС ""Мышкин""";1;2010-2010;ООО «Газпром трансгаз Санкт-Петербург», компрессорная станция «Мышкин»;Россия;работает;высокая
"ГКС Северо-Даниловского м/р ТПП ""Урайнефтегаз""";1;2011-2011;ООО «ЛУКОЙЛ-Западная Сибирь» (бывшее территориально-производственное предприятие «Урайнефтегаз»);Россия;вошло в состав другого;высокая
Азовсталь МК ПАО г.Мариуполь, Азовсталь МК ПАО;1;2013-2013;Публичное акционерное общество «Металлургический комбинат «Азовсталь»;Украина;закрыто;высокая
"ООО ""Газпром добыча Уренгой"" ДКС УКПГ-8В";1;2014-2014;ООО «Газпром добыча Уренгой»;Россия;работает;высокая
"ООО ""Газпром добыча Надым"" ДКС Медвежьего НГКМ";1;2014-2014;ООО «Газпром добыча Надым»;Россия;работает;высокая
"""Arcelor Mittal Galati""";1;2014-2014;ArcelorMittal Galați;другая;работает;высокая
"ООО ""Газпром трансгаз Краснодар"" КС «Майкопская»";1;2015-2015;ООО «Газпром трансгаз Краснодар», компрессорная станция «Майкопская»;Россия;работает;высокая
"ООО ""Газпром добыча Уренгой"" ДКС УКПГ-5В";1;2015-2015;ООО «Газпром добыча Уренгой»;Россия;работает;высокая
"ПАО ""НПО ""Искра"" ДКС ЦДГ и ГК Ханчейского м/р";1;2015-2015;не знаю;не знаю;не знаю;низкая
"ООО ""Газпром трансгаз Саратов"" КС ""Петровск""";1;2015-2015;ООО «Газпром трансгаз Саратов», компрессорная станция «Петровск»;Россия;работает;высокая
"ООО ""Газпром трансгаз Беларусь"" КС ""Слонимская""";1;2015-2015;ООО «Газпром трансгаз Беларусь», компрессорная станция «Слонимская»;Белоруссия;работает;высокая
"ООО ""Газпром добыча Ноябрьск"" ЦДКС Чаяндинского НГКМ";1;2016-2016;ООО «Газпром добыча Ноябрьск»;Россия;работает;высокая
"ООО ""Газпром добыча Ямбург"" ДКС Заполярного НГКМ";1;2016-2016;ООО «Газпром добыча Ямбург»;Россия;работает;высокая
"ООО ""Газпром добыча Надым"" ДКС Юбилейного НГКМ";1;2016-2016;ООО «Газпром добыча Надым»;Россия;работает;высокая
"ООО ""Газпром комплектация"" ДКС УКПГ-1АВ Уренгойского НГКМ";1;2017-2017;ООО «Газпром комплектация»;Россия;работает;высокая
"ООО ""Газпром комплектация"" ДКС УКПГ-8В Уренгойского НГКМ";1;2017-2017;ООО «Газпром комплектация»;Россия;работает;высокая
"ООО ""Газпром комплектация"" Юбилейное НГКМ";1;2017-2017;ООО «Газпром комплектация»;Россия;работает;высокая
"ООО Газпром трансгаз Ухта"" АО ""ОДК-ГТ"" КС Грязовецкая";1;2018-2018;ООО «Газпром трансгаз Ухта», компрессорная станция «Грязовец»;Россия;работает;высокая
"ООО ""Газпроминвест"" (Газпром трансгаз СПб) КС ""Славянская""";1;2018-2018;ООО «Газпром трансгаз Санкт-Петербург», компрессорная станция «Славянская»;Россия;работает;высокая
"ООО ""Газпром добыча Надым"" Бованенковского НГКМ, ГП3";1;2018-2018;ООО «Газпром добыча Надым»;Россия;работает;высокая
"ООО ""ЛУКОЙЛ-Западная Сибирь"" ДКС Находкинского месторождения";1;2018-2018;ООО «ЛУКОЙЛ-Западная Сибирь»;Россия;работает;высокая
"АО ""Арктикгаз"" ДКС ""Яро-Яхинского НГКМ""";1;2018-2018;Акционерное общество «Арктикгаз»;Россия;работает;высокая
