inn;zakazchik;data_nachala;vid_nadzora;oborudovanie;marka;nomer_zaklyucheniya;kompressor;sut;erpid
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-03-03;Федеральный государственный надзор в области промышленной безопасности;КА ст. № 3;;;нет;После повреждения необходимо техдиагностирование с оформлением заключения ЭПБ, в реестре не зарегистрировано;24260111000020947144
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-03-03;Федеральный государственный надзор в области промышленной безопасности;К/А ст. № 4;;;нет;После повреждения необходимо техдиагностирование с оформлением заключения ЭПБ, в реестре не зарегистрировано;24260111000020947322
5406323202;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""";2026-03-02;Федеральный государственный надзор в области промышленной безопасности;котлоагрегат ст. № 11;;;нет;Отключение действием защиты по погасанию факела из-за образования свища на поверхности нагрева;42260111000020932669
6501163102;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ННК-САХАЛИНМОРНЕФТЕГАЗ""";2026-02-27;Федеральный государственный надзор в области промышленной безопасности;насосы ЦНС 18,0-1900 (зав.№215 тех.№2, зав.№20079/001-1 тех.№3, зав.№20089/001-1 тех.№4);ЦНС 18,0-1900;77-ТУ-00202-2022;нет;Эксплуатация насосов после истечения срока действия заключения экспертизы промышленной безопасности (срок до 12.04.2025);65260111000020916140
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-02-26;Федеральный государственный надзор в области промышленной безопасности;К/А ст. № 6;;;;После инцидента и восстановительного ремонта не зарегистрирована экспертиза промышленной безопасности на техническое устройство;24260111000020900127
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-02-26;Федеральный государственный надзор в области промышленной безопасности;К – 11;;;;После инцидента и восстановительного ремонта не зарегистрирована экспертиза промышленной безопасности на техническое устройство;24260111000020900210
6501163102;"Общество с ограниченной ответственностью ""ННК-Сахалинморнефтегаз""";2026-02-20;Федеральный государственный надзор в области промышленной безопасности;арматура фонтанная колонная АФК65×210 (зав. №б/н, скважина №9), арматура фонтанная колонная АФК65×210 (зав. №б/н, скважина №24), арматура фонтанная колонная АФК65×210 (зав. №б/н, скважина №51), арматура фонтанная колонная АФК65×210 (зав. №б/н, скважина №52), арматура фонтанная колонная АФК65×210 (зав. №б/н, скважина №96), арматура фонтанная колонная АФК65×210;АФК65×210;;нет;эксплуатация технических устройств допускается в отсутствие положительного заключения экспертизы промышленной безопасности;65260111000020855526
6501163102;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ННК-САХАЛИНМОРНЕФТЕГАЗ""";2026-02-18;Федеральный государственный надзор в области промышленной безопасности;центробежные насосы ЦНС180х425 (зав.№№ б/н, тех.№№2, 3);ЦНС180х425;77-ТУ-00203-2022;нет;эксплуатация технических устройств для перекачки нефти в отсутствие положительного заключения экспертизы промышленной безопасности;65260111000020825861
7708503727;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";2026-02-18;Федеральный государственный надзор в области промышленной безопасности;площадка монтажная автомотрисы АДМ-1, зав. № 644;АДМ-1;;нет;внесено заключение экспертизы промышленной безопасности на техническое устройство в реестр;78260111000020837912
3127000014;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЛЕБЕДИНСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ""";2026-02-17;Федеральный государственный надзор в области промышленной безопасности;"клапан Тип 72.3 DN 10"" (технологическая позиция PV3504)";"72.3 DN 10""";;нет;Смонтирован и введён в эксплуатацию клапан, поставленный сторонней организацией под торговой маркой SAMSON, не поставлявшийся официальным представителем;36260111000020815133
7708503727;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";2026-02-13;Федеральный государственный надзор в области промышленной безопасности;воздухосборника В-2 зав. № 42308, рег. № 2994;В-2;;нет;отсутствуют сведения о заключении экспертизы промышленной безопасности, содержащего срок дальнейшей безопасной эксплуатации;78260111000020784621
8905000428;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМНЕФТЬ-НОЯБРЬСКНЕФТЕГАЗ""";2026-02-13;Федеральный государственный надзор в области промышленной безопасности;Сепаратор нефтегазовый (НГС-1-1,6-3000-2-ТИ), зав. №346, рег. №649;НГС-1-1,6-3000-2-ТИ;89-ТУ-689535-2026;нет;заключение экспертизы промышленной безопасности не соответствующее требованиям промышленной безопасности;72260111000020781320
8905000428;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМНЕФТЬ-НОЯБРЬСКНЕФТЕГАЗ""";2026-02-13;Федеральный государственный надзор в области промышленной безопасности;Сепаратор нефтегазовый (НГС-1-1,6-3000-2-ТИ), зав. №346, рег. №649;НГС-1-1,6-3000-2-ТИ;89-ТУ-683659-2026;нет;заключение экспертизы промышленной безопасности не соответствующее требованиям промышленной безопасности;72260111000020781358
7708503727;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""";2026-02-13;Федеральный государственный надзор в области промышленной безопасности;воздухосборника ВВ-6,3 зав. №19093 уч. №02936;ВВ-6,3;;нет;отсутствуют сведения о заключении экспертизы промышленной безопасности, содержащих срок дальнейшей безопасной эксплуатации;78260111000020782123
2460220440;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КРАСНОЯРСККРАЙГАЗ""";2026-02-12;Федеральный государственный надзор в области промышленной безопасности;ОРПД заводские номера 10350, 10355, 11461, 11464, 11806, 2574, 2581;;;нет;заключения ЭПБ в отношении ОРПД не внесены в реестр;24260111000020768015
6501163102;"Общество с ограниченной ответственностью ""ННК-Сахалинморнефтегаз""";2026-02-10;Федеральный государственный надзор в области промышленной безопасности;арматура фонтанная АФК 65х21 зав.№б/н, рег.№50;АФК 65х21;028/06-24-ТУ/НГ/1248/048;нет;эксплуатация арматуры фонтанной допускается с истёкшим сроком безопасной эксплуатации (до 15.04.2025);65260111000020736371
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-02-09;Федеральный государственный надзор в области промышленной безопасности;КА ст. № 7;;;;дальнейшая эксплуатация КА ст. № 7 после инцидента возможна только после прохождения технического диагностирования с оформлением заключения экспертизы промышленной безопасности;24260111000020722529
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-02-05;Федеральный государственный надзор в области промышленной безопасности;техническое устройство К/А ст. № 3;;;нет;Необходимо прохождение технического диагностирования с оформлением заключения экспертизы промышленной безопасности после проведения восстановительного ремонта оборудования в связи с повреждением 05.01.2026;24260111000020693152
4823006703;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОЛИПЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""";2026-02-04;Федеральный государственный надзор в области промышленной безопасности;накладной вагонный вибратор № 4, инв.№ 98696;;48-ТУ-600556-2025;нет;техническое устройство не соответствует требованиям промышленной безопасности;36260111000020659372
8608049090;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БУРОВАЯ КОМПАНИЯ ""ЕВРАЗИЯ""";2026-02-02;Федеральный государственный надзор в области промышленной безопасности;буровой установки ZJ-50 DBS, зав № 2010-010F;ZJ-50 DBS;;нет;;34260111000020657474
6317130144;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОССИЙСКАЯ ИННОВАЦИОННАЯ ТОПЛИВНО-ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-02-02;Федеральный государственный надзор в области промышленной безопасности;буровой установки ZJ-50 DBS, зав № 2010-010F;ZJ-50 DBS;;нет;;34260111000020657611
1121003135;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЫКТЫВКАРСКИЙ ЛПК""";2026-01-30;Федеральный государственный надзор в области промышленной безопасности;вновь смонтированных паропроводов на ТЭЦ АО «СЛПК»;;;нет;вместо документов, подтверждающих соответствие требованиям ТР ТС 032/2013, рассматривались исключительно заключения экспертизы промышленной безопасности;11260111000020640572
5103070023;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АПАТИТ""";2026-01-30;Федеральный государственный надзор в области промышленной безопасности;сборник кислых конденсатов, поз.№ТК316;;;нет;Отсутствует действующее положительное заключение экспертизы промышленной безопасности на сборник кислых конденсатов;78260111000020640269
4823006703;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОЛИПЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ""";2026-01-30;Федеральный государственный надзор в области промышленной безопасности;трубопровод доменного газа на КХП рег. №285, инв.№30851;;;нет;Технические устройства не соответствуют требованиям промышленной безопасности;36260111000020656293
8904034777;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";2026-01-29;Федеральный государственный надзор в области промышленной безопасности;Кран гидравлический на специальном шасси автомобильного типа АС 265 ТТ DEMAG, зав. № 38212, учёт. № 2196-НУ, инв. № 65000285;АС 265 ТТ DEMAG;89-ТУ-631682-2026;нет;заключение экспертизы промышленной безопасности на техническое устройство не соответствует требованиям промышленной безопасности;72260111000020618192
6501163102;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ННК-САХАЛИНМОРНЕФТЕГАЗ""";2026-01-28;Федеральный государственный надзор в области промышленной безопасности;газосепаратор ГС2-25-1200 (зав.№3910, рег.№236);ГС2-25-1200;77-ЗС-00007-2025;нет;эксплуатация оборудования в отсутствие положительного заключения экспертизы промышленной безопасности, срок безопасной эксплуатации истёк 06.08.2025;65260111000020598533
0268008010;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""";2026-01-27;Федеральный государственный надзор в области промышленной безопасности;емкости поз. 102, зав. № 62830, рег.№ 07222 цеха № 4;;41-ТУ-20394-2020;нет;истечение срока безопасной эксплуатации;59260111000020529354
0268008010;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""";2026-01-27;Федеральный государственный надзор в области промышленной безопасности;емкости поз. 6, зав. № 727054, рег.№ 07086 цеха № 4;;41-ТУ-20757-2020;нет;истечение срока безопасной эксплуатации;59260111000020528465
0268008010;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""";2026-01-27;Федеральный государственный надзор в области промышленной безопасности;бурак поз. Р-2/5а, зав. № 1211, рег.№ 08976 цеха № 4;;41-ТУ-18430-2020;нет;истечение срока безопасной эксплуатации;59260111000020529632
0268008010;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""";2026-01-27;Федеральный государственный надзор в области промышленной безопасности;емкости поз. 105, зав. № 60527, рег.№ 0479х цеха № 4;;41-ТУ-20754-2020;нет;истечение срока безопасной эксплуатации;59260111000020529183
0268008010;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАШКИРСКАЯ СОДОВАЯ КОМПАНИЯ""";2026-01-27;Федеральный государственный надзор в области промышленной безопасности;резервуар поз. ТК-512А, зав. № б/н, рег.№ 08763 цеха № 4;;41-ТУ-17276-2018;нет;истечение срока безопасной эксплуатации;59260111000020543943
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-01-26;Федеральный государственный надзор в области промышленной безопасности;технического устройства К – 6;;;нет;необходима экспертиза промышленной безопасности после ремонта, не зарегистрирована;24260111000020571525
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-01-26;Федеральный государственный надзор в области промышленной безопасности;технического устройства К-14;;;нет;необходима экспертиза промышленной безопасности после ремонта, не зарегистрирована;24260111000020571404
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-01-26;Федеральный государственный надзор в области промышленной безопасности;техническое устройство К – 8;К-8;;нет;требуется прохождение технического диагностирования с оформлением заключения ЭПБ после восстановительного ремонта оборудования после инцидента, экспертиза в реестре не зарегистрирована;24260111000020573497
6829012680;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РИР ЭНЕРГО""";2026-01-22;Федеральный государственный надзор в области промышленной безопасности;паровой котел ТП-230-1, ст.№4 рег. №12724;ТП-230-1;;нет;отсутствие положительных заключений экспертиз промышленной безопасности по продлению срока службы;71260111000020550560
3808229774;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""";2026-01-20;Федеральный государственный надзор в области промышленной безопасности;КА ст. № 4;;;нет;Необходимо прохождение технического диагностирования с оформлением заключения ЭПБ после восстановительного ремонта, экспертиза в реестре не зарегистрирована;24260111000020511899
7704784450;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";2026-01-14;Федеральный государственный надзор в области промышленной безопасности;Насосный агрегат на базе центробежного насоса марки 10НД-6х1, поз. ННМ-1, зав. № 590;10НД-6х1;;нет;не подтвержден срок безопасной эксплуатации (имеется отрицательное заключение экспертизы промышленной безопасности);77260111000020463649
7704784450;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТЕР РАО-ЭЛЕКТРОГЕНЕРАЦИЯ""";2026-01-14;Федеральный государственный надзор в области промышленной безопасности;насосный агрегат на базе центробежного насоса марки 10НД-6х1, поз. НРМ-1, зав. № 917;10НД-6х1;;нет;не подтвержден срок безопасной эксплуатации (имеется отрицательное заключение экспертизы промышленной безопасности);77260111000020464047
6315376946;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т ПЛЮС""";2026-01-12;Федеральный государственный надзор в области промышленной безопасности;деаэратор низкого давления ДНД ст. № 2, V=15 м3, Р=0,6 МПа, зав. № 910;ДНД;;нет;;16260111000020441438
