tender_id;company_id;company;predmet;sozdan;organizator;est_teh;telefony_razmetka;telefony_tekst;pochty;comment
977168;16537;Комбинат Магнезит;"Приобретение запчастей на компрессор ДЭН-160 для филиала ООО ""Группа ""Магнезит"" пгт.Раздолинск (id977168)";05.12.2024;ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ПО ПРОИЗВОДСТВУ ОГНЕУПОРОВ КОМБИНАТ МАГНЕЗИТ;;;;nkhramtsova@magnezit.com;"Комментарий: Требуемые условия и порядок оплаты : Цена указывается в рублях с учетом всех налогов и сборов. Обязательным условием является предоставление отсрочки платежа не менее 40-90 календарных дней с момента поставки. Требования к предоставлению документов: &nbsp;для заключения договора необходимы: свидетельство о государственной регистрации, свидетельство о постановке на учет в налоговом органе, справка обслуживающего банка о наличии или отсутствии картотеки контрагента,&nbsp;последний бухгалтерский баланс. Обязательно прикладывать коммерческое предложение! Требования к качеству товара : заводского изготовления, ГОСТ, ТУ, сертификат соответствия, паспорт качества &ndash; требуется. Транспортные расходы: &nbsp;доставка груза до склада Покупателя в Красноярске или до ТТК Красноярска включена в цену. Предложение: &nbsp;Поставщик должен в своих комментариях указать все дополнительные расходы, связанные с поставкой товара. Указать также, является ли Поставщик плательщиком НДС, или пользуется льготой в соответствии со ст.149 Налогового Кодекса РФ. Необходимо рассмотреть возможность фиксации цены на срок, не менее 1 года. Доставка до: 660015,Россия, Красноярск, п.Солонцы, ул.Новая, 38. График поставки и количество согласовывается с победителем тендера отдельно. Все возникающие вопросы обсуждаются с покупателем. Не корректно внесенные предложения тендерной комиссией не рассматриваются. Обязательно сразу указыват минимальные цены! Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств, превышающих перечисленные в условиях конкурса. На предприятии проводится входной контроль количества и качества приобретаемых ТМЦ. Вывоз несоответствующей продукции за счет поставщика. Контактные лица: Храмцова Наталья Александровна - старший специалист УФЭиА, тел. 8(35161) 9-48-68, nkhram"
976148;350249;Инженерно-Строительная Компания;"Поставка винтового компрессора (Производительность pmax 10 бар м&#179;/мин 16,3) (id976148)";03.12.2024;"Общество с ограниченной ответственностью ""Инженерно-Строительная Компания""";1;;8-(495)215-14-38 | 8 800 234 56 40 | 8 495 221 33 72 | 8 915 224 56 40;signal@rusal.com;"Комментарий: При подаче предложения в обязательном порядке необходимо приложить ТКП с полным детальным описанием оборудования. Предложения без технического описания рассматриваться не будут. Стоимость должна включать в себя затраты Поставщика на доставку оборудования до склада Заказчика. Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Информация от управляющего отбором по условиям отбора и предмету закупки: приложить подробную техническую информацию (паспорта, сертификаты, РД т.п.) Сертификат соответствия, паспорт качества - требуется. Особые требования к предоставлению документов - Заявка на участие по форме Приложения №1, заверенная подписью уполномоченного лица и печатью организации. Требуемые условия оплаты по факту поставки 60 к.д. (без овансовых платижей) Обращаем Ваше внимание, что при подведении итогов стоимость предложений участников отбора будет рассчитана с учетом отвлечения денежных средств. &nbsp; Вы вправе предоставить любую информацию и документы, подтверждающие Вашу положительную деловую репутацию, опыт и устойчивое финансовое положение. (указать организационно правовую форму и наименование организатора отбора) оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректировать и предоставить свои окончательные заявки. Каждый поставщик или подрядчик, при условии соответствия заявленным требованиям, имеет возможность принять участие в отборе на 2023г. в течение всего периода отбора. Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящее приглашение н"
976040;51053;Химпром (Новочебоксарск);Закупка запчастей для компрессора на компрессор 4М10-40/70 ц.75/ заявка 63438 в 2024 году (id974546) (2-й этап торгов) (id976040);03.12.2024;ПАО ХИМПРОМ;;;8965685 71 81;e.igumnova@himprom.com;Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Закупка запчастей для компрессора на компрессор 4М10-40/70 ц.75/ заявка 63438 в 2024 году (id974546) Консультации по телефону: Игумнова Елена 8965685 71 81, e.igumnova@himprom.com Процедура закупки не является торгами (конкурсом, аукционом) или публичным конкурсом в соответствии со статьями 447 449, 1057 1061 Гражданского кодекса Российской Федерации и не накладывает на Организатора закупки обязательств, установленных указанными статьями Гражданского кодекса Российской Федерации, в том числе по обязательному заключению Договора с Победителем (по итогам процедуры закупки у Организатора возникает право, а не обязанность по заключению Договора с Победителем)
975972;46348;Руссоль;"Открытый аукцион на закупку запасных частей для компрессора для ЦДПС Илецксоль ООО ""Руссоль"" на февраль 2025 г (id975972)";03.12.2024;"Общество с ограниченной ответственностью ""Руссоль""";1;;;tender@russalt.ru | gladishev@russalt.ru;"Комментарий: Условия оплаты: отсрочка платежа 10 банковских дней Условия контракта - по форме Покупателя&nbsp; В стоимость товара должна быть включена доставка до терминала транспортной компании г. Оренбурга Уважаемые дамы и господа! В случае, если Ваша компания заинтересована принять участие в данном тендере, необходимо выслать на E-mail: tender@russalt.ru - Заявка на участие в тендере; - Согласие с условиями нашего договора; Контактное лицо: &nbsp; - по техническим вопросам: специалист ОМТО Гладышев Алексей, тел: (3532)34-24-05, E-mail: gladishev@russalt.ru Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств, превышающих перечисленные в условиях конкурса."""
975072;2953;КАМАЗ;"Компрессор инв.№1409010010162, 1996 год выпуска (Имущество АО ""СААЗ"", Рязанская область, с. Чулково) (15704) (id975072)";29.11.2024;Публичное акционерное общество КАМАЗ;;;8(8552) 37-30-32;;"Комментарий: Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются&nbsp;преддоговорной работой и не накладывают на организатора обязательств, превышающих перечисленные в условиях конкурса. Требуемые условия оплаты - предоплата 100%. Особые требования к предоставлению документов - предоставление всех необходимых документов; Для бесплатного участия в аукционе необходимо обратиться к огранизатору 8(8552) 37-30-32&nbsp; Функционал и настройка конкурса позволяет участнику подать любое ценовое предложение не ниже стартовой цены. Последующее увеличение цены предложения участником не может быть ниже одного шага от текущей лучшей цены в конкурсе &nbsp; &nbsp;"
974704;263938;РУСАЛ Новокузнецк;Закупка для АО РУСАЛ Новокузнецк: Компрессор ПК 5,25А для тепловоза ТГМ4Б №0923 (id970174) (3-й этап торгов) (id974704);29.11.2024;Акционерное общество РУСАЛ НОВОКУЗНЕЦК;1;;+7 (495) 215-14-38;client@tender.pro;"Комментарий: Данный тендер открыт как 3-й этап торгов к тендеру Закупка для АО РУСАЛ Новокузнецк: Компрессор ПК 5,25А для тепловоза ТГМ4Б №0923 (id970174) Предмет закупки: Подробная информация о предмете закупки размещена на вкладках ""Товары"" и ""Файлы"". Предложения принимаются через ЭТП Tender . Pro Адрес и сроки доставки товара: доставка силами поставщика до терминала Транспортной компании в г. Новокузнецк либо до склада АО &ldquo;РУСАЛ Новокузнецк&rdquo; г. Новокузнецк, Кемеровская область, ул. Малоэтажная ,2а Срок и порядок оплаты поставки товара: Оплата по факту поставки в течение 60 календарных дней.&nbsp; Рассмотрим иные варианты оплаты (указать в коммерческом предложении и на вкладке ""Анкета участника""). Договор по форме Покупателя. В цену включать транспортные расходы&nbsp;до г. Новокузнецка. &nbsp; Особые требования к качеству товара &ndash; товар должен соответствовать обязательным требованиям технических регламентов, действующих стандартов, технических условий и другим обязательным для данного товара требованиям. Последовательность подачи предложения: &nbsp; 1). Заполнить вкладку ""Анкета участника"" (обязательно!) 2). Прикрепить ТКП с указанием всей информации, включая техническое описание 3). Указать цену на вкладке ""Товары"" Обязательно указать полную стоимость поставки товара с учетом стоимости доставки и сопутствующих затрат! Обратите внимание на Дату и время перевода на согласование! Время московское! Контакты: По вопросам, касающимся предмета и условий закупки обращайтесь, пожалуйста, к контактному лицу Заказчика (просьба учитывать разницу во времени, так как контактное лицо находится в г. Новокузнецке, +4 мск), контакты указаны в поле ""Управляющий"". И/или задавайте вопросы на вкладке ""Вопросы-Ответы"" - они будут автоматически направляться на электронный адрес управляющего. &nbsp; По вопросам подачи предложения на ЭТП Tender.Pro обращайтесь, пожалуйста, в круглосуточную службу поддержки по тел.: +7 (495) 215-14-38, электронная почта: client@tender.pro"
974700;450776;САД;Закупка масляных Компрессоров сжатого воздуха 160кВт (id969360) (2-й этап торгов) (id974700);29.11.2024;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СИБИРСКИЕ АЛЮМИНИЕВЫЕ ДИСКИ;;;8-(495)215-14-38 | 8 800 234 56 40 | 8 495 221 33 72 | 8 915 224 56 40;signal@rusal.com;Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Закупка масляных Компрессоров сжатого воздуха 160кВт (id969360) Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. Информация от управляющего отбором по условиям отбора и предмету закупки: Требуемые условия оплаты Прочая информация Обращаем Ваше внимание, что при подведении итогов стоимость предложений участников отбора будет рассчитана с учетом отвлечения денежных средств. Вы вправе предоставить любую информацию и документы, подтверждающие Вашу положительную деловую репутацию, опыт и устойчивое финансовое положение. (указать организационно правовую форму и наименование организатора отбора) оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректировать и предоставить свои окончательные заявки. Каждый поставщик или подрядчик, при условии соответствия заявленным требованиям, имеет возможность принять участие в отборе на 20__г. в течение всего периода отбора. Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящее приглашение не является офертой (ст. 435 ГК РФ) или акцептом / ответом о принятии оферты (ст. 438 ГК РФ). Настоящее приглашение не является публичной офертой или приглашением делать оферты (ст. 437 ГК РФ). Настоящий отбор не является торгами (в том числе в форме конкурса, аукциона или в иной форме) или публичным конкурсом в соответствии со статьями
974546;51053;Химпром (Новочебоксарск);Закупка запчастей для компрессора на компрессор 4М10-40/70 ц.75/ заявка 63438 в 2024 году (id974546);28.11.2024;ПАО ХИМПРОМ;;;8965685 71 81;e.igumnova@himprom.com;Комментарий: Консультации по телефону: Игумнова Елена 8965685 71 81, e.igumnova@himprom.com Процедура закупки не является торгами (конкурсом, аукционом) или публичным конкурсом в соответствии со статьями 447 449, 1057 1061 Гражданского кодекса Российской Федерации и не накладывает на Организатора закупки обязательств, установленных указанными статьями Гражданского кодекса Российской Федерации, в том числе по обязательному заключению Договора с Победителем (по итогам процедуры закупки у Организатора возникает право, а не обязанность по заключению Договора с Победителем)
974208;338480;Филиал ИСО в г. Ачинск;Отбор на запчасти к компрессору (id940617) (3-й этап торгов) (id974208);28.11.2024;Филиал ООО ИСО в г. Ачинск;;;8-(495)215-14-38;;Комментарий: Данный тендер открыт как 3-й этап торгов к тендеру Отбор на запчасти к компрессору (id940617) Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. Информация от управляющего отбором по условиям отбора и предмету закупки: Требуемые условия оплаты Прочая информация Вы вправе предоставить любую информацию и документы, подтверждающие Вашу положительную деловую репутацию, опыт и устойчивое финансовое положение. (указать организационно правовую форму и наименование организатора отбора) оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректировать и предоставить свои окончательные заявки. Каждый поставщик или подрядчик, при условии соответствия заявленным требованиям, имеет возможность принять участие в отборе на 20__г. в течение всего периода отбора. Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящее приглашение не является офертой (ст. 435 ГК РФ) или акцептом / ответом о принятии оферты (ст. 438 ГК РФ). Настоящее приглашение не является публичной офертой или приглашением делать оферты (ст. 437 ГК РФ). Настоящий отбор не является торгами (в том числе в форме конкурса, аукциона или в иной форме) или публичным конкурсом в соответствии со статьями 447449, 10571061 Гражданского кодекса Российской Федерации (ГК РФ), и не накладывает на ________(указать организационно правовую форму и наименование организатора от
973738;46348;Руссоль;"Открытый аукцион на закупку запчастей для компрессоров и пневматических линий для ООО ""Руссоль"" ЦДПС Усолье в июне 2025 г. (id973738)";27.11.2024;"Общество с ограниченной ответственностью ""Руссоль""";;;8(3532)34-23-63;lukina@russalt.ru;Комментарий: УВАЖАЕМЫЕ УЧАСТНИКИ, ОБРАЩАЕМ ВАШЕ ВНИМАНИЕ - УЧАСТИЕ В ТЕНДЕРЕ ПО НАШЕМУ ПРИГЛАШЕНИЮ БЕСПЛАТНО АНАЛОГИ НЕ РАССМАТРИВАЮТСЯ. В стоимость товара должна быть включена доставка до терминала транспортной компании г. Иркутск Требуемые условия оплаты - отсрочка платежа 15 банковских дней. Особые требования к качеству товара - да. Особые требования к предоставлению документов - да. Сертификат соответствия,паспорт качества - требуется. Требования к форме контракта - по форме покупателя. Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств,превышающих перечисленные в условиях конкурса. По всем вопросам обращаться к Лукиной Валентине Александровне, тел. 8(3532)34-23-63, e-mail: lukina@russalt.ru
973678;51053;Химпром (Новочебоксарск);Выполнение работ по проектам : № 1009.00.000-КР Компрессорный агрегат цеха № 56. Опорная система трубопроводов компрессора №5 цеха № 56 , № 26802-102Б Реконструкция опор трубопроводов реакционного газа. (id958379) (2-й этап торгов) (id973678);27.11.2024;ПАО ХИМПРОМ;;;+7(8352)73-55-55;usr65992@himprom.com | v.krp@himprom.com;Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Выполнение работ по проектам : № 1009.00.000-КР Компрессорный агрегат цеха № 56. Опорная система трубопроводов компрессора №5 цеха № 56 , № 26802-102Б Реконструкция опор трубопроводов реакционного газа. (id958379) Консультации по телефону: Молостовкин Сергей Юрьевич тел. +7(8352)73-55-55 (доб. 60-30) usr65992@himprom.com Владимир Витальевич Карпов v.krp@himprom.com тел. +7(8352)73-55-55 (доб. 60-96) Процедура закупки не является торгами (конкурсом, аукционом) или публичным конкурсом в соответствии со статьями 447 449, 1057 1061 Гражданского кодекса Российской Федерации и не накладывает на Организатора закупки обязательств, установленных указанными статьями Гражданского кодекса Российской Федерации, в том числе по обязательному заключению Договора с Победителем (по итогам процедуры закупки у Организатора возникает право, а не обязанность по заключению Договора с Победителем)
973477;263938;РУСАЛ Новокузнецк;Закупка для АО РУСАЛ Новокузнецк: Компрессор ПК 5,25А для тепловоза ТГМ4Б №0923 (id970174) (2-й этап торгов) (id973477);27.11.2024;Акционерное общество РУСАЛ НОВОКУЗНЕЦК;1;;+7 (495) 215-14-38;client@tender.pro;"Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Закупка для АО РУСАЛ Новокузнецк: Компрессор ПК 5,25А для тепловоза ТГМ4Б №0923 (id970174) Предмет закупки: Подробная информация о предмете закупки размещена на вкладках ""Товары"" и ""Файлы"". Предложения принимаются через ЭТП Tender . Pro Адрес и сроки доставки товара: доставка силами поставщика до терминала Транспортной компании в г. Новокузнецк либо до склада АО &ldquo;РУСАЛ Новокузнецк&rdquo; г. Новокузнецк, Кемеровская область, ул. Малоэтажная ,2а Срок и порядок оплаты поставки товара: Оплата по факту поставки в течение 60 календарных дней.&nbsp; Рассмотрим иные варианты оплаты (указать в коммерческом предложении и на вкладке ""Анкета участника""). Договор по форме Покупателя. В цену включать транспортные расходы&nbsp;до г. Новокузнецка. &nbsp; Особые требования к качеству товара &ndash; товар должен соответствовать обязательным требованиям технических регламентов, действующих стандартов, технических условий и другим обязательным для данного товара требованиям. Последовательность подачи предложения: &nbsp; 1). Заполнить вкладку ""Анкета участника"" (обязательно!) 2). Прикрепить ТКП с указанием всей информации, включая техническое описание 3). Указать цену на вкладке ""Товары"" Обязательно указать полную стоимость поставки товара с учетом стоимости доставки и сопутствующих затрат! Обратите внимание на Дату и время перевода на согласование! Время московское! Контакты: По вопросам, касающимся предмета и условий закупки обращайтесь, пожалуйста, к контактному лицу Заказчика (просьба учитывать разницу во времени, так как контактное лицо находится в г. Новокузнецке, +4 мск), контакты указаны в поле ""Управляющий"". И/или задавайте вопросы на вкладке ""Вопросы-Ответы"" - они будут автоматически направляться на электронный адрес управляющего. &nbsp; По вопросам подачи предложения на ЭТП Tender.Pro обращайтесь, пожалуйста, в круглосуточную службу поддержки по тел.: +7 (495) 215-14-38, электронная почта: client@tender.pro"
973400;2953;КАМАЗ;"АО ""ТФК""КАМАЗ"" реализует компрессор К-1 инв. №41403000 г.в.2004 состояние неудовлетворительное и компрессор ПКС-3,5 передвижной инв.№ 417063000 г.в.2006 состояние неудовлетворительное (id973400)";26.11.2024;Публичное акционерное общество КАМАЗ;;;88552) 37-18-61;;"Комментарий: Требуемые условия оплаты - предоплата 100% в течение 5 рабочих дней после подписания договора; Требования к форме договора - по форме продавца; Требования к предъявляемой документации - предоставить все необходимые документы; Для бесплатного доступа к тендеру необходимо&nbsp;обратиться к ответственному&nbsp;(88552) 37-18-61 Контакты АО ""ТФК"" Альфия Рафкатовна 55-15-44 При неисполнения условий договора победитель тендера к повторным торгам не допускается. При двукратном неисполнении условий договора контрагент ко всем торгам ПАО ""КАМАЗ"" не допускается. Самовывоз.&nbsp; Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются&nbsp;преддоговорной работой и не накладывают на организатора обязательств,превышающих перечисленные в условиях конкурса. ВНИМАНИЕ: Необходимо ознакомиться&nbsp;с правилами пропускного режима, размещенного во вкладке ""Документы"". Затем во вкладке ""Анкета"" необходимо выбрать ""Ознакомлен"" и ""Сохранить Анкету"". После этого можно переходить к подаче предложения. &nbsp; &nbsp; &nbsp;"
973368;132952;Филиал Завод ТЕХНО г. Красный Сулин;Закупка и пуско-наладочные работы компрессора Atlas Copco GA 37 VSDS (id973368);26.11.2024;"ООО ""Завод ТЕХНО""";;;;;Комментарий: Требуемые условия оплаты - Аванс 30%, доплата - 70 % или лучше. Особые требования к качеству товара - нет. Особые требования к предоставлению документов - нет. Сертификат соответствия,паспорт качества - требуется. Требования к форме контракта - по форме покупателя. Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств,превышающих перечисленные в условиях конкурса.
972633;50094;ИРЗ-Ринкос;Приобретение компрессора (id966418) (2-й этап торгов) (id972633);25.11.2024;Общество с ограниченной ответственностью ИРЗ-Ринкос;;;8 3412 500160;ae.sorokin@irz.ru | doverie@irz.ru;"Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Приобретение компрессора&nbsp; (id966418) Сорокин Александр 8 3412 500160 ae.sorokin@irz.ru по вопросам просьба писать на почту Требуемые условия оплаты - 50/50%. Особые требования к качеству товара - нет. Особые требования к предоставлению документов - нет. Сертификат соответствия,паспорт качества - требуется. Требования к форме контракта - по форме покупателя. Данный запрос предложений не является торгами или публичным конкурсом в понимании ст. 447-449,1057-1061 ГК РФ. Все действия до момента подписания договора с победителем конкурса считаются преддоговорной работой и не накладывают на организатора обязательств,превышающих перечисленные в условиях конкурса. Управление безопасности АО ""ИРЗ"" При наличии признаков ограничения конкуренции в проведении данной закупочной процедуры, просим направить информацию на ""Горячую линию безопасности Акционерного общества ""Ижевский радиозавод"" doverie@irz.ru"
972151;51053;Химпром (Новочебоксарск);Закупка запчастей для компрессора КТК-12,5/35 (id968989) (2-й этап торгов) (id972151);22.11.2024;ПАО ХИМПРОМ;;;8965685 71 81;e.igumnova@himprom.com;"Комментарий: Данный тендер открыт как 2-й этап торгов к тендеру Закупка запчастей для компрессора КТК-12,5/35&nbsp; (id968989) Консультации по телефону: Игумнова Елена 8965685 71 81, e.igumnova@himprom.com Процедура закупки не является торгами (конкурсом, аукционом) или публичным конкурсом в соответствии со статьями 447 449, 1057 1061 Гражданского кодекса Российской Федерации и не накладывает на Организатора закупки обязательств, установленных указанными статьями Гражданского кодекса Российской Федерации, в том числе по обязательному заключению Договора с Победителем (по итогам процедуры закупки у Организатора возникает право, а не обязанность по заключению Договора с Победителем)"
972050;51053;Химпром (Новочебоксарск);Выполнение работ по подводу речной воды для охлаждения компрессоров М-538а/1-2 (id923306) (5-й этап торгов) (id972050);22.11.2024;ПАО ХИМПРОМ;;;+7(8352) 73-54-63 | +7 (905) 341-10-15;egorov@himprom.com;Комментарий: Данный тендер открыт как 5-й этап торгов к тендеру Выполнение работ по подводу речной воды для охлаждения компрессоров М-538а/1-2 (id923306) Консультации по телефону: Егоров Евгений Валерьевич, тел.: +7(8352) 73-54-63. внутр: 5463 Моб.: +7 (905) 341-10-15. e-mail: egorov@himprom.com Процедура закупки не является торгами (конкурсом, аукционом) или публичным конкурсом в соответствии со статьями 447 449, 1057 1061 Гражданского кодекса Российской Федерации и не накладывает на Организатора закупки обязательств, установленных указанными статьями Гражданского кодекса Российской Федерации, в том числе по обязательному заключению Договора с Победителем (по итогам процедуры закупки у Организатора возникает право, а не обязанность по заключению Договора с Победителем)
971513;334356;РУСАЛ Саяногорск;Закупка для АО РУСАЛ Саяногорск: фильтра к компрессорам Самсунг г. Саяногорск, поставка до 28 декабря 2024г. Заявки принимаются на ЭТП Tender.Pro (бесплатная регистрация, ЭП не требуется) (id971513);21.11.2024;"Акционерное общество ""РУСАЛ Саяногорский Алюминиевый Завод""";;;8-(495)215-14-38 | 8 800 234 56 40 | 8 495 221 33 72 | 8 915 224 56 40;signal@rusal.com;Комментарий: Заявки принимаются строго через ЭТП Tender.pro http s ://www.tender.pro/ По вопросам регистрации/работы на ЭТП просьба обращаться в Центр ТендерПро-Консультант, круглосуточно 8-(495)215-14-38 http://help.tender.pro/contacts.html Связаться с управляющим процедурой можно через вкладку Вопросы-Ответы - информация будет автоматически направлена на электронную почту управляющего. Информация от управляющего отбором по условиям отбора и предмету закупки: Требуемые условия оплаты Прочая информация Обращаем Ваше внимание, что при подведении итогов стоимость предложений участников отбора будет рассчитана с учетом отвлечения денежных средств. Вы вправе предоставить любую информацию и документы, подтверждающие Вашу положительную деловую репутацию, опыт и устойчивое финансовое положение. (указать организационно правовую форму и наименование организатора отбора) оставляет за собой право, при невозможности определения наилучшей заявки и в целях равных конкурентных условий для всех участников конкурентного отбора, направить в адрес всех участников отбора список минимальных цен (без указания поставщиков, предложивших данные цены) и предложить всем участникам конкурентного отбора скорректировать и предоставить свои окончательные заявки. Каждый поставщик или подрядчик, при условии соответствия заявленным требованиям, имеет возможность принять участие в отборе на 20__г. в течение всего периода отбора. Отбор, в том числе отдельные его стадии, не являются переговорами о заключении договора (ст. 434.1 ГК РФ). Настоящее приглашение не является офертой (ст. 435 ГК РФ) или акцептом / ответом о принятии оферты (ст. 438 ГК РФ). Настоящее приглашение не является публичной офертой или приглашением делать оферты (ст. 437 ГК РФ). Настоящий отбор не является торгами (в том числе в форме конкурса, аукциона или в иной форме) или публичным конкурсом в соответствии со статьями 447449, 10571061 Гражданского кодекса Российской Федерации (ГК РФ), и не накладывает на Участников Группы, в том ч
