url;h1;группа;статья;знаков;позиций_в_razdele;флаги
/catalog/vozdushnye-kompressory/po-tipu/vysokogo-davleniya/atmos/;Компрессоры высокого давления Atmos;ВК / po-tipu;ours;4868;8;DESC_ДЛИНА_199
/catalog/vozdushnye-kompressory/po-tipu/vysokogo-davleniya/dali/;Компрессоры высокого давления DALI;ВК / po-tipu;ours;5004;26;DESC_ДЛИНА_198
/catalog/vozdushnye-kompressory/po-tipu/vysokogo-davleniya/et-compressors/;Компрессоры высокого давления ET Compressors;ВК / po-tipu;ours;4020;19;DESC_ДЛИНА_208
/catalog/vozdushnye-kompressory/po-tipu/vysokogo-davleniya/remeza/;Компрессоры высокого давления Remeza;ВК / po-tipu;ours;4551;9;DESC_ДЛИНА_200
/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/spiralnye_1/das/;Спиральные безмасляные компрессоры DAS;ВК / po-tipu-smazki;ours;4800;13;TITLE_ДЛИНА_71|DESC_ДЛИНА_208
/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/spiralnye_1/fini/;Спиральные безмасляные компрессоры Fini;ВК / po-tipu-smazki;ours;4909;27;
/catalog/vozdushnye-kompressory/po-tipu-smazki/bezmaslyanye_1/spiralnye_1/lupamat/;Спиральные безмасляные компрессоры LUPAMAT;ВК / po-tipu-smazki;ours;4679;27;TITLE_ДЛИНА_75|DESC_ДЛИНА_212
/catalog/vozdushnye-kompressory/225-to-225/;Воздушные компрессоры 225 кВт;ВК / бренд или параметр;ours;4106;14;
/catalog/vozdushnye-kompressory/ariacom/;Воздушные компрессоры Ariacom;ВК / бренд или параметр;ours;4684;24;
/catalog/vozdushnye-kompressory/belarus/;Воздушные компрессоры Беларусь;ВК / бренд или параметр;none;0;23;НЕТ_СТАТЬИ|DESC_ДЛИНА_171
/catalog/vozdushnye-kompressory/bez-resivera/;Воздушные компрессоры без ресивера;ВК / бренд или параметр;ours;4304;24;
/catalog/vozdushnye-kompressory/chekhiya/;Воздушные компрессоры Чехия;ВК / бренд или параметр;ours;4542;23;DESC_ДЛИНА_168
/catalog/vozdushnye-kompressory/germaniya-rossiya/;Воздушные компрессоры Германия-Россия;ВК / бренд или параметр;ours;4357;23;TITLE_ДЛИНА_77|DESC_ДЛИНА_178
/catalog/vozdushnye-kompressory/gretsiya/;Воздушные компрессоры Греция;ВК / бренд или параметр;ours;3998;15;DESC_ДЛИНА_169
/catalog/vozdushnye-kompressory/italiya-kitay/;Воздушные компрессоры Италия-Китай;ВК / бренд или параметр;ours;4861;23;TITLE_ДЛИНА_74|DESC_ДЛИНА_175
/catalog/vozdushnye-kompressory/kompressory-6-bar/;Воздушные компрессоры 6 бар;ВК / бренд или параметр;ours;4530;24;
/catalog/vozdushnye-kompressory/kompressory-bazovoe-ispolnenie/;Воздушные компрессоры базового исполнения;ВК / бренд или параметр;ours;4000;24;
/catalog/vozdushnye-kompressory/kompressory-s-resiverom-400-l/;Компрессоры с ресивером 400 л;ВК / бренд или параметр;ours;4715;24;TITLE_ДЛИНА_72|DESC_ДЛИНА_216
/catalog/vozdushnye-kompressory/shvetsiya/;Воздушные компрессоры Швеция;ВК / бренд или параметр;ours;3614;23;DESC_ДЛИНА_169
/catalog/vozdushnye-kompressory/sas/;Воздушные компрессоры СаС;ВК / бренд или параметр;ours;4947;24;
/catalog/vozdushnye-kompressory/souair/;Воздушные компрессоры SOUAIR;ВК / бренд или параметр;ours;4223;24;
/catalog/vozdushnye-kompressory/turtsiya/;Воздушные компрессоры из Турции;ВК / бренд или параметр;ours;3920;23;
