inn;predpriyatie;vyruchka_est;okved_est;rang_mashiny;faktov
6672176609;ГЛАВНОЕ УПРАВЛЕНИЕ МИНИСТЕРСТВА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ, ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ И ЛИКВИДАЦИИ ПОСЛЕДСТВИЙ СТИХИЙНЫХ БЕДСТВИЙ ПО СВЕРДЛОВСКОЙ ОБЛАСТИ;;;7.0;1
6825000757;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ ПРЕДПРИЯТИЕ ""ТАМБОВСКИЙ ПОРОХОВОЙ ЗАВОД""";;;7.0;1
7024035693;"Общество с ограниченной ответственностью ""Электросети""";;;7.0;1
7111021070;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""РЕСПУБЛИКАНСКАЯ УЧЕБНО-ТРЕНИРОВОЧНАЯ БАЗА ""ОКА"" Г. АЛЕКСИН""";;;7.0;1
7303004751;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""УЛЬЯНОВСКЭЛЕКТРОТРАНС""";;;7.0;1
7327073338;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ВОЛГА-СПОРТ-АРЕНА""";;;7.0;1
7418008512;;;;7.0;1
7420012153;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ЛЕДОВЫЙ ДВОРЕЦ ""УРАЛЬСКАЯ ЗВЕЗДА"" ИМЕНИ ВАЛЕРИЯ ХАРЛАМОВА";;;7.0;1
7444009720;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""МАГНИТОГОРСКГАЗСТРОЙ""";;;7.0;1
7606069518;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЯРОСЛАВЛЬВОДОКАНАЛ""";;;7.0;1
7701070954;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРОИТЕЛЬНАЯ ФИРМА ""СМУ-152 ТРАНСИНЖСТРОЯ""";;;7.0;1
7704863782;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВНЕШНЕЭКОНОМИЧЕСКОЕ ОБЪЕДИНЕНИЕ ""ТЕХНОПРОМЭКСПОРТ""";;;7.0;1
7708333507;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВСМ-СЕРВИС""";;;7.0;1
7708670340;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСВУДСЕРВИС""";;;7.0;1
7709210875;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСВОК""";;;7.0;1
7710103758;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ НЕЙРОХИРУРГИИ ИМЕНИ АКАДЕМИКА Н.Н. БУРДЕНКО"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";;;7.0;1
7710881420;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""РИТУАЛ""";;;7.0;1
7714029960;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""СТАНЦИЯ ПЕРЕЛИВАНИЯ КРОВИ ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""";;да;7.0;1
7715027275;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""НАУЧНО-ТЕХНИЧЕСКИЙ ЦЕНТР ""АТЛАС""";;;7.0;1
7717017875;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ЦЕНТР ВНЕДРЕНИЯ ДОСТИЖЕНИЙ НАУКИ И ТЕХНИКИ ""МОСКВА""";;;7.0;1
7719409437;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР Г АЗОТ УРБОСТРОЕНИЯ ""САЛЮТ""";;;7.0;1
7720882285;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСТОРГ""";;;7.0;1
7723084936;"ГБУЗ ""ГКБ ИМ. В.П. ДЕМИХОВА ДЗМ""";;да;7.0;1
7724092464;"ФГБУ ""ФНКЦ ДЕТЕЙ И ПОДРОСТКОВ ФМБА РОССИИ""";;да;7.0;1
7726687266;"Закрытое акционерное общество ""Спецстрой-Лизинг""";;;7.0;1
7730017480;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 51 ДЕПАРТАМЕНТА ЗДРАВООХРАНЕНИЯ ГОРОДА МОСКВЫ""";;;7.0;1
7731463230;;;;7.0;1
7734374725;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГИДРОСПЕЦГЕОЛОГИЯ""";;;7.0;1
7736039850;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ НАУКИ ИНСТИТУТ ФИЗИЧЕСКИХ ПРОБЛЕМ ИМ. П.Л. КАПИЦЫ РОССИЙСКОЙ АКАДЕМИИ НАУК;;;7.0;1
7803002209;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ЭНЕРГЕТИКИ И ЭЛЕКТРИФИКАЦИИ ""ЛЕНЭНЕРГО""";;;7.0;1
7804349556;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ПО УПРАВЛЕНИЮ СПОРТИВНЫМИ СООРУЖЕНИЯМИ""";;;7.0;1
7805395957;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАВЕНСТВО""";;;7.0;1
7812047911;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""НАЦИОНАЛЬНЫЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ФИЗИЧЕСКОЙ КУЛЬТУРЫ, СПОРТА И ЗДОРОВЬЯ ИМЕНИ П.Ф. ЛЕСГАФТА, САНКТ-ПЕТЕРБУ";;;7.0;1
7817037811;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СПОРТИВНО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС КОЛПИНСКОГО РАЙОНА ""ИЖОРЕЦ""";;да;7.0;1
7843316628;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ФИЗИЧЕСКОЙ КУЛЬТУРЫ, СПОРТА И ЗДОРОВЬЯ КУРОРТНОГО РАЙОНА САНКТ-ПЕТЕРБУРГА""";;;7.0;1
8300010163;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА ""НАРЬЯН-МАРДОРРЕМСТРОЙ""";;;7.0;1
8602001609;"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""СУРГУТСКАЯ ГОРОДСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА № 1""";;;7.0;1
8602017038;"СУРГУТСКОЕ ГОРОДСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКИЕ ТЕПЛОВЫЕ СЕТИ""";;;7.0;1
8603004190;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОРОДСКИЕ ЭЛЕКТРИЧЕСКИЕ СЕТИ""";;;7.0;1
8604050714;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""СПОРТИВНАЯ ШКОЛА ОЛИМПИЙСКОГО РЕЗЕРВА ПО ЗИМНИМ ВИДАМ СПОРТА""";;;7.0;1
8610016084;"Открытое акционерное общество ""Няганские энергетические ресурсы""";;;7.0;1
8617018034;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ТЕРРИТОРИАЛЬНО ОБЪЕДИНЕННОЕ УПРАВЛЕНИЕ ТЕПЛОВОДОСНАБЖЕНИЯ И ВОДООТВЕДЕНИЯ №1"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ СУРГУТСКИЙ РАЙОН";;;7.0;1
8622021593;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНЕРАЦИЯ""";;;7.0;1
8700002128;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА ""ИЗДАТЕЛЬСТВО ""КРАЙНИЙ СЕВЕР""";;;7.0;1
9102181306;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ КРЫМ ""КРЫМЖЕЛЕЗОБЕТОН""";;;7.0;1
9703056250;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАНДАРТСТРОЙ""";;;7.0;1
9704092981;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКС""";;;7.0;1
9704104919;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРТИГ""";;;7.0;1
9704137784;;;;7.0;1
9723138430;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАПОТНЕНСКОЕ СТРОИТЕЛЬНО-МОНТАЖНОЕ УПРАВЛЕНИЕ №2""";;;7.0;1
9724068176;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСКОВСКАЯ ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ""";;;7.0;1
9725062402;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОАВТО""";;;7.0;1
7740000100;"АО ""СГ-ТРАНС""";;;6.0;100
3821008485;"ООО ""СУАЛ-ПМ""";;;6.0;69
2614019198;"ООО ""СТАВРОПОЛЬНЕФТЕГАЗ""";;;6.0;67
1834100340;"АО ""МИЛКОМ""";;;6.0;61
7729099008;"ОАО ""Московский хладокомбинат № 14""";;;6.0;54
0326567162;"ООО ""ИРОКИНДА""";;;6.0;49
8609000160;"ПАО ""ННК-ВАРЬЕГАННЕФТЕГАЗ""";;;6.0;47
2319002493;"ГБУЗ ""ГБ № 3 Г.СОЧИ"" МЗ КК";;да;6.0;46
2427000415;"ЗАО ""НАЗАРОВСКОЕ""";;;6.0;45
8901017607;ДЕПАРТАМЕНТ ГОСЗАКАЗА ЯНАО;;да;6.0;45
5258000780;"ОАО Хладокомбинат ""Заречный""";;;6.0;43
4214002316;"ПАО ""РАСПАДСКАЯ""";;да;6.0;42
7704833717;"АО ""СГ-ТРЕЙДИНГ""";;;6.0;42
0264022409;"ООО ""Башнефть-Логистика""";;;6.0;37
2204051487;"АО ""ФНПЦ ""Алтай""";;да;6.0;31
4221000630;"АО  ""Органика""";;;6.0;31
8609002880;"ОАО ""Варьеганнефть""";;;6.0;29
0275074279;"АО ""УАПО""";;;6.0;25
2312126429;"АО ""МЕЖДУНАРОДНЫЙ АЭРОПОРТ ""КРАСНОДАР"" АО ""МАКР""";;;6.0;24
5249074105;"ООО ""Синтез-ПКЖ""";;;6.0;24
7701944514;АО КОРПОРАЦИЯ ВНИИЭМ;;;6.0;24
5504002648;"ХАНТЫ-МАНСИЙСКОЕ ОКРУЖНОЕ УПРАВЛЕНИЕ ВОДНЫХ ПУТЕЙ И СУДОХОДСТВА-ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ""АДМИНИСТРАЦИЯ ОБЬ-ИРТЫШСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";;;6.0;23
8300004226;"АО ""АРКТИКНЕФТЬ""";;;6.0;23
1660297582;"ООО ""КАЗАНСКИЙ МОЛОЧНЫЙ КОМБИНАТ""";;;6.0;22
2130225986;"КАЗЕННОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК ЧУВАШСКОЙ РЕСПУБЛИКИ""";;да;6.0;20
4253000827;"ООО ""ШАХТА ""ЕСАУЛЬСКАЯ""";;;6.0;18
5907016890;"АО ""КАМТЭКС-ХИМПРОМ""";;да;6.0;18
7736036626;"АО ""РИТЭК""";;;6.0;18
0273018416;"ОАО ""Уфимский железобетонный завод-2""";;;6.0;16
1660033036;"ООО ""ГАЗПРОМ СЖИЖЕННЫЙ ГАЗ""";;;6.0;16
2452027354;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НПО ПМ-МАЛОЕ КОНСТРУКТОРСКОЕ БЮРО""";;;6.0;16
5260112442;"ООО ""Айс-Оптима 7""";;;6.0;16
6670012517;"АО ""УПП ""ВЕКТОР""";;;6.0;16
1826001360;"ОАО ""Удмуртский хладокомбинат""";;;6.0;15
7215007175;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИКОР""";;;6.0;14
2309051942;"ООО ""ЛУКОЙЛ-ЮГНЕФТЕПРОДУКТ""";;;6.0;13
2311010502;"ГБУЗ ""ККБ № 2""";;да;6.0;13
4703032701;"ГБУЗ ЛО ""ВСЕВОЛОЖСКАЯ КМБ""";;да;6.0;13
6319002765;"ООО ""Иннэкс""";;;6.0;13
7708737490;"АО ""ВРК-1""";;;6.0;13
2320185890;"ГБУЗ ""ЦОМИД Г. СОЧИ"" МЗ КК";;да;6.0;12
3016045958;ГБУЗ АО АМОКБ;;да;6.0;12
5018033937;ПАО РКК ЭНЕРГИЯ;;;6.0;12
5904103841;"ЗАО ""Пермрыба""";;;6.0;12
5920000071;"ЗАО ""Молоко"" (ИНН 5920000071)";;;6.0;12
1832144060;"ООО ""Удмуртский хладокомбинат""";;;6.0;11
3448009717;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ВОЛГО-ДОНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";;;6.0;11
5835011964;"ОАО ""Пензахолод""";;;6.0;11
6659073594;ЕМУП МЭС;;;6.0;11
7413008276;ФКУ ИК-10 ГУФСИН РОССИИ ПО ЧЕЛЯБИНСКОЙ ОБЛАСТИ;;да;6.0;11
7611004516;"ГБУЗ ЯО ""ТУТАЕВСКАЯ ЦРБ""";;да;6.0;11
7702019559;ФГУП ЦЕНТР ЗВЕЗДНЫЙ;;;6.0;11
7720699480;"АО ""ГОКБ ""ПРОЖЕКТОР""";;;6.0;11
7802030429;"ФГБУ ""НМИЦ ИМ. В.А. АЛМАЗОВА"" МИНЗДРАВА РОССИИ";;да;6.0;11
7809022120;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ МЕТРОЛОГИИ ИМ.Д.И.МЕНДЕЛЕЕВА""";;;6.0;11
1841017491;"ООО ""ВОСТОЧНЫЙ""";да;;6.0;10
2315005197;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЛОТ НОВОРОССИЙСКОГО МОРСКОГО ТОРГОВОГО ПОРТА""";;;6.0;10
3913500440;"ООО ""ЛУКОЙЛ-КНТ""";;;6.0;10
4027078890;МИНИСТЕРСТВО КОНКУРЕНТНОЙ ПОЛИТИКИ КАЛУЖСКОЙ ОБЛАСТИ;;;6.0;10
4345233451;"КИРОВСКОЕ ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ГОСУДАРСТВЕННЫХ ЗАКУПОК""";;;6.0;10
5043027422;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""СЕРПУХОВСКИЙ РОДИЛЬНЫЙ ДОМ""";;;6.0;10
7107516834;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ КОММУНАЛЬНОЙ СФЕРЫ""";;;6.0;10
7728276053;"ООО ""Промконсервы""";;;6.0;10
8601024804;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТР ГИГИЕНЫ И ЭПИДЕМИОЛОГИИ В ХАНТЫ-МАНСИЙСКОМ АВТОНОМНОМ ОКРУГЕ - ЮГРЕ""";;да;6.0;10
1624008838;"АО ""Казанский МЭЗ""";;;6.0;9
3015087458;"ООО ""ЛУКОЙЛ-ЭКОЭНЕРГО""";;;6.0;9
3525279862;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УЧЕБНО-ОПЫТНЫЙ МОЛОЧНЫЙ ЗАВОД"" ВОЛОГОДСКОЙ ГОСУДАРСТВЕННОЙ МОЛОЧНОХОЗЯЙСТВЕННОЙ АКАДЕМИИ ИМЕНИ Н.В. ВЕРЕЩАГИНА""";;;6.0;9
5250000820;АО ТРАНСНЕФТЬ-ПОДВОДСЕРВИС;;;6.0;9
5805012417;"ООО ""ГПК СЕРДОБСКИЙ""";;да;6.0;9
6027021658;ГБУЗ ПСКОВСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ;;;6.0;9
7722292838;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения Российской Федерации";;;6.0;9
7821006887;"ФГБУ ""НМИЦ ОНКОЛОГИИ ИМ. Н.Н. ПЕТРОВА"" МИНЗДРАВА РОССИИ";;да;6.0;9
0265044973;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛОЭНЕРГО""";;;6.0;8
1831066404;"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕСТЕР";;;6.0;8
2313017430;"ГБУЗ ""ГБ Г. КРОПОТКИНА"" МЗ КК";;да;6.0;8
2317037525;"ГБУЗ ""ГБ № 8 Г. СОЧИ"" МЗ КК";;да;6.0;8
3128089632;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕПЛОЭНЕРГО""";;;6.0;8
4028026750;"ООО ""Холодильник""";;;6.0;8
4710001670;"ГБУЗ ЛО ""ЛУЖСКАЯ МБ""";;да;6.0;8
4710002063;"ОАО ""ЛЗ ""Белкозин""";;;6.0;8
5836602550;"ООО ТК ""Конкурент""";;;6.0;8
1215102460;"ООО НПФ ""РМЗ""";;;6.0;7
2020002105;"Государственное унитарное предприятие ""Чеченцемент""";;;6.0;7
2537021785;"КГБУЗ ""ВКРД № 3""";;да;6.0;7
2539028264;АО ИЗУМРУД;;;6.0;7
3650000959;"ПАО ""ВАСО""";;;6.0;7
3702043642;"ЗАО ""Хладокомбинат ""Ивановский""";;;6.0;7
5040175486;"ГБУЗ МОСКОВСКОЙ ОБЛАСТИ ""РАМЕНСКАЯ БОЛЬНИЦА""";;да;6.0;7
6167063344;ФГБУЗ ЮОМЦ ФМБА РОССИИ;;да;6.0;7
7453042876;"Клиника федерального государственного бюджетного образовательного учреждения высшего образования ""Южно-Уральский государственный медицинский университет"" Министерства здравоохранения Российской Федера";;;6.0;7
7729598688;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ЗАКАЗЧИКА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА ЗАПАДНОГО АДМИНИСТРАТИВНОГО ОКРУГА""";;;6.0;7
7801258484;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЛАБОРАТОРНОГО АНАЛИЗА И ТЕХНИЧЕСК ИХ ИЗМЕРЕНИЙ ПО СЕВЕРО-ЗАПАДНОМУ ФЕДЕРАЛЬНОМУ ОКРУГУ""";;;6.0;7
7809008334;СПБ ГБУЗ ГП-24;;да;6.0;7
7812024600;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ГОСУДАРСТВЕННЫЙ АКАДЕМИЧЕСКИЙ МАРИИНСКИЙ ТЕАТР""";;;6.0;7
8604013180;"БУ ""НЕФТЕЮГАНСКАЯ ОКРУЖНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА ИМЕНИ В.И.ЯЦКИВ""";;да;6.0;7
0263005016;ФКУ ИК-7 УФСИН РОССИИ ПО РЕСПУБЛИКЕ БАШКОРТОСТАН;;да;6.0;6
1609013424;"ООО ""АРЧА""";;;6.0;6
1655080834;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""МЕТРОЭЛЕКТРОТРАНС"" ГОРОДА КАЗАНИ";;да;6.0;6
2128054518;;;;6.0;6
2320245645;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕРНОМОРСКИЕ КРУИЗЫ""";;;6.0;6
2365026121;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТУАПСИНСКИЙ ЗЕРНОВОЙ ТЕРМИНАЛ""";;;6.0;6
2635221863;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""СТАВРОПОЛЬСКИЙ КРАЕВОЙ КЛИНИЧЕСКИЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР № 1""";;;6.0;6
2901186555;КОНТРАКТНОЕ АГЕНТСТВО АРХАНГЕЛЬСКОЙ ОБЛАСТИ;;;6.0;6
3201000373;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""БРЯНСКОЕ ТРОЛЛЕЙБУСНОЕ УПРАВЛЕНИЕ"" Г. БРЯНСКА";;да;6.0;6
3528081483;"ООО ""УПРАВЛЕНИЕ СЕВЕРГАЗ""";;;6.0;6
3906390669;"АО ""ОКБ ""ФАКЕЛ""";;;6.0;6
4223035004;"ООО ""Шахта им. Дзержинского""";;;6.0;6
4700001254;ГБУЗ ЛОКБ;;да;6.0;6
5259008768;АО НМЗ;;;6.0;6
5408183046;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""УПРАВЛЕНИЕ ЭНЕРГЕТИКИ И ВОДОСНАБЖЕНИЯ""";;;6.0;6
5720019251;"ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ОРЛОВСКОЙ ОБЛАСТИ ""ДОРОЖНАЯ СЛУЖБА""";;;6.0;6
6154094137;"МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКОЕ ХОЗЯЙСТВО""";;;6.0;6
6625006078;"АО ""Первоуральскгаз""";;;6.0;6
6672350180;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПТИЦЕФАБРИКА ""СВЕРДЛОВСКАЯ""";;да;6.0;6
7224008030;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПТИЦЕФАБРИКА ""БОРОВСКАЯ"" ИМЕНИ А.А.СОЗОНОВА""";да;;6.0;6
7303026603;"УЛЬЯНОВСКОЕ МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКАЯ ТЕПЛОСЕТЬ""";;;6.0;6
7445040240;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ОБЛАСТНОЙ ОНКОЛОГИЧЕСКИЙ ДИСПАНСЕР № 2""";;;6.0;6
7702060331;"ФЕДЕРАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ И ИСКУССТВА ""СТУДИЯ ВОЕННЫХ ХУДОЖНИКОВ ИМЕНИ М.Б.ГРЕКОВА"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";;;6.0;6
7704014010;ФГБУ ФНКЦ ФХМ ИМ. Ю.М. ЛОПУХИНА ФМБА РОССИИ;;да;6.0;6
9204576208;;;;6.0;6
0274019476;ГБУЗ РКБ ИМ. Г.Г.КУВАТОВА;;да;6.0;5
1001040600;"ГБУЗ ""ГОСПИТАЛЬ ДЛЯ ВЕТЕРАНОВ ВОЙН""";;да;6.0;5
1300000807;"ГУП  Республики Мордовия ""Развитие села""";;;6.0;5
2309081785;"ГБУЗ ""ДГКБ Г. КРАСНОДАРА"" МЗ КК";;да;6.0;5
2317000807;"ГБУЗ ""КРАЕВАЯ БОЛЬНИЦА № 4""";;да;6.0;5
2540015894;"ГБУЗ ""КДКБ № 1""";;да;6.0;5
4205012290;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ КОМПЛЕКСНЫХ ПРОБЛЕМ СЕРДЕЧНО-СОСУДИСТЫХ ЗАБОЛЕВАНИЙ""";;;6.0;5
4401051144;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОСТРОМА""";;;6.0;5
4704088721;"ГБУЗ ЛО ""ВЫБОРГСКАЯ МБ""";;да;6.0;5
4711002651;"ГБУЗ ЛО ""ПОДПОРОЖСКАЯ МБ""";;да;6.0;5
