inn;predpriyatie;zakluchenij_otricatelnyh;iz_nih_ne_sootvetstvuet;sreda;srok;marki;poslednyaya_data;primer_zaklucheniya;chto_v_tekste;ssylka;proverok_nadzora;pokupaet;planiruet;region;telefon_predpriyatiya;lyudej_tehnicheskih;kto
7438015885;"АО ""МАКФА""";1;0;воздух;срок действует;М1230;09.11.2022;заключение ЭПБ № 56-ТУ-20771-2022;воздуходувка ROBUSСHI тип RBS_85/V-UNI/ANS тех. №М1230, являющегося частью «группы подачи аспирации линии Паван-4», применяемой на ОПО «Склад бестарного хранения муки (пл;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-20771-2022;16;;;;;0;
8603089941;"АО ""ННК - ННП""";1;0;воздух;;;30.05.2018;заключение ЭПБ № 58-ЗС-20794-2018;"здания: Операторная, Здание проходной, Блок БРХ, Воздушная компрессорная Слесарное помещение, расположенные на опасном производственном объекте ""Площадка дожимной насосно";https://monitor-pb.ru/conclusion/58-%D0%97%D0%A1-20794-2018;16;;;;;0;
1600000036;"ООО ""ГАЗПРОМ ТРАНСГАЗ КАЗАНЬ""";17;0;газ или иная среда | среда не названа;срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год;ГКС-21-1, | ГПА-10 | ГТНР-25И;31.10.2016;заключение ЭПБ № 43-ЗС-07170-2021;Укрытие агрегата типа ГТНР-25И станционный номер 3 цеха Ямбург-Елец-1, Шеморданское ЛПУМГ инв. №9000129561 Наименование опасного производственного объекта Площадка компре;https://monitor-pb.ru/conclusion/43-%D0%97%D0%A1-07170-2021;188;;;;;0;
3445042160;"ООО ""ГАЗПРОМ ТРАНСГАЗ ВОЛГОГРАД""";31;0;газ или иная среда | среда не названа;срок ИСТЁК;DN 200 | DN 50 | DN 80 | PN 75 | А-1006ТЕ | А-1009ТЕ | А-1011ТЕ | А-1018ТЕ;31.05.2021;заключение ЭПБ № 39-ЗС-09181-2021;здания и сооружения: Газоперекачивающий агрегат ГТК-10И КЦ-3 газопровод «Оренбург-Новопсков» КС Антиповка инв.№205219, ОПО- Площадка компрессорной станции Антиповского ЛП;https://monitor-pb.ru/conclusion/39-%D0%97%D0%A1-09181-2021;67;;;;;0;"Харченко Д.А. | должность в карточке не указана | 8 (8442) 96-00-56 | сайт, воздушный сегмент ;; Харченко Д.А. | должность в карточке не указана | 8 (8442) 96-0"
1102024468;"ООО ""ГАЗПРОМ ТРАНСГАЗ УХТА""";9;0;газ или иная среда;срок ИСТЕКАЕТ в ближайший год;PCL 802/24 | ГТ-750-6, | ГТК-10И;28.04.2021;заключение ЭПБ № 28-ТУ-10145-2023;Газоперекачивающий агрегат ГТ-750-6, зав. № 409, ст. № 13, инв. № 126805. Площадка компрессорной станции Нюксенского ЛПУМГ;https://monitor-pb.ru/conclusion/28-%D0%A2%D0%A3-10145-2023;140;;;;;0;
7450043423;"ООО ""Мечел-Кокс""";5;0;среда не названа;срок ИСТЁК;;11.12.2020;заключение ЭПБ № 56-ТУ-18218-2020;Нагнетатель центробежный, инв. №0136051, применяемый на опасном производственном объекте II класса опасности: «Цех улавливания химических продуктов №2 (УЛ-2)» ООО «Челяби;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-18218-2020;27;1;;;;0;
7202116628;"АО ""СИБУРТЮМЕНЬГАЗ""";13;0;газ или иная среда | среда не названа;срок ИСТЁК | срок ИСТЕКАЕТ в ближайший год;11Г7 | БДКА2-4 | Д320-50, | К-354-101-1, | К-890-121-1, | К-890-122-1, | КЦ-101/1, | КЦ-102/1,2;30.07.2019;заключение ЭПБ № 59-ТУ-18640-2017;техническое устройство – Центробежный компрессор марки К-354-101-1, тех. № ТК-1, зав.№ 9628 (Площадка Вынгаяхинской компрессорной станции промысловой (Вынгапуровский ГПЗ);https://monitor-pb.ru/conclusion/59-%D0%A2%D0%A3-18640-2017;22;;;Ханты-Мансийский Автономный округ - Югра;"[""+7 (346) 649-42-03""]";0;
1648032420;"АО ""ПОЗИС""";5;0;среда не названа;срок ИСТЁК;К-250-61-2, | ЦК-135/8,;27.11.2020;заключение ЭПБ № 43-ТУ-289998-2023;Заключение экспертизы промышленной безопасности 521-1-22ПБ-8 на техническое устройство, применяемое на опасном производственном объекте: компрессор центробежный К-250-61-;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-289998-2023;10;;;;;0;
7118004789;"ОАО ""Щекиноазот""";4;0;газ или иная среда;срок ИСТЁК;КТК-12,5/35,;26.02.2015;заключение ЭПБ № 11-ТУ-01325-2015;Техническое устройство: Турбокомпрессор ТК-2, зав. № 1387 цех компрессии и синтеза аммиака ОАО «Щекиноазот»;https://monitor-pb.ru/conclusion/11-%D0%A2%D0%A3-01325-2015;30;;;;;1;Картыжов Степан | главный инженер |  | очередь обзвона
7703647595;"АО ""ОХК ""УРАЛХИМ""";5;0;газ или иная среда | среда не названа;действует | срок ИСТЁК;D959 | АМ-70 | ГТТ-3М | М101/56 | НЦ-230/3-3,5 | Р901;31.08.2022;заключение ЭПБ № 48-ТУ-52631-2022;Байпасный холодильник нагнетателя 95-81-1 поз. 427, рег. № б/н;https://monitor-pb.ru/conclusion/48-%D0%A2%D0%A3-52631-2022;54;1;;Москва;"[""+74957218585"", ""+74957218989"", ""810250";0;
2624022320;"ООО ""СТАВРОЛЕН""";2;0;газ или иная среда;срок ИСТЁК;1C52;20.02.2017;заключение ЭПБ № 35-ТУ-01529-2017;Компрессор центробежный DELAVAL-STORK 1C52, поз:430/1301А, зав№9662, г/выпуска:1975г, рабочая среда: этилен, назначение: работа в технологической схеме, в составе ОПО: «П;https://monitor-pb.ru/conclusion/35-%D0%A2%D0%A3-01529-2017;23;1;;;;2;"Прокопенко А.В. | главный инженер ООО «Ставролен» |  | очередь обзвона ;; Афонин А.В. | главный инженер |  | очередь обзвона"
6623000708;"ОАО ""ВГОК"" (ИНН 6623000708)";5;0;среда не названа;срок ИСТЁК;К-250-61 | К-250-61-5;15.02.2016;заключение ЭПБ № 54-ТУ-02128-2016;турбокомпрессор К- 250-61-1, зав.№157, инв.№003744, цех.№7 ОАО «Высокогорский горно-обогатительный комбинат» Место установки: поверхность шахты «Магнетитовая».;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-02128-2016;28;;;;;0;
7728640182;"ООО ""ГАЗПРОМНЕФТЬ -СМ""";2;0;среда не названа;срок ИСТЁК;ТВ-50-1,6 | ТВ-80-1,4;22.10.2019;заключение ЭПБ № 61-ТУ-25582-2019;техническое устройство - Турбокомпрессор многоступенчатый ТВ-80-1,4 тех. № ВД-1а, зав. № 31674, применяемое на опасном производственном объекте («Площадка установки по пр;https://monitor-pb.ru/conclusion/61-%D0%A2%D0%A3-25582-2019;11;1;;;;0;
8608048498;"ООО ""ЛУКОЙЛ-ЗАПАДНАЯ СИБИРЬ""";2;0;среда не названа;срок ИСТЕКАЕТ в ближайший год;;03.04.2017;заключение ЭПБ № 58-ТУ-13270-2017;"Технологический трубопровод ""Обвязка турбокомпрессора ТК-2"" рег. № 3053194, эксплуатируемых ТПП ""Лангепаснефтегаз"" ООО ""ЛУКОЙЛ-Западная Сибирь""";https://monitor-pb.ru/conclusion/58-%D0%A2%D0%A3-13270-2017;305;1;;;;0;
6320004728;"АО ""ТОАЗ""";1;0;газ или иная среда;срок ИСТЁК;К-01А;16.07.2021;заключение ЭПБ № 53-ТУ-12407-2021;центробежный компрессор ЦВД тип 1М9, ЦНД тип 2М6, технологический индекс К-01А, заводской № 2-6-3399-F, 1-9-3401-F, опасный производственный объект (ОПО): Площадка цеха п;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-12407-2021;55;1;;;;0;"Ловков Дмитрий Александрович | сотрудник отдела конкурентных процедур | 8 (8482) 60-15-81 | сайт, воздушный сегмент ;; Николаева Екатерина Андреевна | сотрудник"
5610058025;"ООО ""ГАЗПРОМ ДОБЫЧА ОРЕНБУРГ""";1;0;среда не названа;срок ИСТЁК;;26.01.2016;заключение ЭПБ № 49-ТУ-02455-2016;вентиляционное оборудование помещений турбокомпрессоров №101, 102, 103, 104, 105, 106 ДКС-1 ГПУ ООО «Газпром добыча Оренбург» г. Оренбург;https://monitor-pb.ru/conclusion/49-%D0%A2%D0%A3-02455-2016;38;;;;;0;"Строилов А.К. | должность в карточке не указана | +7 (3532) 73-11-43 | сайт, воздушный сегмент ;; Строилов А.К. | должность в карточке не указана | +7 (3532) 73"
0277014204;"ПАО ""УФАОРГСИНТЕЗ""";1;0;среда не названа;срок ИСТЁК;;07.12.2021;заключение ЭПБ № 41-ЗС-64326-2021;Трубопровод масла (обвязка нагнетателей), рег. №354в-IV-8001-1/1 Местонахождение объекта: Площадка ПАО «Уфаоргсинтез», производство синтетического этилового спирта, объек;https://monitor-pb.ru/conclusion/41-%D0%97%D0%A1-64326-2021;36;;;Башкортостан;[];0;Каширин Николай Павлович | руководитель | (347) 249-49-20 | очередь обзвона
8617002073;"ООО ""ГАЗПРОМ ТРАНСГАЗ СУРГУТ""";9;0;газ или иная среда | среда не названа;срок ИСТЁК;DN 700 | PN 80 | А 14 | ГПА-21 | ГТК-10-4 | ДГ90 | КС-00 | КС-03;31.08.2022;заключение ЭПБ № 57-ТУ-41865-2021;техническое устройство, входящие в состав опасного производственного объекта.Техническое устройство: Центробежный нагнетатель типа Н-370-18-1.Инвентарный №: 128248.Опасны;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-41865-2021;43;1;;;;0;
8602060555;"ПАО ""СУРГУТНЕФТЕГАЗ""";6;0;газ или иная среда | среда не названа;срок ИСТЁК;553В6 | К 64;24.06.2021;заключение ЭПБ № 58-ЗС-08335-2018;"промысловый трубопровод ""ВОДОВОД НАГНЕТАТЕЛЬНЫЙ БГ-СКВАЖИНА (водовод от БГ до скв.1700,3522,1700,3522,1699,1697,3508)"", ""ВОДОВОД НАГНЕТАТЕЛЬНЫЙ БГ-СКВАЖИНА К 64 ПОЗ 7 (во";https://monitor-pb.ru/conclusion/58-%D0%97%D0%A1-08335-2018;456;;;;;0;
8904034777;"ООО ""ГАЗПРОМ ДОБЫЧА ЯМБУРГ""";5;0;газ или иная среда;срок ИСТЕКАЕТ в ближайший год;;10.10.2017;заключение ЭПБ № 57-ЗС-34085-2017;«Выхлопная (дымовая) труба ГПА инв. № 302702 газоперекачивающего агрегата компрессорного цеха ДКС на УКПГ-6 (2-я очередь) ЯГКМ ООО «Газпром добыча Ямбург»;https://monitor-pb.ru/conclusion/57-%D0%97%D0%A1-34085-2017;43;1;;;;0;
7450001007;"ПАО ""ЧМК""";4;0;среда не названа;срок ИСТЁК;Н-1100-12-1 | Н-700-13-1;26.01.2021;заключение ЭПБ № 56-ТУ-00995-2021;Нагнетатель ст.№13 (тип Н-1100-12-1) применяемый на опасном производственном объекте III класса опасности: «Площадка (участок) газового цеха» Публичного акционерного обще;https://monitor-pb.ru/conclusion/56-%D0%A2%D0%A3-00995-2021;109;1;;;;0;
6325004584;"АО ""СНПЗ""";2;0;газ или иная среда | среда не названа;срок ИСТЁК;5VR200-490G, | ЛГ 35/11-300;27.05.2022;заключение ЭПБ № 53-ТУ-41480-2022;Центробежный компрессор 5VR200-490G, техн. № ЦК-1, зав. № 430819, инв. № 012063, цех № 15, установка ЛГ 35/11-300;https://monitor-pb.ru/conclusion/53-%D0%A2%D0%A3-41480-2022;40;;;;;0;
7530000048;"ПАО ""ППГХО""";2;0;среда не названа;срок ИСТЁК;К-250 | К-500-61-5М,;24.12.2014;заключение ЭПБ № 69-ТУ-01237-2014;компрессор К-500-61-5М, зав. №23 на ТКС №2;https://monitor-pb.ru/conclusion/69-%D0%A2%D0%A3-01237-2014;47;;;Краснокаменск;[];0;
2205001753;"АО ""АЛТАЙ-КОКС""";1;0;среда не названа;срок ИСТЁК;;03.11.2020;заключение ЭПБ № 63-ТУ-26969-2020;технические устройства, применяемые на опасном производственном объекте - маслобаки нагнетателей коксового газа машинного зала №1, инв.№№11310,11311, 11312, 11571, 14101 ;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-26969-2020;28;;;;;0;
2211005435;"ОАО ""Алтайский Химпром""";1;0;среда не названа;срок ИСТЁК;ТВ-80-1,6-М1-01;30.11.2015;заключение ЭПБ № 63-ТУ-23282-2015;турбокомпрессор ТВ-80-1,6-М1-01(зав. №101, поз. Н53) корпуса 121 участка БОС и УХО ОАО «Алтайский Химпром»;https://monitor-pb.ru/conclusion/63-%D0%A2%D0%A3-23282-2015;11;;;;;0;
2443000518;"АО ""АНПЗ ВНК""";1;0;среда не названа;срок ИСТЁК;5ЦД-208/30-45М | ЦК-201;29.12.2015;заключение ЭПБ № 66-ТУ-15352-2015;центробежный компрессор 5ЦД-208/30-45М заводской номер 96001, технологический номер ЦК-201 АО «АНПЗ ВНК», цех №1, ГК;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-15352-2015;22;;;;;0;
2457061920;"ООО ""НОРИЛЬСКИЙ ОБЕСПЕЧИВАЮЩИЙ КОМПЛЕКС""";1;0;среда не названа;срок ИСТЁК;К250-61-5;08.07.2021;заключение ЭПБ № 66-ТУ-09265-2021;турбокомпрессор К250-61-5 (№ 1), зав. № 281, инв. № 989019;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-09265-2021;16;;;;;0;
344603855649;ИП Семигук Юлия Александровна;1;0;среда не названа;срок ИСТЁК;;22.03.2017;заключение ЭПБ № 39-ТУ-03590-2017;Ротационный нагнетатель ЗАФ57Ю52Я инв. №15, применяемое на опасном производственном объекте III класса опасности Цех по производству муки Рег. №А39-04837-0001 от 26.11.20;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-03590-2017;2;;;;;0;
3623004866;"АО ""КМЗ"" (ИНН 3623004866)";1;0;среда не названа;срок ИСТЁК;ЗАФ-49 | ЗАФ-53;06.06.2017;заключение ЭПБ № 12-ТУ-05169-2017;"ротационные нагнетатели ЗАФ-49 № по тех. схеме 2629; ЗАФ-53 №№ по тех. схеме 1108, 5102, рег. № А12-00335-0002";https://monitor-pb.ru/conclusion/12-%D0%A2%D0%A3-05169-2017;1;;;;;0;
3623007578;"ООО ""ТД КМЗ""";1;0;среда не названа;срок ИСТЁК;ЗАФ-49 | ЗАФ-53;23.08.2021;заключение ЭПБ № 01-ТУ-13769-2021;"Заключение экспертизы промышленной безопасности № 162-21 на техническое устройство Ротационный нагнетатель ЗАФ-49 № 2629; Ротационный нагнетатель ЗАФ-53 № 1108, применяем";https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-13769-2021;2;;;;;0;
4205049090;"АО ""УК ""КУЗБАССРАЗРЕЗУГОЛЬ""";1;0;среда не названа;срок ИСТЁК;SCK-42/10 | ШН 250-34;11.04.2022;заключение ЭПБ № 68-ТУ-12274-2022;"Компрессор SCK-42/10 поз. №504, инв. №05/65022; Насос 150/100 С-MU поз. №121, инв. №05/60680; Насос 150/100 С-MU поз. №122, инв. №05/60471; Насос 150/100 С-MU поз. №122/1";https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-12274-2022;135;;;;;0;
4221000535;"АО ""РУСАЛ НОВОКУЗНЕЦК""";1;0;среда не названа;срок ИСТЕКАЕТ в ближайший год;К250-61-5,;22.12.2022;заключение ЭПБ № 68-ТУ-47488-2022;техническое устройство: турбокомпрессор типа К250-61-5, инв. № 520251, эксплуатируется на опасном производственном объекте II класса опасности (Цех электролиза алюминия, ;https://monitor-pb.ru/conclusion/68-%D0%A2%D0%A3-47488-2022;35;1;;;;0;
5103070023;"АО ""АПАТИТ""";1;0;среда не названа;срок ИСТЁК;СК 600/3;10.09.2019;заключение ЭПБ № 28-ЗС-13877-2019;Здание производственного корпуса 1.46, 5.17 «Здание нагнетателей СК 600/3» на ОПО: площадка производства серной кислоты АО «Апатит»рег. № А28-02793-0038, расположенном по;https://monitor-pb.ru/conclusion/28-%D0%97%D0%A1-13877-2019;120;1;;;;0;
5214009264;"ООО ""МК ""Володарский""";1;0;среда не названа;срок ИСТЁК;;09.08.2021;заключение ЭПБ № 45-ТУ-04104-2021;техническое устройство: «Нагнетатель винтовой РЗ-БНВ поз. № 7702», применяемое на опасном производственном объекте «Цех по производству муки», рег. № А40-17011-0003, (кла;https://monitor-pb.ru/conclusion/45-%D0%A2%D0%A3-04104-2021;1;;;;;0;
5321029508;"ПАО ""АКРОН""";1;0;среда не названа;срок ИСТЁК;GB-732B;29.12.2016;заключение ЭПБ № 22-ТУ-19533-2016;центробежный компрессор поз. GB-732B, зав. № 22-0574. Место эксплуатации: ПАО «Акрон», агрегат № 3 производства нитроаммофоски, 173012, Россия, г. Великий Новгород;https://monitor-pb.ru/conclusion/22-%D0%A2%D0%A3-19533-2016;39;1;;;;0;
7452027843;"ООО ""ЧТЗ - УРАЛТРАК""";1;0;газ или иная среда;срок ИСТЁК;;07.02.2018;заключение ЭПБ № 56-ЗС-01724-2018;здание термического цеха №8, цеха нагнетателей, расположенное на ОПО - Сеть газопотребления ЧТЗ (рег. №А56-02729-0017, III класс опасности) Цех использования газообразног;https://monitor-pb.ru/conclusion/56-%D0%97%D0%A1-01724-2018;30;;;;;0;
8904034784;"ООО ""ГАЗПРОМ ДОБЫЧА УРЕНГОЙ""";1;0;среда не названа;срок ИСТЁК;;24.10.2019;заключение ЭПБ № 57-ТУ-44687-2019;Корпус центробежного нагнетателя и ротор газоперекачивающего агрегата ГПА-Ц-16/76, зав. № 423, рег. № ст. № 4, инв. № 210922;https://monitor-pb.ru/conclusion/57-%D0%A2%D0%A3-44687-2019;52;;;;;1;Игнатов Игорь Валериевич | главный инженер — первый заместитель ген |  | очередь обзвона
6612005052;"АО ""РУСАЛ УРАЛ""";7;0;среда не названа;;К-250-61-1 | К-500-61-1;19.03.2018;заключение ЭПБ № 54-ТУ-03394-2018;техническое устройство: компрессор К-250-61-1 № 1, зав. № 326, инв. № 431024001, установленный на ОПО «Основная производственная площадка», рег. № А54 – 02654 – 0001, III;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-03394-2018;53;1;;;;6;"Виноградов Сергей Николаевич | менеджер отдела подготовки и проведения  | (3439) 39-24-32 | +7-908-901-2 | Tender.pro ;; Пестовских Юрий | специалист Службы тех"
2443005570;"АО ""РУСАЛ АЧИНСК""";1;0;среда не названа;;;11.02.2016;заключение ЭПБ № 66-ТУ-01207-2016;трубопровод отбора пара 10-18 ата турбоагрегата ст. №6, рег. № 449-п;https://monitor-pb.ru/conclusion/66-%D0%A2%D0%A3-01207-2016;;1;;;;1;Смердев Николай Вячеславович |  | (39151) 3-43-56 | 8 (39151) 3- | Tender.pro
5905099475;"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""";1;0;среда не названа;;;01.10.2015;заключение ЭПБ № 48-ЗС-38070-2015;Здание операторной и компрессорной Площадки установки каталического риформинга бензинов 35-6/300 с блоком гидроочистки бензиновых фракций 35-20 Топливного производства;https://monitor-pb.ru/conclusion/48-%D0%97%D0%A1-38070-2015;58;1;;;;2;"Каленюк Денис | заместитель генерального директора – гла |  | очередь обзвона ;; Братчиков Владислав Владимирович | главный инженер ООО «ЛУКОЙЛ-Пермнефтеорг |  "
7715729877;"АО ""ЖЕЛДОРРЕММАШ""";3;0;газ или иная среда;;2Р 3/220 | 2Р-3/220 | КГН-30;14.08.2017;заключение ЭПБ № 60-ТУ-16607-2017;"техническое устройство ""Поршневой компрессор 2Р 3/220 зав. № 88020, поз. № 862 кислородной установки КГН-30, применяемый на опасном производственном объекте ""площадка воз";https://monitor-pb.ru/conclusion/60-%D0%A2%D0%A3-16607-2017;;1;;;;0;"Качина Зоя Владимировна | Ответственное должностное лицо | 89246527756 | Tender.pro ;; Долганов Александр Сергеевич |  | 8 (4234) 23-10-25 (доб. 27-310 | Tender"
1627005779;"АО ""АММОНИЙ""";1;0;газ или иная среда;;;11.06.2019;заключение ЭПБ № 43-ЗС-08237-2019;Здание компрессорной станции воздуха и азота с установкой осушки цеха РВ корп. 208 на опасном производственном объекте «Площадка воздухоразделительной установки» А43-0709;https://monitor-pb.ru/conclusion/43-%D0%97%D0%A1-08237-2019;14;;;;;0;"Астафьев Максим Андреевич | Отдел оборудования | +7 (85549) 2-60-40 | сайт, воздушный сегмент ;; Шарафутдинова Анастасия Николаевна | Отдел сырья и материалов |"
1434031363;"АО ""ДГК"" (ИНН 1434031363)";27;0;среда не названа;;ОГ-24 | ПТ-60-90/13 | Т-100-130;31.07.2018;заключение ЭПБ № 74-ТУ-02206-2018;"трубопровод отбора пара к ПВД-5 турбоагрегата № 9, филиала ""ЛуТЭК"" АО ""ДГК""";https://monitor-pb.ru/conclusion/74-%D0%A2%D0%A3-02206-2018;319;1;1;;;0;
8622000931;"ООО ""ГАЗПРОМ ТРАНСГАЗ ЮГОРСК""";19;0;газ или иная среда | среда не названа;;PGT-10 | АГТ 0220.02 | ГТК-10-4 | ГТК-10-4Б | ГТК-25 | ГТН-16 | ГТН-25И | Н-235-21-1;25.08.2015;заключение ЭПБ № 57-ЗС-29146-2015;Корпус нагнетателя природного газа Н-235-21-1 зав. № 7288, ст. № 32, принадлежащий Комсомольскому ЛПУМГ (ГКС «Ужгородская», КЦ-3);https://monitor-pb.ru/conclusion/57-%D0%97%D0%A1-29146-2015;167;1;;;;0;
0276053659;"ООО ""ГАЗПРОМ ТРАНСГАЗ УФА""";10;0;газ или иная среда | среда не названа;;Z3189 | КС-18 | КС-19 | Н-235-21-1 | Н-370-18-1 | СПЧ 370-76-1,24;28.11.2017;заключение ЭПБ № 41-ТУ-01529-2018;корпус зав. № 7224 и ротор ЦБК типа Н-235-21-1 зав. № 7046, ст. № 36, рама-маслобака, поплавковая камера, гидроаккумулятор, газомаслоотделитель, фильтра масла и система а;https://monitor-pb.ru/conclusion/41-%D0%A2%D0%A3-01529-2018;26;;;Башкортостан;"[""+7 (347) 237-56-80 (коммутатор)"", ""+7 ";0;
6317130144;"ООО ""РИТЭК"" (ИНН 6317130144)";10;0;среда не названа;;10У2 | 3В 4/25, | 3Р12 | КМ-100-80-170Е, | ХЕ 50-32-200-А;14.12.2023;заключение ЭПБ № 39-ТУ-07277-2023;техническое устройство: Насосный агрегат А1 3В 4/25, зав.№ 6Т7, инв.№ 36122063, ЦДНГ №1 «Арчединский». ОПО – Площадка промысловой компрессорной станции ( КС «Кудинов-ская;https://monitor-pb.ru/conclusion/39-%D0%A2%D0%A3-07277-2023;236;1;;;;0;
6453010110;"ООО ""ГАЗПРОМ ТРАНСГАЗ САРАТОВ""";10;0;газ или иная среда | среда не названа;срок действует;ГТ-750-6 | ГТК-10-4;30.11.2015;заключение ЭПБ № 50-ЗС-15865-2015;Металлические дымовые трубы Н=22,00 м (инв. № 139608) газоперекачивающих агрегатов ГТ-750-6 компрессорного цеха № 1 (станционные №№ 1-5), эксплуатируемых в Башмаковском Л;https://monitor-pb.ru/conclusion/50-%D0%97%D0%A1-15865-2015;53;;;;;0;
6803629911;"ООО ""ТАМБОВСКИЙ БЕКОН""";9;0;среда не названа;;C4HK | C6HK | К 21;22.09.2021;заключение ЭПБ № 01-ТУ-15928-2021;ЗАКЛЮЧЕНИЕ № 662-07-НПО/21 ЭКСПЕРТИЗЫ ПРОМЫШЛЕННОЙ БЕЗОПАСНОСТИ на техническое устройство «Компрессорный агрегат поршневой Maycom C6HK, поз. № К42», применяемое на опасно;https://monitor-pb.ru/conclusion/01-%D0%A2%D0%A3-15928-2021;256;;;;;0;
8903019871;"ООО ""ГАЗПРОМ ДОБЫЧА НАДЫМ""";9;0;среда не названа;;ГП 987.07 | ГПА-16 | ДКС-04 | ПТПГ-30;30.08.2022;заключение ЭПБ № 19-ТУ-25891-2022;Объект экспертизы: Технологический комплекс Газоперекачивающий агрегат ГПА-16 ДКС-04 Урал (ст. №11), инв.№ 003633 Опасный производственный объект (ОПО): Площадка промысло;https://monitor-pb.ru/conclusion/19-%D0%A2%D0%A3-25891-2022;35;1;;;;0;
2310137432;"ООО ""Проф-Инжиниринг""";6;0;среда не названа;;ДККС-12-1;09.08.2019;заключение ЭПБ № 30-ТУ-10213-2019;"техническое устройство ""Дожимная стационарная блочно-контейнерная компрессорная станция ДККС-12-1 У1, заводской №010/компрессорный модуль заводской №3981006"", применяемая";https://monitor-pb.ru/conclusion/30-%D0%A2%D0%A3-10213-2019;;;;;;0;
3821008485;"ООО ""СУАЛ-ПМ""";6;0;газ или иная среда;;;16.12.2017;заключение ЭПБ № 54-ЗС-12400-2017;кислородопровод от газового участка до наполнительной станции, расположенный на ОПО – площадка возду- (наименование заключения экспертизы промышленной безопасности) хораз;https://monitor-pb.ru/conclusion/54-%D0%97%D0%A1-12400-2017;;1;;;;0;Закаблуковская Наталья | куратор конкурса |  | Tender.pro
6617002344;"ОАО ""БРУ""";6;0;среда не названа;;К-250-61-1,;20.03.2020;заключение ЭПБ № 54-ТУ-03834-2020;технического устройства турбокомпрессорной установки К-250-61-1, зав № 635, хоз. № 1 установленной на ОПО Площадка вспомогательного производства на участке шахты «Североп;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-03834-2020;22;;;;;0;
5020037784;"АО ""АБ ИНБЕВ ЭФЕС""";5;0;среда не названа;;МО352;18.02.2019;заключение ЭПБ № 16-ТУ-02436-2019;техническое устройство, применяемое на опасном производственном объекте «Аммиачно-холодильная установка филиала (г. Иваново)» (рег. № А02-52891-0036, III класс опасности);https://monitor-pb.ru/conclusion/16-%D0%A2%D0%A3-02436-2019;94;;;Клин;"[""+74959255140"", ""+74959602360"", ""810321";0;
6646009256;"АО ""НЛМК-Урал""";5;0;газ или иная среда;;ГА1-1,6, | ГО1-1,6,;16.12.2016;заключение ЭПБ № 54-ТУ-04932-2016;трубопровод газообразного кислорода ГО1-1,6, кислородно-компрессорная станция, ОАО «НСММЗ», г. Ревда;https://monitor-pb.ru/conclusion/54-%D0%A2%D0%A3-04932-2016;;;;Свердловская;;0;
7017005289;"ООО ""ГАЗПРОМ ТРАНСГАЗ ТОМСК""";5;0;газ или иная среда;;ГПУ 10-01;04.10.2018;заключение ЭПБ № 60-ЗС-18593-2018;"""Здания «Газоперекачивающий агрегат ГПУ 10-01 №4» инв. №000130048 в составе Компрессорного цеха КС «Кожурлинская» инв. №000130029 Барабинского ЛПУМГ ООО «Газпром трансгаз";https://monitor-pb.ru/conclusion/60-%D0%97%D0%A1-18593-2018;73;1;;Томская;;0;
1650350325;"ООО ""АГРОСИЛА-МОЛОКО""";4;0;среда не названа;;65МО 5 | А110-7-2, | АУУ-400 | П110-7-2;29.12.2020;заключение ЭПБ № 43-ТУ-16342-2020;компрессорный агрегат марки АУУ-400, тех. № 3, зав. № 953, применяемый на опасном производственном объекте (ОПО) «Площадка аммиачной холодильной установки», рег. № А43-07;https://monitor-pb.ru/conclusion/43-%D0%A2%D0%A3-16342-2020;;;;;;0;
2457058356;"АО ""НТЭК""";4;0;среда не названа;;;28.12.2022;заключение ЭПБ № 70-ТУ-00880-2015;"трубопровод обогрева фланцев шпилек турбоагрегата ст.№6 ТЭЦ-2 ОАО ""НТЭК""";https://monitor-pb.ru/conclusion/70-%D0%A2%D0%A3-00880-2015;;;;;;0;
5405270340;"АО ""СГК-НОВОСИБИРСК""";4;0;среда не названа;;;25.12.2018;заключение ЭПБ № 60-ТУ-15358-2017;"техническое устройство ""Главный паропровод турбоагрегата ст. № 5, рег. № б/н, применяемый на опасном производственном объекте ""площадка главного корпуса ТЭЦ-4"" АО СИБЭКО";https://monitor-pb.ru/conclusion/60-%D0%A2%D0%A3-15358-2017;;1;;;;0;
