mesto,inn,naimenovanie,summa_bez_nds,operaciy,pervaya_pokupka,poslednyaya_pokupka,tip
235,665812103395,КРИВОЩЕКОВ АЛЕКСАНДР ИВАНОВИЧ,760556.00,1,16.10.2025,16.10.2025,ИП
236,2360010382,"ООО ""БЕЛОГЛИНСКИЙ ЭЛЕВАТОР""",742149.93,1,22.05.2025,22.05.2025,юрлицо
237,6658019241,"ПАО ""ВИЗ""",738583.33,2,07.03.2025,26.11.2025,юрлицо
238,6625021894,"ООО ""ПОЛИПЛАСТ-УРАЛСИБ""",724400.00,7,17.02.2025,18.12.2025,юрлицо
239,9702044125,"ООО ""ЮНИМОЛ""",679000.00,1,13.08.2025,13.08.2025,юрлицо
240,6627000770,"ПАО ""РЗ ОЦМ""",672357.00,2,20.08.2025,24.11.2025,юрлицо
241,4713000120,"ОАО ""ЦЕСЛА""",668067.67,2,28.02.2025,22.12.2025,юрлицо
242,5402054076,"ООО ""АЛЮТЕХ-НОВОСИБИРСК""",665478.30,1,30.06.2025,30.06.2025,юрлицо
243,5257199845,"ООО ""НСП""",637000.00,1,20.03.2025,20.03.2025,юрлицо
244,7203109158,"ООО ""РЕСУРС КОМПЛЕКТ""",636283.34,4,28.04.2025,17.10.2025,юрлицо
245,2420008503,"ООО ""АНГАРА ЛЕС""",632348.32,1,18.06.2025,18.06.2025,юрлицо
246,5405172920,"ООО ""ТЕРМООПТИМА""",632220.00,3,18.07.2025,01.08.2025,юрлицо
247,3808197064,"ООО ""МС-ОФИСПРО""",631643.58,3,30.06.2025,22.10.2025,юрлицо
248,0261003648,"АО ""ИНМАН""",608033.33,9,06.03.2025,24.12.2025,юрлицо
249,7704219345,"ООО ""ЭСАБ""",602829.34,4,24.03.2025,22.12.2025,юрлицо
250,7224006227,"ЗАО ""ПТИЦЕФАБРИКА ""ПЫШМИНСКАЯ""",601638.32,3,21.01.2025,12.02.2025,юрлицо
251,7203162698,"ПАО ""ФОРВАРД ЭНЕРГО""",597840.00,3,29.05.2025,10.07.2025,юрлицо
252,7417011270,"ООО ""ГРУППА ""МАГНЕЗИТ""",587207.33,4,30.04.2025,17.10.2025,юрлицо
253,6661044752,"ООО ""ПРЕДПРИЯТИЕ""ТРУБОПЛАСТ""",568432.49,3,06.05.2025,11.12.2025,юрлицо
254,6660000400,"АО ""УПЗ"", АО ""УРАЛЬСКИЙ ПРИБОРОСТРОИТЕЛЬНЫЙ ЗАВОД""",564914.00,3,11.07.2025,02.10.2025,юрлицо
255,8607004145,"ООО ""ЛАНГЕПАССКО-ПОКАЧЁВСКОЕ НПО-СЕРВИС""",557499.99,1,30.06.2025,30.06.2025,юрлицо
256,5405200166,"ООО ""СПК""",534243.32,2,21.01.2025,29.08.2025,юрлицо
257,0814118403,"АО ""ССК""",526500.00,1,26.06.2025,26.06.2025,юрлицо
258,2222062530,"ООО ""КОНДИТЕРСКАЯ ФИРМА ""АЛТАЙ""",515850.00,1,10.07.2025,10.07.2025,юрлицо
259,6671014316,"ООО ""РАЗВИТИЕ""",514041.67,1,28.02.2025,28.02.2025,юрлицо
260,7453279402,"ООО ""ПАРТНЁРУРАЛ ПЛЮС""",512000.00,2,26.09.2025,08.10.2025,юрлицо
261,4401006864,"НАО ""СВЕЗА КОСТРОМА""",510340.00,1,26.08.2025,26.08.2025,юрлицо
262,2465043748,"ООО ""КРАМЗ""",509724.00,1,11.11.2025,11.11.2025,юрлицо
263,6686062263,"ООО ""ТРАПЕЗА""",500000.00,1,23.10.2025,23.10.2025,юрлицо
264,5606001611,"ООО ""ММСК""",499800.00,2,27.05.2025,21.11.2025,юрлицо
265,3804049957,"ООО ""БХС""",494000.00,2,22.07.2025,22.07.2025,юрлицо
266,5902181202,"АО ""ПЕРМАЛКО""",493699.98,2,14.02.2025,02.10.2025,юрлицо
267,4212014972,"ЗАО ""КАРБО-ЦАКК""",484656.00,3,30.06.2025,30.12.2025,юрлицо
268,2225123485,"ООО ""ЭССИБ""",477750.00,1,26.02.2025,26.02.2025,юрлицо
269,6672315362,"АО ""ПО ""УОМЗ""",475500.00,1,27.11.2025,27.11.2025,юрлицо
270,7401016314,"ООО ""КЛЗ""",475000.00,1,30.12.2025,30.12.2025,юрлицо
271,7817332133,"ООО ""А-МИКРОН""",472266.66,4,13.05.2025,28.10.2025,юрлицо
272,4508004235,"ООО ""ЗАВОД КЕРАМИЧЕСКИХ МАТЕРИАЛОВ""",470693.17,4,28.01.2025,21.11.2025,юрлицо
273,5643022401,"ООО ""МЕХЗАВОД""",465328.34,2,04.02.2025,03.04.2025,юрлицо
274,6685101745,"ООО ""ВОСТОК""",464781.67,8,09.01.2025,28.11.2025,юрлицо
275,5405108940,"ЗАО ШОКОЛАДНАЯ ФАБРИКА ""НОВОСИБИРСКАЯ""",462722.00,1,15.07.2025,15.07.2025,юрлицо
276,6671390293,"ООО ""ДИДЖИТ КОНТРОЛЬ""",462000.00,1,24.10.2025,24.10.2025,юрлицо
277,7417001747,"ПАО ""КОМБИНАТ ""МАГНЕЗИТ""",456278.91,1,06.03.2025,06.03.2025,юрлицо
278,6673130639,"ООО ""БЗМП""",437955.83,1,26.05.2025,26.05.2025,юрлицо
279,1645018033,"ООО ""ПЛАЗМА""",432900.00,1,18.08.2025,18.08.2025,юрлицо
280,2543097461,"ООО ""АВРОРА СПГ ВЛАДИВОСТОК""",427440.00,1,03.09.2025,03.09.2025,юрлицо
281,4506000010,"ОАО ""ЗАВОД СТАРТ""",424911.66,5,19.03.2025,10.12.2025,юрлицо
282,1832109347,"ООО НПО ""КОМПАНИЯ ""АВИС""",412500.00,1,26.05.2025,26.05.2025,юрлицо
283,7415075158,"ООО НПК ""КАЛИБР""",410672.92,3,27.11.2025,30.12.2025,юрлицо
284,5626008809,"СПК ""ПТИЦЕФАБРИКА ГАЙСКАЯ""",408710.00,1,27.02.2025,27.02.2025,юрлицо
285,0270012208,"ООО ""ЗАВОД ""СТРОЙМИНЕРАЛ""",408461.67,2,18.06.2025,21.07.2025,юрлицо
286,5905099475,"ООО ""ЛУКОЙЛ-ПЕРМНЕФТЕОРГСИНТЕЗ""",400000.00,1,29.05.2025,29.05.2025,юрлицо
287,5902152547,"ООО ""АКС""",395615.00,3,03.02.2025,21.07.2025,юрлицо
288,5904007312,"АО ""ОДК-ПМ""",388166.67,1,26.02.2025,26.02.2025,юрлицо
289,6662080545,"ООО ""ЩИТ-СТРОЙ""",388000.00,3,02.07.2025,07.11.2025,юрлицо
290,5613000880,"АО ""ОРСКИЙ МАШИНОСТРОИТЕЛЬНЫЙ ЗАВОД""",384000.00,2,31.03.2025,15.07.2025,юрлицо
291,6646012280,"ООО ""МИХАЙЛОВСКИЙ КАРЬЕР""",376166.67,2,30.06.2025,04.09.2025,юрлицо
292,6658078007,"ЗАО ""ЗАВОД ЭМА""",374144.14,8,31.01.2025,27.11.2025,юрлицо
293,3321027747,"АО ""ГЕНЕРИУМ""",367699.99,2,10.02.2025,10.06.2025,юрлицо
294,0245960382,"ООО ""АТ""",366883.33,5,25.02.2025,19.11.2025,юрлицо
295,5410079229,"АО ""ПО ""СЕВЕР""",358000.00,1,15.04.2025,15.04.2025,юрлицо
296,4229004316,"ООО ""ТОПКИНСКИЙ ЦЕМЕНТ""",353930.00,1,14.11.2025,14.11.2025,юрлицо
297,3124011000,"АО ""БМК""",351794.98,4,06.02.2025,28.07.2025,юрлицо
298,0100007151,"ООО ""СИББИР""",345709.00,4,01.04.2025,18.07.2025,юрлицо
299,5911013211,"АО ""МЕАКИР""",342570.00,1,31.07.2025,31.07.2025,юрлицо
300,4715029693,"ООО ""ТИМКЕН ОВК""",332700.00,3,15.09.2025,15.12.2025,юрлицо
301,7204003683,"АО ""ТЮМЕНСКИИ КХП""",332418.33,1,26.06.2025,26.06.2025,юрлицо
302,6316110515,"ООО ""ЕПК-КУЗНИЦА""",332290.00,1,01.04.2025,01.04.2025,юрлицо
303,5408156204,"ООО ""ГЕРКУЛЕС-СИБИРЬ""",330963.33,3,22.01.2025,20.10.2025,юрлицо
304,6678093250,"ООО ""ЖЕЛЕЗНЫЙ АРГУМЕНТ""",330716.65,4,12.03.2025,23.12.2025,юрлицо
305,6658286617,"ООО ""УРАЛЬСКИЙ СТЕКОЛЬНЫЙ ЗАВОД""",328500.01,6,31.01.2025,15.10.2025,юрлицо
306,6439000706,"АО ""ПИВКОМБИНАТ ""БАЛАКОВСКИЙ""",327336.00,1,23.12.2025,23.12.2025,юрлицо
307,5003022562,"ООО ""ИЗВАРИНО ФАРМА""",321300.00,2,19.08.2025,19.12.2025,юрлицо
308,6670111211,"ООО ""КСМ""",320833.33,1,25.06.2025,25.06.2025,юрлицо
309,3814018958,"ООО ""СГБ""",317000.00,1,27.10.2025,27.10.2025,юрлицо
310,7719465590,"ООО ""ВМИК""",313333.32,1,30.04.2025,30.04.2025,юрлицо
311,4253002711,"ООО ""СИБИРЬ-ЭНЕРГО""",307425.00,2,06.02.2025,07.11.2025,юрлицо
312,6623049453,"АО ""УКБТМ""",306700.00,2,27.02.2025,01.09.2025,юрлицо
313,1650371043,"ООО ""ХАИР""",304420.38,2,16.04.2025,24.09.2025,юрлицо
314,6664002550,"ПАО ""УРАЛЬСКИЙ ЗАВОД РТИ""",300000.00,1,24.09.2025,24.09.2025,юрлицо
315,8602303769,"ООО ""ТД НОРД БИР""",296950.00,1,15.12.2025,15.12.2025,юрлицо
316,666600073221,ПШЕНИЦЫН ВЛАДИМИР ВИКТОРОВИЧ,296532.00,1,05.09.2025,05.09.2025,ИП
317,1658211250,"ООО ""СЕВЕР""",295850.01,2,22.04.2025,19.08.2025,юрлицо
318,6670207499,"ООО ""ЭНЕРГОЛИДЕР""",291666.67,1,23.04.2025,23.04.2025,юрлицо
319,6658487842,"ООО ""ЮНИСИЛА УРАЛ""",290000.00,1,11.12.2025,11.12.2025,юрлицо
320,5401365544,"ООО ""РЫБНЫЙ ХИТ""",287711.00,3,30.10.2025,03.12.2025,юрлицо
321,6671317254,"ООО ""УЗМК""",280654.17,9,18.06.2025,28.10.2025,юрлицо
322,6659059688,"ООО ""ХЛАДОКОМБИНАТ № 3""",274883.33,4,04.04.2025,11.09.2025,юрлицо
323,6652018883,"АО ""АГРОФИРМА ""ПАТРУШИ""",273106.68,4,26.03.2025,01.09.2025,юрлицо
324,6670312670,"ООО ""ПТК ""ЭКОРЕЦИКЛИНГ""",272935.00,1,23.07.2025,23.07.2025,юрлицо
325,4307018566,"ООО ""АЛЬТЕРАН""",271500.00,1,11.04.2025,11.04.2025,юрлицо
326,3528215377,"ООО ""МЕХАНИК""",269713.60,2,17.04.2025,24.11.2025,юрлицо
327,7321316986,"ООО ""ЗАВОД ТЕХНОНИКОЛЬ-УЛЬЯНОВСК""",260177.00,2,19.03.2025,30.12.2025,юрлицо
328,6674368458,"ООО ""ДОБРОГОСТ""",256814.16,3,09.01.2025,20.05.2025,юрлицо
329,7816017139,"АО ""ФОРМИК""",252602.95,1,31.03.2025,31.03.2025,юрлицо
330,6610003204,"АО ""ШЕМУР""",252000.00,1,15.12.2025,15.12.2025,юрлицо
331,6671136956,"ООО ""РЕМКОМ-СЕРВИС""",249666.66,4,15.01.2025,23.09.2025,юрлицо
332,7842000607,"ООО ""ДЕЛЬФИН ГРУПП""",245100.00,2,21.07.2025,29.10.2025,юрлицо
333,6604029211,"ООО ""ПРОМСОРТ-МЕТИЗ""",239163.13,3,27.03.2025,27.03.2025,юрлицо
334,6670503272,"ООО ""ГРАНДИОС""",238166.67,2,21.03.2025,09.04.2025,юрлицо
335,7816377614,"ООО ""КГ СТРОЙ СИСТЕМЫ""",235440.00,2,07.10.2025,08.10.2025,юрлицо
336,7224008030,"АО ""ПТИЦЕФАБРИКА ""БОРОВСКАЯ""",233875.01,5,22.01.2025,09.07.2025,юрлицо
337,6679100694,"ООО ""ПКФ ""ЭКО-ПРОЦЕССИНГ""",223666.67,8,27.03.2025,23.10.2025,юрлицо
338,6685084514,"АО ""АГЕНТСТВО ПО РАЗВИТИЮ РЫНКА ПРОДОВОЛЬСТВИЯ""",223204.16,5,13.02.2025,30.06.2025,юрлицо
339,5440112120,"ООО ""ЗАВОД КЕРАМИЧЕСКИХ ИЗДЕЛИЙ ""УНИВЕРСАЛ""",220950.00,1,18.09.2025,18.09.2025,юрлицо
340,1629006915,"ООО ""ТЭС""",220800.00,1,30.12.2025,30.12.2025,юрлицо
341,781130008299,РОМАНОВ АЛЕКСЕЙ АНАТОЛЬЕВИЧ,220023.33,7,19.05.2025,11.12.2025,ИП
342,7203372409,"ООО ""АБСОЛЮТ-АГРО""",219250.00,3,14.01.2025,30.07.2025,юрлицо
343,6432009756,"ООО ""КОРОЛЬ ДИВАНОВ""",198000.00,2,28.08.2025,02.12.2025,юрлицо
344,6662001134,"ОАО ""СКХП""",195033.33,2,12.02.2025,21.07.2025,юрлицо
345,7413026758,"ООО ""ИНВЕСТХИМАГРО""",194583.31,1,26.05.2025,26.05.2025,юрлицо
346,6681004250,"ООО ""МОЛОЧНАЯ БЛАГОДАТЬ""",187566.66,2,19.03.2025,23.09.2025,юрлицо
347,5506200910,"ООО ""СТРОЙМОНТАЖ-5""",186480.00,1,27.10.2025,27.10.2025,юрлицо
348,6633021880,"ООО ""ТАЛИЦКОЕ МОЛОКО""",184608.00,1,24.07.2025,24.07.2025,юрлицо
349,7401000191,"ПАО ""АГРЕГАТ""",184276.00,2,23.10.2025,23.10.2025,юрлицо
350,6664012780,"ООО ""МЕПОС""",183425.00,1,18.12.2025,18.12.2025,юрлицо
351,5406305355,"ООО ""СИБСТЕКЛО""",183070.00,1,11.12.2025,11.12.2025,юрлицо
352,5405098804,"ООО ""ВЫСОКИЕ ОБОРОТЫ""",183010.00,3,02.07.2025,04.12.2025,юрлицо
353,4221011880,"ООО ""СИБЭЛЕКТРО""",180740.00,1,18.12.2025,18.12.2025,юрлицо
354,7805766778,"ООО ""ЛИТС""",179166.67,1,03.02.2025,03.02.2025,юрлицо
355,4505200979,"АО ""ВАРГАШИНСКОЕ ДРСП""",179166.67,1,14.03.2025,14.03.2025,юрлицо
356,5440102612,"ГБУЗ НСО ""ЧЕРЕПАНОВСКАЯ ЦРБ""",177070.00,2,20.10.2025,08.12.2025,юрлицо
357,662604962841,ЗЫРЯНОВА НАТАЛЬЯ ВАЛЕРЬЕВНА,176083.33,3,21.04.2025,22.05.2025,ИП
358,1646020116,"АО ""ПОЛИМАТИЗ""",175999.99,2,26.03.2025,30.12.2025,юрлицо
359,2221239841,"ООО ""РУСПРОМ""",174800.00,2,01.07.2025,03.09.2025,юрлицо
360,6316270332,"ООО ""ТД ""МЕТИМПРОМ""",173000.00,1,28.08.2025,28.08.2025,юрлицо
361,5405077963,"ООО ""АВИАКОМПОЗИТ""",171311.00,1,05.12.2025,05.12.2025,юрлицо
362,6382049214,"ООО ""ЗИП""",168266.67,2,20.01.2025,08.09.2025,юрлицо
363,450133560300,ШЕСТАКОВ КОНСТАНТИН ЮРЬЕВИЧ,167700.00,2,15.09.2025,06.11.2025,ИП
364,6664025331,"АО ""НПФ ""ЮВЭНК""",167011.67,2,28.02.2025,29.10.2025,юрлицо
365,6672162236,"ООО ""ТПГ ""СОЛИД""",164583.33,3,25.02.2025,05.05.2025,юрлицо
366,6661010721,"АО ""НПО ""ИНТРОТЕСТ""",161560.00,2,18.07.2025,15.09.2025,юрлицо
367,6633017549,"АО ""БГМЗ""",156304.67,3,29.04.2025,25.09.2025,юрлицо
368,6670444299,"ООО ""НПП СМАРТПОЛИМЕР""",156016.67,2,31.01.2025,02.10.2025,юрлицо
369,1833026870,"ООО ""ИРЗ""",150800.00,1,08.07.2025,08.07.2025,юрлицо
370,6652002273,"АО ""КЗФ""",150000.00,1,20.05.2025,20.05.2025,юрлицо
371,5903003690,"АО ""ПЕРМСКИЙ МУКОМОЛЬНЫЙ ЗАВОД""",146240.00,2,11.11.2025,12.12.2025,юрлицо
372,2463086538,"ООО""ИММЕРТЕХНИК""",140500.00,2,05.09.2025,30.10.2025,юрлицо
373,6646014369,"ООО ""УДАРНИК""",139537.50,1,13.05.2025,13.05.2025,юрлицо
374,6685026960,"ООО ""ПНЕВМОПРОЕКТ""",137625.00,2,12.03.2025,10.06.2025,юрлицо
375,6670514179,"ООО ""КАМЫШЛОВСКИЙ КВАС""",136898.00,2,20.03.2025,13.08.2025,юрлицо
376,5916031750,"ООО ""КАМА""",135166.67,1,23.01.2025,23.01.2025,юрлицо
377,3618003426,"ЗАО ""АВС ФАРБЕН""",132666.66,1,23.04.2025,23.04.2025,юрлицо
378,5406244208,"ООО ""ПОЛИМЕРПАК""",129086.66,5,13.01.2025,21.10.2025,юрлицо
379,7730248021,"ООО ""ИСО""",125000.00,1,31.03.2025,31.03.2025,юрлицо
380,0572032218,"ООО ""КАСПИЙСКИЙ НПЗ""",123500.00,1,30.07.2025,30.07.2025,юрлицо
381,5506202219,"АО ""ЦКБА""",123000.00,2,28.08.2025,28.08.2025,юрлицо
382,4501083781,"АО ""КУРГАНСКИЕ ПРИЦЕПЫ""",122250.00,2,26.03.2025,25.04.2025,юрлицо
383,6670078934,"АО ""ИПП ""УРАЛЬСКИЙ РАБОЧИЙ""",121214.16,3,28.04.2025,16.05.2025,юрлицо
384,6633028244,"ООО ""СЛК ЦЕМЕНТ""",120000.00,1,09.01.2025,09.01.2025,юрлицо
385,5612030402,"ООО ""ОРЕНБУРГСКИЙ РАДИАТОР""",120000.00,1,11.03.2025,11.03.2025,юрлицо
386,6452046139,"ООО ""ДИКОМП-КЛАССИК""",116250.00,3,12.02.2025,07.07.2025,юрлицо
387,6646010043,"АО ""УРАЛЬСКАЯ ФОЛЬГА""",116133.33,2,19.06.2025,11.08.2025,юрлицо
388,5911083593,"ООО ""АВИСМА""",114833.33,1,25.06.2025,25.06.2025,юрлицо
389,7734412811,"ООО ""СИБМОЛ""",113575.00,3,06.03.2025,13.05.2025,юрлицо
390,5408106299,"АО ""ИПФ""",113000.00,1,05.09.2025,05.09.2025,юрлицо
391,1646033958,"ООО ""ДРАЙЛОК ТЕКНОЛОДЖИЗ""",110166.66,5,31.03.2025,16.12.2025,юрлицо
392,6672212127,"ООО ""547 МЕХАНИЧЕСКИЙ ЗАВОД""",107416.66,5,22.01.2025,13.02.2025,юрлицо
393,5440105726,"АО ПЛЕМЗАВОД ""МЕДВЕДСКИЙ""",103995.00,1,13.10.2025,13.10.2025,юрлицо
394,1650331731,"ООО ""ПОЛИХИМ СИСТЕМС""",97300.01,1,28.04.2025,28.04.2025,юрлицо
395,6685124044,"ООО ""МЦС""",94166.67,1,23.06.2025,23.06.2025,юрлицо
396,1651084080,"ООО ""БИКОТЕКС""",93500.00,1,22.05.2025,22.05.2025,юрлицо
397,5509007368,"ООО ""КЕРАМИКА""",92150.00,3,21.01.2025,28.11.2025,юрлицо
398,6685100188,"ООО ""ШИНА-СТАНДАРТ""",90950.00,1,01.09.2025,01.09.2025,юрлицо
399,5405496548,"ООО ""ПРОМГК""",90749.99,3,07.02.2025,14.04.2025,юрлицо
400,6679044016,"ООО ""ЭКОПРОСТ""",89500.00,1,18.07.2025,18.07.2025,юрлицо
401,6325000660,"АО ""ТЯЖМАШ""",86158.84,2,11.02.2025,31.03.2025,юрлицо
402,6679089063,"ООО ИПК ""ЛАЗУРЬ""",85850.00,3,30.09.2025,30.09.2025,юрлицо
403,7414001724,"АО ""МКХП-СИТНО""",85500.00,1,25.06.2025,25.06.2025,юрлицо
404,5506223515,"ООО ""ПРОМРЕСУРСЫ-СЕРВИС""",82999.99,2,13.05.2025,06.06.2025,юрлицо
405,7811438750,"ООО ГК ""ЛИМАН""",81600.00,1,05.12.2025,05.12.2025,юрлицо
406,6683013821,"ООО ""ГРАНСФЕРА""",78250.00,1,14.07.2025,14.07.2025,юрлицо
407,6659042028,"ЗАО "" РЦЛТ""",78250.00,2,01.08.2025,24.09.2025,юрлицо
408,5261058974,"ООО ""ХАЙДЖИН ТЕКНОЛОДЖИЗ""",77500.00,1,25.04.2025,25.04.2025,юрлицо
409,7459007050,"ООО ""АРТМЕТАЛЛ""",75350.00,3,07.11.2025,07.11.2025,юрлицо
410,6685218398,"ООО ""АТЛАС УРАЛ""",74900.00,2,26.02.2025,26.02.2025,юрлицо
411,7203556170,"ООО ""ЭЛЬБРУС ДРИЛЛИНГ""",74300.02,1,26.08.2025,26.08.2025,юрлицо
412,6608002732,"ЕМУП ""ГОРТРАНС""",73700.00,1,07.11.2025,07.11.2025,юрлицо
413,6673197337,"АО ""УЭТМ""",73300.00,3,10.01.2025,21.07.2025,юрлицо
414,5404148844,"ООО ""СИБКОР-Н""",71623.40,1,07.08.2025,07.08.2025,юрлицо
415,9723202703,"ООО ""ПРОМТЕХ""",70700.00,1,15.07.2025,15.07.2025,юрлицо
416,7702451423,"ООО ""НПО ""АТЛАНТ""",68800.00,2,04.08.2025,15.09.2025,юрлицо
417,4715011103,"ООО ""ЛУЗАЛЕС-ТИХВИН""",68700.00,1,04.06.2025,04.06.2025,юрлицо
418,7813252159,"АО ""ГОЗНАК""",68500.00,1,30.04.2025,30.04.2025,юрлицо
419,8603219421,"ООО ""ЮГРА КОМПРЕССОР""",67800.00,3,14.11.2025,04.12.2025,юрлицо
420,6679084844,"ООО ""ВИЯ""",65850.00,2,27.05.2025,29.08.2025,юрлицо
421,7203557826,"ООО ""КЕНЕРА""",65392.77,1,22.12.2025,22.12.2025,юрлицо
422,5615002700,"ПАО ""ОРСКНЕФТЕОРГСИНТЕЗ""",65000.00,1,25.02.2025,25.02.2025,юрлицо
423,4501221030,"ООО ""ХЛЕБОКОМБИНАТ №1""",64683.34,4,23.01.2025,25.12.2025,юрлицо
424,5405950881,"ООО ""НМ""",64440.00,1,11.12.2025,11.12.2025,юрлицо
425,4501169460,"ООО ""РЕМСТРОЙМАШ""",64333.34,1,18.03.2025,18.03.2025,юрлицо
426,8602242925,"ООО МЯСОКОМБИНАТ ""СУРГУТСКИЙ""",64041.66,1,26.02.2025,26.02.2025,юрлицо
427,0276908600,"ООО ""АВЕРС ТЕХНО""",62583.33,1,06.06.2025,06.06.2025,юрлицо
428,7709787790,"ООО ""ВЕЛЕССТРОЙ""",61285.20,1,08.07.2025,08.07.2025,юрлицо
429,5607142044,"ООО ""ОРЕНБУРГСКИЙ ПРОПАНТ""",60500.00,2,04.04.2025,07.04.2025,юрлицо
430,6670371026,"ООО ""СИК""",60400.00,1,08.10.2025,08.10.2025,юрлицо
431,6670274287,"ООО  ""ИНОТЕКС""",59057.67,1,08.09.2025,08.09.2025,юрлицо
432,661214316424,ПШЕНИЦЫНА ИРИНА ЕВГЕНЬЕВНА,57374.99,1,20.01.2025,20.01.2025,ИП
433,6673105167,"ООО ""УДМЗ""",54166.66,1,17.02.2025,17.02.2025,юрлицо
434,5918011446,"ООО ""ЭМС""",54000.00,2,10.04.2025,25.09.2025,юрлицо
435,3906134785,"ООО ""БЕНТЕК""",53300.00,1,31.10.2025,31.10.2025,юрлицо
436,6682022439,"ООО ""ЛОДЖИКРУФ-УРАЛ"";",53200.00,2,05.09.2025,17.12.2025,юрлицо
437,3808226075,"ООО ""СИБМЕТУПАК""",53166.67,1,11.03.2025,11.03.2025,юрлицо
438,5433150823,"АО ""ВЕКТОР-БИАЛЬГАМ""",52400.00,1,14.07.2025,14.07.2025,юрлицо
439,5427107812,"ООО ПК ""ИНВЕСТСТРОЙПРОЕКТ""",47800.01,2,16.06.2025,29.07.2025,юрлицо
440,5603035933,"ООО ""РЦСУ""",47400.00,1,04.02.2025,04.02.2025,юрлицо
441,6345012488,"АО ""ГИДРОРЕМОНТ-ВКК""",46666.67,1,05.05.2025,05.05.2025,юрлицо
442,6670431469,"ООО ЗАВОД ""БЕРИТ""",46200.00,1,01.09.2025,01.09.2025,юрлицо
443,8603118208,"АО""СНПХ""",45000.00,1,04.04.2025,04.04.2025,юрлицо
444,6672305484,"ООО ""ШТОРМ""",43750.00,1,14.01.2025,14.01.2025,юрлицо
445,1841032147,"ООО ""ТДС""",43500.00,1,04.09.2025,04.09.2025,юрлицо
446,720316359790,ПУГАЧЕВ БОРИС АЛЕКСАНДРОВИЧ,43333.34,2,10.04.2025,19.06.2025,ИП
447,6670257154,"ООО ""ЦМИ""",42988.00,1,20.11.2025,20.11.2025,юрлицо
448,7709014944,"АО ""ГАЗПРОМ БЫТОВЫЕ СИСТЕМЫ""",42525.00,1,10.12.2025,10.12.2025,юрлицо
449,5410003420,"ООО ""ЦЕХ ШТАМПОВКИ""",42000.00,1,17.09.2025,17.09.2025,юрлицо
450,7842186870,"ООО ""НОРД ВЕСТ""",41900.00,1,19.08.2025,19.08.2025,юрлицо
451,6659162847,"ООО ""ХИМЭНЕРГО""",41250.00,1,09.01.2025,09.01.2025,юрлицо
452,1650211040,"ООО ""ПКФ ""АВТОКОМПОНЕНТЫ-ТРЕЙД""",41000.00,1,29.01.2025,29.01.2025,юрлицо
453,1121022547,"ООО ""ПАЛЛЕТ СЕВЕР""",40800.00,1,24.10.2025,24.10.2025,юрлицо
454,1684017410,"ООО ""КОМПРЕССОР СЕРВИС""",40600.00,1,26.08.2025,26.08.2025,юрлицо
455,6670106476,"ООО НПП ""ПНМ""",34500.00,1,10.04.2025,10.04.2025,юрлицо
456,2456011468,"ООО ""НММКК""",34375.00,1,14.05.2025,14.05.2025,юрлицо
457,8604056145,"ООО ""ЭТС-1""",33900.00,1,19.12.2025,19.12.2025,юрлицо
458,3849070878,"ООО ""НОВЫЙ БЕТОН""",32041.67,1,19.06.2025,19.06.2025,юрлицо
459,4221017793,"ООО ""КАМСС-СЕРВИС""",32000.00,1,26.08.2025,26.08.2025,юрлицо
460,7811518357,"ООО ""КОМАИР СПБ""",31666.67,1,18.03.2025,18.03.2025,юрлицо
461,6626019584,"ООО ""ЦЕНТР - ОЙЛ""",30250.00,1,24.03.2025,24.03.2025,юрлицо
462,7451205807,"ООО ""ПРОМИНЖИНИРИНГ""",30000.00,1,15.12.2025,15.12.2025,юрлицо
463,6658456643,"ООО ""КИСЛОРОДМОНТАЖ""",29900.00,1,30.12.2025,30.12.2025,юрлицо
464,6672267630,"ООО ""ПРОМСЫРЬЕ""",28500.00,1,29.10.2025,29.10.2025,юрлицо
465,7448025642,"АО ""ГК ""РОСМОЛ""",27500.00,1,22.08.2025,22.08.2025,юрлицо
466,665801787312,ОБУХОВ КОНСТАНТИН ГЕННАДЬЕВИЧ,25833.33,1,05.03.2025,05.03.2025,ИП
467,6670225868,"ООО ""НПП ""ТСП""",24850.00,1,28.10.2025,28.10.2025,юрлицо
468,5501236824,"ООО ""СТРОЙТРАСТ""",24824.00,1,11.07.2025,11.07.2025,юрлицо
469,6672315309,"ООО ""УРАЛТРЕЙД""",24800.00,1,20.08.2025,20.08.2025,юрлицо
470,6685030519,"ООО ТД ""ФПК""",23666.67,1,22.01.2025,22.01.2025,юрлицо
471,4345323627,"ООО ""СТТ-СТРОЙ""",22000.00,1,13.10.2025,13.10.2025,юрлицо
472,3807000276,"МУП ""ВОДОКАНАЛ"" Г.ИРКУТСКА",20333.33,1,28.02.2025,28.02.2025,юрлицо
473,5905011590,"ООО ""ИНТРАСТ""",19550.00,1,21.08.2025,21.08.2025,юрлицо
474,6625040150,"ООО ""АЛЬТАИР""",19450.00,1,09.07.2025,09.07.2025,юрлицо
475,5410778210,"ООО ""ПМК""",18570.00,1,26.11.2025,26.11.2025,юрлицо
476,6669002747,"АО ""СА""",16800.00,1,21.07.2025,21.07.2025,юрлицо
477,3810023308,"АО ""ФАРМАСИНТЕЗ""",14000.00,1,18.11.2025,18.11.2025,юрлицо
478,6150040275,"ООО ""СИНТЕЗ-ДОН""",12000.00,1,12.12.2025,12.12.2025,юрлицо
