inn;predpriyatie;chto_u_nih;moy_yarlyk;citata;ssylka;pochemu
5042047507;МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ СЕРГИЕВО-ПОСАДСКОГО МУНИЦИПАЛЬНОГО Р;центробежная | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Поставка электролобзика и воздуходувки;https://zakupki.mos.ru/need/3847684;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
9110029591;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ ЛЕЧЕБНО-ПРОФИЛАКТИЧЕСКОЕ УЧРЕЖДЕНИЕ ""САНАТОРИЙ """;центробежная / воздух;садовый инструмент, не машина;"Триммер, воздуходувка для листьев.; Бензопила, кусторез.";https://www.roseltorg.ru/procedure/0375400001123000025/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7724189184;Государственное бюджетное учреждение города Москвы «Мой особый семейны;центробежная | поршневая или винтовая | тип не установлен / воздух;поршневая или винтовая;Компрессор поршневой L'unite Germetique CAJ 2446 Z;https://zakupki.mos.ru/auction/10135302;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
2313017969;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СПОРТИВНАЯ ШКОЛА № 1 ГОРОДА КРОПОТК;центробежная / воздух;садовый инструмент, не машина;Воздуходувка Champion GBV327S;https://zakupki.mos.ru/need/3544999;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5042056124;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СПОРТИВНО-ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР ""Л";центробежная | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Покупка мотокосы и воздуходувки;https://zakupki.mos.ru/need/5655635;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5074045703;Государственное бюджетное общеобразовательное учреждение города Москвы;центробежная | тип не установлен / воздух;садовый инструмент, не машина;Воздуходувка для чистки компьютера от пыли;https://zakupki.mos.ru/auction/9944531;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
8107008208;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОДА;центробежная / воздух;садовый инструмент, не машина;Воздуходувка;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=066faed3-599f-450c-a6c4-6f2ef09e1f0f_a3db8233-8473-4db2-84f3-eb12eabad464&infoGuid=066faed3-599f-450c-a6c4-6f2ef09e1f0f;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7133004871;"ГОСУДАРСТВЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ТУЛЬСКОЙ ОБЛАСТИ ""СУВОР";центробежная / воздух;садовый инструмент, не машина;Оказание услуг по ремонту воздуходувки;https://zakupki.mos.ru/need/5751852;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7805144992;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5853796;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7720022032;Государственное бюджетное учреждение здравоохранения города Москвы «Го;центробежная | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Воздуходувка электрическая CHAMPION EB1000;https://www.roseltorg.ru/procedure/SP9788580/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7706816114;Государственное бюджетное учреждение города Москвы «Жилищник района Як;центробежная | не установлен | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Воздуходувка бензиновая ранцевая PATRIOT BGK 345 (2,5 л.с.);https://zakupki.mos.ru/auction/9844418;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
1650448916;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРК КУЛЬТУРЫ И ОТДЫХА""";центробежная / воздух;садовый инструмент, не машина;Воздуходувка Champion GBR376;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=35b893ed-e88b-42eb-97a5-0f3dcf2601ea_db46ef77-ea70-407b-94e7-a9a28d2cf603&infoGuid=35b893ed-e88b-42eb-97a5-0f3dcf2601ea;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7132013665;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ ";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки(муниц).;https://zakupki.mos.ru/need/6093020;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7827001564;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА-ИНТЕРНА;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/4214170;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7733146243;Государственное бюджетное образовательное учреждение дополнительного о;центробежная / воздух;садовый инструмент, не машина;Воздуходувка Greenworks GD82ABIIk5 5Ыч;https://www.roseltorg.ru/procedure/SP10199385/3;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
6619009120;"МУП ""ЭНЕРГОСЕРВИС"" МО КРАСНОУФИМСКИЙ РАЙОН";центробежная | не установлен / воздух;вихревая или роторная воздуходувка, принцип не центробежный;Воздуходувка роторная;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=5a0ff0b1-96a2-4447-9e39-0ab1ee1eb165_fcdf2ec0-95b0-4f8e-8be2-054d9e8da7b1&infoGuid=5a0ff0b1-96a2-4447-9e39-0ab1ee1eb165;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7721179357;Государственное бюджетное общеобразовательное учреждение города Москвы;центробежная / воздух;садовый инструмент, не машина;Воздуходувка ATEnge портативная 5 насадок/ 2 режима: обдув/всасывание / 500 Вт;https://zakupki.mos.ru/auction/9793392;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7827001162;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Воздуходувка;https://zakupki.mos.ru/need/86087;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7718103950;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ГОРОД;центробежная | садовый инструмент, не машина / воздух;вихревая или роторная воздуходувка, принцип не центробежный;Воздуходувка ERSTEVAK EVL 89/57 7,5кВт;https://zakupki.mos.ru/auction/10069942;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7807008265;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕО;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5661059;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7804142047;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕО;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5623251;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5004017910;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ВОЛОКОЛАМСКИЙ БИБЛИОТЕЧНЫЙ ЦЕНТР""";центробежная | не установлен / воздух;садовый инструмент, не машина;Поставка бензиновых триммера и воздуходувки;https://zakupki.mos.ru/need/4553768;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5030034623;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫШЕГОРОДСКАЯ Ш;центробежная / воздух;садовый инструмент, не машина;Поставка триммера и воздуходувки;https://zakupki.mos.ru/need/5418566;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7713288793;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ;центробежная | не установлен | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Воздуходувка Makita EB5300TH;https://www.roseltorg.ru/procedure/SP9123837/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
2128019471;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ «СРЕДНЯЯ ОБЩЕОБ;центробежная / воздух;садовый инструмент, не машина;Закупка воздуходувки;https://www.tektorg.ru/market/procedures/1379501;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5025009660;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЛИЦЕЙ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5643519;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5034027313;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""ДВОРЕЦ СПОРТА ""ВОСТОК"" ГОРОДСКОГО ОКРУГА ОРЕ";центробежная | тип не установлен / воздух;садовый инструмент, не машина;Поставка компрессора высокого давления;https://zakupki.mos.ru/need/5838934;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5029100230;"муниципальное бюджетное общеобразовательное учреждение ""Средняя общеоб";центробежная | тип не установлен / воздух;садовый инструмент, не машина;Закупка бензотримера, воздуходувки;https://zakupki.mos.ru/need/5001686;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7804139140;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЛИЦЕЙ № 95 КА;центробежная | не установлен / воздух;садовый инструмент, не машина;Поставка бензо-воздуходувки;https://zakupki.mos.ru/need/88818;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7826051361;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://www.roseltorg.ru/procedure/0372200251822000053/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5009035046;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОМОДЕДОВСКИЙ ;центробежная | не установлен / воздух;садовый инструмент, не машина;Приобретение бытовой техники;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=3a982c7f-da1e-4d4f-acf3-dfb938efaf43_6174f7fe-e9c7-43e0-a1a0-dfe3a2024684&infoGuid=3a982c7f-da1e-4d4f-acf3-dfb938efaf43;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7710031380;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""МОСКОВСКИЙ ГОСУДА";центробежная | тип не установлен | не установлен | центробеж / воздух;центробежный насос, не компрессор;"Поставка насосов центробежных IWAKI для ГАУ ""Московский зоопарк""";https://zakupki.mos.ru/tender/30188069;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5013029969;МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ - СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛ;центробежная / воздух;садовый инструмент, не машина;поставка воздуходувки;https://zakupki.mos.ru/need/5468499;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7610015674;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СУДОСТРОИТЕЛЬНЫЙ ЗАВОД ""ВЫМПЕЛ""";центробежная | тип не установлен | не установлен | услуга ил / воздух;услуга или чужая техника, не наша машина;Масло компрессорное Taif Harmony Pao 46;https://zakupki.mos.ru/need/5493576;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5071003945;"МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛОТОШИНСКАЯ СРЕДНЯЯ ОБЩЕ";центробежная / воздух;садовый инструмент, не машина;Воздуходувка от листьев;https://zakupki.mos.ru/need/5788090;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
6501026762;АДМИНИСТРАЦИЯ ГОРОДА ЮЖНО-САХАЛИНСКА;центробежная | не установлен / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://www.roseltorg.ru/procedure/0161300000121000025/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7729760683;Государственное бюджетное учреждение города Москвы «Жилищник района Ра;центробежная | поршневая или винтовая | тип не установлен |  / воздух;поршневая или винтовая;Закупка поршневого компрессора с ременным приводом;https://zakupki.mos.ru/tender/31791061;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7715446974;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ;центробежная / воздух;садовый инструмент, не машина;Воздуходувка для листьев;https://www.roseltorg.ru/procedure/SP9104954/8;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7827001268;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ НАЧАЛЬНАЯ ОБЩ;центробежная / воздух;садовый инструмент, не машина;Поставка пылесоса и воздуходувки;https://zakupki.mos.ru/need/4742802;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5917101560;МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЛИЦЕЙ № 1 ГОРО;центробежная / воздух;садовый инструмент, не машина;Воздуходувка;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=50d22184-6f3c-4029-b2e7-bd4ade4e47c0_28b15ad6-fb13-44d3-8852-b47af071bd68&infoGuid=50d22184-6f3c-4029-b2e7-bd4ade4e47c0;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5008019147;ГАОУ МО «ДОЛГОПРУДНЕНСКАЯ ГИМНАЗИЯ»;центробежная | тип не установлен / воздух;садовый инструмент, не машина;Поставка компрессора для холодильника в 2025 году;https://zakupki.mos.ru/need/5433863;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5003028155;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНС";центробежная | тип не установлен | не установлен | вихревая  / воздух;объект — труба, щит или сосуд, не машина;Сосуда (корпуса воздуходувки), работающего под давлением, зав.№116/12-0208, рег.№57 V-62 л, Р – 40,0 кгс/см2 , принадлежащего ООО «Газпром ВНИИГАЗ», расположенного в пос. Развилка Ленинского района Московской области;https://monitor-pb.ru/conclusion/02-%D0%A2%D0%A3-17427-2015;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7838459941;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ФИЗИЧЕ";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки и шуруповерта;https://zakupki.mos.ru/need/5286056;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7719882717;Государственное бюджетное общеобразовательное учреждение города Москвы;центробежная | не установлен / воздух;садовый инструмент, не машина;Воздуходувка Makita DUB362Z;https://zakupki.mos.ru/auction/9887805;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5029100046;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ГИМНАЗИЯ № 16""";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки STIHL (ШТИЛЬ) бензиновый;https://zakupki.mos.ru/need/4767037;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7804086628;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная | не установлен / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5201598;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5001023063;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУ;центробежная / воздух;садовый инструмент, не машина;Приобретение триммера, воздуходувки и электропилы;https://zakupki.mos.ru/need/4517756;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
3250503517;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ БРЯНСКОЙ ОБЛАСТИ ""ЛЕСОПОЖАРНАЯ СЛ";центробежная | не установлен / воздух;садовый инструмент, не машина;Поставка воздуходувки STIHL BG 50 для нужд ГБУ Брянской области «Лесопожарная служба».;https://zakupki.mos.ru/need/3553646;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5042127840;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКИЕ ПАРКИ СЕРГИЕВА ПОСАДА""";центробежная / воздух;садовый инструмент, не машина;"Закупка воздуходувки CHAMPION для нужд парка ""Скитские пруды""";https://zakupki.mos.ru/need/4621985;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7106050903;"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""СПОРТИВНАЯ ШКОЛА ""МЕТАЛЛУРГ""";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки и триммеров;https://zakupki.mos.ru/need/4696429;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7723327297;Государственное бюджетное общеобразовательное учреждение города Москвы;центробежная | тип не установлен | не установлен | садовый и / воздух;садовый инструмент, не машина;Компрессор электрический Volcano PM250 для накачивания автомобильных, велосипедных и мотошин, спортивных мячей, надувных изделий, 95Вт;https://zakupki.mos.ru/auction/9860724;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7817027605;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная | не установлен / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/5745573;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7805145474;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ЛИЦЕЙ № 393 К;центробежная / воздух;садовый инструмент, не машина;Приобретение воздуходувки;https://zakupki.mos.ru/need/4198687;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5024028734;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ АРХАНГЕЛЬСКАЯ С;центробежная / воздух;садовый инструмент, не машина;Поставка триммера и воздуходувки;https://zakupki.mos.ru/need/5455591;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7802152787;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/3910903;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7814820870;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕО;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/4582121;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7816157489;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки;https://zakupki.mos.ru/need/4197838;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
2407001361;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МАНЗЕНСКОЕ ЛЕСНИЧЕСТВО""";центробежная / воздух;садовый инструмент, не машина;бензопилы Husqvarna 450ell, воздуходувка Husqvarna 580 BTs;https://zakupki.gov.ru/epz/orderplan/tru-plan/card/common-info.html?guid=547991b1-2df1-4ae0-87dd-b41a6e74953d_ed2875e4-98a4-43ce-a916-00f6b9485058&infoGuid=547991b1-2df1-4ae0-87dd-b41a6e74953d;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
2310038079;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ МУНИЦИПА;центробежная / воздух;садовый инструмент, не машина;Воздуходувка 4-х тактная ручная;https://zakupki.mos.ru/need/4227186;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7717023879;Государственное бюджетное учреждение дополнительного образования город;центробежная | тип не установлен / воздух;садовый инструмент, не машина;Аренда напольного кулера, горячая/холодная вода, компрессорное охлаждение воды;https://zakupki.mos.ru/auction/9896992;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5001087243;Муниципальное бюджетное учреждение культуры городского округа Балашиха;центробежная / воздух;садовый инструмент, не машина;"Приобретение садового пылесоса- воздуходувка Makita BHX2501 для Муниципального бюджетного учреждения культуры Городского округа Балашиха ""Культурно -досуговый центр ""Заря""";https://zakupki.mos.ru/need/3838861;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7737046095;Государственное бюджетное учреждение дополнительного образования город;центробежная | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Бензиновая воздуходувка-пылесос DAEWOO DABL 270;https://zakupki.mos.ru/auction/9531314;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7720800596;Государственное бюджетное учреждение города Москвы «Жилищник района Но;центробежная | садовый инструмент, не машина / воздух;садовый инструмент, не машина;Воздуходувка бензиновая CHAMPION GBR333 1.2 л.с.;https://zakupki.mos.ru/auction/9649692;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7825401623;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ КУЛЬТУРЫ ""ЦЕН";центробежная / воздух;садовый инструмент, не машина;Поставка воздуходувки и удлинителя;https://zakupki.mos.ru/need/3833168;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7712037162;Государственное автономное образовательное учреждение высшего образова;центробежная | не установлен / воздух;садовый инструмент, не машина;Воздуходувка ECHO PB-770;https://www.roseltorg.ru/procedure/SP9140798/1;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
6017004283;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ПСКОВСКОЙ ОБЛ;центробежная | не установлен / воздух;садовый инструмент, не машина;Воздуходувка и косилки;https://zakupki.mos.ru/auction/10090283;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5072726200;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ЛУХОВИЦЫ МОСКОВСК;центробежная | поршневая или винтовая | тип не установлен |  / воздух;поршневая или винтовая;Поставка поршневого компрессора;https://zakupki.mos.ru/need/5035864;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
5032060523;Муниципальное автономное учреждение дополнительного образования Зарече;центробежная | не установлен / воздух;садовый инструмент, не машина;Закупка в 2022 году воздуходувок для нужд МАУДО Зареченской ДШИ;https://zakupki.mos.ru/need/4027237;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7819314549;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная | тип не установлен / воздух;садовый инструмент, не машина;Поставка компрессора для холодильного шкафа;https://zakupki.mos.ru/need/5905854;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7804088583;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИ;центробежная / воздух;садовый инструмент, не машина;Поставка бензинового триммера, воздуходувки.;https://zakupki.mos.ru/need/4701744;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7808023241;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НЕТИПОВОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""САНКТ-";центробежная | тип не установлен | не установлен / воздух;садовый инструмент, не машина;Поставка садового инструмента (воздуходувка, кусторез) в 2025 году;https://zakupki.mos.ru/need/5373269;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
7733781453;Государственное бюджетное учреждение города Москвы «Автомобильные доро;центробежная / воздух;садовый инструмент, не машина;Воздуходувка ECHO PB-770;https://www.roseltorg.ru/procedure/SP9067597/3;разбор tip_mashiny.py: 55 агентов-опровергателей + фильтр по заказчику
