Запрос;Паттерн;Тип провала;Релевантность/2;Источник;Нашлось;Что не так;Топ-3 выдачи
дизельный компрессор на шасси;category;wrong_top;1;webmaster;20;топ засорен моделями без шасси;Компрессор дизельный BERG М-6-8 (на шасси) | Дизельный компрессор ATLAS COPCO U 110 (без ш | Дизельный компрессор ATLAS COPCO U 130 Kd (бе
компрессор генератор азота;category;wrong_top;1;webmaster;20;показаны только генераторы азота, нет связки компрессор+генератор;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
азотно кислородная станция;category;wrong_top;1;webmaster;20;показаны только азотные, нет кислородных генераторов;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
дожимной компрессор высокого давления;category;wrong_top;1;webmaster;20;Показаны обычные поршневые, не дожимные;Компрессор поршневой DALGAKIRAN PET-PLUS 40 4 | Компрессор поршневой DALGAKIRAN PET-PLUS 25 3 | Компрессор поршневой DALGAKIRAN PET-PLUS 25 4
компрессор 25 литров;spec;wrong_top;0;webmaster;20;Показаны компрессоры на 25 бар, а не с ресивером 25л;Дизельный винтовой компрессор ET-Compressors  | Дизельный винтовой компрессор ET-Compressors  | Дизельный винтовой компрессор ET-Compressors 
ресивер воздушный для компрессора;category;wrong_top;1;webmaster;20;Показаны компрессоры на ресивере, а не отдельные ресиверы;Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти
винтовой компрессор 15 бар;spec;wrong_top;1;webmaster;20;показаны модели 8-10 бар вместо 15 бар;Винтовой компрессор MIG К 15 8 бар | Винтовой компрессор MIG 15 8 бар | Винтовой компрессор MIG К 15 10 бар
одноступенчатые компрессор с осушителем;category;wrong_top;1;webmaster;20;показаны компрессоры с ресивером (.ОВ), а не комплекты с осушителем;Винтовой компрессор Бежецк АСО-ВК4,0/10М2.ОВ- | Винтовой компрессор Бежецк АСО-ВК 7,5/16М2.ОВ | Винтовой компрессор Бежецк АСО-ВК4,0/8М2.ОВ-5
компрессорная установка;category;wrong_top;0;webmaster;20;топ забит маслом и высоконапорными компрессорами, нет стандартных установок;Масло компрессорное KRAFT-OIL_M46 (20L)(для в | Безмасляный компрессор высокого давления Enge | Безмасляный компрессор высокого давления Enge
компрессор винтовой 7.5 бар;spec;wrong_top;1;webmaster;20;показаны компрессоры 8 и 10 бар, нет точно 7.5 бар;Винтовой компрессор MIG 75 8 бар | Винтовой компрессор MIG 75 10 бар | Винтовой компрессор MIG 75 PR 8 бар
абак;brand;wrong_top;1;webmaster;20;показаны только фильтры, нет компрессоров ABAC;"Фильтр &quot;ABAC&quot; D 125 | Фильтр &quot;ABAC&quot; D 1295 2 1/2&quot; | Фильтр &quot;ABAC&quot; D 1295 2&quot;"
компрессор с частотным преобразователем;category;wrong_top;1;webmaster;20;показаны Kraftmann, но VSD-модели не на первых позициях;Винтовой компрессор Kraftmann APOLLO 6 PLUS ( | Винтовой компрессор Kraftmann APOLLO 7 PLUS ( | Винтовой компрессор Kraftmann ALTAIR 16 PLUS 
азотные станции и установки;category;wrong_top;0;webmaster;20;показаны компрессоры ЗИФ вместо генераторов азота;Винтовой компрессор ЗИФ-ПВ-5/1,8 (на шасси) | Винтовой компрессор ЗИФ-ПВ-10/1,8 (на шасси) | Винтовой компрессор ЗИФ-ПВ-15/1,8 (на шасси)
винтовой компрессор для пескоструя;category;wrong_top;1;webmaster;20;общие винтовые, нет указания на высокую производительность для пескоструя;Винтовой компрессор ABAC FORMULA 11-10 | Винтовой компрессор ABAC FORMULA 11-13 | Винтовой компрессор ABAC FORMULA 11-8
винтовые компрессоры профессиональные;category;wrong_top;1;webmaster;20;только двухступенчатые, нет разнообразия профессиональных моделей;Двухступенчатый винтовой компрессор FINI K-MA | Двухступенчатый винтовой компрессор FINI K-MA | Двухступенчатый винтовой компрессор FINI K-MA
азотные установки и станции;category;wrong_top;0;webmaster;20;показывает винтовые компрессоры ЗИФ вместо генераторов азота;Винтовой компрессор ЗИФ-ПВ-5/1,8 (на шасси) | Винтовой компрессор ЗИФ-ПВ-10/1,8 (на шасси) | Винтовой компрессор ЗИФ-ПВ-15/1,8 (на шасси)
станция кислородная стационарная;category;wrong_top;0;webmaster;20;показывает генераторы азота вместо кислородных установок;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
промышленный компрессор;category;wrong_top;1;webmaster;20;слишком узкая выдача - только PET компрессоры высокого давления;Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M
компрессор 1000 литров;spec;wrong_top;1;webmaster;20;в топе модели с 1000 в артикуле, но ресивер 500л или менее;Винтовой компрессор Ekomak DMD 1000 C VST/13 | Винтовой компрессор Ekomak DMD 1000 C/10 | Винтовой компрессор Ekomak DMD 1000 C/13
винтовой компрессор 2000 л мин;spec;wrong_top;1;webmaster;20;показаны компрессоры ~1800 л/мин, не точно 2000;Винтовой компрессор Dalgakiran DPR D 110-10 | Винтовой компрессор Dalgakiran DPR D 110-10 I | Винтовой компрессор Dalgakiran DPR D 110-13
компрессор с асинхронным двигателем;spec;wrong_top;1;webmaster;20;непонятно почему именно LENTO, большинство компрессоров с асинхронными двигателями;Винтовой компрессор ALMiG LENTO-15/6 LK | Винтовой компрессор ALMiG LENTO-15/6 WK | Винтовой компрессор ALMiG LENTO-15/8 LK
поршневые компрессоры abac;brand;wrong_top;0;webmaster;20;показаны DALGAKIRAN вместо ABAC;Компрессор поршневой DALGAKIRAN PET-PLUS 25 3 | Компрессор поршневой DALGAKIRAN PET-PLUS 25 4 | Компрессор поршневой DALGAKIRAN PET-PLUS 40 4
осушитель сжатого воздуха для компрессора;category;wrong_top;1;webmaster;20;показаны компрессоры с осушителем, а не сами осушители;Винтовой компрессор двухступенчатого сжатия A | Винтовой компрессор REMEZA ВК40Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-8Д (с осушит
компрессор винтовой воздушный масляный;spec;wrong_top;0;webmaster;20;показаны безмасляные вместо масляных;Винтовой безмасляный компрессор ENGER LUF55A  | Винтовой безмасляный компрессор ENGER LUF55W  | Винтовой безмасляный компрессор ENGER LUF75A 
компрессор на ресивере с осушителем;spec;wrong_top;1;webmaster;20;показаны дорогие Atlas Copco с осушителем, не все на ресивере;Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCOGA 250 VSD - 1
винтовых компрессоров;category;wrong_top;0;webmaster;20;показаны масла вместо самих компрессоров;"Масло компрессорное Berg Oil-46M (для винтовы | Масло компрессорное KRAFT-OIL_Р46 (5л) (для в | Масло компрессорное &quot;Rarus Mobil 425&quo"
компрессорная станция;category;wrong_top;0;webmaster;20;показаны генераторы азота вместо компрессорных станций;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
компрессор 1000 л мин;spec;too_few;1;webmaster;18;найдено только 18 товаров, нет точного совпадения по производительности;Винтовой компрессор Dalgakiran F 7-10-500 D ( | Винтовой компрессор Dalgakiran F 7-10 | Винтовой компрессор Dalgakiran F 7-10-250
кислородная станция для производства кислорода;category;wrong_top;0;webmaster;20;показаны генераторы азота вместо кислородных станций;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
компрессор 1 м3 мин;spec;wrong_top;1;webmaster;20;показаны модели 110-11 л/сек, а нужен ~16-17 л/сек (1000 л/мин);Винтовой компрессор Dali DL-110/10GA | Винтовой компрессор Dali DL-110/10GA-F | Винтовой компрессор Dali DL-110/13GA
компрессора берг;brand;wrong_top;1;webmaster;20;только дизельные, нет винтовых BERG в топе;Компрессор дизельный BERG М-10-12 | Компрессор дизельный BERG М-12-10 | Компрессор дизельный BERG М-13-13
компрессор производственный;category;wrong_top;1;webmaster;20;Показывает только высокое давление и бустеры, нет обычных промышленных винтовых;Компрессор высокого давления AIRRUS D250-40 | Компрессор высокого давления Enger SHF-2.2/40 | Компрессор высокого давления Enger SHF-3/40
компрессор 2 м3 мин;spec;wrong_top;0;webmaster;20;Показывает модели 110 л/мин и 11 м3/мин вместо 2 м3/мин;Винтовой компрессор Dali DL-110/10GA | Винтовой компрессор Dali DL-110/10GA-F | Винтовой компрессор Dali DL-110/13GA
компрессор ekomak с прямым приводом;brand;wrong_top;1;webmaster;20;Показывает модели CD (с прямым приводом), но нет подтверждения что это именно direct drive;Винтовой компрессор Ekomak ЕКО 30 СD VST/7 | Винтовой компрессор Ekomak ЕКО 30 СD VST/8 | Винтовой компрессор Ekomak ЕКО 37 СD VST/7
компрессор 7 бар;spec;wrong_top;1;webmaster;20;В топе в основном 8 и 10 бар, только одна модель 7 бар;Винтовой компрессор AIRRUS 7 8 бар | Винтовой компрессор AIRRUS 7 10 бар | Винтовой компрессор OZEN EN 7 10 бар
установка получения кислорода;category;wrong_top;0;webmaster;11;Показывает дизельные компрессоры вместо генераторов кислорода;Дизельный винтовой компрессор Dali DLZJ-18/17 | Дизельный винтовой компрессор Dali DLZJ-15/14 | Дизельный винтовой компрессор Dali DLZJ-29/23
компрессор 30 квт;spec;wrong_top;1;webmaster;20;В топе поршневые и дизельные, не винтовые 30 кВт;Компрессор 1А 21-30-2А | Компрессор 1А 21-30-4А | Компрессор 1А 22-30-2А
осушители сжатого воздуха;category;wrong_top;1;webmaster;20;Показывает доохладители вместо осушителей;Доохладитель сжатого воздуха ENGER PR-016AL | Доохладитель сжатого воздуха ENGER PR-020A | Доохладитель сжатого воздуха ENGER PR-026A
компрессоры с прямым приводом с осушителем;spec;wrong_top;1;webmaster;20;Не все результаты с прямым приводом;Винтовой компрессор REMEZA ВК40Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-8Д (с осушит | Винтовой компрессор REMEZA ВК40Р-8ДВС (с осуш
компрессор 10 м3 мин;spec;wrong_top;1;webmaster;20;Мощность в названии не равна производительности 10 м³/мин;Винтовой компрессор Dali DL-7.5/10RA | Винтовой компрессор Dali DL-11/10RA | Винтовой компрессор Dali DL-15/10RA
компрессор 500 л мин;spec;wrong_top;1;webmaster;20;показывает компрессоры с ресиверами 500л вместо производительности 500 л/мин;Винтовой компрессор безмасляный AC ZR 500 10 | Винтовой компрессор безмасляный AC ZR 500 7,5 | Винтовой компрессор безмасляный AC ZR 500 8,6
компрессоры 86 квт с осушителем;spec;wrong_top;0;webmaster;20;показаны компрессоры 8.6 бар вместо 86 кВт;Винтовой компрессор безмасляный AC ZR 300 8,6 | Винтовой компрессор безмасляный AC ZR 315 8,6 | Винтовой компрессор безмасляный AC ZR 355 8,6
промышленные компрессоры;category;wrong_top;1;webmaster;20;только высокого давления, нужен широкий выбор;Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M | Компрессор высокого давления DALGAKIRAN PET M
винтовой компрессор 800 л мин;spec;too_few;1;webmaster;3;всего 3 результата, должно быть больше;Винтовой компрессор Dalgakiran TIDY7-7-250D ( | Винтовой компрессор Dalgakiran TIDY7-7 | Винтовой компрессор Dalgakiran TIDY7-7-200
компрессор винтовой воздушный с ресивером;spec;wrong_top;1;webmaster;20;Показывает модели с осушителем, а не с ресивером;Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCOGA 250 VSD - 1
компрессор 300 бар;spec;wrong_top;0;webmaster;20;Показывает 15 бар и ресиверы на 300л, не 300 бар;Винтовой компрессор DAS BVK T 3-15-300 15 бар | Винтовой компрессор DAS BVK T 4-15-300 15 бар | Винтовой компрессор DAS BVK C 4-15-300 D 15 б
компрессор 1500 л мин;spec;too_few;1;webmaster;4;Только 4 результата, топ размыт осушителем;Винтовой компрессор Dalgakiran F 11-8-500 D ( | Винтовой компрессор Dalgakiran F 11-8 | Винтовой компрессор Dalgakiran F 11-8-250
компрессоры 10 квт с осушителем;spec;wrong_top;1;webmaster;20;топ показывает 2-7 кВт, а не 10 кВт;Винтовой компрессор Atlas Copco GX2 10FF TM(2 | Винтовой компрессор Atlas Copco GX3 10FF TM(2 | Винтовой компрессор Atlas Copco GX4 10FF TM(2
компрессоры 8 квт с осушителем;spec;wrong_top;1;webmaster;20;топ показывает 3-7 кВт, нет точно 8 кВт;Винтовой компрессор Atlas Copco GX7 10FF TM(2 | Винтовой компрессор Atlas Copco GX3 10FF TM(2 | Винтовой компрессор Atlas Copco GX4 10FF TM(2
компрессор 10 квт с осушителем;spec;wrong_top;1;webmaster;20;топ показывает 2-7 кВт, а не 10 кВт;Винтовой компрессор Atlas Copco GX2 10FF TM(2 | Винтовой компрессор Atlas Copco GX3 10FF TM(2 | Винтовой компрессор Atlas Copco GX4 10FF TM(2
компрессоры ekomak 8 квт;brand;wrong_top;1;webmaster;20;топ показывает SPR 8 и более мощные модели;Спиральный компрессор EKOMAK SPR 8/10 400V | Спиральный компрессор EKOMAK SPR 8/8 400V | Спиральный компрессор EKOMAK SPR 8Т/10 400V N
компрессор винтовой с ресивером;spec;wrong_top;1;webmaster;20;показаны модели с осушителем, а не с ресивером;Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCOGA 250 VSD - 1
винтовой компрессор с осушителем ресивером;spec;wrong_top;1;webmaster;20;показаны только с осушителем, ресивер не упомянут;Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCOGA 250 VSD - 1
компрессор ekomak 8 квт;brand;model_not_found;1;webmaster;20;нет моделей Ekomak точно 8 кВт, показаны близкие;Спиральный компрессор EKOMAK SPR 8/10 400V | Спиральный компрессор EKOMAK SPR 8/8 400V | Спиральный компрессор EKOMAK SPR 8Т/10 400V N
винтовой компрессор 5.5;spec;model_not_found;1;webmaster;20;показаны 55 кВт вместо 5.5 кВт;Винтовой компрессор MIG 55 10 бар | Винтовой компрессор MIG 55 8 бар | Винтовой компрессор MIG 55 PR 10 бар
компрессора;category;wrong_top;1;webmaster;20;топ заполнен промышленными моделями 1А, нет популярных брендов/категорий;Компрессор 1А 21-30-2А | Компрессор 1А 21-30-4А | Компрессор 1А 21-50-2А
компрессор 6 бар;spec;wrong_top;1;webmaster;20;показаны 8 и 10 бар, нет точного совпадения 6 бар в топе;Винтовой компрессор MIG 37 8 бар | Винтовой компрессор ET SL 37 8 бар | Винтовой компрессор AIRRUS 37 8 бар
компрессоры электрические;category;wrong_top;1;webmaster;20;показаны только передвижные электрические, узкая категория вместо широкой;Компрессор электрический передвижной Enger EC | Компрессор электрический передвижной Enger EC | Компрессор электрический передвижной Enger EC
винтовые компрессоры с ременным приводом;spec;wrong_top;1;webmaster;20;В топе общие винтовые, тип привода не виден в названиях;Винтовой компрессор Comprag FRD0508-270 (с ос | Винтовой компрессор Comprag FRD0508-500 (с ос | Винтовой компрессор REMEZA ВК25Т-16-500Д2 (с 
компрессор 5 м3 мин;spec;wrong_top;0;webmaster;20;Показаны модели с маркировкой 110 и 11, не 5 м³/мин;Винтовой компрессор Dali DL-110/10GA | Винтовой компрессор Dali DL-110/10GA-F | Винтовой компрессор Dali DL-110/13GA
винтовой компрессор 20 бар;spec;too_few;1;webmaster;20;Только 4 модели на 20 бар в топе, остальные 10/13/7.5 бар;Винтовой компрессор ET SL 15 VS PM 20 бар, IP | Винтовой компрессор ET SL 22 VS PM 20 бар, IP | Винтовой компрессор ET SL 37 VS PM 20 бар, IP
компрессор 1 квт с осушителем;spec;wrong_top;1;webmaster;20;В топе 2-7 кВт модели, нет 1 кВт;Винтовой компрессор Atlas Copco GX2 10FF TM(2 | Винтовой компрессор Atlas Copco GX3 10FF TM(2 | Винтовой компрессор Atlas Copco GX4 10FF TM(2
модульные компрессоры;category;wrong_top;0;webmaster;20;Показаны дожимные бустеры вместо модульных систем;Компрессор поршневой дожимной (бустер) KRAFTM | Компрессор поршневой дожимной (бустер) KRAFTM | Компрессор поршневой дожимной (бустер) KRAFTM
компрессор атлас;brand;wrong_top;1;webmaster;20;показаны ABAC вместо Atlas Copco;Винтовой компрессор ABAC FORMULA 11-10 | Винтовой компрессор ABAC FORMULA 11-13 | Винтовой компрессор ABAC FORMULA 11-8
компрессор ingersoll rand;brand;model_not_found;0;webmaster;20;показаны ENGER вместо Ingersoll Rand;Винтовой безмасляный компрессор ENGER OFSZ-55 | Винтовой безмасляный компрессор ENGER OFSZ-55 | Винтовой безмасляный компрессор ENGER OFSZ-75
компрессоры 1 квт с осушителем;spec;wrong_top;1;webmaster;20;топ начинается с 2+ кВт, а не 1 кВт;Винтовой компрессор Atlas Copco GX2 10FF TM(2 | Винтовой компрессор Atlas Copco GX3 10FF TM(2 | Винтовой компрессор Atlas Copco GX4 10FF TM(2
компрессор 8 квт с осушителем;spec;wrong_top;1;webmaster;20;первый релевантный GX7 только 7 кВт, нет точного 8 кВт;Винтовой компрессор Atlas Copco GX7 10FF TM(2 | Винтовой компрессор Atlas Copco GX3 10FF TM(2 | Винтовой компрессор Atlas Copco GX4 10FF TM(2
модульная компрессорная станция мкс;category;wrong_top;0;webmaster;20;показаны генераторы азота вместо МКС;Генератор азота ENGER GN2-49TWL (CMS360) | Генератор азота ENGER GN5-49TWL (CMS360) | Генератор азота ENGER GN10-49TWL (CMS360)
абсорбционный осушитель воздуха;category;wrong_top;1;webmaster;20;показаны адсорбционные, а не абсорбционные осушители;Адсорбционный осушитель ENGER ADHB-140 (-40°С | Адсорбционный осушитель ENGER ADHB-320LHRBE ( | Адсорбционный осушитель ENGER ADHB-1450LHRBZA
винтовой компрессор 25 бар;spec;wrong_top;1;webmaster;20;в топе в основном 8 бар, модели 25 бар ниже;Винтовой компрессор MIG К 15 8 бар | Винтовой компрессор MIG 15 8 бар | Винтовой компрессор MIG К 15 10 бар
поршневой компрессор abac;category;wrong_top;0;webmaster;20;показаны DALGAKIRAN вместо ABAC;Компрессор поршневой DALGAKIRAN PET-PLUS 25 3 | Компрессор поршневой DALGAKIRAN PET-PLUS 25 4 | Компрессор поршневой DALGAKIRAN PET-PLUS 40 4
компрессор 1000 л;spec;wrong_top;1;webmaster;20;топ размыт, смесь моделей с ресиверами разных объемов;Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор ET SL 7,5 D VS PM V верти | Винтовой компрессор Cross Air CA11-16RA
компрессор поршневой abac;category;model_not_found;0;webmaster;20;показывает DALGAKIRAN вместо ABAC;Компрессор поршневой DALGAKIRAN PET-PLUS 25 3 | Компрессор поршневой DALGAKIRAN PET-PLUS 25 4 | Компрессор поршневой DALGAKIRAN PET-PLUS 40 4
компрессор 3000 л мин;spec;wrong_top;1;webmaster;20;производительность по названиям не очевидна;Винтовой компрессор Dalgakiran F 18-7-500 D с | Винтовой компрессор Dalgakiran TIDY30-13 ID ( | Винтовой компрессор Dalgakiran F 18-7
поршневые компрессоры 45 квт;spec;wrong_top;1;webmaster;20;в топе дожимные бустеры, а не обычные поршневые 45 кВт;Компрессор поршневой дожимной (бустер) ET PB  | Дожимной поршневой компрессор BERG BBC-45 | Компрессор поршневой DALGAKIRAN PET-PLUS 60 3
винтовой компрессор воздуха;category;wrong_top;1;webmaster;20;в топе воздуходувки вместо обычных винтовых компрессоров;Роторная воздуходувка (блок) ENGER HLSR125 | Винтовая безмасляная воздуходувка ENGER AHG-3 | Винтовая безмасляная воздуходувка ENGER AHG-3
компрессор 600 л мин;spec;wrong_top;1;webmaster;20;нет производительности в названиях, сложно оценить соответствие 600 л/мин;Винтовой компрессор Dalgakiran F 4-7-250 D (с | Винтовой компрессор Dalgakiran F 5-13-250 D ( | Винтовой компрессор Dalgakiran F 5-13
компрессор 86 квт с осушителем;spec;wrong_top;1;webmaster;20;показаны безмасляные без осушителя, нет указания на осушитель;Винтовой компрессор безмасляный AC ZR 300 8,6 | Винтовой компрессор безмасляный AC ZR 315 8,6 | Винтовой компрессор безмасляный AC ZR 355 8,6
компрессор 20 бар;spec;wrong_top;1;webmaster;20;топ размыт: показаны 10, 13, 7.5 бар вперемешку с 20 бар;Винтовой компрессор ET SL 15 VS PM 20 бар, IP | Винтовой компрессор ET SL 22 VS PM 20 бар, IP | Винтовой компрессор ET SL 37 VS PM 20 бар, IP
компрессоры 56 квт с осушителем;spec;too_few;0;webmaster;8;найдено 8, компрессоры 56 кВт без осушителя в комплекте;"Осушитель адсорбционный &quot;ЕвразКомпрессор | Винтовой компрессор FINI PLUS 56-08 | Винтовой компрессор FINI PLUS 56-10"
винтовой компрессор 15 атм;spec;wrong_top;0;webmaster;12;показаны 8 и 10 бар вместо 15 атм (≈15 бар);Винтовой компрессор MIG К 15 10 бар | Винтовой компрессор MIG 15 10 бар | Винтовой компрессор MIG К 15 8 бар
компрессор с ресивером и осушителем;spec;wrong_top;1;webmaster;20;в названиях видно только осушитель, про ресивер непонятно;Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCO GA 200 VSD -  | Винтовой компрессор ATLAS COPCOGA 250 VSD - 1
компрессор 45 квт с осушителем;spec;wrong_top;1;webmaster;20;показаны 60 кВт вместо 45 кВт;Винтовой компрессор REMEZA ВК60Р-8Д (с осушит | Винтовой компрессор REMEZA ВК60Р-7,5Д (с осуш | Винтовой компрессор REMEZA ВК60Р-8ДВС (с осуш
